指标名称,统计局：制造业PMI：购进价（月）
指标编码,CM0000013263
2025-12-31 00:00:00,53.1
2025-11-30 00:00:00,53.6
2025-10-31 00:00:00,52.5
2025-09-30 00:00:00,53.2
2025-08-31 00:00:00,53.3
2025-07-31 00:00:00,51.5
2025-06-30 00:00:00,48.4
2025-05-31 00:00:00,46.9
2025-04-30 00:00:00,47.0
2025-03-31 00:00:00,49.8
2025-02-28 00:00:00,50.8
2025-01-31 00:00:00,49.5
2024-12-31 00:00:00,48.2
2024-11-30 00:00:00,49.8
2024-10-31 00:00:00,53.4
2024-09-30 00:00:00,45.1
2024-08-31 00:00:00,43.2
2024-07-31 00:00:00,49.9
2024-06-30 00:00:00,51.7
2024-05-31 00:00:00,56.9
2024-04-30 00:00:00,54.0
2024-03-31 00:00:00,50.5
2024-02-29 00:00:00,50.1
2024-01-31 00:00:00,50.4
2023-12-31 00:00:00,51.5
2023-11-30 00:00:00,50.7
2023-10-31 00:00:00,52.6
2023-09-30 00:00:00,59.4
2023-08-31 00:00:00,56.5
2023-07-31 00:00:00,52.4
2023-06-30 00:00:00,45.0
2023-05-31 00:00:00,40.8
2023-04-30 00:00:00,46.4
2023-03-31 00:00:00,50.9
2023-02-28 00:00:00,54.4
2023-01-31 00:00:00,52.2
2022-12-31 00:00:00,51.6
2022-11-30 00:00:00,50.7
2022-10-31 00:00:00,53.3
2022-09-30 00:00:00,51.3
2022-08-31 00:00:00,44.3
2022-07-31 00:00:00,40.4
2022-06-30 00:00:00,52.0
2022-05-31 00:00:00,55.8
2022-04-30 00:00:00,64.2
2022-03-31 00:00:00,66.1
2022-02-28 00:00:00,60.0
2022-01-31 00:00:00,56.4
2021-12-31 00:00:00,48.1
2021-11-30 00:00:00,52.9
2021-10-31 00:00:00,72.1
2021-09-30 00:00:00,63.5
2021-08-31 00:00:00,61.3
2021-07-31 00:00:00,62.9
2021-06-30 00:00:00,61.2
2021-05-31 00:00:00,72.8
2021-04-30 00:00:00,66.9
2021-03-31 00:00:00,69.4
2021-02-28 00:00:00,66.7
2021-01-31 00:00:00,67.1
2020-12-31 00:00:00,68.0
2020-11-30 00:00:00,62.6
2020-10-31 00:00:00,58.8
2020-09-30 00:00:00,58.5
2020-08-31 00:00:00,58.3
2020-07-31 00:00:00,58.1
2020-06-30 00:00:00,56.8
2020-05-31 00:00:00,51.6
2020-04-30 00:00:00,42.5
2020-03-31 00:00:00,45.5
2020-02-29 00:00:00,51.4
2020-01-31 00:00:00,53.8
2019-12-31 00:00:00,51.8
2019-11-30 00:00:00,49.0
2019-10-31 00:00:00,50.4
2019-09-30 00:00:00,52.2
2019-08-31 00:00:00,48.6
2019-07-31 00:00:00,50.7
2019-06-30 00:00:00,49.0
2019-05-31 00:00:00,51.8
2019-04-30 00:00:00,53.1
2019-03-31 00:00:00,53.5
2019-02-28 00:00:00,51.9
2019-01-31 00:00:00,46.3
2018-12-31 00:00:00,44.8
2018-11-30 00:00:00,50.3
2018-10-31 00:00:00,58.0
2018-09-30 00:00:00,59.8
2018-08-31 00:00:00,58.7
2018-07-31 00:00:00,54.3
2018-06-30 00:00:00,57.7
2018-05-31 00:00:00,56.7
2018-04-30 00:00:00,53.0
2018-03-31 00:00:00,53.4
2018-02-28 00:00:00,53.4
2018-01-31 00:00:00,59.7
2017-12-31 00:00:00,62.2
2017-11-30 00:00:00,59.8
2017-10-31 00:00:00,63.4
2017-09-30 00:00:00,68.4
2017-08-31 00:00:00,65.3
2017-07-31 00:00:00,57.9
2017-06-30 00:00:00,50.4
2017-05-31 00:00:00,49.5
2017-04-30 00:00:00,51.8
2017-03-31 00:00:00,59.3
2017-02-28 00:00:00,64.2
2017-01-31 00:00:00,64.5
2016-12-31 00:00:00,69.6
2016-11-30 00:00:00,68.3
2016-10-31 00:00:00,62.6
2016-09-30 00:00:00,57.5
2016-08-31 00:00:00,57.2
2016-07-31 00:00:00,54.6
2016-06-30 00:00:00,51.3
2016-05-31 00:00:00,55.3
2016-04-30 00:00:00,57.6
2016-03-31 00:00:00,55.3
2016-02-29 00:00:00,50.2
2016-01-31 00:00:00,45.1
2015-12-31 00:00:00,42.4
2015-11-30 00:00:00,41.1
2015-10-31 00:00:00,44.4
2015-09-30 00:00:00,45.8
2015-08-31 00:00:00,44.9
2015-07-31 00:00:00,44.7
2015-06-30 00:00:00,47.3
2015-05-31 00:00:00,49.4
2015-04-30 00:00:00,47.8
2015-03-31 00:00:00,45.0
2015-02-28 00:00:00,43.9
2015-01-31 00:00:00,41.9
2014-12-31 00:00:00,43.2
2014-11-30 00:00:00,44.7
2014-10-31 00:00:00,45.1
2014-09-30 00:00:00,47.4
2014-08-31 00:00:00,49.3
2014-07-31 00:00:00,50.5
2014-06-30 00:00:00,50.1
2014-05-31 00:00:00,50.0
2014-04-30 00:00:00,48.3
2014-03-31 00:00:00,44.4
2014-02-28 00:00:00,47.7
2014-01-31 00:00:00,49.2
2013-12-31 00:00:00,52.6
2013-11-30 00:00:00,52.5
2013-10-31 00:00:00,53.3
