指标名称,统计局：焦炭：产量：天津（月）
指标编码,CM0000049161
2025-11-30 00:00:00,8.6
2025-10-31 00:00:00,8.7
2025-09-30 00:00:00,7.9
2025-08-31 00:00:00,3.7
2025-07-31 00:00:00,9.4
2025-06-30 00:00:00,10.3
2025-05-31 00:00:00,11.8
2025-04-30 00:00:00,10.1
2025-03-31 00:00:00,10.3
2024-12-31 00:00:00,10.1
2024-11-30 00:00:00,12.5
2024-10-31 00:00:00,11.2
2024-09-30 00:00:00,10.9
2024-08-31 00:00:00,11.9
2024-07-31 00:00:00,11.6
2024-06-30 00:00:00,12.1
2024-05-31 00:00:00,12.1
2024-04-30 00:00:00,12.5
2024-03-31 00:00:00,11.0
2023-12-31 00:00:00,13.9
2023-11-30 00:00:00,10.5
2023-10-31 00:00:00,12.1
2023-09-30 00:00:00,13.3
2023-08-31 00:00:00,16.1
2023-07-31 00:00:00,15.5
2023-06-30 00:00:00,14.1
2023-05-31 00:00:00,16.5
2023-04-30 00:00:00,16.2
2023-03-31 00:00:00,14.1
2022-12-31 00:00:00,13.6
2022-11-30 00:00:00,12.3
2022-10-31 00:00:00,12.7
2022-09-30 00:00:00,14.6
2022-08-31 00:00:00,12.5
2022-07-31 00:00:00,13.2
2022-06-30 00:00:00,14.6
2022-05-31 00:00:00,14.4
2022-04-30 00:00:00,14.2
2022-03-31 00:00:00,12.2
2021-12-31 00:00:00,14.0
2021-11-30 00:00:00,15.5
2021-10-31 00:00:00,10.8
2021-09-30 00:00:00,11.4
2021-08-31 00:00:00,11.4
2021-07-31 00:00:00,12.4
2021-06-30 00:00:00,11.1
2021-05-31 00:00:00,12.7
2021-04-30 00:00:00,13.0
2021-03-31 00:00:00,13.8
2020-12-31 00:00:00,9.8
2020-11-30 00:00:00,12.0
2020-10-31 00:00:00,12.5
2020-09-30 00:00:00,10.2
2020-08-31 00:00:00,15.9
2020-07-31 00:00:00,17.3
2020-06-30 00:00:00,17.2
2020-05-31 00:00:00,17.6
2020-04-30 00:00:00,16.7
2020-03-31 00:00:00,15.9
2019-12-31 00:00:00,13.1
2019-11-30 00:00:00,12.4
2019-10-31 00:00:00,12.1
2019-09-30 00:00:00,12.1
2019-08-31 00:00:00,15.2
2019-07-31 00:00:00,15.6
2019-06-30 00:00:00,14.5
2019-05-31 00:00:00,14.7
2019-04-30 00:00:00,13.4
2019-03-31 00:00:00,13.1
2018-12-31 00:00:00,12.1
2018-11-30 00:00:00,10.9
2018-10-31 00:00:00,15.1
2018-09-30 00:00:00,14.6
2018-08-31 00:00:00,16.8
2018-07-31 00:00:00,17.0
2018-06-30 00:00:00,14.5
2018-05-31 00:00:00,16.9
2018-04-30 00:00:00,13.4
2018-03-31 00:00:00,11.2
2017-12-31 00:00:00,10.1
2017-11-30 00:00:00,8.8
2017-10-31 00:00:00,6.6
2017-09-30 00:00:00,11.6
2017-08-31 00:00:00,19.1
2017-07-31 00:00:00,20.7
2017-06-30 00:00:00,18.5
2017-05-31 00:00:00,16.4
2017-04-30 00:00:00,16.1
2017-03-31 00:00:00,17.3
2016-12-31 00:00:00,16.5
2016-11-30 00:00:00,18.6
2016-10-31 00:00:00,20.0
2016-09-30 00:00:00,19.5
2016-08-31 00:00:00,17.1
2016-07-31 00:00:00,15.0
2016-06-30 00:00:00,15.2
2016-05-31 00:00:00,16.8
2016-04-30 00:00:00,15.6
2016-03-31 00:00:00,15.56
2015-12-31 00:00:00,16.16
2015-11-30 00:00:00,14.81
2015-10-31 00:00:00,16.12
2015-09-30 00:00:00,15.15
2015-08-31 00:00:00,15.43
2015-07-31 00:00:00,17.15
2015-06-30 00:00:00,18.14
2015-05-31 00:00:00,15.79
2015-04-30 00:00:00,14.07
2015-03-31 00:00:00,16.56
2015-02-28 00:00:00,16.86
2015-01-31 00:00:00,19.7
2014-12-31 00:00:00,19.51
2014-11-30 00:00:00,14.79
2014-10-31 00:00:00,20.15
2014-09-30 00:00:00,20.7
2014-08-31 00:00:00,20.76
2014-07-31 00:00:00,18.8
2014-06-30 00:00:00,19.32
2014-05-31 00:00:00,19.26
2014-04-30 00:00:00,17.95
2014-03-31 00:00:00,17.62
2014-02-28 00:00:00,18.43
2014-01-31 00:00:00,21.86
2013-12-31 00:00:00,21.88
2013-11-30 00:00:00,21.56
2013-10-31 00:00:00,19.89
2013-09-30 00:00:00,21.32
2013-08-31 00:00:00,20.85
2013-07-31 00:00:00,21.84
2013-06-30 00:00:00,23.26
2013-05-31 00:00:00,23.32
2013-04-30 00:00:00,21.01
2013-03-31 00:00:00,21.78
2013-02-28 00:00:00,21.1
2013-01-31 00:00:00,22.4
2012-12-31 00:00:00,21.77
2012-11-30 00:00:00,18.45
2012-10-31 00:00:00,17.12
2012-09-30 00:00:00,15.68
2012-08-31 00:00:00,16.78
2012-07-31 00:00:00,20.87
2012-06-30 00:00:00,20.92
2012-05-31 00:00:00,22.47
2012-04-30 00:00:00,19.9
2012-03-31 00:00:00,19.81
2012-02-29 00:00:00,17.03
2012-01-31 00:00:00,19.1
2011-12-31 00:00:00,7.2
2011-11-30 00:00:00,6.78
2011-10-31 00:00:00,7.28
2011-09-30 00:00:00,8.51
2011-08-31 00:00:00,8.64
2011-07-31 00:00:00,8.45
2011-06-30 00:00:00,8.2
2011-05-31 00:00:00,8.41
2011-04-30 00:00:00,7.25
2011-03-31 00:00:00,7.36
2011-02-28 00:00:00,7.0
2011-01-31 00:00:00,7.3
2010-12-31 00:00:00,16.48
2010-11-30 00:00:00,15.33
2010-10-31 00:00:00,15.72
2010-09-30 00:00:00,19.51
2010-08-31 00:00:00,18.43
2010-07-31 00:00:00,18.73
2010-06-30 00:00:00,19.91
2010-05-31 00:00:00,19.4
2010-04-30 00:00:00,19.07
2010-03-31 00:00:00,20.11
2010-02-28 00:00:00,19.02
2010-01-31 00:00:00,20.6
2009-12-31 00:00:00,24.65
2009-11-30 00:00:00,21.75
2009-10-31 00:00:00,24.17
2009-09-30 00:00:00,24.24
2009-08-31 00:00:00,36.97
2009-07-31 00:00:00,33.01
2009-06-30 00:00:00,29.65
2009-05-31 00:00:00,28.66
2009-04-30 00:00:00,24.75
2009-03-31 00:00:00,23.04
2009-02-28 00:00:00,21.08
2009-01-31 00:00:00,22.6
2008-12-31 00:00:00,20.69
2008-11-30 00:00:00,16.56
2008-10-31 00:00:00,18.35
2008-09-30 00:00:00,21.78
2008-08-31 00:00:00,22.64
2008-07-31 00:00:00,23.69
2008-06-30 00:00:00,23.81
2008-05-31 00:00:00,24.3
2008-04-30 00:00:00,29.17
2008-03-31 00:00:00,28.19
2008-02-29 00:00:00,27.7
2008-01-31 00:00:00,10.2
2007-12-31 00:00:00,28.81
2007-11-30 00:00:00,23.34
2007-10-31 00:00:00,23.45
2007-09-30 00:00:00,23.47
2007-08-31 00:00:00,23.83
2007-07-31 00:00:00,23.62
2007-06-30 00:00:00,22.59
2007-05-31 00:00:00,22.92
2007-04-30 00:00:00,22.52
2007-03-31 00:00:00,22.71
2007-02-28 00:00:00,35.3
2007-01-31 00:00:00,66.53
2006-12-31 00:00:00,28.98
2006-11-30 00:00:00,29.27
2006-10-31 00:00:00,31.7
2006-09-30 00:00:00,31.08
2006-08-31 00:00:00,33.32
2006-07-31 00:00:00,34.07
2006-06-30 00:00:00,32.7
2006-05-31 00:00:00,33.23
2006-04-30 00:00:00,33.13
2006-03-31 00:00:00,30.35
2006-02-28 00:00:00,29.05
2006-01-31 00:00:00,29.34
2005-12-31 00:00:00,31.28
2005-11-30 00:00:00,29.41
2005-10-31 00:00:00,27.93
2005-09-30 00:00:00,28.89
2005-08-31 00:00:00,31.23
2005-07-31 00:00:00,29.17
2005-06-30 00:00:00,27.01
2005-05-31 00:00:00,30.35
2005-04-30 00:00:00,31.64
2005-03-31 00:00:00,30.83
2005-02-28 00:00:00,29.9
2005-01-31 00:00:00,30.35
2004-12-31 00:00:00,31.67
2004-11-30 00:00:00,29.48
2004-10-31 00:00:00,29.66
2004-09-30 00:00:00,29.38
2004-08-31 00:00:00,33.14
2004-07-31 00:00:00,27.38
2004-06-30 00:00:00,26.51
2004-05-31 00:00:00,27.35
2004-04-30 00:00:00,26.5
2004-03-31 00:00:00,26.13
2004-02-29 00:00:00,24.99
2004-01-31 00:00:00,24.96
2003-12-31 00:00:00,27.48
2003-11-30 00:00:00,24.8
2003-10-31 00:00:00,25.1
2003-09-30 00:00:00,25.48
2003-08-31 00:00:00,26.15
2003-07-31 00:00:00,25.79
2003-06-30 00:00:00,25.92
2003-05-31 00:00:00,25.82
2003-04-30 00:00:00,25.82
2003-03-31 00:00:00,26.28
2003-02-28 00:00:00,33.18
2003-01-31 00:00:00,24.81
2002-12-31 00:00:00,26.49
2002-11-30 00:00:00,24.84
2002-10-31 00:00:00,24.12
2002-09-30 00:00:00,23.89
2002-08-31 00:00:00,24.52
2002-07-31 00:00:00,23.45
2002-06-30 00:00:00,21.6
2002-05-31 00:00:00,23.29
2002-04-30 00:00:00,23.18
2002-03-31 00:00:00,40.06
2002-02-28 00:00:00,13.7
2002-01-31 00:00:00,13.22
2001-12-31 00:00:00,15.39
2001-11-30 00:00:00,14.6
2001-10-31 00:00:00,14.52
2001-07-31 00:00:00,22.62
2001-05-31 00:00:00,16.64
2001-04-30 00:00:00,16.41
2001-03-31 00:00:00,32.85
2001-02-28 00:00:00,7.46
2001-01-31 00:00:00,6.57
2000-12-31 00:00:00,14.74
2000-11-30 00:00:00,14.88
2000-10-31 00:00:00,14.47
2000-07-31 00:00:00,14.31
