指标名称,统计局：焦炭：产量：河北（月）
指标编码,CM0000049162
2025-11-30 00:00:00,327.3
2025-10-31 00:00:00,329.8
2025-09-30 00:00:00,377.0
2025-08-31 00:00:00,372.3
2025-07-31 00:00:00,370.4
2025-06-30 00:00:00,368.4
2025-05-31 00:00:00,377.5
2025-04-30 00:00:00,387.4
2025-03-31 00:00:00,377.8
2024-12-31 00:00:00,289.2
2024-11-30 00:00:00,302.7
2024-10-31 00:00:00,398.1
2024-09-30 00:00:00,371.0
2024-08-31 00:00:00,378.4
2024-07-31 00:00:00,381.9
2024-06-30 00:00:00,377.5
2024-05-31 00:00:00,384.2
2024-04-30 00:00:00,365.1
2024-03-31 00:00:00,366.3
2023-12-31 00:00:00,311.2
2023-11-30 00:00:00,278.1
2023-10-31 00:00:00,337.1
2023-09-30 00:00:00,345.2
2023-08-31 00:00:00,362.1
2023-07-31 00:00:00,371.6
2023-06-30 00:00:00,377.1
2023-05-31 00:00:00,395.1
2023-04-30 00:00:00,382.9
2023-03-31 00:00:00,373.9
2022-12-31 00:00:00,313.8
2022-11-30 00:00:00,297.5
2022-10-31 00:00:00,328.9
2022-09-30 00:00:00,346.8
2022-08-31 00:00:00,350.2
2022-07-31 00:00:00,360.6
2022-06-30 00:00:00,367.8
2022-05-31 00:00:00,390.1
2022-04-30 00:00:00,379.8
2022-03-31 00:00:00,347.8
2021-12-31 00:00:00,336.1
2021-11-30 00:00:00,293.4
2021-10-31 00:00:00,317.0
2021-09-30 00:00:00,346.7
2021-08-31 00:00:00,348.5
2021-07-31 00:00:00,351.4
2021-06-30 00:00:00,315.4
2021-05-31 00:00:00,326.5
2021-04-30 00:00:00,337.9
2021-03-31 00:00:00,340.7
2020-12-31 00:00:00,408.8
2020-11-30 00:00:00,431.0
2020-10-31 00:00:00,371.3
2020-09-30 00:00:00,380.1
2020-08-31 00:00:00,406.5
2020-07-31 00:00:00,398.0
2020-06-30 00:00:00,403.7
2020-05-31 00:00:00,419.7
2020-04-30 00:00:00,408.1
2020-03-31 00:00:00,396.2
2019-12-31 00:00:00,414.3
2019-11-30 00:00:00,389.5
2019-10-31 00:00:00,399.0
2019-09-30 00:00:00,398.0
2019-08-31 00:00:00,432.8
2019-07-31 00:00:00,420.3
2019-06-30 00:00:00,405.3
2019-05-31 00:00:00,422.8
2019-04-30 00:00:00,428.7
2019-03-31 00:00:00,418.2
2018-12-31 00:00:00,330.4
2018-11-30 00:00:00,299.4
2018-10-31 00:00:00,368.0
2018-09-30 00:00:00,388.1
2018-08-31 00:00:00,402.4
2018-07-31 00:00:00,385.7
2018-06-30 00:00:00,420.6
2018-05-31 00:00:00,430.1
2018-04-30 00:00:00,427.5
2018-03-31 00:00:00,385.2
2017-12-31 00:00:00,387.4
2017-11-30 00:00:00,351.1
2017-10-31 00:00:00,339.4
2017-09-30 00:00:00,378.8
2017-08-31 00:00:00,399.2
2017-07-31 00:00:00,396.8
2017-06-30 00:00:00,381.5
2017-05-31 00:00:00,422.3
2017-04-30 00:00:00,439.8
2017-03-31 00:00:00,421.9
2016-12-31 00:00:00,423.3
2016-11-30 00:00:00,410.4
2016-10-31 00:00:00,440.4
2016-09-30 00:00:00,421.8
2016-08-31 00:00:00,447.7
2016-07-31 00:00:00,418.8
2016-06-30 00:00:00,421.6
2016-05-31 00:00:00,459.1
2016-04-30 00:00:00,458.9
2016-03-31 00:00:00,456.74
2015-12-31 00:00:00,390.25
2015-11-30 00:00:00,416.01
2015-10-31 00:00:00,415.85
2015-09-30 00:00:00,394.98
2015-08-31 00:00:00,456.17
2015-07-31 00:00:00,477.55
2015-06-30 00:00:00,474.09
2015-05-31 00:00:00,488.72
2015-04-30 00:00:00,481.38
2015-03-31 00:00:00,492.26
2015-02-28 00:00:00,453.54
2015-01-31 00:00:00,508.1
2014-12-31 00:00:00,473.77
2014-11-30 00:00:00,394.08
2014-10-31 00:00:00,444.71
2014-09-30 00:00:00,458.84
2014-08-31 00:00:00,438.64
2014-07-31 00:00:00,482.5
2014-06-30 00:00:00,489.22
2014-05-31 00:00:00,491.06
2014-04-30 00:00:00,490.91
2014-03-31 00:00:00,490.91
2014-02-28 00:00:00,491.22
2014-01-31 00:00:00,463.57
2013-12-31 00:00:00,425.56
2013-11-30 00:00:00,432.88
2013-10-31 00:00:00,485.48
2013-09-30 00:00:00,516.74
2013-08-31 00:00:00,524.83
2013-07-31 00:00:00,568.57
2013-06-30 00:00:00,559.79
2013-05-31 00:00:00,601.24
2013-04-30 00:00:00,602.33
2013-03-31 00:00:00,587.99
2013-02-28 00:00:00,533.8
2013-01-31 00:00:00,544.2
2012-12-31 00:00:00,484.1
2012-11-30 00:00:00,519.35
2012-10-31 00:00:00,578.44
