指标名称,统计局：焦炭：产量：山西（月）
指标编码,CM0000049163
2025-11-30 00:00:00,839.2
2025-10-31 00:00:00,852.2
2025-09-30 00:00:00,867.4
2025-08-31 00:00:00,871.5
2025-07-31 00:00:00,843.1
2025-06-30 00:00:00,860.4
2025-05-31 00:00:00,862.2
2025-04-30 00:00:00,846.7
2025-03-31 00:00:00,843.7
2024-12-31 00:00:00,827.0
2024-11-30 00:00:00,798.3
2024-10-31 00:00:00,800.4
2024-09-30 00:00:00,789.9
2024-08-31 00:00:00,775.1
2024-07-31 00:00:00,794.7
2024-06-30 00:00:00,795.1
2024-05-31 00:00:00,776.0
2024-04-30 00:00:00,715.4
2024-03-31 00:00:00,673.1
2023-12-31 00:00:00,725.4
2023-11-30 00:00:00,716.6
2023-10-31 00:00:00,793.9
2023-09-30 00:00:00,834.0
2023-08-31 00:00:00,825.8
2023-07-31 00:00:00,830.0
2023-06-30 00:00:00,848.9
2023-05-31 00:00:00,811.2
2023-04-30 00:00:00,812.3
2023-03-31 00:00:00,825.5
2022-12-31 00:00:00,739.3
2022-11-30 00:00:00,735.9
2022-10-31 00:00:00,786.8
2022-09-30 00:00:00,849.6
2022-08-31 00:00:00,859.6
2022-07-31 00:00:00,811.6
2022-06-30 00:00:00,879.4
2022-05-31 00:00:00,884.8
2022-04-30 00:00:00,827.6
2022-03-31 00:00:00,817.7
2021-12-31 00:00:00,713.3
2021-11-30 00:00:00,686.9
2021-10-31 00:00:00,776.4
2021-09-30 00:00:00,826.2
2021-08-31 00:00:00,870.7
2021-07-31 00:00:00,851.4
2021-06-30 00:00:00,865.4
2021-05-31 00:00:00,863.3
2021-04-30 00:00:00,838.4
2021-03-31 00:00:00,851.7
2020-12-31 00:00:00,785.1
2020-11-30 00:00:00,821.4
2020-10-31 00:00:00,920.5
2020-09-30 00:00:00,960.0
2020-08-31 00:00:00,976.4
2020-07-31 00:00:00,963.2
2020-06-30 00:00:00,939.7
2020-05-31 00:00:00,910.3
2020-04-30 00:00:00,886.6
2020-03-31 00:00:00,837.7
2019-12-31 00:00:00,793.4
2019-11-30 00:00:00,782.1
2019-10-31 00:00:00,781.1
2019-09-30 00:00:00,800.2
2019-08-31 00:00:00,812.2
2019-07-31 00:00:00,833.1
2019-06-30 00:00:00,878.3
2019-05-31 00:00:00,859.2
2019-04-30 00:00:00,807.6
2019-03-31 00:00:00,752.1
2018-12-31 00:00:00,805.0
2018-11-30 00:00:00,763.8
2018-10-31 00:00:00,777.4
2018-09-30 00:00:00,780.2
2018-08-31 00:00:00,822.9
2018-07-31 00:00:00,819.1
2018-06-30 00:00:00,846.4
2018-05-31 00:00:00,799.1
2018-04-30 00:00:00,795.1
2018-03-31 00:00:00,703.2
2017-12-31 00:00:00,681.8
2017-11-30 00:00:00,645.1
2017-10-31 00:00:00,686.3
2017-09-30 00:00:00,763.5
2017-08-31 00:00:00,788.5
2017-07-31 00:00:00,744.2
2017-06-30 00:00:00,722.6
2017-05-31 00:00:00,663.7
2017-04-30 00:00:00,732.7
2017-03-31 00:00:00,670.2
2016-12-31 00:00:00,690.5
2016-11-30 00:00:00,740.4
2016-10-31 00:00:00,743.9
2016-09-30 00:00:00,751.4
2016-08-31 00:00:00,735.6
2016-07-31 00:00:00,683.7
2016-06-30 00:00:00,725.1
2016-05-31 00:00:00,707.2
2016-04-30 00:00:00,654.2
2016-03-31 00:00:00,611.59
2015-12-31 00:00:00,657.73
2015-11-30 00:00:00,650.91
2015-10-31 00:00:00,636.44
2015-09-30 00:00:00,652.94
2015-08-31 00:00:00,652.06
2015-07-31 00:00:00,688.22
2015-06-30 00:00:00,706.13
2015-05-31 00:00:00,685.5
2015-04-30 00:00:00,666.0
2015-03-31 00:00:00,667.88
