指标名称,统计局：焦炭：产量：内蒙古（月）
指标编码,CM0000049164
2025-11-30 00:00:00,429.6
2025-10-31 00:00:00,429.1
2025-09-30 00:00:00,421.8
2025-08-31 00:00:00,426.5
2025-07-31 00:00:00,425.0
2025-06-30 00:00:00,420.7
2025-05-31 00:00:00,441.9
2025-04-30 00:00:00,424.8
2025-03-31 00:00:00,426.9
2024-12-31 00:00:00,437.6
2024-11-30 00:00:00,443.4
2024-10-31 00:00:00,430.6
2024-09-30 00:00:00,398.0
2024-08-31 00:00:00,423.7
2024-07-31 00:00:00,442.1
2024-06-30 00:00:00,426.9
2024-05-31 00:00:00,418.1
2024-04-30 00:00:00,371.4
2024-03-31 00:00:00,388.1
2023-12-31 00:00:00,435.5
2023-11-30 00:00:00,422.6
2023-10-31 00:00:00,430.6
2023-09-30 00:00:00,442.8
2023-08-31 00:00:00,428.0
2023-07-31 00:00:00,396.1
2023-06-30 00:00:00,398.2
2023-05-31 00:00:00,437.9
2023-04-30 00:00:00,411.3
2023-03-31 00:00:00,453.5
2022-12-31 00:00:00,426.3
2022-11-30 00:00:00,392.6
2022-10-31 00:00:00,393.2
2022-09-30 00:00:00,398.5
2022-08-31 00:00:00,367.9
2022-07-31 00:00:00,341.5
2022-06-30 00:00:00,385.6
2022-05-31 00:00:00,401.1
2022-04-30 00:00:00,382.0
2022-03-31 00:00:00,389.6
2021-12-31 00:00:00,371.3
2021-11-30 00:00:00,358.3
2021-10-31 00:00:00,397.8
2021-09-30 00:00:00,410.6
2021-08-31 00:00:00,410.4
2021-07-31 00:00:00,397.7
2021-06-30 00:00:00,392.4
2021-05-31 00:00:00,376.9
2021-04-30 00:00:00,371.5
2021-03-31 00:00:00,346.3
2020-12-31 00:00:00,369.9
2020-11-30 00:00:00,375.4
2020-10-31 00:00:00,374.9
2020-09-30 00:00:00,375.1
2020-08-31 00:00:00,379.7
2020-07-31 00:00:00,355.8
2020-06-30 00:00:00,356.1
2020-05-31 00:00:00,332.5
2020-04-30 00:00:00,328.8
2020-03-31 00:00:00,291.3
2019-12-31 00:00:00,315.3
2019-11-30 00:00:00,331.4
2019-10-31 00:00:00,308.6
2019-09-30 00:00:00,318.2
2019-08-31 00:00:00,320.5
2019-07-31 00:00:00,307.9
2019-06-30 00:00:00,315.1
2019-05-31 00:00:00,303.9
2019-04-30 00:00:00,297.2
2019-03-31 00:00:00,300.4
2018-12-31 00:00:00,302.4
2018-11-30 00:00:00,320.8
2018-10-31 00:00:00,295.5
2018-09-30 00:00:00,307.7
2018-08-31 00:00:00,280.4
2018-07-31 00:00:00,260.1
2018-06-30 00:00:00,261.4
2018-05-31 00:00:00,305.1
2018-04-30 00:00:00,250.5
2018-03-31 00:00:00,250.1
2017-12-31 00:00:00,247.8
2017-11-30 00:00:00,272.5
2017-10-31 00:00:00,267.1
2017-09-30 00:00:00,309.1
2017-08-31 00:00:00,267.2
2017-07-31 00:00:00,265.3
2017-06-30 00:00:00,316.2
2017-05-31 00:00:00,274.2
2017-04-30 00:00:00,252.6
2017-03-31 00:00:00,252.6
2016-12-31 00:00:00,264.6
2016-11-30 00:00:00,253.8
2016-10-31 00:00:00,278.3
2016-09-30 00:00:00,250.4
2016-08-31 00:00:00,214.3
2016-07-31 00:00:00,202.6
2016-06-30 00:00:00,226.0
2016-05-31 00:00:00,239.6
2016-04-30 00:00:00,213.7
2016-03-31 00:00:00,229.94
2015-12-31 00:00:00,223.8
2015-11-30 00:00:00,249.56
2015-10-31 00:00:00,253.59
2015-09-30 00:00:00,255.4
2015-08-31 00:00:00,251.35
2015-07-31 00:00:00,258.41
2015-06-30 00:00:00,245.41
2015-05-31 00:00:00,235.88
2015-04-30 00:00:00,255.38
2015-03-31 00:00:00,256.12
2015-02-28 00:00:00,281.48
2015-01-31 00:00:00,270.8
2014-12-31 00:00:00,304.59
2014-11-30 00:00:00,295.4
2014-10-31 00:00:00,310.23
2014-09-30 00:00:00,303.92
2014-08-31 00:00:00,277.88
2014-07-31 00:00:00,275.72
2014-06-30 00:00:00,287.71
2014-05-31 00:00:00,280.91
2014-04-30 00:00:00,243.01
2014-03-31 00:00:00,271.48
2014-02-28 00:00:00,279.37
2014-01-31 00:00:00,257.29
2013-12-31 00:00:00,258.2
2013-11-30 00:00:00,243.24
2013-10-31 00:00:00,273.1
2013-09-30 00:00:00,267.86
2013-08-31 00:00:00,255.02
2013-07-31 00:00:00,241.92
2013-06-30 00:00:00,249.18
2013-05-31 00:00:00,252.83
2013-04-30 00:00:00,241.59
2013-03-31 00:00:00,255.12
2013-02-28 00:00:00,214.8
2013-01-31 00:00:00,241.8
2012-12-31 00:00:00,214.48
2012-11-30 00:00:00,187.07
2012-10-31 00:00:00,197.52
2012-09-30 00:00:00,205.72
2012-08-31 00:00:00,199.49
2012-07-31 00:00:00,219.63
2012-06-30 00:00:00,246.88
2012-05-31 00:00:00,249.79
2012-04-30 00:00:00,237.47
2012-03-31 00:00:00,211.92
2012-02-29 00:00:00,194.41
2012-01-31 00:00:00,186.1
2011-12-31 00:00:00,210.44
2011-11-30 00:00:00,256.9
2011-10-31 00:00:00,220.59
2011-09-30 00:00:00,208.11
2011-08-31 00:00:00,194.49
2011-07-31 00:00:00,180.83
2011-06-30 00:00:00,185.72
2011-05-31 00:00:00,193.53
2011-04-30 00:00:00,173.8
2011-03-31 00:00:00,176.41
2011-02-28 00:00:00,166.13
2011-01-31 00:00:00,275.8
2010-12-31 00:00:00,236.59
2010-11-30 00:00:00,224.04
2010-10-31 00:00:00,185.9
2010-09-30 00:00:00,172.0
2010-08-31 00:00:00,182.78
2010-07-31 00:00:00,177.49
2010-06-30 00:00:00,173.21
2010-05-31 00:00:00,158.71
2010-04-30 00:00:00,152.75
2010-03-31 00:00:00,162.74
2010-02-28 00:00:00,148.55
2010-01-31 00:00:00,139.6
2009-12-31 00:00:00,198.61
2009-11-30 00:00:00,169.63
2009-10-31 00:00:00,169.43
2009-09-30 00:00:00,154.96
2009-08-31 00:00:00,161.45
2009-07-31 00:00:00,148.78
2009-06-30 00:00:00,146.86
2009-05-31 00:00:00,145.54
2009-04-30 00:00:00,133.79
2009-03-31 00:00:00,140.36
2009-02-28 00:00:00,108.21
2009-01-31 00:00:00,156.77
