指标名称,统计局：焦炭：产量：辽宁（月）
指标编码,CM0000049165
2025-11-30 00:00:00,170.2
2025-10-31 00:00:00,180.2
2025-09-30 00:00:00,171.1
2025-08-31 00:00:00,169.3
2025-07-31 00:00:00,169.1
2025-06-30 00:00:00,166.9
2025-05-31 00:00:00,168.2
2025-04-30 00:00:00,159.5
2025-03-31 00:00:00,167.1
2024-12-31 00:00:00,160.8
2024-11-30 00:00:00,148.4
2024-10-31 00:00:00,150.6
2024-09-30 00:00:00,146.4
2024-08-31 00:00:00,156.9
2024-07-31 00:00:00,162.4
2024-06-30 00:00:00,161.4
2024-05-31 00:00:00,163.6
2024-04-30 00:00:00,159.6
2024-03-31 00:00:00,168.5
2023-12-31 00:00:00,161.9
2023-11-30 00:00:00,152.8
2023-10-31 00:00:00,158.1
2023-09-30 00:00:00,152.8
2023-08-31 00:00:00,173.1
2023-07-31 00:00:00,169.3
2023-06-30 00:00:00,173.5
2023-05-31 00:00:00,179.7
2023-04-30 00:00:00,190.3
2023-03-31 00:00:00,195.5
2022-12-31 00:00:00,185.9
2022-11-30 00:00:00,183.7
2022-10-31 00:00:00,189.2
2022-09-30 00:00:00,184.8
2022-08-31 00:00:00,178.1
2022-07-31 00:00:00,179.3
2022-06-30 00:00:00,180.7
2022-05-31 00:00:00,183.7
2022-04-30 00:00:00,182.7
2022-03-31 00:00:00,191.7
2021-12-31 00:00:00,191.2
2021-11-30 00:00:00,174.0
2021-10-31 00:00:00,178.9
2021-09-30 00:00:00,186.8
2021-08-31 00:00:00,198.8
2021-07-31 00:00:00,196.1
2021-06-30 00:00:00,194.8
2021-05-31 00:00:00,196.7
2021-04-30 00:00:00,192.0
2021-03-31 00:00:00,201.7
2020-12-31 00:00:00,193.1
2020-11-30 00:00:00,188.2
2020-10-31 00:00:00,195.4
2020-09-30 00:00:00,189.6
2020-08-31 00:00:00,200.2
2020-07-31 00:00:00,194.3
2020-06-30 00:00:00,185.2
2020-05-31 00:00:00,189.7
2020-04-30 00:00:00,183.7
2020-03-31 00:00:00,194.2
2019-12-31 00:00:00,193.8
2019-11-30 00:00:00,188.1
2019-10-31 00:00:00,192.1
2019-09-30 00:00:00,187.6
2019-08-31 00:00:00,188.9
2019-07-31 00:00:00,193.2
2019-06-30 00:00:00,187.3
2019-05-31 00:00:00,198.3
2019-04-30 00:00:00,188.0
2019-03-31 00:00:00,192.6
2018-12-31 00:00:00,194.0
2018-11-30 00:00:00,184.8
2018-10-31 00:00:00,195.5
2018-09-30 00:00:00,191.2
2018-08-31 00:00:00,186.1
2018-07-31 00:00:00,184.8
2018-06-30 00:00:00,178.9
2018-05-31 00:00:00,182.2
2018-04-30 00:00:00,180.3
2018-03-31 00:00:00,185.7
2017-12-31 00:00:00,188.2
2017-11-30 00:00:00,179.4
2017-10-31 00:00:00,190.8
2017-09-30 00:00:00,182.2
2017-08-31 00:00:00,188.0
2017-07-31 00:00:00,187.8
2017-06-30 00:00:00,181.1
2017-05-31 00:00:00,180.2
2017-04-30 00:00:00,185.8
2017-03-31 00:00:00,188.3
2016-12-31 00:00:00,182.2
2016-11-30 00:00:00,174.3
2016-10-31 00:00:00,183.2
2016-09-30 00:00:00,177.9
2016-08-31 00:00:00,181.1
2016-07-31 00:00:00,181.2
2016-06-30 00:00:00,178.2
2016-05-31 00:00:00,179.6
2016-04-30 00:00:00,172.5
2016-03-31 00:00:00,177.42
2015-12-31 00:00:00,175.25
2015-11-30 00:00:00,165.09
2015-10-31 00:00:00,177.29
2015-09-30 00:00:00,165.28
2015-08-31 00:00:00,167.83
2015-07-31 00:00:00,173.74
2015-06-30 00:00:00,171.15
2015-05-31 00:00:00,182.73
2015-04-30 00:00:00,176.79
2015-03-31 00:00:00,182.93
2015-02-28 00:00:00,174.83
