指标名称,统计局：焦炭：产量：吉林（月）
指标编码,CM0000049166
2025-11-30 00:00:00,48.0
2025-10-31 00:00:00,50.3
2025-09-30 00:00:00,49.1
2025-08-31 00:00:00,51.8
2025-07-31 00:00:00,50.3
2025-06-30 00:00:00,47.7
2025-05-31 00:00:00,43.8
2025-04-30 00:00:00,41.5
2025-03-31 00:00:00,38.1
2024-12-31 00:00:00,41.7
2024-11-30 00:00:00,37.9
2024-10-31 00:00:00,36.5
2024-09-30 00:00:00,31.8
2024-08-31 00:00:00,39.3
2024-07-31 00:00:00,42.3
2024-06-30 00:00:00,40.1
2024-05-31 00:00:00,34.3
2024-04-30 00:00:00,31.4
2024-03-31 00:00:00,38.8
2023-12-31 00:00:00,51.7
2023-11-30 00:00:00,44.1
2023-10-31 00:00:00,46.3
2023-09-30 00:00:00,46.9
2023-08-31 00:00:00,45.6
2023-07-31 00:00:00,43.0
2023-06-30 00:00:00,52.7
2023-05-31 00:00:00,38.5
2023-04-30 00:00:00,38.5
2023-03-31 00:00:00,33.3
2022-12-31 00:00:00,27.4
2022-11-30 00:00:00,28.1
2022-10-31 00:00:00,27.6
2022-09-30 00:00:00,35.4
2022-08-31 00:00:00,30.5
2022-07-31 00:00:00,24.2
2022-06-30 00:00:00,29.3
2022-05-31 00:00:00,34.4
2022-04-30 00:00:00,34.5
2022-03-31 00:00:00,34.4
2021-12-31 00:00:00,33.7
2021-11-30 00:00:00,31.8
2021-10-31 00:00:00,33.2
2021-09-30 00:00:00,31.6
2021-08-31 00:00:00,35.7
2021-07-31 00:00:00,29.7
2021-06-30 00:00:00,28.3
2021-05-31 00:00:00,32.0
2021-04-30 00:00:00,37.0
2021-03-31 00:00:00,36.4
2020-12-31 00:00:00,31.6
2020-11-30 00:00:00,31.1
2020-10-31 00:00:00,32.4
2020-09-30 00:00:00,30.7
2020-08-31 00:00:00,31.8
2020-07-31 00:00:00,31.9
2020-06-30 00:00:00,30.7
2020-05-31 00:00:00,29.5
2020-04-30 00:00:00,27.4
