指标名称,统计局：焦炭：产量：黑龙江（月）
指标编码,CM0000049167
2025-11-30 00:00:00,56.7
2025-10-31 00:00:00,51.0
2025-09-30 00:00:00,53.6
2025-08-31 00:00:00,55.2
2025-07-31 00:00:00,56.2
2025-06-30 00:00:00,48.3
2025-05-31 00:00:00,53.2
2025-04-30 00:00:00,54.1
2025-03-31 00:00:00,49.1
2024-12-31 00:00:00,54.9
2024-11-30 00:00:00,54.1
2024-10-31 00:00:00,55.3
2024-09-30 00:00:00,43.0
2024-08-31 00:00:00,50.0
2024-07-31 00:00:00,57.2
2024-06-30 00:00:00,60.4
2024-05-31 00:00:00,57.7
2024-04-30 00:00:00,45.3
2024-03-31 00:00:00,52.2
2023-12-31 00:00:00,80.9
2023-11-30 00:00:00,77.1
2023-10-31 00:00:00,79.5
2023-09-30 00:00:00,78.0
2023-08-31 00:00:00,79.2
2023-07-31 00:00:00,64.6
2023-06-30 00:00:00,63.8
2023-05-31 00:00:00,63.2
2023-04-30 00:00:00,73.0
2023-03-31 00:00:00,72.6
2022-12-31 00:00:00,88.4
2022-11-30 00:00:00,85.8
2022-10-31 00:00:00,85.5
2022-09-30 00:00:00,93.9
2022-08-31 00:00:00,83.2
2022-07-31 00:00:00,88.4
2022-06-30 00:00:00,103.6
2022-05-31 00:00:00,99.7
2022-04-30 00:00:00,94.9
2022-03-31 00:00:00,99.9
2021-12-31 00:00:00,88.4
2021-11-30 00:00:00,91.4
2021-10-31 00:00:00,94.0
2021-09-30 00:00:00,109.6
2021-08-31 00:00:00,103.6
2021-07-31 00:00:00,98.1
2021-06-30 00:00:00,112.1
2021-05-31 00:00:00,112.5
2021-04-30 00:00:00,96.8
2021-03-31 00:00:00,105.7
2020-12-31 00:00:00,108.7
2020-11-30 00:00:00,103.7
2020-10-31 00:00:00,99.3
2020-09-30 00:00:00,91.6
2020-08-31 00:00:00,95.3
2020-07-31 00:00:00,85.4
2020-06-30 00:00:00,88.8
2020-05-31 00:00:00,82.2
2020-04-30 00:00:00,76.3
2020-03-31 00:00:00,73.7
2019-12-31 00:00:00,90.0
2019-11-30 00:00:00,87.3
2019-10-31 00:00:00,84.0
2019-09-30 00:00:00,89.0
2019-08-31 00:00:00,87.0
2019-07-31 00:00:00,83.9
2019-06-30 00:00:00,85.9
2019-05-31 00:00:00,85.5
2019-04-30 00:00:00,70.8
2019-03-31 00:00:00,80.6
2018-12-31 00:00:00,80.3
2018-11-30 00:00:00,83.7
2018-10-31 00:00:00,75.6
2018-09-30 00:00:00,73.1
2018-08-31 00:00:00,72.9
2018-07-31 00:00:00,70.6
2018-06-30 00:00:00,67.3
2018-05-31 00:00:00,65.7
