指标名称,统计局：焦炭：产量：江苏（月）
指标编码,CM0000049169
2025-11-30 00:00:00,142.0
2025-10-31 00:00:00,138.3
2025-09-30 00:00:00,148.0
2025-08-31 00:00:00,153.3
2025-07-31 00:00:00,151.8
2025-06-30 00:00:00,155.6
2025-05-31 00:00:00,159.6
2025-04-30 00:00:00,163.4
2025-03-31 00:00:00,143.0
2024-12-31 00:00:00,138.4
2024-11-30 00:00:00,142.6
2024-10-31 00:00:00,148.1
2024-09-30 00:00:00,144.4
2024-08-31 00:00:00,153.0
2024-07-31 00:00:00,158.0
2024-06-30 00:00:00,157.9
2024-05-31 00:00:00,159.9
2024-04-30 00:00:00,152.9
2024-03-31 00:00:00,162.8
2023-12-31 00:00:00,149.6
2023-11-30 00:00:00,148.5
2023-10-31 00:00:00,159.8
2023-09-30 00:00:00,160.6
2023-08-31 00:00:00,168.6
2023-07-31 00:00:00,165.1
2023-06-30 00:00:00,156.4
2023-05-31 00:00:00,156.9
2023-04-30 00:00:00,152.0
2023-03-31 00:00:00,148.0
2022-12-31 00:00:00,137.6
2022-11-30 00:00:00,131.1
2022-10-31 00:00:00,135.3
2022-09-30 00:00:00,133.4
2022-08-31 00:00:00,136.0
2022-07-31 00:00:00,134.2
2022-06-30 00:00:00,127.9
2022-05-31 00:00:00,117.6
2022-04-30 00:00:00,110.9
2022-03-31 00:00:00,133.1
2021-12-31 00:00:00,123.4
2021-11-30 00:00:00,118.9
2021-10-31 00:00:00,117.0
2021-09-30 00:00:00,98.3
2021-08-31 00:00:00,111.3
2021-07-31 00:00:00,113.6
2021-06-30 00:00:00,121.9
2021-05-31 00:00:00,125.6
2021-04-30 00:00:00,126.5
2021-03-31 00:00:00,124.1
2020-12-31 00:00:00,126.2
2020-11-30 00:00:00,124.4
2020-10-31 00:00:00,119.0
2020-09-30 00:00:00,117.9
2020-08-31 00:00:00,113.4
2020-07-31 00:00:00,108.6
2020-06-30 00:00:00,102.5
2020-05-31 00:00:00,104.9
2020-04-30 00:00:00,103.9
2020-03-31 00:00:00,102.9
2019-12-31 00:00:00,127.9
2019-11-30 00:00:00,130.0
2019-10-31 00:00:00,114.0
2019-09-30 00:00:00,97.7
2019-08-31 00:00:00,106.0
2019-07-31 00:00:00,129.7
2019-06-30 00:00:00,144.6
2019-05-31 00:00:00,150.6
2019-04-30 00:00:00,150.8
2019-03-31 00:00:00,153.2
2018-12-31 00:00:00,110.1
2018-11-30 00:00:00,128.1
2018-10-31 00:00:00,143.8
2018-09-30 00:00:00,114.8
2018-08-31 00:00:00,134.0
2018-07-31 00:00:00,87.6
2018-06-30 00:00:00,95.4
2018-05-31 00:00:00,93.5
2018-04-30 00:00:00,130.1
2018-03-31 00:00:00,156.1
2017-12-31 00:00:00,154.2
2017-11-30 00:00:00,167.8
2017-10-31 00:00:00,162.3
2017-09-30 00:00:00,164.5
2017-08-31 00:00:00,160.3
2017-07-31 00:00:00,176.8
2017-06-30 00:00:00,181.7
2017-05-31 00:00:00,174.2
2017-04-30 00:00:00,180.1
2017-03-31 00:00:00,184.2
2016-12-31 00:00:00,220.6
2016-11-30 00:00:00,236.5
2016-10-31 00:00:00,232.1
2016-09-30 00:00:00,218.3
2016-08-31 00:00:00,215.5
2016-07-31 00:00:00,210.6
2016-06-30 00:00:00,214.2
2016-05-31 00:00:00,205.7
2016-04-30 00:00:00,199.5
2016-03-31 00:00:00,199.85
2015-12-31 00:00:00,206.51
2015-11-30 00:00:00,223.87
2015-10-31 00:00:00,214.37
2015-09-30 00:00:00,208.86
2015-08-31 00:00:00,208.23
2015-07-31 00:00:00,199.39
2015-06-30 00:00:00,205.85
2015-05-31 00:00:00,196.22
2015-04-30 00:00:00,189.99
2015-03-31 00:00:00,191.46
2015-02-28 00:00:00,189.98
2015-01-31 00:00:00,198.6
2014-12-31 00:00:00,211.18
2014-11-30 00:00:00,207.18
2014-10-31 00:00:00,204.54
2014-09-30 00:00:00,201.84
2014-08-31 00:00:00,205.42
2014-07-31 00:00:00,215.02
2014-06-30 00:00:00,213.34
2014-05-31 00:00:00,201.17
2014-04-30 00:00:00,194.39
2014-03-31 00:00:00,180.99
2014-02-28 00:00:00,169.33
2014-01-31 00:00:00,191.29
2013-12-31 00:00:00,191.16
2013-11-30 00:00:00,188.41
2013-10-31 00:00:00,195.54
2013-09-30 00:00:00,199.24
2013-08-31 00:00:00,189.92
2013-07-31 00:00:00,193.01
2013-06-30 00:00:00,185.97
2013-05-31 00:00:00,192.43
2013-04-30 00:00:00,206.32
2013-03-31 00:00:00,175.75
2013-02-28 00:00:00,149.2
2013-01-31 00:00:00,165.1
2012-12-31 00:00:00,181.26
2012-11-30 00:00:00,175.73
2012-10-31 00:00:00,177.27
2012-09-30 00:00:00,165.74
2012-08-31 00:00:00,204.74
2012-07-31 00:00:00,176.64
2012-06-30 00:00:00,179.6
2012-05-31 00:00:00,147.17
2012-04-30 00:00:00,135.03
2012-03-31 00:00:00,163.51
2012-02-29 00:00:00,135.37
2012-01-31 00:00:00,150.1
2011-12-31 00:00:00,157.92
2011-11-30 00:00:00,152.41
2011-10-31 00:00:00,148.72
2011-09-30 00:00:00,142.67
2011-08-31 00:00:00,138.16
2011-07-31 00:00:00,135.64
2011-06-30 00:00:00,140.6
2011-05-31 00:00:00,143.76
2011-04-30 00:00:00,131.18
2011-03-31 00:00:00,146.58
2011-02-28 00:00:00,117.47
2011-01-31 00:00:00,240.9
2010-12-31 00:00:00,120.09
2010-11-30 00:00:00,99.29
2010-10-31 00:00:00,106.56
2010-09-30 00:00:00,117.19
2010-08-31 00:00:00,115.16
2010-07-31 00:00:00,118.43
2010-06-30 00:00:00,132.83
2010-05-31 00:00:00,125.12
2010-04-30 00:00:00,114.0
2010-03-31 00:00:00,132.18
2010-02-28 00:00:00,114.75
2010-01-31 00:00:00,89.6
2009-12-31 00:00:00,116.2
2009-11-30 00:00:00,108.27
2009-10-31 00:00:00,101.94
2009-09-30 00:00:00,114.45
2009-08-31 00:00:00,92.47
2009-07-31 00:00:00,96.58
2009-06-30 00:00:00,101.46
