指标名称,统计局：焦炭：产量：福建（月）
指标编码,CM0000049172
2025-11-30 00:00:00,25.0
2025-10-31 00:00:00,26.7
2025-09-30 00:00:00,26.4
2025-08-31 00:00:00,26.4
2025-07-31 00:00:00,25.4
2025-06-30 00:00:00,25.5
2025-05-31 00:00:00,27.0
2025-04-30 00:00:00,25.3
2025-03-31 00:00:00,25.9
2024-12-31 00:00:00,26.2
2024-11-30 00:00:00,25.0
2024-10-31 00:00:00,25.7
2024-09-30 00:00:00,23.0
2024-08-31 00:00:00,23.8
2024-07-31 00:00:00,23.4
2024-06-30 00:00:00,23.8
2024-05-31 00:00:00,24.6
2024-04-30 00:00:00,22.6
2024-03-31 00:00:00,23.8
2023-12-31 00:00:00,25.7
2023-11-30 00:00:00,24.5
2023-10-31 00:00:00,23.5
2023-09-30 00:00:00,22.1
2023-08-31 00:00:00,22.1
2023-07-31 00:00:00,20.1
2023-06-30 00:00:00,19.8
2023-05-31 00:00:00,16.9
2023-04-30 00:00:00,18.0
2023-03-31 00:00:00,18.1
2022-12-31 00:00:00,17.7
2022-11-30 00:00:00,17.1
2022-10-31 00:00:00,19.0
2022-09-30 00:00:00,18.8
2022-08-31 00:00:00,18.7
2022-07-31 00:00:00,18.1
2022-06-30 00:00:00,18.4
2022-05-31 00:00:00,19.8
2022-04-30 00:00:00,18.5
2022-03-31 00:00:00,21.8
2021-12-31 00:00:00,17.4
2021-11-30 00:00:00,19.0
2021-10-31 00:00:00,20.2
2021-09-30 00:00:00,18.3
2021-08-31 00:00:00,19.9
2021-07-31 00:00:00,19.4
2021-06-30 00:00:00,18.2
2021-05-31 00:00:00,18.6
2021-04-30 00:00:00,18.1
2021-03-31 00:00:00,19.1
2020-12-31 00:00:00,18.8
2020-11-30 00:00:00,17.6
2020-10-31 00:00:00,19.6
2020-09-30 00:00:00,18.6
2020-08-31 00:00:00,18.6
2020-07-31 00:00:00,18.8
2020-06-30 00:00:00,18.1
2020-05-31 00:00:00,18.9
2020-04-30 00:00:00,19.2
2020-03-31 00:00:00,19.7
2019-12-31 00:00:00,16.6
2019-11-30 00:00:00,15.8
2019-10-31 00:00:00,22.9
2019-09-30 00:00:00,17.1
2019-08-31 00:00:00,18.2
2019-07-31 00:00:00,18.0
2019-06-30 00:00:00,19.1
2019-05-31 00:00:00,15.6
2019-04-30 00:00:00,15.2
2019-03-31 00:00:00,15.1
2018-12-31 00:00:00,15.3
2018-11-30 00:00:00,15.4
2018-10-31 00:00:00,15.1
2018-09-30 00:00:00,13.7
2018-08-31 00:00:00,14.8
2018-07-31 00:00:00,14.7
2018-06-30 00:00:00,15.0
2018-05-31 00:00:00,13.6
2018-04-30 00:00:00,14.7
2018-03-31 00:00:00,14.2
2017-12-31 00:00:00,15.0
2017-11-30 00:00:00,14.6
2017-10-31 00:00:00,14.3
2017-09-30 00:00:00,15.1
2017-08-31 00:00:00,14.2
2017-07-31 00:00:00,13.0
2017-06-30 00:00:00,13.2
2017-05-31 00:00:00,10.6
2017-04-30 00:00:00,12.2
2017-03-31 00:00:00,12.2
2016-12-31 00:00:00,11.4
2016-11-30 00:00:00,11.5
2016-10-31 00:00:00,12.1
2016-09-30 00:00:00,11.7
2016-08-31 00:00:00,10.9
2016-07-31 00:00:00,10.6
2016-06-30 00:00:00,10.7
2016-05-31 00:00:00,11.0
2016-04-30 00:00:00,10.5
2016-03-31 00:00:00,9.89
2015-12-31 00:00:00,15.36
2015-11-30 00:00:00,15.05
2015-10-31 00:00:00,15.31
2015-09-30 00:00:00,11.51
2015-08-31 00:00:00,12.23
2015-07-31 00:00:00,12.52
2015-06-30 00:00:00,13.5
2015-05-31 00:00:00,12.49
2015-04-30 00:00:00,11.46
2015-03-31 00:00:00,11.61
2015-02-28 00:00:00,10.16
2015-01-31 00:00:00,11.0
2014-12-31 00:00:00,12.11
2014-11-30 00:00:00,14.52
2014-10-31 00:00:00,15.64
2014-09-30 00:00:00,15.7
2014-08-31 00:00:00,15.51
2014-07-31 00:00:00,14.58
2014-06-30 00:00:00,20.95
2014-05-31 00:00:00,20.34
2014-04-30 00:00:00,19.07
2014-03-31 00:00:00,18.76
2014-02-28 00:00:00,13.76
2014-01-31 00:00:00,14.55
2013-12-31 00:00:00,14.56
2013-11-30 00:00:00,14.37
2013-10-31 00:00:00,14.6
2013-09-30 00:00:00,14.28
2013-08-31 00:00:00,14.12
2013-07-31 00:00:00,14.77
2013-06-30 00:00:00,14.18
2013-05-31 00:00:00,14.17
2013-04-30 00:00:00,12.26
2013-03-31 00:00:00,13.14
2013-02-28 00:00:00,12.8
2013-01-31 00:00:00,13.5
2012-12-31 00:00:00,13.94
2012-11-30 00:00:00,18.39
2012-10-31 00:00:00,19.93
2012-09-30 00:00:00,18.67
2012-08-31 00:00:00,13.07
2012-07-31 00:00:00,18.11
2012-06-30 00:00:00,18.59
2012-05-31 00:00:00,13.73
2012-04-30 00:00:00,13.14
2012-03-31 00:00:00,15.92
2012-02-29 00:00:00,13.19
2012-01-31 00:00:00,13.9
2011-12-31 00:00:00,13.05
2011-11-30 00:00:00,12.77
2011-10-31 00:00:00,13.23
2011-09-30 00:00:00,12.93
2011-08-31 00:00:00,13.0
2011-07-31 00:00:00,12.91
2011-06-30 00:00:00,12.22
2011-05-31 00:00:00,12.11
2011-04-30 00:00:00,11.21
2011-03-31 00:00:00,11.12
2011-02-28 00:00:00,10.45
2011-01-31 00:00:00,15.6
2010-12-31 00:00:00,10.87
2010-11-30 00:00:00,12.31
2010-10-31 00:00:00,11.54
2010-09-30 00:00:00,12.51
2010-08-31 00:00:00,12.9
2010-07-31 00:00:00,12.01
2010-06-30 00:00:00,11.43
2010-05-31 00:00:00,11.56
2010-04-30 00:00:00,11.9
2010-03-31 00:00:00,13.9
2010-02-28 00:00:00,10.3
2010-01-31 00:00:00,11.3
2009-12-31 00:00:00,11.13
2009-11-30 00:00:00,9.87
2009-10-31 00:00:00,8.96
2009-09-30 00:00:00,8.59
2009-08-31 00:00:00,8.88
2009-07-31 00:00:00,9.33
2009-06-30 00:00:00,8.82
2009-05-31 00:00:00,9.31
2009-04-30 00:00:00,10.27
2009-03-31 00:00:00,11.38
2009-02-28 00:00:00,10.75
2009-01-31 00:00:00,10.64
2008-12-31 00:00:00,11.41
2008-11-30 00:00:00,9.04
2008-10-31 00:00:00,6.95
2008-09-30 00:00:00,7.46
2008-08-31 00:00:00,7.64
2008-07-31 00:00:00,7.6
2008-06-30 00:00:00,7.41
2008-05-31 00:00:00,7.81
2008-04-30 00:00:00,7.5
2008-03-31 00:00:00,7.76
2008-02-29 00:00:00,7.18
2008-01-31 00:00:00,11.98
2007-12-31 00:00:00,7.56
2007-11-30 00:00:00,7.43
2007-10-31 00:00:00,7.91
2007-09-30 00:00:00,7.52
2007-08-31 00:00:00,7.7
2007-07-31 00:00:00,7.73
2007-06-30 00:00:00,7.5
2007-05-31 00:00:00,7.79
2007-04-30 00:00:00,7.5
2007-03-31 00:00:00,7.82
2007-02-28 00:00:00,6.97
2007-01-31 00:00:00,7.46
2006-12-31 00:00:00,7.57
2006-11-30 00:00:00,7.44
2006-10-31 00:00:00,7.74
2006-09-30 00:00:00,7.48
2006-08-31 00:00:00,8.07
2006-07-31 00:00:00,7.81
2006-06-30 00:00:00,7.46
2006-05-31 00:00:00,7.68
2006-04-30 00:00:00,7.6
2006-03-31 00:00:00,7.64
2006-02-28 00:00:00,6.93
2006-01-31 00:00:00,7.7
2005-12-31 00:00:00,7.65
2005-11-30 00:00:00,7.44
2005-10-31 00:00:00,7.76
2005-09-30 00:00:00,7.43
2005-08-31 00:00:00,7.67
2005-07-31 00:00:00,7.82
2005-06-30 00:00:00,7.48
2005-05-31 00:00:00,7.63
2005-04-30 00:00:00,7.39
2005-03-31 00:00:00,7.84
2005-02-28 00:00:00,7.03
2005-01-31 00:00:00,7.8
2004-12-31 00:00:00,7.67
2004-11-30 00:00:00,7.45
2004-10-31 00:00:00,7.75
2004-09-30 00:00:00,7.52
2004-08-31 00:00:00,7.15
2004-07-31 00:00:00,5.43
2004-06-30 00:00:00,3.95
2004-05-31 00:00:00,4.14
2004-04-30 00:00:00,4.0
2004-03-31 00:00:00,4.14
2004-02-29 00:00:00,3.93
2004-01-31 00:00:00,4.2
2003-12-31 00:00:00,4.22
2003-11-30 00:00:00,4.04
2003-10-31 00:00:00,4.15
2003-09-30 00:00:00,4.01
2003-08-31 00:00:00,4.11
2003-07-31 00:00:00,4.12
2003-06-30 00:00:00,4.16
2003-05-31 00:00:00,4.2
2003-04-30 00:00:00,4.1
2003-03-31 00:00:00,4.22
2003-02-28 00:00:00,7.77
2003-01-31 00:00:00,3.96
2002-12-31 00:00:00,3.96
2002-11-30 00:00:00,3.76
2002-10-31 00:00:00,3.91
2002-09-30 00:00:00,3.86
2002-08-31 00:00:00,3.92
2002-07-31 00:00:00,3.94
2002-06-30 00:00:00,3.71
2002-05-31 00:00:00,3.88
2002-04-30 00:00:00,3.75
2002-03-31 00:00:00,3.8
2002-02-28 00:00:00,3.44
2002-01-31 00:00:00,3.83
2001-12-31 00:00:00,3.77
2001-11-30 00:00:00,3.67
2001-10-31 00:00:00,3.88
2001-07-31 00:00:00,3.79
2001-05-31 00:00:00,3.85
2001-04-30 00:00:00,3.68
2001-03-31 00:00:00,3.79
2001-02-28 00:00:00,3.38
2001-01-31 00:00:00,3.75
2000-12-31 00:00:00,3.75
2000-11-30 00:00:00,3.68
2000-10-31 00:00:00,3.82
2000-07-31 00:00:00,3.79
