指标名称,统计局：焦炭：产量：江西（月）
指标编码,CM0000049173
2025-11-30 00:00:00,57.1
2025-10-31 00:00:00,58.6
2025-09-30 00:00:00,58.6
2025-08-31 00:00:00,60.7
2025-07-31 00:00:00,60.0
2025-06-30 00:00:00,56.6
2025-05-31 00:00:00,58.9
2025-04-30 00:00:00,55.4
2025-03-31 00:00:00,56.0
2024-12-31 00:00:00,57.3
2024-11-30 00:00:00,54.8
2024-10-31 00:00:00,54.9
2024-09-30 00:00:00,53.5
2024-08-31 00:00:00,56.8
2024-07-31 00:00:00,57.2
2024-06-30 00:00:00,56.4
2024-05-31 00:00:00,56.1
2024-04-30 00:00:00,54.1
2024-03-31 00:00:00,55.7
2023-12-31 00:00:00,62.1
2023-11-30 00:00:00,53.1
2023-10-31 00:00:00,53.6
2023-09-30 00:00:00,52.2
2023-08-31 00:00:00,54.3
2023-07-31 00:00:00,52.1
2023-06-30 00:00:00,51.3
2023-05-31 00:00:00,53.2
2023-04-30 00:00:00,50.9
2023-03-31 00:00:00,50.1
2022-12-31 00:00:00,57.6
2022-11-30 00:00:00,51.3
2022-10-31 00:00:00,53.3
2022-09-30 00:00:00,53.4
2022-08-31 00:00:00,52.5
2022-07-31 00:00:00,53.6
2022-06-30 00:00:00,55.3
2022-05-31 00:00:00,57.1
2022-04-30 00:00:00,55.4
2022-03-31 00:00:00,56.4
2021-12-31 00:00:00,54.8
2021-11-30 00:00:00,62.7
2021-10-31 00:00:00,59.2
2021-09-30 00:00:00,58.4
2021-08-31 00:00:00,59.2
2021-07-31 00:00:00,59.3
2021-06-30 00:00:00,58.6
2021-05-31 00:00:00,57.9
2021-04-30 00:00:00,54.9
2021-03-31 00:00:00,57.6
2020-12-31 00:00:00,61.9
2020-11-30 00:00:00,60.2
2020-10-31 00:00:00,60.2
2020-09-30 00:00:00,58.0
2020-08-31 00:00:00,58.7
2020-07-31 00:00:00,57.2
2020-06-30 00:00:00,56.8
2020-05-31 00:00:00,56.7
2020-04-30 00:00:00,55.8
2020-03-31 00:00:00,60.4
2019-12-31 00:00:00,58.5
2019-11-30 00:00:00,55.2
2019-10-31 00:00:00,57.1
2019-09-30 00:00:00,56.5
2019-08-31 00:00:00,56.4
2019-07-31 00:00:00,56.4
2019-06-30 00:00:00,55.4
2019-05-31 00:00:00,55.2
2019-04-30 00:00:00,54.5
2019-03-31 00:00:00,58.3
2018-12-31 00:00:00,52.0
2018-11-30 00:00:00,48.9
2018-10-31 00:00:00,50.5
2018-09-30 00:00:00,48.3
2018-08-31 00:00:00,49.0
2018-07-31 00:00:00,46.6
2018-06-30 00:00:00,45.0
2018-05-31 00:00:00,47.2
2018-04-30 00:00:00,46.9
2018-03-31 00:00:00,47.7
2017-12-31 00:00:00,49.9
2017-11-30 00:00:00,49.4
2017-10-31 00:00:00,51.3
2017-09-30 00:00:00,60.2
2017-08-31 00:00:00,60.2
2017-07-31 00:00:00,59.6
2017-06-30 00:00:00,62.8
2017-05-31 00:00:00,65.4
2017-04-30 00:00:00,65.8
2017-03-31 00:00:00,69.0
2016-12-31 00:00:00,63.6
