指标名称,统计局：焦炭：产量：山东（月）
指标编码,CM0000049174
2025-11-30 00:00:00,243.8
2025-10-31 00:00:00,260.0
2025-09-30 00:00:00,252.1
2025-08-31 00:00:00,259.4
2025-07-31 00:00:00,252.2
2025-06-30 00:00:00,240.6
2025-05-31 00:00:00,258.4
2025-04-30 00:00:00,255.6
2025-03-31 00:00:00,245.5
2024-12-31 00:00:00,252.8
2024-11-30 00:00:00,250.0
2024-10-31 00:00:00,251.8
2024-09-30 00:00:00,238.3
2024-08-31 00:00:00,252.6
2024-07-31 00:00:00,258.7
2024-06-30 00:00:00,254.9
2024-05-31 00:00:00,261.0
2024-04-30 00:00:00,246.5
2024-03-31 00:00:00,253.3
2023-12-31 00:00:00,250.1
2023-11-30 00:00:00,245.6
2023-10-31 00:00:00,253.7
2023-09-30 00:00:00,246.6
2023-08-31 00:00:00,261.2
2023-07-31 00:00:00,262.2
2023-06-30 00:00:00,264.1
2023-05-31 00:00:00,265.9
2023-04-30 00:00:00,258.2
2023-03-31 00:00:00,265.9
2022-12-31 00:00:00,262.4
2022-11-30 00:00:00,238.9
2022-10-31 00:00:00,240.8
2022-09-30 00:00:00,234.3
2022-08-31 00:00:00,236.8
2022-07-31 00:00:00,242.8
2022-06-30 00:00:00,266.1
2022-05-31 00:00:00,252.5
2022-04-30 00:00:00,250.7
2022-03-31 00:00:00,248.5
2021-12-31 00:00:00,176.1
2021-11-30 00:00:00,174.4
2021-10-31 00:00:00,182.4
2021-09-30 00:00:00,188.2
2021-08-31 00:00:00,256.8
2021-07-31 00:00:00,211.9
2021-06-30 00:00:00,223.1
2021-05-31 00:00:00,250.8
2021-04-30 00:00:00,280.1
2021-03-31 00:00:00,274.9
2020-12-31 00:00:00,249.6
2020-11-30 00:00:00,247.2
2020-10-31 00:00:00,231.2
2020-09-30 00:00:00,228.9
2020-08-31 00:00:00,237.7
2020-07-31 00:00:00,233.9
2020-06-30 00:00:00,248.6
2020-05-31 00:00:00,260.4
2020-04-30 00:00:00,292.8
2020-03-31 00:00:00,305.6
2019-12-31 00:00:00,383.4
2019-11-30 00:00:00,416.2
2019-10-31 00:00:00,406.2
2019-09-30 00:00:00,413.4
2019-08-31 00:00:00,423.7
2019-07-31 00:00:00,415.8
2019-06-30 00:00:00,421.5
2019-05-31 00:00:00,410.3
2019-04-30 00:00:00,425.2
2019-03-31 00:00:00,394.5
2018-12-31 00:00:00,378.5
2018-11-30 00:00:00,298.8
2018-10-31 00:00:00,301.8
2018-09-30 00:00:00,321.2
2018-08-31 00:00:00,302.3
2018-07-31 00:00:00,301.5
2018-06-30 00:00:00,321.5
2018-05-31 00:00:00,319.3
2018-04-30 00:00:00,320.3
2018-03-31 00:00:00,297.0
2017-12-31 00:00:00,278.8
2017-11-30 00:00:00,228.3
2017-10-31 00:00:00,237.1
2017-09-30 00:00:00,306.0
2017-08-31 00:00:00,315.9
2017-07-31 00:00:00,347.2
2017-06-30 00:00:00,370.7
2017-05-31 00:00:00,367.0
2017-04-30 00:00:00,384.6
2017-03-31 00:00:00,363.1
2016-12-31 00:00:00,371.9
2016-11-30 00:00:00,384.9
2016-10-31 00:00:00,371.1
2016-09-30 00:00:00,376.5
2016-08-31 00:00:00,378.7
2016-07-31 00:00:00,357.7
2016-06-30 00:00:00,365.5
2016-05-31 00:00:00,371.7
