指标名称,统计局：焦炭：产量：河南（月）
指标编码,CM0000049175
2025-11-30 00:00:00,148.8
2025-10-31 00:00:00,163.9
2025-09-30 00:00:00,191.8
2025-08-31 00:00:00,195.2
2025-07-31 00:00:00,189.9
2025-06-30 00:00:00,191.7
2025-05-31 00:00:00,194.7
2025-04-30 00:00:00,189.2
2025-03-31 00:00:00,179.5
2024-12-31 00:00:00,186.8
2024-11-30 00:00:00,181.3
2024-10-31 00:00:00,185.5
2024-09-30 00:00:00,190.9
2024-08-31 00:00:00,205.4
2024-07-31 00:00:00,202.4
2024-06-30 00:00:00,201.7
2024-05-31 00:00:00,205.5
2024-04-30 00:00:00,189.8
2024-03-31 00:00:00,189.8
2023-12-31 00:00:00,186.5
2023-11-30 00:00:00,192.2
2023-10-31 00:00:00,195.2
2023-09-30 00:00:00,199.3
2023-08-31 00:00:00,192.2
2023-07-31 00:00:00,185.0
2023-06-30 00:00:00,180.2
2023-05-31 00:00:00,185.0
2023-04-30 00:00:00,184.2
2023-03-31 00:00:00,173.0
2022-12-31 00:00:00,165.6
2022-11-30 00:00:00,166.1
2022-10-31 00:00:00,169.5
2022-09-30 00:00:00,176.3
2022-08-31 00:00:00,164.0
2022-07-31 00:00:00,171.0
2022-06-30 00:00:00,173.3
2022-05-31 00:00:00,176.1
2022-04-30 00:00:00,145.5
2022-03-31 00:00:00,134.6
2021-12-31 00:00:00,129.3
2021-11-30 00:00:00,127.9
2021-10-31 00:00:00,122.6
2021-09-30 00:00:00,126.2
2021-08-31 00:00:00,119.3
2021-07-31 00:00:00,129.3
2021-06-30 00:00:00,127.8
2021-05-31 00:00:00,123.4
2021-04-30 00:00:00,123.6
2021-03-31 00:00:00,126.9
2020-12-31 00:00:00,150.9
2020-11-30 00:00:00,146.7
2020-10-31 00:00:00,147.6
2020-09-30 00:00:00,154.5
2020-08-31 00:00:00,155.3
2020-07-31 00:00:00,158.1
2020-06-30 00:00:00,155.2
2020-05-31 00:00:00,158.6
2020-04-30 00:00:00,157.3
2020-03-31 00:00:00,159.0
2019-12-31 00:00:00,138.3
2019-11-30 00:00:00,145.1
2019-10-31 00:00:00,150.6
2019-09-30 00:00:00,151.1
2019-08-31 00:00:00,183.9
2019-07-31 00:00:00,175.8
2019-06-30 00:00:00,180.3
2019-05-31 00:00:00,184.6
2019-04-30 00:00:00,182.5
2019-03-31 00:00:00,173.0
2018-12-31 00:00:00,150.6
2018-11-30 00:00:00,158.4
2018-10-31 00:00:00,192.8
2018-09-30 00:00:00,201.7
2018-08-31 00:00:00,194.2
2018-07-31 00:00:00,196.5
2018-06-30 00:00:00,189.5
2018-05-31 00:00:00,197.0
2018-04-30 00:00:00,198.7
2018-03-31 00:00:00,187.8
2017-12-31 00:00:00,153.6
2017-11-30 00:00:00,175.1
2017-10-31 00:00:00,177.8
2017-09-30 00:00:00,179.6
2017-08-31 00:00:00,194.6
2017-07-31 00:00:00,192.3
2017-06-30 00:00:00,219.9
2017-05-31 00:00:00,220.1
2017-04-30 00:00:00,246.7
2017-03-31 00:00:00,195.0
2016-12-31 00:00:00,232.6
2016-11-30 00:00:00,237.9
2016-10-31 00:00:00,242.0
2016-09-30 00:00:00,250.5
2016-08-31 00:00:00,256.0
2016-07-31 00:00:00,252.2
2016-06-30 00:00:00,254.6
2016-05-31 00:00:00,252.7
2016-04-30 00:00:00,252.4
2016-03-31 00:00:00,255.9
2015-12-31 00:00:00,228.65
2015-11-30 00:00:00,249.75
2015-10-31 00:00:00,257.39
2015-09-30 00:00:00,245.81
2015-08-31 00:00:00,258.36
2015-07-31 00:00:00,250.23
2015-06-30 00:00:00,258.65
2015-05-31 00:00:00,260.31
2015-04-30 00:00:00,268.8
2015-03-31 00:00:00,0.0
2015-02-28 00:00:00,201.89
2015-01-31 00:00:00,215.2
2014-12-31 00:00:00,214.43
2014-11-30 00:00:00,216.76
2014-10-31 00:00:00,234.5
2014-09-30 00:00:00,227.17
2014-08-31 00:00:00,236.73
2014-07-31 00:00:00,242.16
2014-06-30 00:00:00,257.2
2014-05-31 00:00:00,258.95
2014-04-30 00:00:00,271.12
2014-03-31 00:00:00,268.38
2014-02-28 00:00:00,221.48
2014-01-31 00:00:00,249.45
2013-12-31 00:00:00,231.33
2013-11-30 00:00:00,217.37
2013-10-31 00:00:00,225.27
2013-09-30 00:00:00,236.49
2013-08-31 00:00:00,219.24
