指标名称,统计局：焦炭：产量：湖北（月）
指标编码,CM0000049176
2025-11-30 00:00:00,93.4
2025-10-31 00:00:00,94.5
2025-09-30 00:00:00,92.6
2025-08-31 00:00:00,95.6
2025-07-31 00:00:00,94.0
2025-06-30 00:00:00,89.6
2025-05-31 00:00:00,80.5
2025-04-30 00:00:00,81.4
2025-03-31 00:00:00,85.1
2024-12-31 00:00:00,74.1
2024-11-30 00:00:00,80.7
2024-10-31 00:00:00,83.8
2024-09-30 00:00:00,80.1
2024-08-31 00:00:00,84.1
2024-07-31 00:00:00,81.6
2024-06-30 00:00:00,79.6
2024-05-31 00:00:00,85.3
2024-04-30 00:00:00,82.4
2024-03-31 00:00:00,84.8
2023-12-31 00:00:00,84.3
2023-11-30 00:00:00,86.5
2023-10-31 00:00:00,84.8
2023-09-30 00:00:00,80.1
2023-08-31 00:00:00,77.9
2023-07-31 00:00:00,83.1
2023-06-30 00:00:00,81.4
2023-05-31 00:00:00,82.7
2023-04-30 00:00:00,83.2
2023-03-31 00:00:00,83.3
2022-12-31 00:00:00,81.7
2022-11-30 00:00:00,81.1
2022-10-31 00:00:00,81.6
2022-09-30 00:00:00,74.3
2022-08-31 00:00:00,71.3
2022-07-31 00:00:00,77.8
2022-06-30 00:00:00,85.8
2022-05-31 00:00:00,79.6
2022-04-30 00:00:00,75.6
2022-03-31 00:00:00,79.4
2021-12-31 00:00:00,69.1
2021-11-30 00:00:00,73.0
2021-10-31 00:00:00,74.7
2021-09-30 00:00:00,71.5
2021-08-31 00:00:00,72.4
2021-07-31 00:00:00,73.7
2021-06-30 00:00:00,77.1
2021-05-31 00:00:00,75.0
2021-04-30 00:00:00,76.0
2021-03-31 00:00:00,78.4
2020-12-31 00:00:00,66.3
2020-11-30 00:00:00,67.0
2020-10-31 00:00:00,68.4
2020-09-30 00:00:00,66.6
2020-08-31 00:00:00,67.2
2020-07-31 00:00:00,66.5
2020-06-30 00:00:00,66.3
2020-05-31 00:00:00,67.8
2020-04-30 00:00:00,66.5
2020-03-31 00:00:00,66.2
2019-12-31 00:00:00,71.7
2019-11-30 00:00:00,69.3
2019-10-31 00:00:00,57.7
2019-09-30 00:00:00,68.7
2019-08-31 00:00:00,70.3
2019-07-31 00:00:00,70.9
2019-06-30 00:00:00,70.7
2019-05-31 00:00:00,70.8
2019-04-30 00:00:00,70.4
2019-03-31 00:00:00,72.4
2018-12-31 00:00:00,66.1
2018-11-30 00:00:00,74.2
2018-10-31 00:00:00,72.7
2018-09-30 00:00:00,74.0
2018-08-31 00:00:00,77.6
2018-07-31 00:00:00,73.3
2018-06-30 00:00:00,71.3
2018-05-31 00:00:00,74.1
2018-04-30 00:00:00,72.6
2018-03-31 00:00:00,75.9
2017-12-31 00:00:00,75.8
2017-11-30 00:00:00,73.4
2017-10-31 00:00:00,75.5
2017-09-30 00:00:00,74.0
2017-08-31 00:00:00,75.6
2017-07-31 00:00:00,73.6
2017-06-30 00:00:00,72.7
2017-05-31 00:00:00,72.4
2017-04-30 00:00:00,72.2
2017-03-31 00:00:00,74.9
2016-12-31 00:00:00,74.1
2016-11-30 00:00:00,73.4
2016-10-31 00:00:00,72.2
2016-09-30 00:00:00,70.6
2016-08-31 00:00:00,76.1
2016-07-31 00:00:00,70.7
2016-06-30 00:00:00,76.7
2016-05-31 00:00:00,81.7
2016-04-30 00:00:00,83.8
2016-03-31 00:00:00,68.21
2015-12-31 00:00:00,69.64
2015-11-30 00:00:00,76.58
2015-10-31 00:00:00,78.3
2015-09-30 00:00:00,74.77
2015-08-31 00:00:00,78.46
2015-07-31 00:00:00,77.18
2015-06-30 00:00:00,75.59
2015-05-31 00:00:00,78.66
2015-04-30 00:00:00,79.22
2015-03-31 00:00:00,79.34
2015-02-28 00:00:00,61.97
2015-01-31 00:00:00,90.3
2014-12-31 00:00:00,76.59
2014-11-30 00:00:00,72.33
2014-10-31 00:00:00,79.98
2014-09-30 00:00:00,76.72
2014-08-31 00:00:00,77.53
2014-07-31 00:00:00,76.62
2014-06-30 00:00:00,76.67
2014-05-31 00:00:00,78.37
2014-04-30 00:00:00,77.57
2014-03-31 00:00:00,78.35
2014-02-28 00:00:00,77.46
2014-01-31 00:00:00,83.53
2013-12-31 00:00:00,81.24
2013-11-30 00:00:00,81.88
2013-10-31 00:00:00,82.98
2013-09-30 00:00:00,81.47
2013-08-31 00:00:00,80.71
2013-07-31 00:00:00,79.78
2013-06-30 00:00:00,77.53
2013-05-31 00:00:00,78.12
2013-04-30 00:00:00,74.22
2013-03-31 00:00:00,75.02
2013-02-28 00:00:00,75.9
2013-01-31 00:00:00,74.6
2012-12-31 00:00:00,76.09
2012-11-30 00:00:00,71.03
2012-10-31 00:00:00,68.43
2012-09-30 00:00:00,65.58
2012-08-31 00:00:00,75.14
2012-07-31 00:00:00,79.86
2012-06-30 00:00:00,78.23
2012-05-31 00:00:00,82.72
2012-04-30 00:00:00,78.25
2012-03-31 00:00:00,95.02
2012-02-29 00:00:00,93.71
2012-01-31 00:00:00,98.5
2011-12-31 00:00:00,83.31
2011-11-30 00:00:00,81.16
2011-10-31 00:00:00,81.21
2011-09-30 00:00:00,85.0
2011-08-31 00:00:00,85.03
2011-07-31 00:00:00,83.18
2011-06-30 00:00:00,80.84
2011-05-31 00:00:00,84.41
2011-04-30 00:00:00,83.26
2011-03-31 00:00:00,83.46
2011-02-28 00:00:00,78.57
2011-01-31 00:00:00,84.1
2010-12-31 00:00:00,81.87
2010-11-30 00:00:00,78.11
2010-10-31 00:00:00,79.64
2010-09-30 00:00:00,77.96
2010-08-31 00:00:00,79.01
2010-07-31 00:00:00,79.39
2010-06-30 00:00:00,80.49
2010-05-31 00:00:00,79.94
2010-04-30 00:00:00,78.71
2010-03-31 00:00:00,79.24
2010-02-28 00:00:00,74.6
2010-01-31 00:00:00,78.2
2009-12-31 00:00:00,74.2
2009-11-30 00:00:00,73.97
2009-10-31 00:00:00,76.22
2009-09-30 00:00:00,73.83
2009-08-31 00:00:00,75.47
2009-07-31 00:00:00,73.94
2009-06-30 00:00:00,65.65
2009-05-31 00:00:00,64.61
2009-04-30 00:00:00,60.95
2009-03-31 00:00:00,64.46
2009-02-28 00:00:00,68.16
2009-01-31 00:00:00,66.64
2008-12-31 00:00:00,59.3
2008-11-30 00:00:00,52.81
2008-10-31 00:00:00,67.96
2008-09-30 00:00:00,70.91
2008-08-31 00:00:00,74.36
2008-07-31 00:00:00,73.33
2008-06-30 00:00:00,67.05
2008-05-31 00:00:00,67.74
2008-04-30 00:00:00,68.23
2008-03-31 00:00:00,69.1
2008-02-29 00:00:00,50.58
2008-01-31 00:00:00,61.61
2007-12-31 00:00:00,58.96
2007-11-30 00:00:00,60.36
2007-10-31 00:00:00,62.32
2007-09-30 00:00:00,57.71
2007-08-31 00:00:00,59.59
2007-07-31 00:00:00,58.86
2007-06-30 00:00:00,61.47
