指标名称,统计局：焦炭：产量：广东（月）
指标编码,CM0000049178
2025-11-30 00:00:00,61.8
2025-10-31 00:00:00,63.8
2025-09-30 00:00:00,63.1
2025-08-31 00:00:00,64.8
2025-07-31 00:00:00,63.7
2025-06-30 00:00:00,61.8
2025-05-31 00:00:00,63.6
2025-04-30 00:00:00,62.3
2025-03-31 00:00:00,57.3
2024-12-31 00:00:00,63.6
2024-11-30 00:00:00,62.5
2024-10-31 00:00:00,65.6
2024-09-30 00:00:00,61.6
2024-08-31 00:00:00,63.6
2024-07-31 00:00:00,62.1
2024-06-30 00:00:00,55.1
2024-05-31 00:00:00,65.0
2024-04-30 00:00:00,62.4
2024-03-31 00:00:00,61.3
2023-12-31 00:00:00,60.1
2023-11-30 00:00:00,63.4
2023-10-31 00:00:00,65.4
2023-09-30 00:00:00,62.8
2023-08-31 00:00:00,65.9
2023-07-31 00:00:00,64.7
2023-06-30 00:00:00,62.5
2023-05-31 00:00:00,65.9
2023-04-30 00:00:00,64.2
2023-03-31 00:00:00,66.9
2022-12-31 00:00:00,64.9
2022-11-30 00:00:00,63.6
2022-10-31 00:00:00,66.0
2022-09-30 00:00:00,62.5
2022-08-31 00:00:00,65.7
2022-07-31 00:00:00,61.0
2022-06-30 00:00:00,61.0
2022-05-31 00:00:00,65.8
2022-04-30 00:00:00,62.0
2022-03-31 00:00:00,58.1
2021-12-31 00:00:00,45.1
2021-11-30 00:00:00,43.8
2021-10-31 00:00:00,48.6
2021-09-30 00:00:00,51.0
2021-08-31 00:00:00,57.0
2021-07-31 00:00:00,57.8
2021-06-30 00:00:00,60.1
2021-05-31 00:00:00,57.6
2021-04-30 00:00:00,52.9
2021-03-31 00:00:00,52.6
2020-12-31 00:00:00,50.8
2020-11-30 00:00:00,49.0
2020-10-31 00:00:00,50.6
2020-09-30 00:00:00,48.1
2020-08-31 00:00:00,51.0
2020-07-31 00:00:00,50.3
2020-06-30 00:00:00,49.0
2020-05-31 00:00:00,50.5
2020-04-30 00:00:00,49.4
2020-03-31 00:00:00,50.8
2019-12-31 00:00:00,49.3
2019-11-30 00:00:00,48.1
2019-10-31 00:00:00,50.2
2019-09-30 00:00:00,48.4
2019-08-31 00:00:00,50.4
2019-07-31 00:00:00,49.6
2019-06-30 00:00:00,48.8
2019-05-31 00:00:00,50.7
2019-04-30 00:00:00,49.4
2019-03-31 00:00:00,49.4
2018-12-31 00:00:00,49.6
2018-11-30 00:00:00,49.0
2018-10-31 00:00:00,49.2
2018-09-30 00:00:00,47.5
2018-08-31 00:00:00,49.1
2018-07-31 00:00:00,49.8
2018-06-30 00:00:00,46.4
2018-05-31 00:00:00,50.0
2018-04-30 00:00:00,44.8
2018-03-31 00:00:00,45.2
2017-12-31 00:00:00,50.3
2017-11-30 00:00:00,48.1
2017-10-31 00:00:00,49.9
2017-09-30 00:00:00,49.3
2017-08-31 00:00:00,51.2
2017-07-31 00:00:00,50.3
2017-06-30 00:00:00,48.4
2017-05-31 00:00:00,50.4
2017-04-30 00:00:00,48.7
2017-03-31 00:00:00,50.3
2016-12-31 00:00:00,50.0
2016-11-30 00:00:00,48.3
2016-10-31 00:00:00,49.7
2016-09-30 00:00:00,47.8
2016-08-31 00:00:00,47.5
2016-07-31 00:00:00,39.9
2016-06-30 00:00:00,35.7
2016-05-31 00:00:00,36.4
2016-04-30 00:00:00,34.3
2016-03-31 00:00:00,33.68
2015-12-31 00:00:00,21.31
2015-11-30 00:00:00,20.16
2015-10-31 00:00:00,22.45
2015-09-30 00:00:00,20.35
2015-08-31 00:00:00,21.33
2015-07-31 00:00:00,22.07
2015-06-30 00:00:00,22.09
2015-05-31 00:00:00,22.83
2015-04-30 00:00:00,18.27
2015-03-31 00:00:00,17.66
2015-02-28 00:00:00,16.37
2015-01-31 00:00:00,19.1
2014-12-31 00:00:00,19.42
2014-11-30 00:00:00,18.79
2014-10-31 00:00:00,18.87
2014-09-30 00:00:00,16.67
2014-08-31 00:00:00,15.19
2014-07-31 00:00:00,15.09
2014-06-30 00:00:00,14.83
2014-05-31 00:00:00,15.01
2014-04-30 00:00:00,14.49
2014-03-31 00:00:00,15.17
2014-02-28 00:00:00,13.82
2014-01-31 00:00:00,15.41
2013-12-31 00:00:00,15.34
2013-11-30 00:00:00,14.66
2013-10-31 00:00:00,14.97
2013-09-30 00:00:00,14.58
2013-08-31 00:00:00,15.13
2013-07-31 00:00:00,15.17
2013-06-30 00:00:00,14.86
2013-05-31 00:00:00,14.86
2013-04-30 00:00:00,14.57
2013-03-31 00:00:00,15.15
2013-02-28 00:00:00,13.4
2013-01-31 00:00:00,15.3
2012-12-31 00:00:00,15.26
2012-11-30 00:00:00,14.55
2012-10-31 00:00:00,15.14
2012-09-30 00:00:00,14.84
2012-08-31 00:00:00,14.77
2012-07-31 00:00:00,15.0
2012-06-30 00:00:00,14.55
2012-05-31 00:00:00,15.15
2012-04-30 00:00:00,14.61
2012-03-31 00:00:00,14.72
2012-02-29 00:00:00,15.06
2012-01-31 00:00:00,15.6
2011-12-31 00:00:00,16.47
2011-11-30 00:00:00,16.21
2011-10-31 00:00:00,16.84
2011-09-30 00:00:00,16.17
2011-08-31 00:00:00,16.54
2011-07-31 00:00:00,16.19
2011-06-30 00:00:00,15.82
2011-05-31 00:00:00,15.78
2011-04-30 00:00:00,15.7
2011-03-31 00:00:00,16.31
2011-02-28 00:00:00,15.03
2011-01-31 00:00:00,15.4
2010-12-31 00:00:00,16.71
2010-11-30 00:00:00,15.98
2010-10-31 00:00:00,16.24
2010-09-30 00:00:00,15.94
2010-08-31 00:00:00,16.7
2010-07-31 00:00:00,15.43
2010-06-30 00:00:00,16.14
2010-05-31 00:00:00,17.0
2010-04-30 00:00:00,16.01
2010-03-31 00:00:00,16.6
2010-02-28 00:00:00,15.09
2010-01-31 00:00:00,17.6
2009-12-31 00:00:00,17.09
2009-11-30 00:00:00,16.74
2009-10-31 00:00:00,17.25
2009-09-30 00:00:00,17.09
2009-08-31 00:00:00,17.24
2009-07-31 00:00:00,16.93
2009-06-30 00:00:00,15.77
2009-05-31 00:00:00,16.14
2009-04-30 00:00:00,14.71
2009-03-31 00:00:00,14.46
2009-02-28 00:00:00,13.33
2009-01-31 00:00:00,14.18
2008-12-31 00:00:00,13.85
2008-11-30 00:00:00,12.96
2008-10-31 00:00:00,13.69
2008-09-30 00:00:00,14.44
2008-08-31 00:00:00,14.05
2008-07-31 00:00:00,13.2
2008-06-30 00:00:00,11.39
2008-05-31 00:00:00,11.22
2008-04-30 00:00:00,9.06
2008-03-31 00:00:00,7.41
2008-02-29 00:00:00,7.18
2008-01-31 00:00:00,7.69
2007-12-31 00:00:00,7.7
2007-11-30 00:00:00,7.44
2007-10-31 00:00:00,7.78
2007-09-30 00:00:00,7.44
2007-08-31 00:00:00,7.16
2007-07-31 00:00:00,7.04
2007-06-30 00:00:00,6.94
2007-05-31 00:00:00,7.08
2007-04-30 00:00:00,7.11
2007-03-31 00:00:00,8.56
2007-02-28 00:00:00,9.7
2007-01-31 00:00:00,10.44
2006-12-31 00:00:00,10.07
2006-11-30 00:00:00,10.29
2006-10-31 00:00:00,10.2
2006-09-30 00:00:00,10.04
2006-08-31 00:00:00,10.2
2006-07-31 00:00:00,10.32
2006-06-30 00:00:00,10.17
2006-05-31 00:00:00,11.07
2006-04-30 00:00:00,11.53
2006-03-31 00:00:00,9.54
2006-02-28 00:00:00,11.98
2006-01-31 00:00:00,9.15
2005-12-31 00:00:00,10.39
2005-11-30 00:00:00,10.61
2005-10-31 00:00:00,10.38
2005-09-30 00:00:00,10.53
2005-08-31 00:00:00,10.61
2005-07-31 00:00:00,10.25
2005-06-30 00:00:00,10.51
2005-05-31 00:00:00,10.27
2005-04-30 00:00:00,10.55
2005-03-31 00:00:00,9.64
2005-02-28 00:00:00,10.64
2005-01-31 00:00:00,10.19
2004-12-31 00:00:00,8.54
2004-11-30 00:00:00,7.26
2004-10-31 00:00:00,7.26
2004-09-30 00:00:00,7.47
2004-08-31 00:00:00,7.73
2004-07-31 00:00:00,7.51
2004-06-30 00:00:00,7.71
2004-05-31 00:00:00,7.53
2004-04-30 00:00:00,7.81
2004-03-31 00:00:00,7.18
2004-02-29 00:00:00,7.28
2004-01-31 00:00:00,7.44
2003-12-31 00:00:00,5.26
2003-11-30 00:00:00,5.02
2003-10-31 00:00:00,4.12
2003-09-30 00:00:00,3.87
2003-08-31 00:00:00,3.82
2003-07-31 00:00:00,4.56
2003-06-30 00:00:00,4.66
2003-05-31 00:00:00,4.34
2003-04-30 00:00:00,4.65
2003-03-31 00:00:00,4.62
2003-02-28 00:00:00,4.62
2003-01-31 00:00:00,4.24
2002-12-31 00:00:00,5.16
2002-11-30 00:00:00,4.6
2002-10-31 00:00:00,4.44
2002-09-30 00:00:00,4.61
2002-08-31 00:00:00,4.57
2002-07-31 00:00:00,4.44
2002-06-30 00:00:00,4.58
2002-05-31 00:00:00,4.4
2002-04-30 00:00:00,4.57
2002-03-31 00:00:00,4.15
2002-02-28 00:00:00,4.6
2002-01-31 00:00:00,4.61
2001-12-31 00:00:00,4.42
2001-11-30 00:00:00,4.6
2001-10-31 00:00:00,4.49
2001-07-31 00:00:00,4.44
2001-05-31 00:00:00,4.57
2001-04-30 00:00:00,4.48
2001-03-31 00:00:00,4.41
2001-02-28 00:00:00,4.31
2001-01-31 00:00:00,4.61
2000-12-31 00:00:00,4.47
2000-11-30 00:00:00,4.58
2000-10-31 00:00:00,4.63
2000-07-31 00:00:00,4.41
