指标名称,统计局：焦炭：产量：广西（月）
指标编码,CM0000049179
2025-11-30 00:00:00,103.7
2025-10-31 00:00:00,96.5
2025-09-30 00:00:00,90.1
2025-08-31 00:00:00,92.8
2025-07-31 00:00:00,99.3
2025-06-30 00:00:00,97.0
2025-05-31 00:00:00,103.0
2025-04-30 00:00:00,110.7
2025-03-31 00:00:00,109.2
2024-12-31 00:00:00,99.7
2024-11-30 00:00:00,95.8
2024-10-31 00:00:00,97.9
2024-09-30 00:00:00,95.6
2024-08-31 00:00:00,104.3
2024-07-31 00:00:00,105.5
2024-06-30 00:00:00,104.4
2024-05-31 00:00:00,99.0
2024-04-30 00:00:00,94.9
2024-03-31 00:00:00,107.6
2023-12-31 00:00:00,124.6
2023-11-30 00:00:00,118.3
2023-10-31 00:00:00,124.0
2023-09-30 00:00:00,100.0
2023-08-31 00:00:00,100.3
2023-07-31 00:00:00,94.7
2023-06-30 00:00:00,92.7
2023-05-31 00:00:00,100.4
2023-04-30 00:00:00,101.8
2023-03-31 00:00:00,93.3
2022-12-31 00:00:00,89.5
2022-11-30 00:00:00,85.9
2022-10-31 00:00:00,86.6
2022-09-30 00:00:00,80.6
2022-08-31 00:00:00,82.8
2022-07-31 00:00:00,85.5
2022-06-30 00:00:00,96.8
2022-05-31 00:00:00,101.5
2022-04-30 00:00:00,94.8
2022-03-31 00:00:00,99.4
2021-12-31 00:00:00,95.1
2021-11-30 00:00:00,91.7
2021-10-31 00:00:00,93.7
2021-09-30 00:00:00,88.5
2021-08-31 00:00:00,92.0
2021-07-31 00:00:00,93.5
2021-06-30 00:00:00,90.4
2021-05-31 00:00:00,87.6
2021-04-30 00:00:00,80.7
2021-03-31 00:00:00,91.1
2020-12-31 00:00:00,82.4
2020-11-30 00:00:00,74.7
2020-10-31 00:00:00,76.6
2020-09-30 00:00:00,69.0
2020-08-31 00:00:00,70.4
2020-07-31 00:00:00,64.9
2020-06-30 00:00:00,60.8
2020-05-31 00:00:00,64.1
2020-04-30 00:00:00,61.9
2020-03-31 00:00:00,63.6
2019-12-31 00:00:00,64.3
2019-11-30 00:00:00,63.0
2019-10-31 00:00:00,65.4
2019-09-30 00:00:00,60.3
2019-08-31 00:00:00,63.3
2019-07-31 00:00:00,60.3
2019-06-30 00:00:00,59.9
2019-05-31 00:00:00,61.6
2019-04-30 00:00:00,59.5
2019-03-31 00:00:00,60.4
2018-12-31 00:00:00,59.3
2018-11-30 00:00:00,58.2
2018-10-31 00:00:00,58.7
2018-09-30 00:00:00,56.7
2018-08-31 00:00:00,57.4
2018-07-31 00:00:00,58.0
2018-06-30 00:00:00,56.4
2018-05-31 00:00:00,59.5
2018-04-30 00:00:00,59.0
2018-03-31 00:00:00,64.1
2017-12-31 00:00:00,60.6
2017-11-30 00:00:00,55.1
2017-10-31 00:00:00,58.0
2017-09-30 00:00:00,56.4
2017-08-31 00:00:00,58.5
2017-07-31 00:00:00,60.1
2017-06-30 00:00:00,59.7
2017-05-31 00:00:00,60.8
2017-04-30 00:00:00,60.2
2017-03-31 00:00:00,61.6
2016-12-31 00:00:00,60.4
2016-11-30 00:00:00,58.8
2016-10-31 00:00:00,59.1
2016-09-30 00:00:00,56.9
2016-08-31 00:00:00,58.6
2016-07-31 00:00:00,57.5
2016-06-30 00:00:00,53.7
2016-05-31 00:00:00,56.9
2016-04-30 00:00:00,54.9
2016-03-31 00:00:00,56.89
2015-12-31 00:00:00,51.67
2015-11-30 00:00:00,50.88
2015-10-31 00:00:00,50.64
2015-09-30 00:00:00,50.14
2015-08-31 00:00:00,51.73
2015-07-31 00:00:00,45.45
2015-06-30 00:00:00,43.01
2015-05-31 00:00:00,46.94
2015-04-30 00:00:00,46.73
2015-03-31 00:00:00,46.86
2015-02-28 00:00:00,46.65
2015-01-31 00:00:00,51.7
2014-12-31 00:00:00,52.51
2014-11-30 00:00:00,50.03
2014-10-31 00:00:00,51.95
2014-09-30 00:00:00,49.77
2014-08-31 00:00:00,52.61
2014-07-31 00:00:00,53.28
2014-06-30 00:00:00,53.06
2014-05-31 00:00:00,54.02
2014-04-30 00:00:00,47.89
2014-03-31 00:00:00,46.94
2014-02-28 00:00:00,46.28
2014-01-31 00:00:00,48.02
2013-12-31 00:00:00,48.63
2013-11-30 00:00:00,47.27
2013-10-31 00:00:00,47.1
2013-09-30 00:00:00,46.34
2013-08-31 00:00:00,48.41
2013-07-31 00:00:00,43.14
2013-06-30 00:00:00,42.04
2013-05-31 00:00:00,44.27
2013-04-30 00:00:00,42.73
2013-03-31 00:00:00,45.08
2013-02-28 00:00:00,1.5
2013-01-31 00:00:00,81.6
2012-12-31 00:00:00,42.11
2012-11-30 00:00:00,41.85
2012-10-31 00:00:00,38.61
2012-09-30 00:00:00,32.89
2012-08-31 00:00:00,32.69
2012-07-31 00:00:00,34.74
2012-06-30 00:00:00,34.04
