指标名称,统计局：焦炭：产量：重庆（月）
指标编码,CM0000049180
2025-11-30 00:00:00,32.4
2025-10-31 00:00:00,25.5
2025-09-30 00:00:00,24.8
2025-08-31 00:00:00,23.2
2025-07-31 00:00:00,27.1
2025-06-30 00:00:00,25.4
2025-05-31 00:00:00,26.9
2025-04-30 00:00:00,24.6
2025-03-31 00:00:00,25.9
2024-12-31 00:00:00,26.6
2024-11-30 00:00:00,24.8
2024-10-31 00:00:00,24.9
2024-09-30 00:00:00,22.9
2024-08-31 00:00:00,20.9
2024-07-31 00:00:00,22.4
2024-06-30 00:00:00,23.2
2024-05-31 00:00:00,22.8
2024-04-30 00:00:00,22.3
2024-03-31 00:00:00,25.4
2023-12-31 00:00:00,27.8
2023-11-30 00:00:00,27.1
2023-10-31 00:00:00,28.4
2023-09-30 00:00:00,27.5
2023-08-31 00:00:00,28.5
2023-07-31 00:00:00,28.4
2023-06-30 00:00:00,27.5
2023-05-31 00:00:00,28.0
2023-04-30 00:00:00,27.2
2023-03-31 00:00:00,28.7
2022-12-31 00:00:00,28.5
2022-11-30 00:00:00,27.4
2022-10-31 00:00:00,28.6
2022-09-30 00:00:00,26.9
2022-08-31 00:00:00,24.4
2022-07-31 00:00:00,25.0
2022-06-30 00:00:00,26.0
2022-05-31 00:00:00,26.2
2022-04-30 00:00:00,25.7
2022-03-31 00:00:00,27.1
2021-12-31 00:00:00,13.7
2021-11-30 00:00:00,21.3
2021-10-31 00:00:00,20.9
2021-09-30 00:00:00,20.6
2021-08-31 00:00:00,24.1
2021-07-31 00:00:00,25.6
2021-06-30 00:00:00,26.6
2021-05-31 00:00:00,28.0
2021-04-30 00:00:00,27.3
2021-03-31 00:00:00,27.9
2020-12-31 00:00:00,27.4
2020-11-30 00:00:00,25.4
2020-10-31 00:00:00,26.4
2020-09-30 00:00:00,24.4
2020-08-31 00:00:00,23.7
2020-07-31 00:00:00,24.6
2020-06-30 00:00:00,23.4
2020-05-31 00:00:00,20.9
2020-04-30 00:00:00,19.0
2020-03-31 00:00:00,21.6
2019-12-31 00:00:00,23.1
2019-11-30 00:00:00,22.1
2019-10-31 00:00:00,22.6
2019-09-30 00:00:00,20.2
2019-08-31 00:00:00,22.2
2019-07-31 00:00:00,22.0
2019-06-30 00:00:00,20.5
2019-05-31 00:00:00,21.2
2019-04-30 00:00:00,20.9
2019-03-31 00:00:00,22.2
2018-12-31 00:00:00,21.3
