指标名称,统计局：焦炭：产量：四川（月）
指标编码,CM0000049181
2025-11-30 00:00:00,84.2
2025-10-31 00:00:00,85.7
2025-09-30 00:00:00,82.9
2025-08-31 00:00:00,79.1
2025-07-31 00:00:00,78.3
2025-06-30 00:00:00,80.1
2025-05-31 00:00:00,80.5
2025-04-30 00:00:00,80.3
2025-03-31 00:00:00,79.3
2024-12-31 00:00:00,83.2
2024-11-30 00:00:00,80.1
2024-10-31 00:00:00,78.0
2024-09-30 00:00:00,73.5
2024-08-31 00:00:00,71.8
2024-07-31 00:00:00,73.3
2024-06-30 00:00:00,81.2
2024-05-31 00:00:00,78.2
2024-04-30 00:00:00,77.8
2024-03-31 00:00:00,83.2
2023-12-31 00:00:00,80.5
2023-11-30 00:00:00,79.7
2023-10-31 00:00:00,82.9
2023-09-30 00:00:00,76.0
2023-08-31 00:00:00,77.3
2023-07-31 00:00:00,82.0
2023-06-30 00:00:00,85.2
2023-05-31 00:00:00,82.2
2023-04-30 00:00:00,90.6
2023-03-31 00:00:00,86.4
2022-12-31 00:00:00,86.8
2022-11-30 00:00:00,83.4
2022-10-31 00:00:00,90.4
2022-09-30 00:00:00,89.7
2022-08-31 00:00:00,85.1
2022-07-31 00:00:00,84.1
2022-06-30 00:00:00,89.1
2022-05-31 00:00:00,90.5
2022-04-30 00:00:00,90.0
2022-03-31 00:00:00,87.6
2021-12-31 00:00:00,86.4
2021-11-30 00:00:00,82.0
2021-10-31 00:00:00,87.3
2021-09-30 00:00:00,85.6
2021-08-31 00:00:00,88.6
2021-07-31 00:00:00,88.4
2021-06-30 00:00:00,92.8
2021-05-31 00:00:00,93.5
2021-04-30 00:00:00,93.0
2021-03-31 00:00:00,87.8
2020-12-31 00:00:00,96.0
2020-11-30 00:00:00,88.1
2020-10-31 00:00:00,92.5
2020-09-30 00:00:00,90.9
2020-08-31 00:00:00,92.4
2020-07-31 00:00:00,91.8
2020-06-30 00:00:00,95.1
2020-05-31 00:00:00,86.4
2020-04-30 00:00:00,92.0
2020-03-31 00:00:00,86.1
2019-12-31 00:00:00,94.5
2019-11-30 00:00:00,86.5
2019-10-31 00:00:00,89.1
2019-09-30 00:00:00,88.3
2019-08-31 00:00:00,88.6
2019-07-31 00:00:00,88.3
2019-06-30 00:00:00,90.3
2019-05-31 00:00:00,98.9
2019-04-30 00:00:00,98.8
2019-03-31 00:00:00,87.9
2018-12-31 00:00:00,105.2
2018-11-30 00:00:00,98.1
2018-10-31 00:00:00,93.3
2018-09-30 00:00:00,92.4
2018-08-31 00:00:00,91.6
2018-07-31 00:00:00,97.1
2018-06-30 00:00:00,100.8
2018-05-31 00:00:00,96.7
2018-04-30 00:00:00,97.3
2018-03-31 00:00:00,87.9
2017-12-31 00:00:00,108.7
2017-11-30 00:00:00,98.9
2017-10-31 00:00:00,105.8
2017-09-30 00:00:00,100.2
2017-08-31 00:00:00,94.4
2017-07-31 00:00:00,98.8
2017-06-30 00:00:00,113.4
2017-05-31 00:00:00,115.9
2017-04-30 00:00:00,118.1
2017-03-31 00:00:00,115.5
2016-12-31 00:00:00,116.4
2016-11-30 00:00:00,113.4
2016-10-31 00:00:00,114.4
2016-09-30 00:00:00,114.3
2016-08-31 00:00:00,102.3
2016-07-31 00:00:00,102.2
2016-06-30 00:00:00,113.7
2016-05-31 00:00:00,112.2
2016-04-30 00:00:00,109.5
2016-03-31 00:00:00,96.46
2015-12-31 00:00:00,121.11
2015-11-30 00:00:00,101.9
2015-10-31 00:00:00,109.17
2015-09-30 00:00:00,107.18
2015-08-31 00:00:00,93.65
2015-07-31 00:00:00,104.54
2015-06-30 00:00:00,116.59
2015-05-31 00:00:00,131.87
2015-04-30 00:00:00,120.56
2015-03-31 00:00:00,130.1
2015-02-28 00:00:00,71.27
2015-01-31 00:00:00,96.4
