指标名称,统计局：焦炭：产量：贵州（月）
指标编码,CM0000049182
2025-11-30 00:00:00,74.8
2025-10-31 00:00:00,68.1
2025-09-30 00:00:00,55.6
2025-08-31 00:00:00,50.9
2025-07-31 00:00:00,47.7
2025-06-30 00:00:00,42.2
2025-05-31 00:00:00,40.5
2025-04-30 00:00:00,39.4
2025-03-31 00:00:00,39.8
2024-12-31 00:00:00,42.1
2024-11-30 00:00:00,39.1
2024-10-31 00:00:00,41.4
2024-09-30 00:00:00,35.4
2024-08-31 00:00:00,33.9
2024-07-31 00:00:00,35.4
2024-06-30 00:00:00,34.1
2024-05-31 00:00:00,29.5
2024-04-30 00:00:00,30.3
2024-03-31 00:00:00,28.6
2023-12-31 00:00:00,28.9
2023-11-30 00:00:00,26.1
2023-10-31 00:00:00,25.3
2023-09-30 00:00:00,26.0
2023-08-31 00:00:00,25.2
2023-07-31 00:00:00,27.3
2023-06-30 00:00:00,26.8
2023-05-31 00:00:00,26.4
2023-04-30 00:00:00,25.1
2023-03-31 00:00:00,25.5
2022-12-31 00:00:00,29.0
2022-11-30 00:00:00,25.6
2022-10-31 00:00:00,26.0
2022-09-30 00:00:00,26.7
2022-08-31 00:00:00,26.6
2022-07-31 00:00:00,25.1
2022-06-30 00:00:00,26.7
2022-05-31 00:00:00,26.4
2022-04-30 00:00:00,27.0
2022-03-31 00:00:00,26.4
2021-12-31 00:00:00,31.5
2021-11-30 00:00:00,30.9
2021-10-31 00:00:00,34.7
2021-09-30 00:00:00,34.0
2021-08-31 00:00:00,34.1
2021-07-31 00:00:00,36.3
2021-06-30 00:00:00,38.8
2021-05-31 00:00:00,37.6
2021-04-30 00:00:00,37.5
2021-03-31 00:00:00,35.8
2020-12-31 00:00:00,35.4
2020-11-30 00:00:00,34.7
2020-10-31 00:00:00,36.0
2020-09-30 00:00:00,37.7
2020-08-31 00:00:00,36.6
2020-07-31 00:00:00,36.3
2020-06-30 00:00:00,37.6
2020-05-31 00:00:00,36.9
2020-04-30 00:00:00,33.5
2020-03-31 00:00:00,37.2
2019-12-31 00:00:00,39.6
2019-11-30 00:00:00,33.4
2019-10-31 00:00:00,32.8
2019-09-30 00:00:00,31.3
2019-08-31 00:00:00,32.5
2019-07-31 00:00:00,31.8
2019-06-30 00:00:00,31.9
2019-05-31 00:00:00,32.6
2019-04-30 00:00:00,31.9
2019-03-31 00:00:00,31.4
2018-12-31 00:00:00,32.9
2018-11-30 00:00:00,30.5
2018-10-31 00:00:00,32.7
2018-09-30 00:00:00,33.5
2018-08-31 00:00:00,32.0
2018-07-31 00:00:00,33.2
2018-06-30 00:00:00,34.3
2018-05-31 00:00:00,35.2
2018-04-30 00:00:00,36.1
2018-03-31 00:00:00,34.5
2017-12-31 00:00:00,40.7
2017-11-30 00:00:00,37.9
2017-10-31 00:00:00,42.5
2017-09-30 00:00:00,42.9
2017-08-31 00:00:00,43.3
2017-07-31 00:00:00,45.8
2017-06-30 00:00:00,49.3
2017-05-31 00:00:00,50.0
2017-04-30 00:00:00,51.9
2017-03-31 00:00:00,55.1
2016-12-31 00:00:00,49.7
2016-11-30 00:00:00,58.2
2016-10-31 00:00:00,56.7
2016-09-30 00:00:00,54.2
2016-08-31 00:00:00,57.1
2016-07-31 00:00:00,56.8
2016-06-30 00:00:00,57.5
2016-05-31 00:00:00,57.2
2016-04-30 00:00:00,57.2
2016-03-31 00:00:00,53.87
2015-12-31 00:00:00,56.31
2015-11-30 00:00:00,64.87
2015-10-31 00:00:00,63.74
2015-09-30 00:00:00,60.27
2015-08-31 00:00:00,58.67
2015-07-31 00:00:00,62.13
2015-06-30 00:00:00,64.61
2015-05-31 00:00:00,61.4
2015-04-30 00:00:00,62.9
2015-03-31 00:00:00,64.33
2015-02-28 00:00:00,51.92
2015-01-31 00:00:00,54.8
2014-12-31 00:00:00,61.02
2014-11-30 00:00:00,68.31
2014-10-31 00:00:00,62.9
2014-09-30 00:00:00,58.03
2014-08-31 00:00:00,59.46
2014-07-31 00:00:00,57.89
2014-06-30 00:00:00,60.66
2014-05-31 00:00:00,58.08
2014-04-30 00:00:00,52.3
2014-03-31 00:00:00,60.38
2014-02-28 00:00:00,60.92
2014-01-31 00:00:00,53.96
2013-12-31 00:00:00,74.33
2013-11-30 00:00:00,80.74
2013-10-31 00:00:00,66.96
2013-09-30 00:00:00,64.81
2013-08-31 00:00:00,64.76
2013-07-31 00:00:00,67.32
2013-06-30 00:00:00,79.73
2013-05-31 00:00:00,65.62
2013-04-30 00:00:00,57.08
2013-03-31 00:00:00,65.28
2013-02-28 00:00:00,60.4
2013-01-31 00:00:00,60.9
2012-12-31 00:00:00,78.81
2012-11-30 00:00:00,78.72
2012-10-31 00:00:00,67.28
2012-09-30 00:00:00,65.26
2012-08-31 00:00:00,57.19
2012-07-31 00:00:00,53.33
2012-06-30 00:00:00,74.13
2012-05-31 00:00:00,69.01
2012-04-30 00:00:00,57.22
2012-03-31 00:00:00,65.18
2012-02-29 00:00:00,59.84
2012-01-31 00:00:00,43.9
2011-12-31 00:00:00,60.45
2011-11-30 00:00:00,56.45
2011-10-31 00:00:00,54.53
2011-09-30 00:00:00,53.11
2011-08-31 00:00:00,54.65
2011-07-31 00:00:00,52.72
2011-06-30 00:00:00,59.21
2011-05-31 00:00:00,48.89
2011-04-30 00:00:00,44.91
2011-03-31 00:00:00,48.84
2011-02-28 00:00:00,43.07
2011-01-31 00:00:00,47.2
2010-12-31 00:00:00,80.47
2010-11-30 00:00:00,62.33
2010-10-31 00:00:00,54.54
2010-09-30 00:00:00,58.26
2010-08-31 00:00:00,57.78
2010-07-31 00:00:00,56.78
2010-06-30 00:00:00,61.0
2010-05-31 00:00:00,61.0
2010-04-30 00:00:00,59.33
2010-03-31 00:00:00,49.65
2010-02-28 00:00:00,52.48
2010-01-31 00:00:00,59.9
2009-12-31 00:00:00,113.39
2009-11-30 00:00:00,90.12
2009-10-31 00:00:00,76.93
2009-09-30 00:00:00,72.32
2009-08-31 00:00:00,58.32
2009-07-31 00:00:00,59.46
2009-06-30 00:00:00,59.04
2009-05-31 00:00:00,53.49
2009-04-30 00:00:00,58.04
2009-03-31 00:00:00,70.0
2009-02-28 00:00:00,64.84
2009-01-31 00:00:00,5.26
2008-12-31 00:00:00,62.2
2008-11-30 00:00:00,68.47
2008-10-31 00:00:00,42.13
2008-09-30 00:00:00,58.79
2008-08-31 00:00:00,67.78
2008-07-31 00:00:00,73.82
2008-06-30 00:00:00,82.62
2008-05-31 00:00:00,85.44
2008-04-30 00:00:00,81.2
2008-03-31 00:00:00,69.4
2008-02-29 00:00:00,63.79
2008-01-31 00:00:00,59.93
2007-12-31 00:00:00,94.57
2007-11-30 00:00:00,79.63
2007-10-31 00:00:00,67.46
2007-09-30 00:00:00,63.57
2007-08-31 00:00:00,66.38
2007-07-31 00:00:00,70.86
2007-06-30 00:00:00,67.97
2007-05-31 00:00:00,63.55
2007-04-30 00:00:00,49.95
2007-03-31 00:00:00,51.3
2007-02-28 00:00:00,41.68
2007-01-31 00:00:00,108.12
2006-12-31 00:00:00,54.57
2006-11-30 00:00:00,54.74
2006-10-31 00:00:00,55.56
2006-09-30 00:00:00,55.03
2006-08-31 00:00:00,56.7
2006-07-31 00:00:00,48.95
2006-06-30 00:00:00,52.75
2006-05-31 00:00:00,66.01
2006-04-30 00:00:00,41.71
2006-03-31 00:00:00,40.76
2006-02-28 00:00:00,37.43
2006-01-31 00:00:00,23.2
2005-12-31 00:00:00,46.53
2005-11-30 00:00:00,43.66
2005-10-31 00:00:00,44.53
2005-09-30 00:00:00,34.25
2005-08-31 00:00:00,36.02
2005-07-31 00:00:00,32.31
2005-06-30 00:00:00,34.73
2005-05-31 00:00:00,31.76
2005-04-30 00:00:00,32.73
2005-03-31 00:00:00,34.39
2005-02-28 00:00:00,30.28
2005-01-31 00:00:00,51.39
2004-12-31 00:00:00,53.03
2004-11-30 00:00:00,38.27
2004-10-31 00:00:00,37.8
2004-09-30 00:00:00,31.85
2004-08-31 00:00:00,29.87
