指标名称,统计局：焦炭：产量：云南（月）
指标编码,CM0000049183
2025-11-30 00:00:00,77.0
2025-10-31 00:00:00,81.3
2025-09-30 00:00:00,86.3
2025-08-31 00:00:00,89.4
2025-07-31 00:00:00,82.1
2025-06-30 00:00:00,86.3
2025-05-31 00:00:00,88.5
2025-04-30 00:00:00,86.6
2025-03-31 00:00:00,85.0
2024-12-31 00:00:00,86.7
2024-11-30 00:00:00,82.6
2024-10-31 00:00:00,83.5
2024-09-30 00:00:00,72.3
2024-08-31 00:00:00,84.0
2024-07-31 00:00:00,88.4
2024-06-30 00:00:00,99.3
2024-05-31 00:00:00,87.5
2024-04-30 00:00:00,83.4
2024-03-31 00:00:00,82.9
2023-12-31 00:00:00,103.9
2023-11-30 00:00:00,98.1
2023-10-31 00:00:00,115.3
2023-09-30 00:00:00,102.7
2023-08-31 00:00:00,107.0
2023-07-31 00:00:00,105.6
2023-06-30 00:00:00,106.9
2023-05-31 00:00:00,104.3
2023-04-30 00:00:00,107.2
2023-03-31 00:00:00,98.3
2022-12-31 00:00:00,116.5
2022-11-30 00:00:00,110.6
2022-10-31 00:00:00,103.5
2022-09-30 00:00:00,91.8
2022-08-31 00:00:00,97.4
2022-07-31 00:00:00,99.2
2022-06-30 00:00:00,121.7
2022-05-31 00:00:00,110.0
2022-04-30 00:00:00,107.6
2022-03-31 00:00:00,107.9
2021-12-31 00:00:00,116.4
2021-11-30 00:00:00,104.1
2021-10-31 00:00:00,129.7
2021-09-30 00:00:00,135.1
2021-08-31 00:00:00,109.4
2021-07-31 00:00:00,105.2
2021-06-30 00:00:00,108.4
2021-05-31 00:00:00,99.4
2021-04-30 00:00:00,91.5
2021-03-31 00:00:00,99.8
2020-12-31 00:00:00,107.5
2020-11-30 00:00:00,100.5
2020-10-31 00:00:00,94.9
2020-09-30 00:00:00,89.2
2020-08-31 00:00:00,95.2
2020-07-31 00:00:00,86.7
2020-06-30 00:00:00,84.1
2020-05-31 00:00:00,84.2
2020-04-30 00:00:00,81.1
2020-03-31 00:00:00,83.0
2019-12-31 00:00:00,90.6
2019-11-30 00:00:00,84.2
2019-10-31 00:00:00,87.9
2019-09-30 00:00:00,89.2
2019-08-31 00:00:00,82.5
2019-07-31 00:00:00,83.3
2019-06-30 00:00:00,80.9
2019-05-31 00:00:00,81.2
2019-04-30 00:00:00,76.0
2019-03-31 00:00:00,84.6
2018-12-31 00:00:00,79.9
2018-11-30 00:00:00,81.8
2018-10-31 00:00:00,83.3
2018-09-30 00:00:00,81.0
2018-08-31 00:00:00,75.1
2018-07-31 00:00:00,74.1
2018-06-30 00:00:00,74.2
2018-05-31 00:00:00,75.3
2018-04-30 00:00:00,69.9
2018-03-31 00:00:00,78.3
2017-12-31 00:00:00,85.5
2017-11-30 00:00:00,80.2
2017-10-31 00:00:00,84.7
2017-09-30 00:00:00,78.6
2017-08-31 00:00:00,80.9
2017-07-31 00:00:00,88.2
2017-06-30 00:00:00,93.0
2017-05-31 00:00:00,88.9
2017-04-30 00:00:00,71.5
2017-03-31 00:00:00,74.0
2016-12-31 00:00:00,83.0
2016-11-30 00:00:00,83.6
2016-10-31 00:00:00,90.3
2016-09-30 00:00:00,100.4
2016-08-31 00:00:00,91.9
2016-07-31 00:00:00,95.8
2016-06-30 00:00:00,106.1
2016-05-31 00:00:00,99.8
2016-04-30 00:00:00,92.2
2016-03-31 00:00:00,87.29
2015-12-31 00:00:00,97.17
2015-11-30 00:00:00,100.92
2015-10-31 00:00:00,108.74
2015-09-30 00:00:00,109.24
2015-08-31 00:00:00,104.52
