指标名称,统计局：焦炭：产量：陕西（月）
指标编码,CM0000049184
2025-11-30 00:00:00,386.3
2025-10-31 00:00:00,366.4
2025-09-30 00:00:00,339.4
2025-08-31 00:00:00,360.7
2025-07-31 00:00:00,375.1
2025-06-30 00:00:00,364.9
2025-05-31 00:00:00,346.0
2025-04-30 00:00:00,321.9
2025-03-31 00:00:00,331.3
2024-12-31 00:00:00,401.7
2024-11-30 00:00:00,382.8
2024-10-31 00:00:00,375.0
2024-09-30 00:00:00,353.4
2024-08-31 00:00:00,400.1
2024-07-31 00:00:00,410.4
2024-06-30 00:00:00,412.8
2024-05-31 00:00:00,374.8
2024-04-30 00:00:00,339.1
2024-03-31 00:00:00,351.7
2023-12-31 00:00:00,429.3
2023-11-30 00:00:00,435.2
2023-10-31 00:00:00,403.4
2023-09-30 00:00:00,376.1
2023-08-31 00:00:00,371.4
2023-07-31 00:00:00,348.9
2023-06-30 00:00:00,362.8
2023-05-31 00:00:00,372.7
2023-04-30 00:00:00,360.3
2023-03-31 00:00:00,387.2
2022-12-31 00:00:00,390.3
2022-11-30 00:00:00,388.2
2022-10-31 00:00:00,382.5
2022-09-30 00:00:00,390.7
2022-08-31 00:00:00,391.3
2022-07-31 00:00:00,369.9
2022-06-30 00:00:00,389.1
2022-05-31 00:00:00,398.4
2022-04-30 00:00:00,404.9
2022-03-31 00:00:00,418.7
2021-12-31 00:00:00,327.2
2021-11-30 00:00:00,302.2
2021-10-31 00:00:00,270.7
2021-09-30 00:00:00,256.7
2021-08-31 00:00:00,352.7
2021-07-31 00:00:00,361.4
2021-06-30 00:00:00,372.0
2021-05-31 00:00:00,380.8
2021-04-30 00:00:00,404.1
2021-03-31 00:00:00,412.5
2020-12-31 00:00:00,446.8
2020-11-30 00:00:00,481.1
2020-10-31 00:00:00,436.1
2020-09-30 00:00:00,461.5
2020-08-31 00:00:00,454.9
2020-07-31 00:00:00,422.1
2020-06-30 00:00:00,434.9
2020-05-31 00:00:00,372.4
2020-04-30 00:00:00,373.5
2020-03-31 00:00:00,379.2
2019-12-31 00:00:00,350.2
2019-11-30 00:00:00,374.2
2019-10-31 00:00:00,390.3
2019-09-30 00:00:00,425.4
2019-08-31 00:00:00,408.1
2019-07-31 00:00:00,413.2
2019-06-30 00:00:00,537.3
2019-05-31 00:00:00,372.0
2019-04-30 00:00:00,338.0
2019-03-31 00:00:00,342.0
2018-12-31 00:00:00,480.4
2018-11-30 00:00:00,325.2
2018-10-31 00:00:00,322.2
2018-09-30 00:00:00,313.6
2018-08-31 00:00:00,314.3
2018-07-31 00:00:00,312.1
2018-06-30 00:00:00,319.2
2018-05-31 00:00:00,315.6
2018-04-30 00:00:00,338.8
2018-03-31 00:00:00,342.9
2017-12-31 00:00:00,338.8
2017-11-30 00:00:00,369.6
2017-10-31 00:00:00,353.9
2017-09-30 00:00:00,330.7
2017-08-31 00:00:00,337.2
2017-07-31 00:00:00,333.6
2017-06-30 00:00:00,316.5
2017-05-31 00:00:00,324.5
2017-04-30 00:00:00,322.0
2017-03-31 00:00:00,394.4
2016-12-31 00:00:00,357.0
2016-11-30 00:00:00,360.1
2016-10-31 00:00:00,385.9
2016-09-30 00:00:00,396.2
2016-08-31 00:00:00,391.7
2016-07-31 00:00:00,355.3
2016-06-30 00:00:00,359.6
2016-05-31 00:00:00,267.2
2016-04-30 00:00:00,266.5
2016-03-31 00:00:00,271.55
2015-12-31 00:00:00,307.02
2015-11-30 00:00:00,310.41
2015-10-31 00:00:00,319.43
2015-09-30 00:00:00,312.87
2015-08-31 00:00:00,321.25
2015-07-31 00:00:00,316.62
2015-06-30 00:00:00,325.38
2015-05-31 00:00:00,300.93
2015-04-30 00:00:00,284.82
2015-03-31 00:00:00,273.06
2015-02-28 00:00:00,271.6
2015-01-31 00:00:00,277.3
2014-12-31 00:00:00,372.17
2014-11-30 00:00:00,363.63
2014-10-31 00:00:00,339.64
2014-09-30 00:00:00,340.83
2014-08-31 00:00:00,350.15
2014-07-31 00:00:00,348.81
2014-06-30 00:00:00,376.32
2014-05-31 00:00:00,268.52
2014-04-30 00:00:00,270.97
2014-03-31 00:00:00,250.46
2014-02-28 00:00:00,265.68
2014-01-31 00:00:00,235.59
2013-12-31 00:00:00,290.77
2013-11-30 00:00:00,317.6
2013-10-31 00:00:00,298.07
2013-09-30 00:00:00,282.07
