指标名称,统计局：焦炭：产量：宁夏（月）
指标编码,CM0000049186
2025-11-30 00:00:00,134.1
2025-10-31 00:00:00,140.1
2025-09-30 00:00:00,149.8
2025-08-31 00:00:00,138.5
2025-07-31 00:00:00,146.8
2025-06-30 00:00:00,136.3
2025-05-31 00:00:00,135.5
2025-04-30 00:00:00,131.0
2025-03-31 00:00:00,133.3
2024-12-31 00:00:00,139.9
2024-11-30 00:00:00,139.8
2024-10-31 00:00:00,138.8
2024-09-30 00:00:00,132.5
2024-08-31 00:00:00,132.6
2024-07-31 00:00:00,135.9
2024-06-30 00:00:00,134.6
2024-05-31 00:00:00,136.4
2024-04-30 00:00:00,131.3
2024-03-31 00:00:00,127.3
2023-12-31 00:00:00,126.2
2023-11-30 00:00:00,115.8
2023-10-31 00:00:00,112.3
2023-09-30 00:00:00,115.0
2023-08-31 00:00:00,117.7
2023-07-31 00:00:00,115.0
2023-06-30 00:00:00,113.0
2023-05-31 00:00:00,112.1
2023-04-30 00:00:00,110.2
2023-03-31 00:00:00,112.4
2022-12-31 00:00:00,98.4
2022-11-30 00:00:00,94.0
2022-10-31 00:00:00,98.5
2022-09-30 00:00:00,112.7
2022-08-31 00:00:00,109.8
2022-07-31 00:00:00,106.6
2022-06-30 00:00:00,115.0
2022-05-31 00:00:00,112.8
2022-04-30 00:00:00,102.7
2022-03-31 00:00:00,98.9
2021-12-31 00:00:00,79.3
2021-11-30 00:00:00,74.5
2021-10-31 00:00:00,79.4
2021-09-30 00:00:00,79.1
2021-08-31 00:00:00,89.0
2021-07-31 00:00:00,64.7
2021-06-30 00:00:00,79.6
2021-05-31 00:00:00,82.6
2021-04-30 00:00:00,83.8
2021-03-31 00:00:00,86.0
2020-12-31 00:00:00,76.3
2020-11-30 00:00:00,77.9
2020-10-31 00:00:00,82.4
2020-09-30 00:00:00,80.8
2020-08-31 00:00:00,83.5
2020-07-31 00:00:00,72.4
2020-06-30 00:00:00,77.8
2020-05-31 00:00:00,68.2
2020-04-30 00:00:00,63.1
2020-03-31 00:00:00,66.1
2019-12-31 00:00:00,66.9
2019-11-30 00:00:00,64.7
2019-10-31 00:00:00,67.7
2019-09-30 00:00:00,67.5
2019-08-31 00:00:00,68.2
2019-07-31 00:00:00,67.1
2019-06-30 00:00:00,68.7
2019-05-31 00:00:00,67.5
2019-04-30 00:00:00,64.9
2019-03-31 00:00:00,64.3
2018-12-31 00:00:00,64.5
2018-11-30 00:00:00,61.4
2018-10-31 00:00:00,65.0
2018-09-30 00:00:00,64.6
2018-08-31 00:00:00,64.6
2018-07-31 00:00:00,61.0
2018-06-30 00:00:00,52.5
2018-05-31 00:00:00,63.4
2018-04-30 00:00:00,64.7
2018-03-31 00:00:00,60.0
2017-12-31 00:00:00,59.3
2017-11-30 00:00:00,62.1
2017-10-31 00:00:00,64.8
2017-09-30 00:00:00,68.9
2017-08-31 00:00:00,68.7
2017-07-31 00:00:00,67.4
2017-06-30 00:00:00,64.3
2017-05-31 00:00:00,62.6
2017-04-30 00:00:00,64.3
2017-03-31 00:00:00,67.3
2016-12-31 00:00:00,59.3
2016-11-30 00:00:00,65.8
2016-10-31 00:00:00,68.7
2016-09-30 00:00:00,70.1
2016-08-31 00:00:00,70.1
2016-07-31 00:00:00,67.4
2016-06-30 00:00:00,68.3
2016-05-31 00:00:00,71.2
2016-04-30 00:00:00,66.6
2016-03-31 00:00:00,58.82
2015-12-31 00:00:00,61.7
2015-11-30 00:00:00,60.5
2015-10-31 00:00:00,61.96
2015-09-30 00:00:00,66.24
2015-08-31 00:00:00,66.78
2015-07-31 00:00:00,64.71
2015-06-30 00:00:00,64.91
2015-05-31 00:00:00,63.2
2015-04-30 00:00:00,56.95
2015-03-31 00:00:00,60.89
2015-02-28 00:00:00,59.45
2015-01-31 00:00:00,57.9
2014-12-31 00:00:00,67.27
2014-11-30 00:00:00,66.59
2014-10-31 00:00:00,70.99
2014-09-30 00:00:00,66.76
2014-08-31 00:00:00,68.56
2014-07-31 00:00:00,68.23
2014-06-30 00:00:00,64.95
2014-05-31 00:00:00,65.93
2014-04-30 00:00:00,67.11
2014-03-31 00:00:00,52.73
2014-02-28 00:00:00,57.0
2014-01-31 00:00:00,65.89
2013-12-31 00:00:00,64.48
2013-11-30 00:00:00,64.05
2013-10-31 00:00:00,66.77
2013-09-30 00:00:00,62.99
2013-08-31 00:00:00,66.34
2013-07-31 00:00:00,62.24
2013-06-30 00:00:00,58.81
2013-05-31 00:00:00,60.11
2013-04-30 00:00:00,49.16
2013-03-31 00:00:00,45.71
2013-02-28 00:00:00,38.2
2013-01-31 00:00:00,34.4
2012-12-31 00:00:00,24.63
2012-11-30 00:00:00,48.08
2012-10-31 00:00:00,48.51
2012-09-30 00:00:00,44.37
2012-08-31 00:00:00,51.36
2012-07-31 00:00:00,39.18
2012-06-30 00:00:00,41.82
2012-05-31 00:00:00,41.67
2012-04-30 00:00:00,42.09
2012-03-31 00:00:00,38.22
2012-02-29 00:00:00,33.91
2012-01-31 00:00:00,33.7
2011-12-31 00:00:00,37.52
2011-11-30 00:00:00,34.9
2011-10-31 00:00:00,32.52
2011-09-30 00:00:00,36.48
2011-08-31 00:00:00,39.02
2011-07-31 00:00:00,38.1
2011-06-30 00:00:00,56.32
2011-05-31 00:00:00,37.4
2011-04-30 00:00:00,37.52
2011-03-31 00:00:00,26.94
2011-02-28 00:00:00,28.05
2011-01-31 00:00:00,32.9
2010-12-31 00:00:00,37.05
2010-11-30 00:00:00,37.08
2010-10-31 00:00:00,36.39
2010-09-30 00:00:00,39.65
2010-08-31 00:00:00,38.32
2010-07-31 00:00:00,28.75
2010-06-30 00:00:00,33.7
2010-05-31 00:00:00,35.5
2010-04-30 00:00:00,38.91
2010-03-31 00:00:00,32.59
2010-02-28 00:00:00,29.87
