指标名称,统计局：焦炭：产量：新疆（月）
指标编码,CM0000049187
2025-11-30 00:00:00,348.7
2025-10-31 00:00:00,333.5
2025-09-30 00:00:00,363.7
2025-08-31 00:00:00,337.2
2025-07-31 00:00:00,290.6
2025-06-30 00:00:00,311.0
2025-05-31 00:00:00,327.5
2025-04-30 00:00:00,327.1
2025-03-31 00:00:00,337.0
2024-12-31 00:00:00,369.9
2024-11-30 00:00:00,352.6
2024-10-31 00:00:00,311.8
2024-09-30 00:00:00,304.0
2024-08-31 00:00:00,294.5
2024-07-31 00:00:00,274.2
2024-06-30 00:00:00,296.6
2024-05-31 00:00:00,294.1
2024-04-30 00:00:00,291.2
2024-03-31 00:00:00,326.8
2023-12-31 00:00:00,324.9
2023-11-30 00:00:00,335.0
2023-10-31 00:00:00,272.4
2023-09-30 00:00:00,304.3
2023-08-31 00:00:00,273.0
2023-07-31 00:00:00,236.8
2023-06-30 00:00:00,236.0
2023-05-31 00:00:00,285.5
2023-04-30 00:00:00,294.0
2023-03-31 00:00:00,287.4
2022-12-31 00:00:00,231.6
2022-11-30 00:00:00,211.2
2022-10-31 00:00:00,211.0
2022-09-30 00:00:00,204.1
2022-08-31 00:00:00,201.3
2022-07-31 00:00:00,229.3
2022-06-30 00:00:00,242.9
2022-05-31 00:00:00,235.4
2022-04-30 00:00:00,218.3
2022-03-31 00:00:00,238.2
2021-12-31 00:00:00,215.5
2021-11-30 00:00:00,153.3
2021-10-31 00:00:00,184.5
2021-09-30 00:00:00,205.7
2021-08-31 00:00:00,220.4
2021-07-31 00:00:00,216.3
2021-06-30 00:00:00,196.0
2021-05-31 00:00:00,200.5
2021-04-30 00:00:00,217.2
2021-03-31 00:00:00,223.9
2020-12-31 00:00:00,202.0
2020-11-30 00:00:00,215.3
2020-10-31 00:00:00,189.8
2020-09-30 00:00:00,194.6
2020-08-31 00:00:00,174.7
2020-07-31 00:00:00,173.8
2020-06-30 00:00:00,200.4
2020-05-31 00:00:00,197.8
2020-04-30 00:00:00,192.3
2020-03-31 00:00:00,187.3
2019-12-31 00:00:00,192.7
2019-11-30 00:00:00,186.2
2019-10-31 00:00:00,194.6
2019-09-30 00:00:00,191.1
2019-08-31 00:00:00,176.3
2019-07-31 00:00:00,137.9
2019-06-30 00:00:00,163.8
2019-05-31 00:00:00,161.8
2019-04-30 00:00:00,170.0
2019-03-31 00:00:00,150.7
2018-12-31 00:00:00,150.5
2018-11-30 00:00:00,152.8
2018-10-31 00:00:00,149.7
2018-09-30 00:00:00,132.1
2018-08-31 00:00:00,116.3
2018-07-31 00:00:00,102.7
2018-06-30 00:00:00,99.9
2018-05-31 00:00:00,102.7
2018-04-30 00:00:00,139.8
2018-03-31 00:00:00,158.3
2017-12-31 00:00:00,124.3
2017-11-30 00:00:00,145.8
2017-10-31 00:00:00,131.6
2017-09-30 00:00:00,109.8
2017-08-31 00:00:00,104.8
2017-07-31 00:00:00,148.7
2017-06-30 00:00:00,159.3
2017-05-31 00:00:00,138.0
2017-04-30 00:00:00,149.3
2017-03-31 00:00:00,144.6
2016-12-31 00:00:00,115.2
2016-11-30 00:00:00,127.4
2016-10-31 00:00:00,118.1
2016-09-30 00:00:00,116.0
2016-08-31 00:00:00,138.8
2016-07-31 00:00:00,140.9
2016-06-30 00:00:00,142.7
2016-05-31 00:00:00,140.5
2016-04-30 00:00:00,126.7
2016-03-31 00:00:00,158.73
2015-12-31 00:00:00,74.51
2015-11-30 00:00:00,114.71
2015-10-31 00:00:00,127.92
2015-09-30 00:00:00,146.67
2015-08-31 00:00:00,128.16
2015-07-31 00:00:00,115.66
2015-06-30 00:00:00,139.33
2015-05-31 00:00:00,127.54
2015-04-30 00:00:00,142.79
2015-03-31 00:00:00,178.13
2015-02-28 00:00:00,162.47
2015-01-31 00:00:00,151.3
2014-12-31 00:00:00,202.3
2014-11-30 00:00:00,171.14
2014-10-31 00:00:00,211.4
2014-09-30 00:00:00,202.26
2014-08-31 00:00:00,172.9
2014-07-31 00:00:00,175.04
2014-06-30 00:00:00,147.59
2014-05-31 00:00:00,142.91
2014-04-30 00:00:00,140.47
2014-03-31 00:00:00,138.39
2014-02-28 00:00:00,142.46
2014-01-31 00:00:00,125.3
2013-12-31 00:00:00,182.23
2013-11-30 00:00:00,159.27
2013-10-31 00:00:00,145.28
2013-09-30 00:00:00,151.04
2013-08-31 00:00:00,155.78
2013-07-31 00:00:00,140.63
2013-06-30 00:00:00,178.15
2013-05-31 00:00:00,127.97
2013-04-30 00:00:00,133.92
2013-03-31 00:00:00,147.08
2013-02-28 00:00:00,89.8
2013-01-31 00:00:00,92.8
2012-12-31 00:00:00,103.06
2012-11-30 00:00:00,111.02
2012-10-31 00:00:00,113.81
2012-09-30 00:00:00,110.21
2012-08-31 00:00:00,102.41
2012-07-31 00:00:00,116.05
2012-06-30 00:00:00,131.75
2012-05-31 00:00:00,98.61
2012-04-30 00:00:00,98.56
2012-03-31 00:00:00,89.56
2012-02-29 00:00:00,89.57
2012-01-31 00:00:00,90.2
2011-12-31 00:00:00,128.77
2011-11-30 00:00:00,102.16
2011-10-31 00:00:00,113.56
2011-09-30 00:00:00,112.19
2011-08-31 00:00:00,118.94
2011-07-31 00:00:00,116.66
2011-06-30 00:00:00,103.51
2011-05-31 00:00:00,105.52
2011-04-30 00:00:00,87.82
2011-03-31 00:00:00,83.29
2011-02-28 00:00:00,77.06
2011-01-31 00:00:00,90.39
2010-12-31 00:00:00,122.61
2010-11-30 00:00:00,114.27
2010-10-31 00:00:00,107.09
2010-09-30 00:00:00,96.52
2010-08-31 00:00:00,86.88
2010-07-31 00:00:00,82.94
2010-06-30 00:00:00,97.67
2010-05-31 00:00:00,95.2
2010-04-30 00:00:00,87.26
2010-03-31 00:00:00,86.31
2010-02-28 00:00:00,61.29
2010-01-31 00:00:00,73.3
2009-12-31 00:00:00,85.92
2009-11-30 00:00:00,96.45
2009-10-31 00:00:00,83.67
2009-09-30 00:00:00,79.54
2009-08-31 00:00:00,76.66
2009-07-31 00:00:00,55.75
2009-06-30 00:00:00,59.34
2009-05-31 00:00:00,51.72
2009-04-30 00:00:00,45.86
2009-03-31 00:00:00,52.67
2009-02-28 00:00:00,40.55
2009-01-31 00:00:00,45.93
2008-12-31 00:00:00,44.49
2008-11-30 00:00:00,51.96
2008-10-31 00:00:00,41.52
2008-09-30 00:00:00,52.48
2008-08-31 00:00:00,43.94
2008-07-31 00:00:00,45.15
2008-06-30 00:00:00,45.72
2008-05-31 00:00:00,39.27
2008-04-30 00:00:00,41.16
2008-03-31 00:00:00,40.93
2008-02-29 00:00:00,37.39
2008-01-31 00:00:00,40.62
2007-12-31 00:00:00,32.74
2007-11-30 00:00:00,35.54
2007-10-31 00:00:00,32.8
2007-09-30 00:00:00,31.99
2007-08-31 00:00:00,32.3
2007-07-31 00:00:00,33.77
2007-06-30 00:00:00,31.09
2007-05-31 00:00:00,28.29
2007-04-30 00:00:00,29.07
2007-03-31 00:00:00,30.55
2007-02-28 00:00:00,23.47
2007-01-31 00:00:00,40.76
2006-12-31 00:00:00,23.51
2006-11-30 00:00:00,21.51
2006-10-31 00:00:00,24.46
2006-09-30 00:00:00,22.57
2006-08-31 00:00:00,22.83
2006-07-31 00:00:00,24.44
2006-06-30 00:00:00,23.44
2006-05-31 00:00:00,22.08
2006-04-30 00:00:00,22.04
2006-03-31 00:00:00,20.98
2006-02-28 00:00:00,18.55
2006-01-31 00:00:00,16.75
2005-12-31 00:00:00,19.36
2005-11-30 00:00:00,17.28
2005-10-31 00:00:00,17.05
2005-09-30 00:00:00,16.37
2005-08-31 00:00:00,17.22
2005-07-31 00:00:00,16.34
2005-06-30 00:00:00,22.49
2005-05-31 00:00:00,15.09
2005-04-30 00:00:00,14.39
2005-03-31 00:00:00,13.72
2005-02-28 00:00:00,11.25
2005-01-31 00:00:00,13.74
2004-12-31 00:00:00,17.86
2004-11-30 00:00:00,9.2
2004-10-31 00:00:00,10.04
2004-09-30 00:00:00,10.89
2004-08-31 00:00:00,11.19
2004-07-31 00:00:00,9.84
2004-06-30 00:00:00,9.52
2004-05-31 00:00:00,9.76
2004-04-30 00:00:00,9.94
2004-03-31 00:00:00,9.56
2004-02-29 00:00:00,9.21
2004-01-31 00:00:00,7.31
2003-12-31 00:00:00,7.52
2003-11-30 00:00:00,7.44
2003-10-31 00:00:00,7.7
2003-09-30 00:00:00,7.62
2003-08-31 00:00:00,7.82
2003-07-31 00:00:00,7.45
2003-06-30 00:00:00,7.18
2003-05-31 00:00:00,7.34
2003-04-30 00:00:00,7.04
2003-03-31 00:00:00,6.57
2003-02-28 00:00:00,6.23
2003-01-31 00:00:00,7.57
2002-12-31 00:00:00,7.61
2002-11-30 00:00:00,7.97
2002-10-31 00:00:00,7.89
2002-09-30 00:00:00,7.88
2002-08-31 00:00:00,7.43
2002-07-31 00:00:00,7.66
2002-06-30 00:00:00,6.62
2002-05-31 00:00:00,8.3
2002-04-30 00:00:00,7.94
2002-03-31 00:00:00,5.84
2002-02-28 00:00:00,6.46
2002-01-31 00:00:00,5.96
2001-12-31 00:00:00,8.65
2001-11-30 00:00:00,6.87
2001-10-31 00:00:00,7.76
2001-07-31 00:00:00,6.36
2001-05-31 00:00:00,9.33
2001-04-30 00:00:00,7.55
2001-03-31 00:00:00,7.18
2001-02-28 00:00:00,6.41
2001-01-31 00:00:00,6.4
2000-12-31 00:00:00,7.2
2000-11-30 00:00:00,7.04
2000-10-31 00:00:00,7.05
2000-07-31 00:00:00,5.94
