指标名称,统计局：焦炭：产量：青海（月）
指标编码,CM0000049188
2025-11-30 00:00:00,0.0
2025-10-31 00:00:00,0.0
2025-09-30 00:00:00,0.0
2025-08-31 00:00:00,0.0
2025-07-31 00:00:00,0.0
2025-06-30 00:00:00,0.0
2025-05-31 00:00:00,0.0
2025-04-30 00:00:00,0.0
2025-03-31 00:00:00,0.0
2024-12-31 00:00:00,0.0
2024-11-30 00:00:00,0.0
2024-10-31 00:00:00,0.0
2024-05-31 00:00:00,0.0
2023-12-31 00:00:00,0.0
2023-11-30 00:00:00,0.0
2023-10-31 00:00:00,0.0
2023-09-30 00:00:00,0.0
2023-08-31 00:00:00,0.0
2023-07-31 00:00:00,0.0
2023-06-30 00:00:00,0.0
2023-05-31 00:00:00,0.3
2023-04-30 00:00:00,2.2
2023-03-31 00:00:00,4.9
2022-12-31 00:00:00,5.7
2022-11-30 00:00:00,5.5
2022-10-31 00:00:00,5.1
2022-09-30 00:00:00,5.7
2022-08-31 00:00:00,7.2
2022-07-31 00:00:00,6.7
2022-06-30 00:00:00,8.3
2022-05-31 00:00:00,8.4
2022-04-30 00:00:00,9.7
2022-03-31 00:00:00,13.5
2021-12-31 00:00:00,8.6
2021-11-30 00:00:00,8.3
2021-10-31 00:00:00,9.7
2021-09-30 00:00:00,10.1
2021-08-31 00:00:00,10.8
2021-07-31 00:00:00,15.4
2021-06-30 00:00:00,16.7
2021-05-31 00:00:00,14.8
2021-04-30 00:00:00,14.9
2021-03-31 00:00:00,15.2
2020-12-31 00:00:00,15.4
2020-11-30 00:00:00,11.7
2020-10-31 00:00:00,11.3
2020-09-30 00:00:00,13.6
2020-08-31 00:00:00,16.1
2020-07-31 00:00:00,15.8
2020-06-30 00:00:00,17.2
2020-05-31 00:00:00,16.7
2020-04-30 00:00:00,17.0
2020-03-31 00:00:00,15.9
2019-12-31 00:00:00,16.7
2019-11-30 00:00:00,14.3
2019-10-31 00:00:00,16.4
2019-09-30 00:00:00,16.4
2019-08-31 00:00:00,15.0
2019-07-31 00:00:00,12.7
2019-06-30 00:00:00,15.1
2019-05-31 00:00:00,15.6
2019-04-30 00:00:00,17.6
2019-03-31 00:00:00,15.9
2018-12-31 00:00:00,16.0
2018-11-30 00:00:00,15.1
