指标名称,无烟煤：进口数量：俄罗斯→中国（月）
指标编码,CM0000291570
2025-11-30 00:00:00,1232905.046
2025-10-31 00:00:00,941584.35
2025-09-30 00:00:00,945949.15
2025-08-31 00:00:00,1473299.053
2025-07-31 00:00:00,707115.8
2025-06-30 00:00:00,1118567.35
2025-05-31 00:00:00,1298094.65
2025-04-30 00:00:00,1722174.769
2025-03-31 00:00:00,1875866.82
2025-02-28 00:00:00,1299115.36
2025-01-31 00:00:00,1115895.56
2024-12-31 00:00:00,1508058.95
2024-11-30 00:00:00,1344797.123
2024-10-31 00:00:00,1091255.8
2024-09-30 00:00:00,1181099.49
2024-08-31 00:00:00,1322162.058
2024-07-31 00:00:00,897414.36
2024-06-30 00:00:00,1217722.23
2024-05-31 00:00:00,1352445.479
2024-04-30 00:00:00,1337017.371
2024-03-31 00:00:00,1180695.46
2024-02-29 00:00:00,862167.058
2024-01-31 00:00:00,815389.975
2023-12-31 00:00:00,1498160.166
2023-11-30 00:00:00,1507622.193
2023-10-31 00:00:00,1307060.355
2023-09-30 00:00:00,981575.858
2023-08-31 00:00:00,1409176.7
2023-07-31 00:00:00,1198542.765
2023-06-30 00:00:00,2104148.456
2023-05-31 00:00:00,1460738.857
2023-04-30 00:00:00,1256670.45
2023-03-31 00:00:00,1800965.65
2023-02-28 00:00:00,1615818.545
2023-01-31 00:00:00,1370339.859
2022-12-31 00:00:00,964596.15
2022-11-30 00:00:00,735868.254
2022-10-31 00:00:00,713217.387
2022-09-30 00:00:00,766974.6
2022-08-31 00:00:00,1268304.302
2022-07-31 00:00:00,1621773.6
2022-06-30 00:00:00,1240407.741
2022-05-31 00:00:00,890717.6
2022-04-30 00:00:00,478987.881
2022-03-31 00:00:00,708735.07
2022-02-28 00:00:00,516222.776
2022-01-31 00:00:00,521098.6
2021-12-31 00:00:00,435884.246
2021-11-30 00:00:00,1072607.429
2021-10-31 00:00:00,659123.485
2021-09-30 00:00:00,743114.603
2021-08-31 00:00:00,949459.97
2021-07-31 00:00:00,755769.13
2021-06-30 00:00:00,826488.438
2021-05-31 00:00:00,767503.06
2021-04-30 00:00:00,822022.42
2021-03-31 00:00:00,1252549.903
2021-02-28 00:00:00,432351.602
2021-01-31 00:00:00,200822.72
2020-12-31 00:00:00,1586311.73
2020-11-30 00:00:00,592136.8
2020-10-31 00:00:00,429025.35
2020-09-30 00:00:00,369056.37
2020-08-31 00:00:00,536862.2
2020-07-31 00:00:00,688116.719
2020-06-30 00:00:00,504624.598
2020-05-31 00:00:00,431559.6
2020-04-30 00:00:00,560721.71
2020-03-31 00:00:00,601292.59
2020-02-29 00:00:00,555381.87
2020-01-31 00:00:00,642158.47
2019-12-31 00:00:00,66982.85
2019-11-30 00:00:00,440705.6
2019-10-31 00:00:00,290086.56
2019-09-30 00:00:00,385953.35
2019-08-31 00:00:00,342965.35
2019-07-31 00:00:00,704944.89
2019-06-30 00:00:00,670833.353
2019-05-31 00:00:00,814022.36
2019-04-30 00:00:00,507366.465
2019-03-31 00:00:00,844231.34
2019-02-28 00:00:00,786784.473
2019-01-31 00:00:00,673886.806
2018-12-31 00:00:00,313782.55
2018-11-30 00:00:00,347249.72
2018-10-31 00:00:00,532367.9
2018-09-30 00:00:00,925482.264
2018-08-31 00:00:00,472401.705
2018-07-31 00:00:00,1079023.803
2018-06-30 00:00:00,497488.08
2018-05-31 00:00:00,783633.394
2018-04-30 00:00:00,650354.9
2018-03-31 00:00:00,674365.311
2018-02-28 00:00:00,447232.955
