指标名称,中国：货币供应量同比：M2（月）
指标编码,CM0000662590
2025-11-30 00:00:00,8.0
2025-10-31 00:00:00,8.2
2025-09-30 00:00:00,8.4
2025-08-31 00:00:00,8.8
2025-07-31 00:00:00,8.8
2025-06-30 00:00:00,8.3
2025-05-31 00:00:00,7.9
2025-04-30 00:00:00,8.0
2025-03-31 00:00:00,7.0
2025-02-28 00:00:00,7.0
2025-01-31 00:00:00,7.0
2024-12-31 00:00:00,7.3
2024-11-30 00:00:00,7.1
2024-10-31 00:00:00,7.5
2024-09-30 00:00:00,6.8
2024-08-31 00:00:00,6.3
2024-07-31 00:00:00,6.3
2024-06-30 00:00:00,6.2
2024-05-31 00:00:00,7.0
2024-04-30 00:00:00,7.2
2024-03-31 00:00:00,8.3
2024-02-29 00:00:00,8.7
2024-01-31 00:00:00,8.7
2023-12-31 00:00:00,9.7
2023-11-30 00:00:00,10.0
2023-10-31 00:00:00,10.3
2023-09-30 00:00:00,10.3
2023-08-31 00:00:00,10.6
2023-07-31 00:00:00,10.7
2023-06-30 00:00:00,11.3
2023-05-31 00:00:00,11.6
2023-04-30 00:00:00,12.4
2023-03-31 00:00:00,12.7
2023-02-28 00:00:00,12.9
2023-01-31 00:00:00,12.6
2022-12-31 00:00:00,11.8
2022-11-30 00:00:00,12.4
2022-10-31 00:00:00,11.8
2022-09-30 00:00:00,12.1
2022-08-31 00:00:00,12.2
2022-07-31 00:00:00,12.0
2022-06-30 00:00:00,11.4
2022-05-31 00:00:00,11.1
2022-04-30 00:00:00,10.5
2022-03-31 00:00:00,9.7
2022-02-28 00:00:00,9.2
2022-01-31 00:00:00,9.8
2021-12-31 00:00:00,9.0
2021-11-30 00:00:00,8.5
2021-10-31 00:00:00,8.7
2021-09-30 00:00:00,8.3
2021-08-31 00:00:00,8.2
2021-07-31 00:00:00,8.3
2021-06-30 00:00:00,8.6
2021-05-31 00:00:00,8.3
2021-04-30 00:00:00,8.1
2021-03-31 00:00:00,9.4
2021-02-28 00:00:00,10.1
2021-01-31 00:00:00,9.4
2020-12-31 00:00:00,10.1
2020-11-30 00:00:00,10.7
2020-10-31 00:00:00,10.5
2020-09-30 00:00:00,10.9
2020-08-31 00:00:00,10.4
2020-07-31 00:00:00,10.7
2020-06-30 00:00:00,11.1
2020-05-31 00:00:00,11.1
2020-04-30 00:00:00,11.1
2020-03-31 00:00:00,10.1
2020-02-29 00:00:00,8.8
2020-01-31 00:00:00,8.4
2019-12-31 00:00:00,8.7
2019-11-30 00:00:00,8.2
2019-10-31 00:00:00,8.4
2019-09-30 00:00:00,8.4
2019-08-31 00:00:00,8.2
2019-07-31 00:00:00,8.1
2019-06-30 00:00:00,8.5
2019-05-31 00:00:00,8.5
2019-04-30 00:00:00,8.5
2019-03-31 00:00:00,8.6
2019-02-28 00:00:00,8.0
2019-01-31 00:00:00,8.4
2018-12-31 00:00:00,8.1
2018-11-30 00:00:00,8.0
2018-10-31 00:00:00,8.0
2018-09-30 00:00:00,8.3
2018-08-31 00:00:00,8.2
2018-07-31 00:00:00,8.5
2018-06-30 00:00:00,8.0
2018-05-31 00:00:00,8.3
2018-04-30 00:00:00,8.3
2018-03-31 00:00:00,8.2
2018-02-28 00:00:00,8.8
2018-01-31 00:00:00,8.6
2017-12-31 00:00:00,8.2
2017-11-30 00:00:00,9.1
2017-10-31 00:00:00,8.8
2017-09-30 00:00:00,9.2
2017-08-31 00:00:00,8.9
