指标名称,中国：社会融资规模增量（月）
指标编码,CM0000662662
2025-11-30 00:00:00,24888.0
2025-10-31 00:00:00,8178.0
2025-09-30 00:00:00,35299.0
2025-08-31 00:00:00,25660.0
2025-07-31 00:00:00,11307.0
2025-06-30 00:00:00,42251.0
2025-05-31 00:00:00,22900.0
2025-04-30 00:00:00,11599.0
2025-03-31 00:00:00,58961.0
2025-02-28 00:00:00,22331.0
2025-01-31 00:00:00,70546.0
2024-12-31 00:00:00,28537.0
2024-11-30 00:00:00,23288.0
2024-10-31 00:00:00,14120.0
2024-09-30 00:00:00,37635.0
2024-08-31 00:00:00,30323.0
2024-07-31 00:00:00,7707.0
2024-06-30 00:00:00,32985.0
2024-05-31 00:00:00,20623.0
2024-04-30 00:00:00,-658.0
2024-03-31 00:00:00,48335.0
2024-02-29 00:00:00,14959.0
2024-01-31 00:00:00,64734.0
2023-12-31 00:00:00,19326.0
2023-11-30 00:00:00,24554.0
2023-10-31 00:00:00,18441.0
2023-09-30 00:00:00,41326.0
2023-08-31 00:00:00,31279.0
2023-07-31 00:00:00,5366.0
2023-06-30 00:00:00,42265.0
2023-05-31 00:00:00,15560.0
2023-04-30 00:00:00,12249.0
2023-03-31 00:00:00,53867.0
2023-02-28 00:00:00,31610.0
2023-01-31 00:00:00,59956.0
2022-12-31 00:00:00,13063.0
2022-11-30 00:00:00,19837.0
2022-10-31 00:00:00,9134.0
2022-09-30 00:00:00,35411.0
2022-08-31 00:00:00,24712.0
2022-07-31 00:00:00,7785.0
2022-06-30 00:00:00,51926.0
2022-05-31 00:00:00,28415.0
2022-04-30 00:00:00,9327.0
2022-03-31 00:00:00,46565.0
2022-02-28 00:00:00,12170.0
2022-01-31 00:00:00,61759.0
2021-12-31 00:00:00,23682.0
2021-11-30 00:00:00,25983.0
2021-10-31 00:00:00,16176.0
2021-09-30 00:00:00,29026.0
2021-08-31 00:00:00,29893.0
2021-07-31 00:00:00,10752.0
2021-06-30 00:00:00,37017.0
2021-05-31 00:00:00,19522.0
2021-04-30 00:00:00,18570.0
2021-03-31 00:00:00,33762.0
2021-02-28 00:00:00,17243.0
2021-01-31 00:00:00,51884.0
2020-12-31 00:00:00,16476.0
2020-11-30 00:00:00,21355.0
2020-10-31 00:00:00,13929.0
2020-09-30 00:00:00,34693.0
2020-08-31 00:00:00,35853.0
2020-07-31 00:00:00,16928.0
2020-06-30 00:00:00,34681.0
2020-05-31 00:00:00,31866.0
2020-04-30 00:00:00,31027.0
2020-03-31 00:00:00,51838.0
2020-02-29 00:00:00,8737.0
2020-01-31 00:00:00,50535.0
2019-12-31 00:00:00,22013.0
2019-11-30 00:00:00,19937.0
2019-10-31 00:00:00,8680.0
2019-09-30 00:00:00,25142.0
2019-08-31 00:00:00,21956.0
2019-07-31 00:00:00,12872.0
2019-06-30 00:00:00,26243.0
2019-05-31 00:00:00,17124.0
2019-04-30 00:00:00,16710.0
2019-03-31 00:00:00,29602.0
2019-02-28 00:00:00,9665.0
2019-01-31 00:00:00,46791.0
2018-12-31 00:00:00,15898.0
2018-11-30 00:00:00,15191.11
2018-10-31 00:00:00,7429.66
2018-09-30 00:00:00,21701.02
2018-08-31 00:00:00,19412.25
2018-07-31 00:00:00,12243.61
2018-06-30 00:00:00,14877.32
2018-05-31 00:00:00,9533.04
2018-04-30 00:00:00,17760.95
2018-03-31 00:00:00,15864.35
2018-02-28 00:00:00,11893.6
2018-01-31 00:00:00,30792.93
2017-12-31 00:00:00,11398.12
2017-11-30 00:00:00,16195.85
2017-10-31 00:00:00,10356.95
2017-09-30 00:00:00,18335.21
2017-08-31 00:00:00,14894.57
2017-07-31 00:00:00,11956.41
2017-06-30 00:00:00,17717.64
2017-05-31 00:00:00,10630.89
2017-04-30 00:00:00,13879.98
2017-03-31 00:00:00,21185.9
2017-02-28 00:00:00,10907.72
2017-01-31 00:00:00,36970.49
2016-12-31 00:00:00,16397.17
2016-11-30 00:00:00,18328.1
2016-10-31 00:00:00,8864.63
2016-09-30 00:00:00,17153.28
2016-08-31 00:00:00,14700.0
2016-07-31 00:00:00,4879.0
2016-06-30 00:00:00,16293.0
2016-05-31 00:00:00,6599.0
2016-04-30 00:00:00,7510.0
2016-03-31 00:00:00,23925.0
2016-02-29 00:00:00,7802.0
2016-01-31 00:00:00,34173.0
2015-12-31 00:00:00,18151.0
2015-11-30 00:00:00,10224.0
2015-10-31 00:00:00,5303.0
2015-09-30 00:00:00,13290.0
2015-08-31 00:00:00,10856.0
2015-07-31 00:00:00,7419.0
2015-06-30 00:00:00,18334.0
2015-05-31 00:00:00,12362.0
2015-04-30 00:00:00,10557.0
2015-03-31 00:00:00,12407.0
2015-02-28 00:00:00,13564.0
2015-01-31 00:00:00,20469.0
2014-12-31 00:00:00,16945.0
2014-11-30 00:00:00,11500.0
2014-10-31 00:00:00,6627.0
2014-09-30 00:00:00,11355.0
2014-08-31 00:00:00,9577.0
2014-07-31 00:00:00,2737.0
2014-06-30 00:00:00,19673.0
2014-05-31 00:00:00,14013.0
2014-04-30 00:00:00,15259.0
2014-03-31 00:00:00,20934.0
2014-02-28 00:00:00,9370.0
2014-01-31 00:00:00,26004.0
2013-12-31 00:00:00,12532.0
2013-11-30 00:00:00,12310.0
2013-10-31 00:00:00,8645.0
2013-09-30 00:00:00,14120.0
2013-08-31 00:00:00,15841.0
2013-07-31 00:00:00,8191.0
2013-06-30 00:00:00,10375.0
2013-05-31 00:00:00,11871.0
2013-04-30 00:00:00,17629.0
2013-03-31 00:00:00,25503.0
2013-02-28 00:00:00,10705.0
2013-01-31 00:00:00,25446.0
2012-12-31 00:00:00,16281.87
2012-11-30 00:00:00,11224.52
2012-10-31 00:00:00,12905.7
2012-09-30 00:00:00,16462.23
2012-08-31 00:00:00,12475.33
2012-07-31 00:00:00,10521.58
