指标名称,中国：金融机构人民币：存款：余额（月）
指标编码,CM0000757087
2025-11-30 00:00:00,326.96
2025-10-31 00:00:00,325.55
2025-09-30 00:00:00,324.94
2025-08-31 00:00:00,322.73
2025-07-31 00:00:00,320.67
2025-06-30 00:00:00,320.17
2025-05-31 00:00:00,316.96
2025-04-30 00:00:00,314.78
2025-03-31 00:00:00,315.22
2025-02-28 00:00:00,310.97
2025-01-31 00:00:00,306.55
2024-12-31 00:00:00,302.25
2024-11-30 00:00:00,303.65
2024-10-31 00:00:00,301.48
2024-09-30 00:00:00,300.88
2024-08-31 00:00:00,297.14
2024-07-31 00:00:00,294.92
2024-06-30 00:00:00,295.72
2024-05-31 00:00:00,293.26
2024-04-30 00:00:00,291.59
2024-03-31 00:00:00,295.51
2024-02-29 00:00:00,290.7
2024-01-31 00:00:00,289.74
2023-12-31 00:00:00,284.26
2023-11-30 00:00:00,284.18
2023-10-31 00:00:00,281.65
2023-09-30 00:00:00,281.0
2023-08-31 00:00:00,278.76
2023-07-31 00:00:00,277.5
2023-06-30 00:00:00,278.62
2023-05-31 00:00:00,274.91
2023-04-30 00:00:00,273.45
2023-03-31 00:00:00,273.91
2023-02-28 00:00:00,268.2
2023-01-31 00:00:00,265.39
2022-12-31 00:00:00,258.5
2022-11-30 00:00:00,257.78
2022-10-31 00:00:00,254.82
2022-09-30 00:00:00,255.01
2022-08-31 00:00:00,252.38
2022-07-31 00:00:00,251.1
2022-06-30 00:00:00,251.05
2022-05-31 00:00:00,246.22
2022-04-30 00:00:00,243.19
2022-03-31 00:00:00,243.1
2022-02-28 00:00:00,238.61
2022-01-31 00:00:00,236.07
2021-12-31 00:00:00,232.25
2021-11-30 00:00:00,231.09
2021-10-31 00:00:00,229.95
2021-09-30 00:00:00,229.18
2021-08-31 00:00:00,226.85
2021-07-31 00:00:00,225.49
2021-06-30 00:00:00,226.62
2021-05-31 00:00:00,222.76
2021-04-30 00:00:00,220.2
2021-03-31 00:00:00,220.92
2021-02-28 00:00:00,217.29
2021-01-31 00:00:00,216.14
2020-12-31 00:00:00,212.57
2020-11-30 00:00:00,212.78
2020-10-31 00:00:00,210.68
2020-09-30 00:00:00,211.08
2020-08-31 00:00:00,209.49
2020-07-31 00:00:00,207.56
2020-06-30 00:00:00,207.48
2020-05-31 00:00:00,204.57
2020-04-30 00:00:00,202.26
2020-03-31 00:00:00,200.99
2020-02-29 00:00:00,196.83
2020-01-31 00:00:00,195.81
2019-12-31 00:00:00,192.88
2019-11-30 00:00:00,192.28
2019-10-31 00:00:00,190.97
2019-09-30 00:00:00,190.73
2019-08-31 00:00:00,190.01
2019-07-31 00:00:00,188.21
2019-06-30 00:00:00,187.57
2019-05-31 00:00:00,185.3
2019-04-30 00:00:00,184.08
2019-03-31 00:00:00,183.82
2019-02-28 00:00:00,182.1
2019-01-31 00:00:00,180.79
2018-12-31 00:00:00,177.52
2018-11-30 00:00:00,177.43
2018-10-31 00:00:00,176.48
2018-09-30 00:00:00,176.13
2018-08-31 00:00:00,175.24
2018-07-31 00:00:00,174.15
2018-06-30 00:00:00,173.12
2018-05-31 00:00:00,171.02
2018-04-30 00:00:00,169.72
2018-03-31 00:00:00,169.18
2018-02-28 00:00:00,167.67
2018-01-31 00:00:00,167.97
2017-12-31 00:00:00,164.1
2017-11-30 00:00:00,164.9
2017-10-31 00:00:00,163.33
2017-09-30 00:00:00,162.28
2017-08-31 00:00:00,161.84
2017-07-31 00:00:00,160.48
2017-06-30 00:00:00,159.66
2017-05-31 00:00:00,157.02
2017-04-30 00:00:00,155.91
2017-03-31 00:00:00,155.65
2017-02-28 00:00:00,154.38
2017-01-31 00:00:00,152.07
2016-12-31 00:00:00,150.59
2016-11-30 00:00:00,150.42
2016-10-31 00:00:00,149.74
2016-09-30 00:00:00,148.52
2016-08-31 00:00:00,148.52
2016-07-31 00:00:00,146.75
2016-06-30 00:00:00,146.24
2016-05-31 00:00:00,143.78
2016-04-30 00:00:00,141.95
2016-03-31 00:00:00,141.12
2016-02-29 00:00:00,138.6
2016-01-31 00:00:00,137.75
2015-12-31 00:00:00,135.7
2015-11-30 00:00:00,135.74
2015-10-31 00:00:00,134.31
2015-09-30 00:00:00,133.73
2015-08-31 00:00:00,134.05
2015-07-31 00:00:00,134.0
2015-06-30 00:00:00,131.83
2015-05-31 00:00:00,128.99
2015-04-30 00:00:00,125.76
2015-03-31 00:00:00,124.89
2015-02-28 00:00:00,122.33
2015-01-31 00:00:00,122.41
2014-12-31 00:00:00,113.86
2014-11-30 00:00:00,113.14
2014-10-31 00:00:00,112.47
2014-09-30 00:00:00,112.66
2014-08-31 00:00:00,111.73
2014-07-31 00:00:00,111.62
2014-06-30 00:00:00,113.61
2014-05-31 00:00:00,109.82
2014-04-30 00:00:00,108.45
2014-03-31 00:00:00,109.1
2014-02-28 00:00:00,105.44
2014-01-31 00:00:00,103.44
2013-12-31 00:00:00,104.38
2013-11-30 00:00:00,103.23
2013-10-31 00:00:00,102.69
