指标名称,中国：宏观杠杆率：实体经济部门（季）
指标编码,CM00890255
2025-09-30 00:00:00,302.3
2025-06-30 00:00:00,300.4
2025-03-31 00:00:00,298.5
2024-12-31 00:00:00,290.6
2024-09-30 00:00:00,290.2
2024-06-30 00:00:00,287.8
2024-03-31 00:00:00,287.1
2023-12-31 00:00:00,280.5
2023-09-30 00:00:00,279.6
2023-06-30 00:00:00,276.9
2023-03-31 00:00:00,276.1
2022-12-31 00:00:00,267.8
2022-09-30 00:00:00,267.4
2022-06-30 00:00:00,266.3
2022-03-31 00:00:00,261.8
2021-12-31 00:00:00,257.3
2021-09-30 00:00:00,259.5
2021-06-30 00:00:00,260.4
2021-03-31 00:00:00,262.6
2020-12-31 00:00:00,265.3
2020-09-30 00:00:00,266.2
2020-06-30 00:00:00,262.7
2020-03-31 00:00:00,255.8
2019-12-31 00:00:00,241.9
2019-09-30 00:00:00,241.9
2019-06-30 00:00:00,241.0
2019-03-31 00:00:00,240.5
2018-12-31 00:00:00,234.7
2018-09-30 00:00:00,236.5
2018-06-30 00:00:00,236.1
2018-03-31 00:00:00,237.4
2017-12-31 00:00:00,236.9
2017-09-30 00:00:00,238.0
2017-06-30 00:00:00,237.4
2017-03-31 00:00:00,237.0
2016-12-31 00:00:00,234.0
2016-09-30 00:00:00,232.9
2016-06-30 00:00:00,231.1
2016-03-31 00:00:00,228.4
2015-12-31 00:00:00,223.2
2015-09-30 00:00:00,221.1
2015-06-30 00:00:00,217.2
2015-03-31 00:00:00,209.4
2014-12-31 00:00:00,213.2
2014-09-30 00:00:00,211.8
2014-06-30 00:00:00,211.9
2014-03-31 00:00:00,207.2
2013-12-31 00:00:00,201.5
2013-09-30 00:00:00,200.2
2013-06-30 00:00:00,197.1
2013-03-31 00:00:00,192.9
2012-12-31 00:00:00,187.3
2012-09-30 00:00:00,185.7
2012-06-30 00:00:00,182.0
2012-03-31 00:00:00,178.4
2011-12-31 00:00:00,174.6
2011-09-30 00:00:00,175.1
2011-06-30 00:00:00,176.7
2011-03-31 00:00:00,176.5
2010-12-31 00:00:00,177.4
2010-09-30 00:00:00,177.3
2010-06-30 00:00:00,175.6
2010-03-31 00:00:00,173.0
2009-12-31 00:00:00,169.6
2009-09-30 00:00:00,168.9
2009-06-30 00:00:00,163.9
2009-03-31 00:00:00,152.8
2008-12-31 00:00:00,138.5
2008-09-30 00:00:00,140.4
2008-06-30 00:00:00,142.1
2008-03-31 00:00:00,143.4
2007-12-31 00:00:00,142.4
2007-09-30 00:00:00,144.0
2007-06-30 00:00:00,143.1
2007-03-31 00:00:00,142.2
2006-12-31 00:00:00,140.4
2006-09-30 00:00:00,142.6
2006-06-30 00:00:00,143.5
2006-03-31 00:00:00,143.2
2005-12-31 00:00:00,141.2
2005-09-30 00:00:00,144.1
2005-06-30 00:00:00,145.3
2005-03-31 00:00:00,148.6
2004-12-31 00:00:00,150.0
2004-09-30 00:00:00,151.1
2004-06-30 00:00:00,150.6
2004-03-31 00:00:00,149.9
2003-12-31 00:00:00,148.4
2003-09-30 00:00:00,145.1
2003-06-30 00:00:00,142.5
2003-03-31 00:00:00,139.0
2002-12-31 00:00:00,136.4
2002-09-30 00:00:00,134.7
2002-06-30 00:00:00,131.7
2002-03-31 00:00:00,126.2
2001-12-31 00:00:00,123.4
2001-09-30 00:00:00,121.7
2001-06-30 00:00:00,120.6
2001-03-31 00:00:00,119.4
2000-12-31 00:00:00,120.1
2000-09-30 00:00:00,119.4
2000-06-30 00:00:00,120.6
2000-03-31 00:00:00,121.4
1999-12-31 00:00:00,123.5
1999-09-30 00:00:00,121.6
1999-06-30 00:00:00,120.3
1999-03-31 00:00:00,119.1
1998-12-31 00:00:00,118.9
1998-09-30 00:00:00,114.7
1998-06-30 00:00:00,109.0
1998-03-31 00:00:00,106.6
1997-12-31 00:00:00,106.4
1997-09-30 00:00:00,103.2
1997-06-30 00:00:00,100.5
1997-03-31 00:00:00,99.0
1996-12-31 00:00:00,97.3
1996-09-30 00:00:00,97.2
1996-06-30 00:00:00,96.1
1996-03-31 00:00:00,95.5
1995-12-31 00:00:00,93.8
1995-09-30 00:00:00,94.9
1995-06-30 00:00:00,93.8
1995-03-31 00:00:00,94.5
1994-12-31 00:00:00,93.9
1994-09-30 00:00:00,97.4
1994-06-30 00:00:00,100.7
1994-03-31 00:00:00,101.6
1993-12-31 00:00:00,102.6
1993-09-30 00:00:00,105.8
1993-06-30 00:00:00,106.7
1993-03-31 00:00:00,106.7
1992-12-31 00:00:00,105.8
