指标名称,中国：宏观杠杆率：地方政府（季）
指标编码,CM00890256
2025-09-30 00:00:00,38.7
2025-06-30 00:00:00,37.8
2025-03-31 00:00:00,36.8
2024-12-31 00:00:00,35.2
2024-09-30 00:00:00,33.6
2024-06-30 00:00:00,32.3
2024-03-31 00:00:00,31.9
2023-12-31 00:00:00,31.5
2023-09-30 00:00:00,30.4
2023-06-30 00:00:00,29.8
2023-03-31 00:00:00,29.5
2022-12-31 00:00:00,28.4
2022-09-30 00:00:00,28.3
2022-06-30 00:00:00,28.8
2022-03-31 00:00:00,26.9
2021-12-31 00:00:00,26.0
2021-09-30 00:00:00,25.3
2021-06-30 00:00:00,24.7
2021-03-31 00:00:00,24.3
2020-12-31 00:00:00,24.8
2020-09-30 00:00:00,25.2
2020-06-30 00:00:00,24.1
2020-03-31 00:00:00,23.0
2019-12-31 00:00:00,21.2
2019-09-30 00:00:00,21.7
2019-06-30 00:00:00,21.2
2019-03-31 00:00:00,20.6
2018-12-31 00:00:00,19.6
2018-09-30 00:00:00,20.0
2018-06-30 00:00:00,18.9
2018-03-31 00:00:00,19.1
2017-12-31 00:00:00,19.4
2017-09-30 00:00:00,19.7
2017-06-30 00:00:00,19.2
2017-03-31 00:00:00,18.8
2016-12-31 00:00:00,20.1
2016-09-30 00:00:00,20.7
2016-06-30 00:00:00,20.7
2016-03-31 00:00:00,19.5
2015-12-31 00:00:00,21.0
2015-09-30 00:00:00,20.7
2015-06-30 00:00:00,19.2
2015-03-31 00:00:00,21.3
2014-12-31 00:00:00,23.5
2014-09-30 00:00:00,22.9
2014-06-30 00:00:00,22.0
2014-03-31 00:00:00,21.3
2013-12-31 00:00:00,20.7
2013-09-30 00:00:00,20.0
2013-06-30 00:00:00,19.0
2013-03-31 00:00:00,18.3
2012-12-31 00:00:00,17.6
2012-09-30 00:00:00,17.3
2012-06-30 00:00:00,16.7
2012-03-31 00:00:00,16.7
2011-12-31 00:00:00,16.5
2011-09-30 00:00:00,16.3
2011-06-30 00:00:00,16.0
2011-03-31 00:00:00,16.1
2010-12-31 00:00:00,16.0
2010-09-30 00:00:00,16.1
2010-06-30 00:00:00,15.9
2010-03-31 00:00:00,15.9
2009-12-31 00:00:00,15.9
2009-09-30 00:00:00,14.8
2009-06-30 00:00:00,13.5
2009-03-31 00:00:00,11.8
2008-12-31 00:00:00,10.8
2008-09-30 00:00:00,10.5
2008-06-30 00:00:00,10.4
2008-03-31 00:00:00,10.4
2007-12-31 00:00:00,10.3
2007-09-30 00:00:00,10.3
2007-06-30 00:00:00,10.2
2007-03-31 00:00:00,10.1
2006-12-31 00:00:00,9.9
2006-09-30 00:00:00,9.7
2006-06-30 00:00:00,9.5
2006-03-31 00:00:00,9.3
2005-12-31 00:00:00,9.0
2005-09-30 00:00:00,8.8
2005-06-30 00:00:00,8.6
2005-03-31 00:00:00,8.4
2004-12-31 00:00:00,8.3
2004-09-30 00:00:00,8.1
2004-06-30 00:00:00,8.0
2004-03-31 00:00:00,7.8
2003-12-31 00:00:00,7.6
2003-09-30 00:00:00,7.4
2003-06-30 00:00:00,7.2
2003-03-31 00:00:00,6.9
2002-12-31 00:00:00,6.7
2002-09-30 00:00:00,6.4
2002-06-30 00:00:00,6.1
2002-03-31 00:00:00,5.8
2001-12-31 00:00:00,5.5
2001-09-30 00:00:00,5.2
2001-06-30 00:00:00,5.0
2001-03-31 00:00:00,4.8
2000-12-31 00:00:00,4.6
2000-09-30 00:00:00,4.5
2000-06-30 00:00:00,4.4
2000-03-31 00:00:00,4.3
1999-12-31 00:00:00,4.2
1999-09-30 00:00:00,4.1
1999-06-30 00:00:00,4.0
1999-03-31 00:00:00,3.8
1998-12-31 00:00:00,3.7
1998-09-30 00:00:00,3.6
1998-06-30 00:00:00,3.5
1998-03-31 00:00:00,3.4
1997-12-31 00:00:00,3.3
1997-09-30 00:00:00,3.2
1997-06-30 00:00:00,3.2
1997-03-31 00:00:00,3.1
1996-12-31 00:00:00,3.1
1996-09-30 00:00:00,3.1
1996-06-30 00:00:00,3.0
1996-03-31 00:00:00,3.0
1995-12-31 00:00:00,3.0
1995-09-30 00:00:00,3.0
1995-06-30 00:00:00,3.1
1995-03-31 00:00:00,3.1
1994-12-31 00:00:00,3.1
1994-09-30 00:00:00,3.3
1994-06-30 00:00:00,3.4
1994-03-31 00:00:00,3.5
1993-12-31 00:00:00,3.6
1993-09-30 00:00:00,3.7
1993-06-30 00:00:00,3.8
1993-03-31 00:00:00,3.9
1992-12-31 00:00:00,3.9
