指标名称,中国：宏观杠杆率：居民（季）
指标编码,CM00890260
2025-09-30 00:00:00,60.4
2025-06-30 00:00:00,61.1
2025-03-31 00:00:00,61.5
2024-12-31 00:00:00,61.4
2024-09-30 00:00:00,61.6
2024-06-30 00:00:00,61.8
2024-03-31 00:00:00,62.3
2023-12-31 00:00:00,61.9
2023-09-30 00:00:00,62.2
2023-06-30 00:00:00,62.0
2023-03-31 00:00:00,62.0
2022-12-31 00:00:00,60.7
2022-09-30 00:00:00,60.9
2022-06-30 00:00:00,60.7
2022-03-31 00:00:00,60.5
2021-12-31 00:00:00,60.6
2021-09-30 00:00:00,60.8
2021-06-30 00:00:00,60.8
2021-03-31 00:00:00,60.9
2020-12-31 00:00:00,61.1
2020-09-30 00:00:00,60.5
2020-06-30 00:00:00,58.8
2020-03-31 00:00:00,56.9
2019-12-31 00:00:00,55.0
2019-09-30 00:00:00,54.3
2019-06-30 00:00:00,53.3
2019-03-31 00:00:00,52.2
2018-12-31 00:00:00,51.2
2018-09-30 00:00:00,50.7
2018-06-30 00:00:00,49.6
2018-03-31 00:00:00,48.7
2017-12-31 00:00:00,47.8
2017-09-30 00:00:00,47.5
2017-06-30 00:00:00,46.4
2017-03-31 00:00:00,45.1
2016-12-31 00:00:00,43.8
2016-09-30 00:00:00,42.8
2016-06-30 00:00:00,41.2
2016-03-31 00:00:00,39.6
2015-12-31 00:00:00,38.5
2015-09-30 00:00:00,37.9
2015-06-30 00:00:00,37.0
2015-03-31 00:00:00,36.1
2014-12-31 00:00:00,35.3
2014-09-30 00:00:00,35.1
2014-06-30 00:00:00,34.6
2014-03-31 00:00:00,33.8
2013-12-31 00:00:00,32.9
2013-09-30 00:00:00,32.7
2013-06-30 00:00:00,31.8
2013-03-31 00:00:00,30.6
2012-12-31 00:00:00,29.5
2012-09-30 00:00:00,29.1
2012-06-30 00:00:00,28.3
2012-03-31 00:00:00,27.7
2011-12-31 00:00:00,27.5
2011-09-30 00:00:00,27.7
2011-06-30 00:00:00,27.7
2011-03-31 00:00:00,27.4
2010-12-31 00:00:00,26.9
2010-09-30 00:00:00,26.8
2010-06-30 00:00:00,26.4
2010-03-31 00:00:00,25.3
2009-12-31 00:00:00,23.1
2009-09-30 00:00:00,22.1
2009-06-30 00:00:00,20.3
2009-03-31 00:00:00,18.7
2008-12-31 00:00:00,17.6
2008-09-30 00:00:00,18.1
2008-06-30 00:00:00,18.4
2008-03-31 00:00:00,18.5
2007-12-31 00:00:00,18.5
2007-09-30 00:00:00,19.1
2007-06-30 00:00:00,18.6
2007-03-31 00:00:00,18.1
2006-12-31 00:00:00,17.2
2006-09-30 00:00:00,17.6
2006-06-30 00:00:00,17.5
2006-03-31 00:00:00,17.2
2005-12-31 00:00:00,16.6
2005-09-30 00:00:00,17.3
2005-06-30 00:00:00,17.6
2005-03-31 00:00:00,17.6
2004-12-31 00:00:00,17.4
2004-09-30 00:00:00,17.8
2004-06-30 00:00:00,18.1
2004-03-31 00:00:00,18.5
2003-12-31 00:00:00,18.6
2003-09-30 00:00:00,18.0
2003-06-30 00:00:00,17.2
2003-03-31 00:00:00,16.3
2002-12-31 00:00:00,15.3
2002-09-30 00:00:00,14.7
2002-06-30 00:00:00,13.9
2002-03-31 00:00:00,13.1
2001-12-31 00:00:00,12.3
2001-09-30 00:00:00,11.7
2001-06-30 00:00:00,11.1
2001-03-31 00:00:00,10.4
2000-12-31 00:00:00,9.8
2000-09-30 00:00:00,8.9
2000-06-30 00:00:00,8.0
2000-03-31 00:00:00,7.0
1999-12-31 00:00:00,5.9
1999-09-30 00:00:00,5.9
1999-06-30 00:00:00,5.9
1999-03-31 00:00:00,5.8
1998-12-31 00:00:00,5.8
1998-09-30 00:00:00,5.5
1998-06-30 00:00:00,5.2
1998-03-31 00:00:00,4.9
1997-12-31 00:00:00,4.6
1997-09-30 00:00:00,4.3
1997-06-30 00:00:00,3.9
1997-03-31 00:00:00,3.5
1996-12-31 00:00:00,3.1
1996-09-30 00:00:00,3.0
1996-06-30 00:00:00,3.0
1996-03-31 00:00:00,2.9
1995-12-31 00:00:00,2.8
1995-09-30 00:00:00,2.8
1995-06-30 00:00:00,2.8
1995-03-31 00:00:00,2.7
1994-12-31 00:00:00,2.7
1994-09-30 00:00:00,3.6
1994-06-30 00:00:00,4.6
1994-03-31 00:00:00,5.8
1993-12-31 00:00:00,7.0
1993-09-30 00:00:00,7.3
1993-06-30 00:00:00,7.4
1993-03-31 00:00:00,7.5
1992-12-31 00:00:00,7.5
