指标名称,DCE：焦煤：主力合约：期货价格指数结算价（日）
指标编码,FU00044698
2026-01-13 00:00:00,1215.0
2026-01-12 00:00:00,1221.5
2026-01-09 00:00:00,1188.0
2026-01-08 00:00:00,1204.0
2026-01-07 00:00:00,1136.0
2026-01-06 00:00:00,1078.0
2026-01-05 00:00:00,1097.0
2025-12-31 00:00:00,1115.5
2025-12-30 00:00:00,1110.0
2025-12-29 00:00:00,1108.5
2025-12-26 00:00:00,1102.0
2025-12-25 00:00:00,1127.0
2025-12-24 00:00:00,1124.0
2025-12-23 00:00:00,1125.0
2025-12-22 00:00:00,1104.5
2025-12-19 00:00:00,1110.0
2025-12-18 00:00:00,1108.0
2025-12-17 00:00:00,1062.0
2025-12-16 00:00:00,1058.5
2025-12-15 00:00:00,1053.5
2025-12-12 00:00:00,1028.5
2025-12-11 00:00:00,1062.5
2025-12-10 00:00:00,1062.6
2025-12-09 00:00:00,1046.6
2025-12-08 00:00:00,1055.7
2025-12-05 00:00:00,1096.6
2025-12-04 00:00:00,1075.0
2025-12-03 00:00:00,1079.5
2025-12-02 00:00:00,1094.5
2025-12-01 00:00:00,1076.5
2025-11-28 00:00:00,1064.0
2025-11-27 00:00:00,1075.5
2025-11-26 00:00:00,1073.0
2025-11-25 00:00:00,1097.0
2025-11-24 00:00:00,1097.0
2025-11-21 00:00:00,1113.0
2025-11-20 00:00:00,1123.5
2025-11-19 00:00:00,1150.0
2025-11-18 00:00:00,1172.5
2025-11-17 00:00:00,1205.5
2025-11-14 00:00:00,1201.0
2025-11-13 00:00:00,1213.5
2025-11-12 00:00:00,1217.5
2025-11-11 00:00:00,1242.0
2025-11-10 00:00:00,1261.0
2025-11-07 00:00:00,1278.5
2025-11-06 00:00:00,1282.5
2025-11-05 00:00:00,1260.5
2025-11-04 00:00:00,1274.5
2025-11-03 00:00:00,1285.5
2025-10-31 00:00:00,1295.5
2025-10-30 00:00:00,1298.0
2025-10-29 00:00:00,1267.5
2025-10-28 00:00:00,1258.0
2025-10-27 00:00:00,1251.5
2025-10-24 00:00:00,1251.5
2025-10-23 00:00:00,1231.0
2025-10-22 00:00:00,1197.0
2025-10-21 00:00:00,1192.5
2025-10-20 00:00:00,1219.5
2025-10-17 00:00:00,1184.5
2025-10-16 00:00:00,1162.0
2025-10-15 00:00:00,1147.0
2025-10-14 00:00:00,1139.5
2025-10-13 00:00:00,1145.0
2025-10-10 00:00:00,1165.0
2025-10-09 00:00:00,1147.0
2025-09-30 00:00:00,1146.0
2025-09-29 00:00:00,1171.5
2025-09-26 00:00:00,1214.5
2025-09-25 00:00:00,1229.0
2025-09-24 00:00:00,1222.5
2025-09-23 00:00:00,1209.5
2025-09-22 00:00:00,1229.0
2025-09-19 00:00:00,1216.0
2025-09-18 00:00:00,1215.5
2025-09-17 00:00:00,1229.5
2025-09-16 00:00:00,1228.5
2025-09-15 00:00:00,1172.0
2025-09-12 00:00:00,1137.5
2025-09-11 00:00:00,1134.5
2025-09-10 00:00:00,1115.5
2025-09-09 00:00:00,1139.0
2025-09-08 00:00:00,1142.5
2025-09-05 00:00:00,1127.5
2025-09-04 00:00:00,1089.5
2025-09-03 00:00:00,1116.5
2025-09-02 00:00:00,1120.0
2025-09-01 00:00:00,1121.5
2025-08-29 00:00:00,1156.5
