指标名称,汇率：澳元兑人民币（日）
指标编码,GM0000000002
2026-01-14 00:00:00,4.664
2026-01-13 00:00:00,4.6738
2026-01-12 00:00:00,4.6758
2026-01-09 00:00:00,4.6752
2026-01-08 00:00:00,4.7036
2026-01-07 00:00:00,4.7173
2026-01-06 00:00:00,4.7027
2026-01-05 00:00:00,4.673
2026-01-04 00:00:00,4.6803
2026-01-03 00:00:00,4.6803
2026-01-02 00:00:00,4.6809
2026-01-01 00:00:00,4.6661
2025-12-31 00:00:00,4.6649
2025-12-30 00:00:00,4.6848
2025-12-29 00:00:00,4.6938
2025-12-26 00:00:00,4.7009
2025-12-25 00:00:00,4.7097
2025-12-24 00:00:00,4.7107
2025-12-23 00:00:00,4.6859
2025-12-22 00:00:00,4.6787
2025-12-19 00:00:00,4.656
2025-12-18 00:00:00,4.6514
2025-12-17 00:00:00,4.6648
2025-12-16 00:00:00,4.6874
2025-12-15 00:00:00,4.6881
2025-12-12 00:00:00,4.7015
2025-12-11 00:00:00,4.7041
2025-12-10 00:00:00,4.6901
2025-12-09 00:00:00,4.6917
2025-12-08 00:00:00,4.69
2025-12-05 00:00:00,4.6723
2025-12-04 00:00:00,4.674
2025-12-03 00:00:00,4.6523
2025-12-02 00:00:00,4.6381
2025-12-01 00:00:00,4.6365
2025-11-28 00:00:00,4.6234
2025-11-27 00:00:00,4.6227
2025-11-26 00:00:00,4.5834
2025-11-25 00:00:00,4.5605
2025-11-24 00:00:00,4.5809
2025-11-21 00:00:00,4.589
2025-11-20 00:00:00,4.6157
2025-11-19 00:00:00,4.6136
2025-11-18 00:00:00,4.6228
2025-11-17 00:00:00,4.6276
2025-11-14 00:00:00,4.6316
2025-11-13 00:00:00,4.6442
2025-11-12 00:00:00,4.6483
2025-11-11 00:00:00,4.6509
2025-11-10 00:00:00,4.6445
2025-11-07 00:00:00,4.6146
2025-11-06 00:00:00,4.6398
2025-11-05 00:00:00,4.6298
2025-11-04 00:00:00,4.6255
2025-11-03 00:00:00,4.6603
2025-10-31 00:00:00,4.6529
2025-10-30 00:00:00,4.6673
2025-10-29 00:00:00,4.6854
2025-10-28 00:00:00,4.6702
2025-10-27 00:00:00,4.6566
2025-10-24 00:00:00,4.6411
2025-10-23 00:00:00,4.6408
2025-10-22 00:00:00,4.6227
2025-10-21 00:00:00,4.6219
2025-10-20 00:00:00,4.6348
2025-10-17 00:00:00,4.6162
2025-10-16 00:00:00,4.6322
2025-10-15 00:00:00,4.6354
2025-10-14 00:00:00,4.6265
2025-10-13 00:00:00,4.6468
2025-10-11 00:00:00,4.6134
2025-10-10 00:00:00,4.6619
2025-10-09 00:00:00,4.6869
2025-10-08 00:00:00,4.6877
2025-10-07 00:00:00,4.6915
2025-10-06 00:00:00,4.7117
2025-10-05 00:00:00,4.7003
2025-10-04 00:00:00,4.7003
2025-10-03 00:00:00,4.7018
2025-10-02 00:00:00,4.6894
2025-10-01 00:00:00,4.7071
2025-09-30 00:00:00,4.7189
2025-09-29 00:00:00,4.6804
2025-09-28 00:00:00,4.6683
2025-09-26 00:00:00,4.6701
2025-09-25 00:00:00,4.6724
2025-09-24 00:00:00,4.6937
2025-09-23 00:00:00,4.6971
2025-09-22 00:00:00,4.6855
2025-09-19 00:00:00,4.6902
2025-09-18 00:00:00,4.7095
2025-09-17 00:00:00,4.7415
2025-09-16 00:00:00,4.7468
2025-09-15 00:00:00,4.7425
2025-09-12 00:00:00,4.7304
2025-09-11 00:00:00,4.7319
2025-09-10 00:00:00,4.6888
2025-09-09 00:00:00,4.6965
2025-09-08 00:00:00,4.6716
2025-09-06 00:00:00,4.6756
2025-09-05 00:00:00,4.6615
2025-09-04 00:00:00,4.666
2025-09-03 00:00:00,4.6647
2025-09-02 00:00:00,4.6506
2025-09-01 00:00:00,4.6738
2025-08-29 00:00:00,4.6563
2025-08-28 00:00:00,4.6527
2025-08-27 00:00:00,4.639
2025-08-26 00:00:00,4.6465
2025-08-25 00:00:00,4.6471
2025-08-22 00:00:00,4.6556
2025-08-21 00:00:00,4.6165
2025-08-20 00:00:00,4.613
2025-08-19 00:00:00,4.6431
2025-08-18 00:00:00,4.6652
2025-08-15 00:00:00,4.6794
2025-08-14 00:00:00,4.658
2025-08-13 00:00:00,4.6916
2025-08-12 00:00:00,4.6836
2025-08-11 00:00:00,4.6809
2025-08-08 00:00:00,4.6889
2025-08-07 00:00:00,4.6673
2025-08-06 00:00:00,4.6517
2025-08-05 00:00:00,4.6443
2025-08-04 00:00:00,4.6436
2025-08-01 00:00:00,4.6633
2025-07-31 00:00:00,4.6299
2025-07-30 00:00:00,4.6402
2025-07-29 00:00:00,4.6818
2025-07-28 00:00:00,4.7127
2025-07-25 00:00:00,4.6991
2025-07-24 00:00:00,4.7216
2025-07-23 00:00:00,4.7044
2025-07-22 00:00:00,4.6859
2025-07-21 00:00:00,4.6869
2025-07-18 00:00:00,4.687
2025-07-17 00:00:00,4.6852
2025-07-16 00:00:00,4.6768
2025-07-15 00:00:00,4.6741
2025-07-14 00:00:00,4.7216
2025-07-12 00:00:00,4.7159
2025-07-11 00:00:00,4.7194
2025-07-10 00:00:00,4.7134
2025-07-09 00:00:00,4.6896
2025-07-08 00:00:00,4.6728
2025-07-07 00:00:00,4.6705
2025-07-04 00:00:00,4.6935
2025-07-03 00:00:00,4.7112
2025-07-02 00:00:00,4.7081
2025-07-01 00:00:00,4.7125
2025-06-30 00:00:00,4.7065
2025-06-28 00:00:00,4.6689
2025-06-27 00:00:00,4.6951
2025-06-26 00:00:00,4.6935
2025-06-25 00:00:00,4.6584
2025-06-24 00:00:00,4.6617
2025-06-23 00:00:00,4.6132
2025-06-21 00:00:00,4.6349
2025-06-20 00:00:00,4.661
2025-06-19 00:00:00,4.6413
2025-06-18 00:00:00,4.6885
2025-06-17 00:00:00,4.6766
2025-06-16 00:00:00,4.6637
2025-06-13 00:00:00,4.6779
2025-06-12 00:00:00,4.6802
2025-06-11 00:00:00,4.6847
2025-06-10 00:00:00,4.6875
2025-06-09 00:00:00,4.6865
2025-06-06 00:00:00,4.6702
2025-06-05 00:00:00,4.6739
2025-06-04 00:00:00,4.6469
2025-06-03 00:00:00,4.6797
2025-06-02 00:00:00,4.675
2025-06-01 00:00:00,4.6307
2025-05-31 00:00:00,4.6307
2025-05-30 00:00:00,4.6307
2025-05-29 00:00:00,4.63
2025-05-28 00:00:00,4.6168
2025-05-27 00:00:00,4.6639
2025-05-26 00:00:00,4.6817
2025-05-23 00:00:00,4.6521
2025-05-22 00:00:00,4.6232
2025-05-21 00:00:00,4.6555
2025-05-20 00:00:00,4.6219
2025-05-19 00:00:00,4.6256
2025-05-16 00:00:00,4.6092
2025-05-15 00:00:00,4.6121
2025-05-14 00:00:00,4.6407
2025-05-13 00:00:00,4.5931
2025-05-12 00:00:00,4.5993
2025-05-09 00:00:00,4.6408
2025-05-08 00:00:00,4.6489
2025-05-07 00:00:00,4.6676
2025-05-06 00:00:00,4.7314
2025-05-05 00:00:00,4.7205
2025-05-04 00:00:00,4.7024
2025-05-03 00:00:00,4.7024
2025-05-02 00:00:00,4.7012
2025-05-01 00:00:00,4.6781
2025-04-30 00:00:00,4.6684
2025-04-29 00:00:00,4.6828
2025-04-28 00:00:00,4.6717
2025-04-27 00:00:00,4.6707
2025-04-26 00:00:00,4.661
2025-04-25 00:00:00,4.6659
2025-04-24 00:00:00,4.6591
2025-04-23 00:00:00,4.6624
2025-04-22 00:00:00,4.6569
2025-04-21 00:00:00,4.6752
2025-04-18 00:00:00,4.661
2025-04-17 00:00:00,4.6528
2025-04-16 00:00:00,4.6684
2025-04-15 00:00:00,4.6513
2025-04-14 00:00:00,4.5997
2025-04-11 00:00:00,4.5525
2025-04-10 00:00:00,4.5457
2025-04-09 00:00:00,4.4088
2025-04-08 00:00:00,4.4174
2025-04-07 00:00:00,4.3812
2025-04-06 00:00:00,4.4101
2025-04-05 00:00:00,4.4101
2025-04-04 00:00:00,4.3967
2025-04-03 00:00:00,4.6328
2025-04-02 00:00:00,4.5782
2025-04-01 00:00:00,4.5284
2025-03-31 00:00:00,4.5209
2025-03-29 00:00:00,4.5682
2025-03-28 00:00:00,4.5749
2025-03-27 00:00:00,4.5836
2025-03-26 00:00:00,4.5778
2025-03-25 00:00:00,4.5778
2025-03-24 00:00:00,4.5572
2025-03-21 00:00:00,4.5422
2025-03-20 00:00:00,4.5632
2025-03-19 00:00:00,4.5769
2025-03-18 00:00:00,4.5933
2025-03-17 00:00:00,4.6103
2025-03-14 00:00:00,4.5755
2025-03-13 00:00:00,4.5786
2025-03-12 00:00:00,4.5608
2025-03-11 00:00:00,4.5443
2025-03-10 00:00:00,4.5696
2025-03-07 00:00:00,4.5687
2025-03-06 00:00:00,4.6006
2025-03-05 00:00:00,4.5358
2025-03-04 00:00:00,4.5113
2025-03-03 00:00:00,4.5496
2025-02-28 00:00:00,4.5277
2025-02-27 00:00:00,4.5575
2025-02-26 00:00:00,4.6028
2025-02-25 00:00:00,4.5917
2025-02-24 00:00:00,4.6012
2025-02-21 00:00:00,4.6216
2025-02-20 00:00:00,4.6397
2025-02-19 00:00:00,4.6344
2025-02-18 00:00:00,4.6253
2025-02-17 00:00:00,4.6243
2025-02-14 00:00:00,4.6169
2025-02-13 00:00:00,4.5906
2025-02-12 00:00:00,4.5861
2025-02-11 00:00:00,4.5943
2025-02-10 00:00:00,4.592
2025-02-09 00:00:00,4.5702
2025-02-08 00:00:00,4.5694
2025-02-07 00:00:00,4.578
2025-02-06 00:00:00,4.5766
2025-02-05 00:00:00,4.5769
2025-02-04 00:00:00,4.4915
2025-02-03 00:00:00,4.455
2025-02-02 00:00:00,4.4788
2025-02-01 00:00:00,4.4745
2025-01-31 00:00:00,4.4648
2025-01-30 00:00:00,4.471
