指标名称,纳斯达克指数：收盘价（日）
指标编码,GM0000000319
2026-01-13 00:00:00,23709.87
2026-01-12 00:00:00,23733.9
2026-01-09 00:00:00,23672.77
2026-01-08 00:00:00,23480.02
2026-01-07 00:00:00,23584.27
2026-01-06 00:00:00,23547.17
2026-01-05 00:00:00,23395.82
2026-01-02 00:00:00,23235.63
2026-01-01 00:00:00,23241.99
2025-12-31 00:00:00,23241.99
2025-12-30 00:00:00,23419.08
2025-12-29 00:00:00,23474.35
2025-12-26 00:00:00,23593.1
2025-12-25 00:00:00,23613.31
2025-12-24 00:00:00,23613.31
2025-12-23 00:00:00,23561.84
2025-12-22 00:00:00,23428.83
2025-12-19 00:00:00,23307.62
2025-12-18 00:00:00,23006.36
2025-12-17 00:00:00,22693.32
2025-12-16 00:00:00,23111.46
2025-12-15 00:00:00,23057.41
2025-12-12 00:00:00,23195.17
2025-12-11 00:00:00,23593.86
2025-12-10 00:00:00,23654.16
2025-12-09 00:00:00,23576.49
2025-12-08 00:00:00,23545.9
2025-12-05 00:00:00,23578.13
2025-12-04 00:00:00,23505.14
2025-12-03 00:00:00,23454.09
2025-12-02 00:00:00,23413.67
2025-12-01 00:00:00,23275.92
2025-11-28 00:00:00,23365.69
2025-11-27 00:00:00,23214.69
2025-11-26 00:00:00,23214.69
2025-11-25 00:00:00,23025.59
2025-11-24 00:00:00,22872.01
2025-11-21 00:00:00,22273.08
2025-11-20 00:00:00,22078.05
2025-11-19 00:00:00,22564.23
2025-11-18 00:00:00,22432.85
2025-11-17 00:00:00,22708.07
2025-11-14 00:00:00,22900.59
2025-11-13 00:00:00,22870.36
2025-11-12 00:00:00,23406.46
2025-11-11 00:00:00,23468.3
2025-11-10 00:00:00,23527.17
2025-11-07 00:00:00,23004.54
2025-11-06 00:00:00,23042.99
2025-11-05 00:00:00,23499.8
2025-11-04 00:00:00,23348.64
2025-11-03 00:00:00,23834.72
2025-10-31 00:00:00,23724.96
2025-10-30 00:00:00,23581.14
2025-10-29 00:00:00,23958.47
2025-10-28 00:00:00,23827.49
2025-10-27 00:00:00,23637.46
2025-10-24 00:00:00,23204.87
2025-10-23 00:00:00,22941.8
2025-10-22 00:00:00,22740.4
2025-10-21 00:00:00,22953.67
2025-10-20 00:00:00,22990.54
2025-10-17 00:00:00,22679.97
2025-10-16 00:00:00,22562.54
2025-10-15 00:00:00,22670.08
2025-10-14 00:00:00,22521.7
2025-10-13 00:00:00,22694.61
2025-10-10 00:00:00,22204.43
2025-10-09 00:00:00,23024.63
2025-10-08 00:00:00,23043.38
2025-10-07 00:00:00,22788.36
2025-10-06 00:00:00,22941.67
2025-10-03 00:00:00,22780.51
2025-10-02 00:00:00,22844.05
2025-10-01 00:00:00,22755.16
2025-09-30 00:00:00,22660.01
2025-09-29 00:00:00,22591.15
2025-09-26 00:00:00,22484.07
2025-09-25 00:00:00,22384.7
2025-09-24 00:00:00,22497.86
2025-09-23 00:00:00,22573.47
2025-09-22 00:00:00,22788.98
2025-09-19 00:00:00,22631.48
2025-09-18 00:00:00,22470.73
2025-09-17 00:00:00,22261.33
2025-09-16 00:00:00,22333.96
2025-09-15 00:00:00,22348.75
2025-09-12 00:00:00,22141.1
2025-09-11 00:00:00,22043.07
2025-09-10 00:00:00,21886.06
2025-09-09 00:00:00,21879.49
2025-09-08 00:00:00,21798.7
2025-09-05 00:00:00,21700.39
2025-09-04 00:00:00,21707.69
2025-09-03 00:00:00,21497.73
2025-09-02 00:00:00,21279.63
2025-09-01 00:00:00,21455.55
2025-08-29 00:00:00,21455.55
2025-08-28 00:00:00,21705.16
2025-08-27 00:00:00,21590.14
2025-08-26 00:00:00,21544.27
2025-08-25 00:00:00,21449.29
2025-08-22 00:00:00,21496.53
2025-08-21 00:00:00,21100.31
2025-08-20 00:00:00,21172.86
2025-08-19 00:00:00,21314.95
2025-08-18 00:00:00,21629.77
2025-08-15 00:00:00,21622.98
2025-08-14 00:00:00,21710.67
2025-08-13 00:00:00,21713.14
2025-08-12 00:00:00,21681.9
2025-08-11 00:00:00,21385.4
2025-08-08 00:00:00,21450.02
2025-08-07 00:00:00,21242.7
2025-08-06 00:00:00,21169.42
2025-08-05 00:00:00,20916.55
2025-08-04 00:00:00,21053.58
2025-08-01 00:00:00,20650.13
2025-07-31 00:00:00,21122.45
2025-07-30 00:00:00,21129.67
2025-07-29 00:00:00,21098.29
2025-07-28 00:00:00,21178.58
2025-07-25 00:00:00,21108.32
2025-07-24 00:00:00,21057.96
2025-07-23 00:00:00,21020.02
2025-07-22 00:00:00,20892.69
2025-07-21 00:00:00,20974.17
2025-07-18 00:00:00,20895.66
2025-07-17 00:00:00,20885.65
2025-07-16 00:00:00,20730.49
2025-07-15 00:00:00,20677.8
2025-07-14 00:00:00,20640.33
2025-07-11 00:00:00,20585.53
2025-07-10 00:00:00,20630.66
2025-07-09 00:00:00,20611.34
2025-07-08 00:00:00,20418.46
2025-07-07 00:00:00,20412.52
2025-07-04 00:00:00,20601.1
2025-07-03 00:00:00,20601.1
2025-07-02 00:00:00,20393.13
2025-07-01 00:00:00,20202.89
2025-06-30 00:00:00,20369.73
2025-06-27 00:00:00,20273.46
2025-06-26 00:00:00,20167.91
2025-06-25 00:00:00,19973.55
2025-06-24 00:00:00,19912.53
2025-06-23 00:00:00,19630.97
2025-06-20 00:00:00,19447.41
2025-06-19 00:00:00,19546.27
2025-06-18 00:00:00,19546.27
2025-06-17 00:00:00,19521.09
2025-06-16 00:00:00,19701.21
2025-06-13 00:00:00,19406.83
2025-06-12 00:00:00,19662.48
2025-06-11 00:00:00,19615.88
2025-06-10 00:00:00,19714.99
2025-06-09 00:00:00,19591.24
2025-06-06 00:00:00,19529.95
2025-06-05 00:00:00,19298.45
2025-06-04 00:00:00,19460.49
2025-06-03 00:00:00,19398.96
2025-06-02 00:00:00,19242.61
2025-05-30 00:00:00,19113.77
2025-05-29 00:00:00,19175.87
2025-05-28 00:00:00,19100.94
2025-05-27 00:00:00,19199.16
2025-05-26 00:00:00,18737.21
2025-05-23 00:00:00,18737.21
2025-05-22 00:00:00,18925.73
2025-05-21 00:00:00,18872.64
2025-05-20 00:00:00,19142.71
2025-05-19 00:00:00,19215.46
2025-05-16 00:00:00,19211.1
2025-05-15 00:00:00,19112.32
2025-05-14 00:00:00,19146.81
2025-05-13 00:00:00,19010.08
2025-05-12 00:00:00,18708.34
2025-05-09 00:00:00,17928.92
2025-05-08 00:00:00,17928.14
2025-05-07 00:00:00,17738.16
2025-05-06 00:00:00,17689.66
2025-05-05 00:00:00,17844.24
2025-05-02 00:00:00,17977.73
2025-05-01 00:00:00,17710.74
2025-04-30 00:00:00,17446.34
2025-04-29 00:00:00,17461.32
2025-04-28 00:00:00,17366.13
2025-04-25 00:00:00,17382.94
2025-04-24 00:00:00,17166.04
2025-04-23 00:00:00,16708.05
2025-04-22 00:00:00,16300.42
2025-04-21 00:00:00,15870.9
2025-04-18 00:00:00,16286.45
2025-04-17 00:00:00,16286.45
2025-04-16 00:00:00,16307.16
2025-04-15 00:00:00,16823.17
2025-04-14 00:00:00,16831.48
2025-04-11 00:00:00,16724.46
2025-04-10 00:00:00,16387.31
2025-04-09 00:00:00,17124.97
2025-04-08 00:00:00,15267.91
2025-04-07 00:00:00,15603.26
2025-04-04 00:00:00,15587.79
2025-04-03 00:00:00,16550.61
2025-04-02 00:00:00,17601.05
2025-04-01 00:00:00,17449.89
2025-03-31 00:00:00,17299.29
2025-03-28 00:00:00,17322.99
2025-03-27 00:00:00,17804.03
2025-03-26 00:00:00,17899.01
2025-03-25 00:00:00,18271.86
2025-03-24 00:00:00,18188.59
2025-03-21 00:00:00,17784.05
2025-03-20 00:00:00,17691.63
2025-03-19 00:00:00,17750.79
2025-03-18 00:00:00,17504.12
2025-03-17 00:00:00,17808.66
2025-03-14 00:00:00,17754.09
2025-03-13 00:00:00,17303.01
2025-03-12 00:00:00,17648.45
2025-03-11 00:00:00,17436.1
2025-03-10 00:00:00,17468.32
2025-03-07 00:00:00,18196.22
2025-03-06 00:00:00,18069.26
2025-03-05 00:00:00,18552.73
2025-03-04 00:00:00,18285.16
2025-03-03 00:00:00,18350.19
2025-02-28 00:00:00,18847.28
2025-02-27 00:00:00,18544.42
2025-02-26 00:00:00,19075.26
2025-02-25 00:00:00,19026.39
2025-02-24 00:00:00,19286.92
2025-02-21 00:00:00,19524.01
2025-02-20 00:00:00,19962.36
2025-02-19 00:00:00,20056.25
2025-02-18 00:00:00,20041.26
2025-02-17 00:00:00,20026.77
2025-02-14 00:00:00,20026.77
2025-02-13 00:00:00,19945.64
2025-02-12 00:00:00,19649.95
2025-02-11 00:00:00,19643.86
2025-02-10 00:00:00,19714.27
2025-02-07 00:00:00,19523.4
2025-02-06 00:00:00,19791.99
2025-02-05 00:00:00,19692.33
2025-02-04 00:00:00,19654.02
2025-02-03 00:00:00,19391.96
2025-01-31 00:00:00,19627.44
2025-01-30 00:00:00,19681.75
2025-01-29 00:00:00,19632.32
2025-01-28 00:00:00,19733.59
2025-01-27 00:00:00,19341.83
2025-01-24 00:00:00,19954.3
2025-01-23 00:00:00,20053.68
2025-01-22 00:00:00,20009.34
2025-01-21 00:00:00,19756.78
2025-01-20 00:00:00,19630.2
2025-01-17 00:00:00,19630.2
2025-01-16 00:00:00,19338.29
2025-01-15 00:00:00,19511.23
2025-01-14 00:00:00,19044.39
2025-01-13 00:00:00,19088.1
2025-01-10 00:00:00,19161.63
2025-01-09 00:00:00,19478.88
2025-01-08 00:00:00,19478.88
2025-01-07 00:00:00,19489.68
2025-01-06 00:00:00,19864.98
2025-01-03 00:00:00,19621.68
2025-01-02 00:00:00,19280.79
2025-01-01 00:00:00,19310.79
2024-12-31 00:00:00,19310.79
2024-12-30 00:00:00,19486.78
2024-12-27 00:00:00,19722.03
2024-12-26 00:00:00,20020.36
2024-12-25 00:00:00,20031.13
2024-12-24 00:00:00,20031.13
2024-12-23 00:00:00,19764.89
2024-12-20 00:00:00,19572.6
2024-12-19 00:00:00,19372.77
2024-12-18 00:00:00,19392.69
2024-12-17 00:00:00,20109.06
2024-12-16 00:00:00,20173.89
2024-12-13 00:00:00,19926.72
2024-12-12 00:00:00,19902.84
2024-12-11 00:00:00,20034.89
2024-12-10 00:00:00,19687.24
2024-12-09 00:00:00,19736.69
2024-12-06 00:00:00,19859.77
2024-12-05 00:00:00,19700.26
2024-12-04 00:00:00,19735.12
2024-12-03 00:00:00,19480.91
2024-12-02 00:00:00,19403.95
2024-11-29 00:00:00,19218.17
2024-11-28 00:00:00,19060.48
2024-11-27 00:00:00,19060.48
2024-11-26 00:00:00,19174.3
2024-11-25 00:00:00,19054.84
2024-11-22 00:00:00,19003.65
2024-11-21 00:00:00,18972.42
2024-11-20 00:00:00,18966.14
2024-11-19 00:00:00,18987.47
2024-11-18 00:00:00,18791.81
2024-11-15 00:00:00,18680.12
2024-11-14 00:00:00,19107.65
2024-11-13 00:00:00,19230.73
2024-11-12 00:00:00,19281.4
2024-11-11 00:00:00,19298.76
2024-11-08 00:00:00,19286.78
2024-11-07 00:00:00,19269.46
2024-11-06 00:00:00,18983.47
2024-11-05 00:00:00,18439.17
2024-11-04 00:00:00,18179.98
2024-11-01 00:00:00,18239.92
2024-10-31 00:00:00,18095.15
2024-10-30 00:00:00,18607.93
2024-10-29 00:00:00,18712.75
2024-10-28 00:00:00,18567.19
2024-10-25 00:00:00,18518.61
2024-10-24 00:00:00,18415.49
2024-10-23 00:00:00,18276.65
2024-10-22 00:00:00,18573.13
2024-10-21 00:00:00,18540.01
2024-10-18 00:00:00,18489.55
2024-10-17 00:00:00,18373.61
2024-10-16 00:00:00,18367.08
2024-10-15 00:00:00,18315.59
2024-10-14 00:00:00,18502.69
2024-10-11 00:00:00,18342.94
2024-10-10 00:00:00,18282.05
2024-10-09 00:00:00,18291.62
2024-10-08 00:00:00,18182.92
2024-10-07 00:00:00,17923.9
2024-10-04 00:00:00,18137.85
2024-10-03 00:00:00,17918.48
2024-10-02 00:00:00,17925.12
2024-10-01 00:00:00,17910.36
2024-09-30 00:00:00,18189.17
2024-09-27 00:00:00,18119.59
2024-09-26 00:00:00,18190.29
2024-09-25 00:00:00,18082.21
2024-09-24 00:00:00,18074.52
2024-09-23 00:00:00,17974.27
2024-09-20 00:00:00,17948.32
