指标名称,韩国综合指数：收盘价（日）
指标编码,GM0000000322
2026-01-13 00:00:00,4692.64
2026-01-12 00:00:00,4624.79
2026-01-09 00:00:00,4586.32
2026-01-08 00:00:00,4552.37
2026-01-07 00:00:00,4551.06
2026-01-06 00:00:00,4525.48
2026-01-05 00:00:00,4457.52
2026-01-02 00:00:00,4309.63
2025-12-30 00:00:00,4214.17
2025-12-29 00:00:00,4220.56
2025-12-26 00:00:00,4129.68
2025-12-24 00:00:00,4108.62
2025-12-23 00:00:00,4117.32
2025-12-22 00:00:00,4105.93
2025-12-19 00:00:00,4020.55
2025-12-18 00:00:00,3994.51
2025-12-17 00:00:00,4056.41
2025-12-16 00:00:00,3999.13
2025-12-15 00:00:00,4090.59
2025-12-12 00:00:00,4167.16
2025-12-11 00:00:00,4110.62
2025-12-10 00:00:00,4135.0
2025-12-09 00:00:00,4143.55
2025-12-08 00:00:00,4154.85
2025-12-05 00:00:00,4100.05
2025-12-04 00:00:00,4028.51
2025-12-03 00:00:00,4036.3
2025-12-02 00:00:00,3994.93
2025-12-01 00:00:00,3920.37
2025-11-28 00:00:00,3926.59
2025-11-27 00:00:00,3986.91
2025-11-26 00:00:00,3960.87
2025-11-25 00:00:00,3857.78
2025-11-24 00:00:00,3846.06
2025-11-21 00:00:00,3853.26
2025-11-20 00:00:00,4004.85
2025-11-19 00:00:00,3929.51
2025-11-18 00:00:00,3953.62
2025-11-17 00:00:00,4089.25
2025-11-14 00:00:00,4011.57
2025-11-13 00:00:00,4181.89
2025-11-12 00:00:00,4150.39
2025-11-11 00:00:00,4106.39
2025-11-10 00:00:00,4073.24
2025-11-07 00:00:00,3953.76
2025-11-06 00:00:00,4026.45
2025-11-05 00:00:00,4004.42
2025-11-04 00:00:00,4121.74
2025-11-03 00:00:00,4221.87
2025-10-31 00:00:00,4107.5
2025-10-30 00:00:00,4086.89
2025-10-29 00:00:00,4081.15
2025-10-28 00:00:00,4010.41
