指标名称,德国DAX30指数：收盘价（日）
指标编码,GM0000000323
2026-01-13 00:00:00,25420.66
2026-01-12 00:00:00,25405.34
2026-01-09 00:00:00,25261.64
2026-01-08 00:00:00,25127.46
2026-01-07 00:00:00,25122.26
2026-01-06 00:00:00,24892.2
2026-01-05 00:00:00,24868.69
2026-01-02 00:00:00,24539.34
2026-01-01 00:00:00,24490.41
2025-12-31 00:00:00,24490.41
2025-12-30 00:00:00,24490.41
2025-12-29 00:00:00,24351.12
2025-12-26 00:00:00,24340.06
2025-12-25 00:00:00,24340.06
2025-12-24 00:00:00,24340.06
2025-12-23 00:00:00,24340.06
2025-12-22 00:00:00,24283.97
2025-12-19 00:00:00,24288.4
2025-12-18 00:00:00,24199.5
2025-12-17 00:00:00,23960.59
2025-12-16 00:00:00,24076.87
2025-12-15 00:00:00,24229.91
2025-12-12 00:00:00,24186.49
2025-12-11 00:00:00,24294.61
2025-12-10 00:00:00,24130.14
2025-12-09 00:00:00,24162.65
2025-12-08 00:00:00,24046.01
2025-12-05 00:00:00,24028.14
2025-12-04 00:00:00,23882.03
2025-12-03 00:00:00,23693.71
2025-12-02 00:00:00,23710.86
2025-12-01 00:00:00,23589.44
2025-11-28 00:00:00,23836.79
2025-11-27 00:00:00,23767.96
2025-11-26 00:00:00,23726.22
2025-11-25 00:00:00,23464.63
2025-11-24 00:00:00,23239.18
2025-11-21 00:00:00,23091.87
2025-11-20 00:00:00,23278.85
2025-11-19 00:00:00,23162.92
2025-11-18 00:00:00,23173.05
2025-11-17 00:00:00,23590.52
2025-11-14 00:00:00,23876.55
2025-11-13 00:00:00,24041.62
2025-11-12 00:00:00,24381.46
2025-11-11 00:00:00,24088.06
2025-11-10 00:00:00,23959.99
2025-11-07 00:00:00,23569.96
2025-11-06 00:00:00,23734.02
2025-11-05 00:00:00,24049.74
2025-11-04 00:00:00,23949.11
2025-11-03 00:00:00,24132.41
2025-10-31 00:00:00,23958.3
2025-10-30 00:00:00,24118.89
2025-10-29 00:00:00,24124.21
2025-10-28 00:00:00,24278.63
2025-10-27 00:00:00,24308.78
2025-10-24 00:00:00,24239.89
2025-10-23 00:00:00,24207.79
2025-10-22 00:00:00,24151.13
2025-10-21 00:00:00,24330.03
2025-10-20 00:00:00,24258.8
2025-10-17 00:00:00,23830.99
2025-10-16 00:00:00,24272.19
2025-10-15 00:00:00,24181.37
2025-10-14 00:00:00,24236.94
2025-10-13 00:00:00,24387.93
2025-10-10 00:00:00,24241.46
2025-10-09 00:00:00,24611.25
2025-10-08 00:00:00,24597.13
2025-10-07 00:00:00,24385.78
2025-10-06 00:00:00,24378.29
2025-10-03 00:00:00,24378.8
2025-10-02 00:00:00,24422.56
2025-10-01 00:00:00,24113.62
2025-09-30 00:00:00,23879.63
2025-09-29 00:00:00,23745.06
2025-09-26 00:00:00,23739.47
2025-09-25 00:00:00,23534.83
2025-09-24 00:00:00,23666.81
2025-09-23 00:00:00,23611.33
2025-09-22 00:00:00,23527.05
2025-09-19 00:00:00,23639.41
2025-09-18 00:00:00,23674.53
2025-09-17 00:00:00,23359.18
2025-09-16 00:00:00,23329.24
2025-09-15 00:00:00,23748.86
2025-09-12 00:00:00,23698.15
2025-09-11 00:00:00,23703.65
2025-09-10 00:00:00,23632.95
2025-09-09 00:00:00,23718.45
2025-09-08 00:00:00,23807.13
2025-09-05 00:00:00,23596.98
2025-09-04 00:00:00,23770.33
2025-09-03 00:00:00,23594.8
2025-09-02 00:00:00,23487.33
2025-09-01 00:00:00,24037.33
2025-08-29 00:00:00,23902.21
2025-08-28 00:00:00,24039.92
2025-08-27 00:00:00,24046.21
2025-08-26 00:00:00,24152.87
2025-08-25 00:00:00,24273.12
2025-08-22 00:00:00,24363.09
2025-08-21 00:00:00,24293.34
2025-08-20 00:00:00,24276.97
2025-08-19 00:00:00,24423.07
2025-08-18 00:00:00,24314.77
2025-08-15 00:00:00,24359.3
2025-08-14 00:00:00,24377.5
2025-08-13 00:00:00,24185.59
2025-08-12 00:00:00,24024.78
2025-08-11 00:00:00,24081.34
2025-08-08 00:00:00,24162.86
2025-08-07 00:00:00,24192.5
2025-08-06 00:00:00,23924.36
2025-08-05 00:00:00,23846.07
2025-08-04 00:00:00,23757.69
2025-08-01 00:00:00,23425.97
2025-07-31 00:00:00,24065.47
2025-07-30 00:00:00,24262.22
2025-07-29 00:00:00,24217.37
2025-07-28 00:00:00,23970.36
2025-07-25 00:00:00,24217.5
2025-07-24 00:00:00,24295.93
2025-07-23 00:00:00,24240.82
2025-07-22 00:00:00,24041.9
2025-07-21 00:00:00,24307.8
2025-07-18 00:00:00,24289.51
2025-07-17 00:00:00,24370.93
2025-07-16 00:00:00,24009.38
2025-07-15 00:00:00,24060.29
2025-07-14 00:00:00,24160.64
2025-07-11 00:00:00,24255.31
2025-07-10 00:00:00,24456.81
2025-07-09 00:00:00,24549.56
2025-07-08 00:00:00,24206.91
2025-07-07 00:00:00,24073.67
2025-07-04 00:00:00,23787.45
2025-07-03 00:00:00,23934.13
2025-07-02 00:00:00,23790.11
2025-07-01 00:00:00,23673.29
2025-06-30 00:00:00,23909.61
2025-06-27 00:00:00,24033.22
2025-06-26 00:00:00,23649.3
2025-06-25 00:00:00,23498.33
2025-06-24 00:00:00,23641.58
2025-06-23 00:00:00,23269.01
2025-06-20 00:00:00,23350.55
2025-06-19 00:00:00,23057.38
2025-06-18 00:00:00,23317.81
2025-06-17 00:00:00,23434.65
2025-06-16 00:00:00,23699.12
2025-06-13 00:00:00,23516.23
2025-06-12 00:00:00,23771.45
2025-06-11 00:00:00,23948.9
2025-06-10 00:00:00,23987.56
2025-06-09 00:00:00,24174.32
2025-06-06 00:00:00,24304.46
2025-06-05 00:00:00,24323.58
2025-06-04 00:00:00,24276.48
2025-06-03 00:00:00,24091.62
2025-06-02 00:00:00,23930.67
2025-05-30 00:00:00,23997.48
2025-05-29 00:00:00,23933.23
2025-05-28 00:00:00,24038.19
2025-05-27 00:00:00,24226.49
2025-05-26 00:00:00,24027.65
2025-05-23 00:00:00,23629.58
2025-05-22 00:00:00,23999.17
2025-05-21 00:00:00,24122.4
2025-05-20 00:00:00,24036.11
2025-05-19 00:00:00,23934.98
2025-05-16 00:00:00,23767.43
2025-05-15 00:00:00,23695.59
2025-05-14 00:00:00,23527.01
2025-05-13 00:00:00,23638.56
2025-05-12 00:00:00,23566.54
2025-05-09 00:00:00,23499.32
2025-05-08 00:00:00,23352.69
2025-05-07 00:00:00,23115.96
2025-05-06 00:00:00,23249.65
2025-05-05 00:00:00,23344.54
2025-05-02 00:00:00,23086.65
2025-05-01 00:00:00,22496.98
2025-04-30 00:00:00,22496.98
2025-04-29 00:00:00,22425.83
2025-04-28 00:00:00,22271.67
2025-04-25 00:00:00,22242.45
2025-04-24 00:00:00,22064.51
2025-04-23 00:00:00,21961.97
2025-04-22 00:00:00,21293.53
2025-04-21 00:00:00,21205.86
2025-04-18 00:00:00,21205.86
2025-04-17 00:00:00,21205.86
2025-04-16 00:00:00,21311.02
2025-04-15 00:00:00,21253.7
2025-04-14 00:00:00,20954.83
2025-04-11 00:00:00,20374.1
2025-04-10 00:00:00,20562.73
2025-04-09 00:00:00,19670.88
2025-04-08 00:00:00,20280.26
2025-04-07 00:00:00,19761.89
2025-04-04 00:00:00,20641.72
2025-04-03 00:00:00,21700.36
2025-04-02 00:00:00,22390.84
2025-04-01 00:00:00,22539.98
2025-03-31 00:00:00,22163.49
2025-03-28 00:00:00,22461.52
2025-03-27 00:00:00,22678.74
2025-03-26 00:00:00,22839.03
2025-03-25 00:00:00,23109.79
2025-03-24 00:00:00,22852.66
2025-03-21 00:00:00,22891.68
2025-03-20 00:00:00,22999.15
2025-03-19 00:00:00,23288.06
2025-03-18 00:00:00,23380.7
2025-03-17 00:00:00,23154.57
2025-03-14 00:00:00,22986.82
2025-03-13 00:00:00,22567.14
2025-03-12 00:00:00,22676.41
2025-03-11 00:00:00,22328.77
2025-03-10 00:00:00,22620.95
2025-03-07 00:00:00,23008.94
2025-03-06 00:00:00,23419.48
2025-03-05 00:00:00,23081.03
2025-03-04 00:00:00,22326.81
2025-03-03 00:00:00,23147.02
2025-02-28 00:00:00,22551.43
2025-02-27 00:00:00,22550.89
2025-02-26 00:00:00,22794.11
2025-02-25 00:00:00,22410.27
2025-02-24 00:00:00,22425.93
2025-02-21 00:00:00,22287.56
2025-02-20 00:00:00,22314.65
2025-02-19 00:00:00,22433.63
2025-02-18 00:00:00,22844.5
2025-02-17 00:00:00,22798.09
2025-02-14 00:00:00,22513.42
2025-02-13 00:00:00,22612.02
2025-02-12 00:00:00,22148.03
2025-02-11 00:00:00,22037.83
2025-02-10 00:00:00,21911.74
2025-02-07 00:00:00,21787.0
2025-02-06 00:00:00,21902.42
2025-02-05 00:00:00,21585.93
2025-02-04 00:00:00,21505.7
2025-02-03 00:00:00,21428.24
2025-01-31 00:00:00,21732.05
2025-01-30 00:00:00,21727.2
2025-01-29 00:00:00,21637.53
2025-01-28 00:00:00,21430.58
2025-01-27 00:00:00,21282.18
2025-01-24 00:00:00,21394.93
2025-01-23 00:00:00,21411.53
2025-01-22 00:00:00,21254.27
2025-01-21 00:00:00,21042.0
2025-01-20 00:00:00,20990.31
2025-01-17 00:00:00,20903.39
2025-01-16 00:00:00,20655.39
2025-01-15 00:00:00,20574.68
2025-01-14 00:00:00,20271.33
2025-01-13 00:00:00,20132.85
2025-01-10 00:00:00,20214.79
2025-01-09 00:00:00,20317.1
2025-01-08 00:00:00,20329.94
2025-01-07 00:00:00,20340.57
2025-01-06 00:00:00,20216.19
2025-01-03 00:00:00,19906.08
2025-01-02 00:00:00,20024.66
2025-01-01 00:00:00,19909.14
2024-12-31 00:00:00,19909.14
2024-12-30 00:00:00,19909.14
2024-12-27 00:00:00,19984.32
2024-12-26 00:00:00,19848.77
2024-12-25 00:00:00,19848.77
2024-12-24 00:00:00,19848.77
2024-12-23 00:00:00,19848.77
2024-12-20 00:00:00,19884.75
2024-12-19 00:00:00,19969.86
2024-12-18 00:00:00,20242.57
2024-12-17 00:00:00,20246.37
2024-12-16 00:00:00,20313.81
2024-12-13 00:00:00,20405.92
2024-12-12 00:00:00,20426.27
2024-12-11 00:00:00,20399.16
2024-12-10 00:00:00,20329.16
2024-12-09 00:00:00,20345.96
2024-12-06 00:00:00,20384.61
2024-12-05 00:00:00,20358.8
2024-12-04 00:00:00,20232.14
2024-12-03 00:00:00,20016.75
2024-12-02 00:00:00,19933.62
2024-11-29 00:00:00,19626.45
2024-11-28 00:00:00,19425.73
2024-11-27 00:00:00,19261.75
2024-11-26 00:00:00,19295.98
2024-11-25 00:00:00,19405.2
2024-11-22 00:00:00,19322.59
2024-11-21 00:00:00,19146.17
2024-11-20 00:00:00,19004.78
2024-11-19 00:00:00,19060.31
2024-11-18 00:00:00,19189.19
2024-11-15 00:00:00,19210.81
2024-11-14 00:00:00,19263.7
2024-11-13 00:00:00,19003.11
2024-11-12 00:00:00,19033.64
2024-11-11 00:00:00,19448.6
2024-11-08 00:00:00,19215.48
2024-11-07 00:00:00,19362.52
2024-11-06 00:00:00,19039.31
2024-11-05 00:00:00,19256.27
2024-11-04 00:00:00,19147.85
2024-11-01 00:00:00,19254.97
