指标名称,富时100指数：收盘价（日）
指标编码,GM0000000325
2026-01-13 00:00:00,10137.35
2026-01-12 00:00:00,10140.7
2026-01-09 00:00:00,10124.6
2026-01-08 00:00:00,10044.69
2026-01-07 00:00:00,10048.21
2026-01-06 00:00:00,10122.73
2026-01-05 00:00:00,10004.57
2026-01-02 00:00:00,9951.14
2026-01-01 00:00:00,9931.38
2025-12-31 00:00:00,9931.38
2025-12-30 00:00:00,9940.71
2025-12-29 00:00:00,9866.53
2025-12-26 00:00:00,9870.68
2025-12-25 00:00:00,9870.68
2025-12-24 00:00:00,9870.68
2025-12-23 00:00:00,9889.22
2025-12-22 00:00:00,9865.97
2025-12-19 00:00:00,9897.42
2025-12-18 00:00:00,9837.77
2025-12-17 00:00:00,9774.32
2025-12-16 00:00:00,9684.79
2025-12-15 00:00:00,9751.31
2025-12-12 00:00:00,9649.03
2025-12-11 00:00:00,9703.16
2025-12-10 00:00:00,9655.53
2025-12-09 00:00:00,9642.01
2025-12-08 00:00:00,9645.09
2025-12-05 00:00:00,9667.01
2025-12-04 00:00:00,9710.87
2025-12-03 00:00:00,9692.07
2025-12-02 00:00:00,9701.8
2025-12-01 00:00:00,9702.53
2025-11-28 00:00:00,9720.51
2025-11-27 00:00:00,9693.93
2025-11-26 00:00:00,9691.58
2025-11-25 00:00:00,9609.53
2025-11-24 00:00:00,9534.91
2025-11-21 00:00:00,9539.71
2025-11-20 00:00:00,9527.65
2025-11-19 00:00:00,9507.41
2025-11-18 00:00:00,9552.3
2025-11-17 00:00:00,9675.43
2025-11-14 00:00:00,9698.37
2025-11-13 00:00:00,9807.68
2025-11-12 00:00:00,9911.42
2025-11-11 00:00:00,9899.6
2025-11-10 00:00:00,9787.15
2025-11-07 00:00:00,9682.57
2025-11-06 00:00:00,9735.78
2025-11-05 00:00:00,9777.08
2025-11-04 00:00:00,9714.96
2025-11-03 00:00:00,9701.37
2025-10-31 00:00:00,9717.25
2025-10-30 00:00:00,9760.06
2025-10-29 00:00:00,9756.14
2025-10-28 00:00:00,9696.74
2025-10-27 00:00:00,9653.82
2025-10-24 00:00:00,9645.62
2025-10-23 00:00:00,9578.57
2025-10-22 00:00:00,9515.0
2025-10-21 00:00:00,9426.99
2025-10-20 00:00:00,9403.57
2025-10-17 00:00:00,9354.57
2025-10-16 00:00:00,9436.09
2025-10-15 00:00:00,9424.75
2025-10-14 00:00:00,9452.77
2025-10-13 00:00:00,9442.87
2025-10-10 00:00:00,9427.47
2025-10-09 00:00:00,9509.4
2025-10-08 00:00:00,9548.87
2025-10-07 00:00:00,9483.58
2025-10-06 00:00:00,9479.14
2025-10-03 00:00:00,9491.25
2025-10-02 00:00:00,9427.73
2025-10-01 00:00:00,9446.43
2025-09-30 00:00:00,9350.43
2025-09-29 00:00:00,9299.84
2025-09-26 00:00:00,9284.83
2025-09-25 00:00:00,9213.98
2025-09-24 00:00:00,9250.43
2025-09-23 00:00:00,9223.32
2025-09-22 00:00:00,9226.68
2025-09-19 00:00:00,9216.67
2025-09-18 00:00:00,9228.11
2025-09-17 00:00:00,9208.37
2025-09-16 00:00:00,9195.66
2025-09-15 00:00:00,9277.03
2025-09-12 00:00:00,9283.29
2025-09-11 00:00:00,9297.58
2025-09-10 00:00:00,9225.39
2025-09-09 00:00:00,9242.53
2025-09-08 00:00:00,9221.44
2025-09-05 00:00:00,9208.21
2025-09-04 00:00:00,9216.87
2025-09-03 00:00:00,9177.99
2025-09-02 00:00:00,9116.69
2025-09-01 00:00:00,9196.34
2025-08-29 00:00:00,9187.34
2025-08-28 00:00:00,9216.82
2025-08-27 00:00:00,9255.5
2025-08-26 00:00:00,9265.8
2025-08-25 00:00:00,9321.4
2025-08-22 00:00:00,9321.4
2025-08-21 00:00:00,9309.2
2025-08-20 00:00:00,9288.14
2025-08-19 00:00:00,9189.22
2025-08-18 00:00:00,9157.74
2025-08-15 00:00:00,9138.9
2025-08-14 00:00:00,9177.24
2025-08-13 00:00:00,9165.23
2025-08-12 00:00:00,9147.81
2025-08-11 00:00:00,9129.71
2025-08-08 00:00:00,9095.73
2025-08-07 00:00:00,9100.77
2025-08-06 00:00:00,9164.31
2025-08-05 00:00:00,9142.73
2025-08-04 00:00:00,9128.3
2025-08-01 00:00:00,9068.58
2025-07-31 00:00:00,9132.81
2025-07-30 00:00:00,9136.94
2025-07-29 00:00:00,9136.32
2025-07-28 00:00:00,9081.44
2025-07-25 00:00:00,9120.31
2025-07-24 00:00:00,9138.37
2025-07-23 00:00:00,9061.49
2025-07-22 00:00:00,9023.81
2025-07-21 00:00:00,9012.99
2025-07-18 00:00:00,8992.12
2025-07-17 00:00:00,8972.64
2025-07-16 00:00:00,8926.55
2025-07-15 00:00:00,8938.32
2025-07-14 00:00:00,8998.06
2025-07-11 00:00:00,8941.12
2025-07-10 00:00:00,8975.66
2025-07-09 00:00:00,8867.02
2025-07-08 00:00:00,8854.18
2025-07-07 00:00:00,8806.53
2025-07-04 00:00:00,8822.91
2025-07-03 00:00:00,8823.2
2025-07-02 00:00:00,8774.69
2025-07-01 00:00:00,8785.33
2025-06-30 00:00:00,8760.96
2025-06-27 00:00:00,8798.91
2025-06-26 00:00:00,8735.6
2025-06-25 00:00:00,8718.75
2025-06-24 00:00:00,8758.99
2025-06-23 00:00:00,8758.04
2025-06-20 00:00:00,8774.65
2025-06-19 00:00:00,8791.8
2025-06-18 00:00:00,8843.47
2025-06-17 00:00:00,8834.03
2025-06-16 00:00:00,8875.22
2025-06-13 00:00:00,8850.63
2025-06-12 00:00:00,8884.92
2025-06-11 00:00:00,8864.35
2025-06-10 00:00:00,8853.08
2025-06-09 00:00:00,8832.28
2025-06-06 00:00:00,8837.91
2025-06-05 00:00:00,8811.04
2025-06-04 00:00:00,8801.29
2025-06-03 00:00:00,8787.02
2025-06-02 00:00:00,8774.26
2025-05-30 00:00:00,8772.38
2025-05-29 00:00:00,8716.45
2025-05-28 00:00:00,8726.01
2025-05-27 00:00:00,8778.05
2025-05-26 00:00:00,8717.97
2025-05-23 00:00:00,8717.97
2025-05-22 00:00:00,8739.26
2025-05-21 00:00:00,8786.46
2025-05-20 00:00:00,8781.12
2025-05-19 00:00:00,8699.31
2025-05-16 00:00:00,8684.56
2025-05-15 00:00:00,8633.75
2025-05-14 00:00:00,8585.01
2025-05-13 00:00:00,8602.92
2025-05-12 00:00:00,8604.98
2025-05-09 00:00:00,8554.8
2025-05-08 00:00:00,8531.61
2025-05-07 00:00:00,8559.33
2025-05-06 00:00:00,8597.42
2025-05-05 00:00:00,8596.35
2025-05-02 00:00:00,8596.35
2025-05-01 00:00:00,8496.8
2025-04-30 00:00:00,8494.85
2025-04-29 00:00:00,8463.46
2025-04-28 00:00:00,8417.34
2025-04-25 00:00:00,8415.25
2025-04-24 00:00:00,8407.44
2025-04-23 00:00:00,8403.18
2025-04-22 00:00:00,8328.6
2025-04-21 00:00:00,8275.66
2025-04-18 00:00:00,8275.66
2025-04-17 00:00:00,8275.66
2025-04-16 00:00:00,8275.6
2025-04-15 00:00:00,8249.12
2025-04-14 00:00:00,8134.34
2025-04-11 00:00:00,7964.18
2025-04-10 00:00:00,7913.25
2025-04-09 00:00:00,7679.48
2025-04-08 00:00:00,7910.53
2025-04-07 00:00:00,7702.08
2025-04-04 00:00:00,8054.98
2025-04-03 00:00:00,8474.74
2025-04-02 00:00:00,8608.48
2025-04-01 00:00:00,8634.8
2025-03-31 00:00:00,8582.81
2025-03-28 00:00:00,8658.85
2025-03-27 00:00:00,8666.12
2025-03-26 00:00:00,8689.59
2025-03-25 00:00:00,8663.8
2025-03-24 00:00:00,8638.01
2025-03-21 00:00:00,8646.79
2025-03-20 00:00:00,8701.99
2025-03-19 00:00:00,8706.66
2025-03-18 00:00:00,8705.23
2025-03-17 00:00:00,8680.29
2025-03-14 00:00:00,8632.33
2025-03-13 00:00:00,8542.56
2025-03-12 00:00:00,8540.97
2025-03-11 00:00:00,8495.99
2025-03-10 00:00:00,8600.22
2025-03-07 00:00:00,8679.88
