指标名称,汇率：欧元兑人民币（日）
指标编码,GM0000000552
2026-01-14 00:00:00,8.1262
2026-01-13 00:00:00,8.1343
2026-01-12 00:00:00,8.1427
2026-01-09 00:00:00,8.1335
2026-01-08 00:00:00,8.1699
2026-01-07 00:00:00,8.1785
2026-01-06 00:00:00,8.1759
2026-01-05 00:00:00,8.1597
2026-01-04 00:00:00,8.202
2026-01-03 00:00:00,8.202
2026-01-02 00:00:00,8.2025
2026-01-01 00:00:00,8.2075
2025-12-31 00:00:00,8.1983
2025-12-30 00:00:00,8.2248
2025-12-29 00:00:00,8.2575
2025-12-26 00:00:00,8.2573
2025-12-25 00:00:00,8.2704
2025-12-24 00:00:00,8.2911
2025-12-23 00:00:00,8.279
2025-12-22 00:00:00,8.2757
2025-12-19 00:00:00,8.256
2025-12-18 00:00:00,8.2726
2025-12-17 00:00:00,8.2702
2025-12-16 00:00:00,8.303
2025-12-15 00:00:00,8.2867
2025-12-12 00:00:00,8.2815
2025-12-11 00:00:00,8.2882
2025-12-10 00:00:00,8.2134
2025-12-09 00:00:00,8.2168
2025-12-08 00:00:00,8.2347
2025-12-05 00:00:00,8.2328
2025-12-04 00:00:00,8.2503
2025-12-03 00:00:00,8.2384
2025-12-02 00:00:00,8.2123
2025-12-01 00:00:00,8.2267
2025-11-28 00:00:00,8.1899
2025-11-27 00:00:00,8.2119
2025-11-26 00:00:00,8.1972
2025-11-25 00:00:00,8.1979
2025-11-24 00:00:00,8.1924
2025-11-21 00:00:00,8.2075
2025-11-20 00:00:00,8.2055
2025-11-19 00:00:00,8.2192
2025-11-18 00:00:00,8.2441
2025-11-17 00:00:00,8.2352
2025-11-14 00:00:00,8.2514
2025-11-13 00:00:00,8.2512
2025-11-12 00:00:00,8.2459
2025-11-11 00:00:00,8.259
2025-11-10 00:00:00,8.231
2025-11-07 00:00:00,8.2451
2025-11-06 00:00:00,8.1929
2025-11-05 00:00:00,8.1884
2025-11-04 00:00:00,8.1841
2025-11-03 00:00:00,8.206
2025-10-31 00:00:00,8.2254
2025-10-30 00:00:00,8.2361
2025-10-29 00:00:00,8.2659
2025-10-28 00:00:00,8.2783
2025-10-27 00:00:00,8.2757
2025-10-24 00:00:00,8.2753
2025-10-23 00:00:00,8.2714
2025-10-22 00:00:00,8.2616
2025-10-21 00:00:00,8.2631
2025-10-20 00:00:00,8.3021
2025-10-17 00:00:00,8.3335
2025-10-16 00:00:00,8.3154
2025-10-15 00:00:00,8.2831
2025-10-14 00:00:00,8.2705
2025-10-13 00:00:00,8.2487
2025-10-11 00:00:00,8.28
2025-10-10 00:00:00,8.2451
2025-10-09 00:00:00,8.2795
2025-10-08 00:00:00,8.2815
2025-10-07 00:00:00,8.2995
2025-10-06 00:00:00,8.3373
2025-10-05 00:00:00,8.3565
2025-10-04 00:00:00,8.3594
2025-10-03 00:00:00,8.3587
2025-10-02 00:00:00,8.3359
2025-10-01 00:00:00,8.3613
2025-09-30 00:00:00,8.3653
2025-09-29 00:00:00,8.3544
2025-09-28 00:00:00,8.3479
2025-09-26 00:00:00,8.3495
2025-09-25 00:00:00,8.331
2025-09-24 00:00:00,8.4025
2025-09-23 00:00:00,8.3899
2025-09-22 00:00:00,8.3735
2025-09-19 00:00:00,8.3669
2025-09-18 00:00:00,8.3739
2025-09-17 00:00:00,8.4191
2025-09-16 00:00:00,8.4291
2025-09-15 00:00:00,8.3709
2025-09-12 00:00:00,8.3477
2025-09-11 00:00:00,8.3539
2025-09-10 00:00:00,8.3332
2025-09-09 00:00:00,8.3534
2025-09-08 00:00:00,8.352
2025-09-06 00:00:00,8.3609
2025-09-05 00:00:00,8.324
2025-09-04 00:00:00,8.3148
2025-09-03 00:00:00,8.3188
2025-09-02 00:00:00,8.3221
2025-09-01 00:00:00,8.3493
2025-08-29 00:00:00,8.3287
2025-08-28 00:00:00,8.3217
2025-08-27 00:00:00,8.2976
2025-08-26 00:00:00,8.3436
2025-08-25 00:00:00,8.3907
2025-08-22 00:00:00,8.3975
2025-08-21 00:00:00,8.3601
2025-08-20 00:00:00,8.3701
2025-08-19 00:00:00,8.379
2025-08-18 00:00:00,8.3838
2025-08-15 00:00:00,8.4106
2025-08-14 00:00:00,8.3576
2025-08-13 00:00:00,8.3882
2025-08-12 00:00:00,8.3503
2025-08-11 00:00:00,8.3432
2025-08-08 00:00:00,8.3777
2025-08-07 00:00:00,8.3581
2025-08-06 00:00:00,8.3194
2025-08-05 00:00:00,8.3158
2025-08-04 00:00:00,8.3088
2025-08-01 00:00:00,8.3362
2025-07-31 00:00:00,8.234
2025-07-30 00:00:00,8.2514
2025-07-29 00:00:00,8.3215
2025-07-28 00:00:00,8.4241
2025-07-25 00:00:00,8.4061
2025-07-24 00:00:00,8.4194
2025-07-23 00:00:00,8.4162
2025-07-22 00:00:00,8.3918
2025-07-21 00:00:00,8.401
2025-07-18 00:00:00,8.3679
2025-07-17 00:00:00,8.3536
2025-07-16 00:00:00,8.3263
2025-07-15 00:00:00,8.3298
2025-07-14 00:00:00,8.3778
2025-07-12 00:00:00,8.3794
2025-07-11 00:00:00,8.3743
2025-07-10 00:00:00,8.3832
2025-07-09 00:00:00,8.4062
2025-07-08 00:00:00,8.4235
2025-07-07 00:00:00,8.4171
2025-07-04 00:00:00,8.4416
2025-07-03 00:00:00,8.4289
2025-07-02 00:00:00,8.4449
2025-07-01 00:00:00,8.4431
2025-06-30 00:00:00,8.4302
2025-06-28 00:00:00,8.3823
2025-06-27 00:00:00,8.3845
2025-06-26 00:00:00,8.394
2025-06-25 00:00:00,8.3383
2025-06-24 00:00:00,8.3314
2025-06-23 00:00:00,8.2862
2025-06-21 00:00:00,8.2811
2025-06-20 00:00:00,8.2734
2025-06-19 00:00:00,8.2414
2025-06-18 00:00:00,8.2848
2025-06-17 00:00:00,8.2877
2025-06-16 00:00:00,8.2944
2025-06-13 00:00:00,8.3023
2025-06-12 00:00:00,8.3041
2025-06-11 00:00:00,8.2071
2025-06-10 00:00:00,8.2079
2025-06-09 00:00:00,8.2037
2025-06-06 00:00:00,8.1948
2025-06-05 00:00:00,8.2102
2025-06-04 00:00:00,8.1822
2025-06-03 00:00:00,8.2463
2025-06-02 00:00:00,8.232
2025-06-01 00:00:00,8.1701
2025-05-31 00:00:00,8.1701
2025-05-30 00:00:00,8.1764
2025-05-29 00:00:00,8.166
2025-05-28 00:00:00,8.1217
2025-05-27 00:00:00,8.192
2025-05-26 00:00:00,8.1831
2025-05-23 00:00:00,8.1496
2025-05-22 00:00:00,8.1302
2025-05-21 00:00:00,8.1624
2025-05-20 00:00:00,8.1229
2025-05-19 00:00:00,8.0669
2025-05-16 00:00:00,8.0339
2025-05-15 00:00:00,8.0594
2025-05-14 00:00:00,8.0671
2025-05-13 00:00:00,7.995
2025-05-12 00:00:00,8.0228
2025-05-09 00:00:00,8.1435
2025-05-08 00:00:00,8.171
2025-05-07 00:00:00,8.2001
2025-05-06 00:00:00,8.2711
2025-05-05 00:00:00,8.2566
2025-05-04 00:00:00,8.2453
2025-05-03 00:00:00,8.2453
2025-05-02 00:00:00,8.263
2025-05-01 00:00:00,8.2616
2025-04-30 00:00:00,8.291
2025-04-29 00:00:00,8.3111
2025-04-28 00:00:00,8.2967
2025-04-27 00:00:00,8.2829
2025-04-26 00:00:00,8.2895
2025-04-25 00:00:00,8.2824
2025-04-24 00:00:00,8.2756
2025-04-23 00:00:00,8.3067
2025-04-22 00:00:00,8.369
2025-04-21 00:00:00,8.3897
2025-04-18 00:00:00,8.2971
2025-04-17 00:00:00,8.2941
2025-04-16 00:00:00,8.3126
2025-04-15 00:00:00,8.2626
2025-04-14 00:00:00,8.3079
2025-04-11 00:00:00,8.2727
2025-04-10 00:00:00,8.2019
2025-04-09 00:00:00,8.1222
2025-04-08 00:00:00,8.0077
2025-04-07 00:00:00,7.9803
2025-04-06 00:00:00,7.9982
2025-04-05 00:00:00,7.9982
2025-04-04 00:00:00,8.0307
2025-04-03 00:00:00,8.0595
2025-04-02 00:00:00,7.8933
2025-04-01 00:00:00,7.8468
2025-03-31 00:00:00,7.8339
2025-03-29 00:00:00,7.864
2025-03-28 00:00:00,7.8447
2025-03-27 00:00:00,7.8518
2025-03-26 00:00:00,7.8249
2025-03-25 00:00:00,7.8414
2025-03-24 00:00:00,7.8523
2025-03-21 00:00:00,7.8413
2025-03-20 00:00:00,7.8576
2025-03-19 00:00:00,7.8662
2025-03-18 00:00:00,7.9033
2025-03-17 00:00:00,7.9048
2025-03-14 00:00:00,7.8703
2025-03-13 00:00:00,7.8853
2025-03-12 00:00:00,7.9014
2025-03-11 00:00:00,7.8938
2025-03-10 00:00:00,7.8617
2025-03-07 00:00:00,7.8717
2025-03-06 00:00:00,7.8406
2025-03-05 00:00:00,7.7083
2025-03-04 00:00:00,7.6464
2025-03-03 00:00:00,7.6425
2025-02-28 00:00:00,7.58
2025-02-27 00:00:00,7.5854
2025-02-26 00:00:00,7.6248
2025-02-25 00:00:00,7.6141
2025-02-24 00:00:00,7.5862
2025-02-21 00:00:00,7.5847
2025-02-20 00:00:00,7.6001
2025-02-19 00:00:00,7.6124
2025-02-18 00:00:00,7.6148
2025-02-17 00:00:00,7.6119
2025-02-14 00:00:00,7.6465
2025-02-13 00:00:00,7.5923
2025-02-12 00:00:00,7.5856
2025-02-11 00:00:00,7.5557
2025-02-10 00:00:00,7.5352
2025-02-09 00:00:00,7.5268
2025-02-08 00:00:00,7.5294
2025-02-07 00:00:00,7.5689
2025-02-06 00:00:00,7.5562
2025-02-05 00:00:00,7.5787
2025-02-04 00:00:00,7.4584
2025-02-03 00:00:00,7.428
2025-02-02 00:00:00,7.4498
2025-02-01 00:00:00,7.4466
2025-01-31 00:00:00,7.4702
2025-01-30 00:00:00,7.4733
2025-01-29 00:00:00,7.5577
2025-01-28 00:00:00,7.5792
2025-01-27 00:00:00,7.6016
2025-01-26 00:00:00,7.6034
2025-01-24 00:00:00,7.6192
2025-01-23 00:00:00,7.5746
2025-01-22 00:00:00,7.6228
2025-01-21 00:00:00,7.6101
2025-01-20 00:00:00,7.598
2025-01-17 00:00:00,7.5463
2025-01-16 00:00:00,7.5533
2025-01-15 00:00:00,7.5551
2025-01-14 00:00:00,7.5242
2025-01-13 00:00:00,7.4785
2025-01-10 00:00:00,7.5177
2025-01-09 00:00:00,7.5499
2025-01-08 00:00:00,7.5515
2025-01-07 00:00:00,7.5968
2025-01-06 00:00:00,7.542
2025-01-04 00:00:00,7.5341
2025-01-03 00:00:00,7.4952
2025-01-02 00:00:00,7.5545
2025-01-01 00:00:00,7.5533
2024-12-31 00:00:00,7.5626
2024-12-30 00:00:00,7.611
2024-12-27 00:00:00,7.6108
2024-12-26 00:00:00,7.5895
2024-12-25 00:00:00,7.5885
2024-12-24 00:00:00,7.5853
2024-12-23 00:00:00,7.5858
2024-12-20 00:00:00,7.5903
2024-12-19 00:00:00,7.577
2024-12-18 00:00:00,7.6307
2024-12-17 00:00:00,7.6467
2024-12-16 00:00:00,7.657
2024-12-13 00:00:00,7.6273
2024-12-12 00:00:00,7.6103
2024-12-11 00:00:00,7.6125
2024-12-10 00:00:00,7.6204
2024-12-09 00:00:00,7.6835
2024-12-07 00:00:00,7.6807
2024-12-06 00:00:00,7.6852
2024-12-05 00:00:00,7.6361
2024-12-04 00:00:00,7.6426
2024-12-03 00:00:00,7.6594
2024-12-02 00:00:00,7.6137
2024-11-29 00:00:00,7.6486
2024-11-28 00:00:00,7.6451
2024-11-27 00:00:00,7.601
2024-11-26 00:00:00,7.5788
2024-11-25 00:00:00,7.6085
2024-11-22 00:00:00,7.5458
2024-11-21 00:00:00,7.6113
2024-11-20 00:00:00,7.6235
2024-11-19 00:00:00,7.6636
2024-11-18 00:00:00,7.652
2024-11-15 00:00:00,7.6149
2024-11-14 00:00:00,7.6399
2024-11-13 00:00:00,7.6478
2024-11-12 00:00:00,7.6715
2024-11-11 00:00:00,7.679
2024-11-09 00:00:00,7.7132
2024-11-08 00:00:00,7.7094
2024-11-07 00:00:00,7.7255
2024-11-06 00:00:00,7.725
2024-11-05 00:00:00,7.7486
2024-11-04 00:00:00,7.7456
2024-11-02 00:00:00,7.7261
2024-11-01 00:00:00,7.7503
2024-10-31 00:00:00,7.7265
2024-10-30 00:00:00,7.7386
2024-10-29 00:00:00,7.7126
2024-10-28 00:00:00,7.707
2024-10-25 00:00:00,7.7004
2024-10-24 00:00:00,7.6909
2024-10-23 00:00:00,7.6895
2024-10-22 00:00:00,7.6975
2024-10-21 00:00:00,7.7057
2024-10-18 00:00:00,7.7091
2024-10-17 00:00:00,7.7304
2024-10-16 00:00:00,7.7476
2024-10-15 00:00:00,7.761
2024-10-14 00:00:00,7.7301
2024-10-12 00:00:00,7.7326
2024-10-11 00:00:00,7.7314
2024-10-10 00:00:00,7.7479
2024-10-09 00:00:00,7.7545
2024-10-08 00:00:00,7.7444
