指标名称,汇率：美元兑人民币（日）
指标编码,GM0000000553
2026-01-14 00:00:00,6.978
2026-01-13 00:00:00,6.9747
2026-01-12 00:00:00,6.9732
2026-01-09 00:00:00,6.9826
2026-01-08 00:00:00,6.9973
2026-01-07 00:00:00,6.9934
2026-01-06 00:00:00,6.9834
2026-01-05 00:00:00,6.9854
2026-01-04 00:00:00,6.9939
2026-01-03 00:00:00,6.9939
2026-01-02 00:00:00,6.9937
2026-01-01 00:00:00,6.9955
2025-12-31 00:00:00,6.9888
2025-12-30 00:00:00,6.9936
2025-12-29 00:00:00,7.0062
2025-12-26 00:00:00,7.0059
2025-12-25 00:00:00,7.024
2025-12-24 00:00:00,7.0285
2025-12-23 00:00:00,7.037
2025-12-22 00:00:00,7.0371
2025-12-19 00:00:00,7.0418
2025-12-18 00:00:00,7.0438
2025-12-17 00:00:00,7.0436
2025-12-16 00:00:00,7.0417
2025-12-15 00:00:00,7.0471
2025-12-12 00:00:00,7.0547
2025-12-11 00:00:00,7.0581
2025-12-10 00:00:00,7.0636
2025-12-09 00:00:00,7.0636
2025-12-08 00:00:00,7.0697
2025-12-05 00:00:00,7.0717
2025-12-04 00:00:00,7.0717
2025-12-03 00:00:00,7.0639
2025-12-02 00:00:00,7.0703
2025-12-01 00:00:00,7.0718
2025-11-28 00:00:00,7.0749
2025-11-27 00:00:00,7.0815
2025-11-26 00:00:00,7.0847
2025-11-25 00:00:00,7.0849
2025-11-24 00:00:00,7.1057
2025-11-21 00:00:00,7.1164
2025-11-20 00:00:00,7.1116
2025-11-19 00:00:00,7.1104
2025-11-18 00:00:00,7.109
2025-11-17 00:00:00,7.1082
2025-11-14 00:00:00,7.0959
2025-11-13 00:00:00,7.0962
2025-11-12 00:00:00,7.1173
2025-11-11 00:00:00,7.1176
2025-11-10 00:00:00,7.1202
2025-11-07 00:00:00,7.1229
2025-11-06 00:00:00,7.1268
2025-11-05 00:00:00,7.1282
2025-11-04 00:00:00,7.1295
2025-11-03 00:00:00,7.1164
2025-10-31 00:00:00,7.1104
2025-10-30 00:00:00,7.0985
2025-10-29 00:00:00,7.0991
2025-10-28 00:00:00,7.0998
2025-10-27 00:00:00,7.1106
2025-10-24 00:00:00,7.1227
2025-10-23 00:00:00,7.1227
2025-10-22 00:00:00,7.1224
2025-10-21 00:00:00,7.1212
2025-10-20 00:00:00,7.121
2025-10-17 00:00:00,7.124
2025-10-16 00:00:00,7.1243
2025-10-15 00:00:00,7.139
2025-10-14 00:00:00,7.1385
2025-10-13 00:00:00,7.1321
2025-10-11 00:00:00,7.125
2025-10-10 00:00:00,7.123
2025-10-09 00:00:00,7.1195
2025-10-08 00:00:00,7.1196
2025-10-07 00:00:00,7.1195
2025-10-06 00:00:00,7.1195
2025-10-05 00:00:00,7.1195
2025-10-04 00:00:00,7.1195
2025-10-03 00:00:00,7.1196
2025-10-02 00:00:00,7.1196
2025-10-01 00:00:00,7.1195
2025-09-30 00:00:00,7.1196
2025-09-29 00:00:00,7.1195
2025-09-28 00:00:00,7.1338
2025-09-26 00:00:00,7.1348
2025-09-25 00:00:00,7.1329
2025-09-24 00:00:00,7.1122
2025-09-23 00:00:00,7.1114
2025-09-22 00:00:00,7.1138
2025-09-19 00:00:00,7.1153
2025-09-18 00:00:00,7.1117
2025-09-17 00:00:00,7.1037
2025-09-16 00:00:00,7.1146
2025-09-15 00:00:00,7.1202
2025-09-12 00:00:00,7.1236
2025-09-11 00:00:00,7.1188
2025-09-10 00:00:00,7.1215
2025-09-09 00:00:00,7.1215
2025-09-08 00:00:00,7.1308
2025-09-06 00:00:00,7.1329
2025-09-05 00:00:00,7.1308
2025-09-04 00:00:00,7.1308
2025-09-03 00:00:00,7.1308
2025-09-02 00:00:00,7.1308
2025-09-01 00:00:00,7.1308
2025-08-29 00:00:00,7.1307
2025-08-28 00:00:00,7.1301
2025-08-27 00:00:00,7.16
2025-08-26 00:00:00,7.1559
2025-08-25 00:00:00,7.1657
2025-08-22 00:00:00,7.1729
2025-08-21 00:00:00,7.1762
2025-08-20 00:00:00,7.1756
2025-08-19 00:00:00,7.1807
2025-08-18 00:00:00,7.1849
2025-08-15 00:00:00,7.1821
2025-08-14 00:00:00,7.1783
2025-08-13 00:00:00,7.1836
2025-08-12 00:00:00,7.1888
2025-08-11 00:00:00,7.1884
2025-08-08 00:00:00,7.1839
2025-08-07 00:00:00,7.1813
2025-08-06 00:00:00,7.1841
2025-08-05 00:00:00,7.1841
2025-08-04 00:00:00,7.1787
2025-08-01 00:00:00,7.2118
2025-07-31 00:00:00,7.2008
2025-07-30 00:00:00,7.1942
2025-07-29 00:00:00,7.1779
2025-07-28 00:00:00,7.1677
2025-07-25 00:00:00,7.1683
2025-07-24 00:00:00,7.1545
2025-07-23 00:00:00,7.1693
2025-07-22 00:00:00,7.176
2025-07-21 00:00:00,7.1764
2025-07-18 00:00:00,7.1837
2025-07-17 00:00:00,7.179
2025-07-16 00:00:00,7.173
2025-07-15 00:00:00,7.173
2025-07-14 00:00:00,7.1686
2025-07-12 00:00:00,7.1686
2025-07-11 00:00:00,7.1689
2025-07-10 00:00:00,7.1749
2025-07-09 00:00:00,7.1802
2025-07-08 00:00:00,7.1749
2025-07-07 00:00:00,7.1749
2025-07-04 00:00:00,7.1653
2025-07-03 00:00:00,7.1692
2025-07-02 00:00:00,7.1658
2025-07-01 00:00:00,7.1641
2025-06-30 00:00:00,7.1639
2025-06-28 00:00:00,7.1679
2025-06-27 00:00:00,7.1738
2025-06-26 00:00:00,7.1681
2025-06-25 00:00:00,7.1768
2025-06-24 00:00:00,7.1717
2025-06-23 00:00:00,7.1815
2025-06-21 00:00:00,7.1799
2025-06-20 00:00:00,7.1885
2025-06-19 00:00:00,7.1884
2025-06-18 00:00:00,7.1894
2025-06-17 00:00:00,7.1851
2025-06-16 00:00:00,7.1816
2025-06-13 00:00:00,7.1816
2025-06-12 00:00:00,7.1733
2025-06-11 00:00:00,7.1807
2025-06-10 00:00:00,7.1877
2025-06-09 00:00:00,7.1811
2025-06-06 00:00:00,7.1895
2025-06-05 00:00:00,7.176
2025-06-04 00:00:00,7.1881
2025-06-03 00:00:00,7.1998
2025-06-02 00:00:00,7.1998
2025-06-01 00:00:00,7.1998
2025-05-31 00:00:00,7.1998
2025-05-30 00:00:00,7.1859
2025-05-29 00:00:00,7.1859
2025-05-28 00:00:00,7.1948
2025-05-27 00:00:00,7.1852
2025-05-26 00:00:00,7.1709
2025-05-23 00:00:00,7.1806
2025-05-22 00:00:00,7.2043
2025-05-21 00:00:00,7.2025
2025-05-20 00:00:00,7.2199
2025-05-19 00:00:00,7.2156
2025-05-16 00:00:00,7.2087
2025-05-15 00:00:00,7.2073
2025-05-14 00:00:00,7.2033
2025-05-13 00:00:00,7.2033
2025-05-12 00:00:00,7.2254
2025-05-09 00:00:00,7.2254
2025-05-08 00:00:00,7.2254
2025-05-07 00:00:00,7.2254
2025-05-06 00:00:00,7.295
2025-05-05 00:00:00,7.295
2025-05-04 00:00:00,7.295
2025-05-03 00:00:00,7.295
2025-05-02 00:00:00,7.295
2025-05-01 00:00:00,7.295
2025-04-30 00:00:00,7.295
2025-04-29 00:00:00,7.295
2025-04-28 00:00:00,7.2877
2025-04-27 00:00:00,7.2877
2025-04-26 00:00:00,7.2877
2025-04-25 00:00:00,7.287
2025-04-24 00:00:00,7.287
2025-04-23 00:00:00,7.3123
2025-04-22 00:00:00,7.2924
2025-04-21 00:00:00,7.2887
2025-04-18 00:00:00,7.2958
2025-04-17 00:00:00,7.2958
2025-04-16 00:00:00,7.3063
2025-04-15 00:00:00,7.3145
2025-04-14 00:00:00,7.2922
2025-04-11 00:00:00,7.2955
2025-04-10 00:00:00,7.3145
2025-04-09 00:00:00,7.3499
2025-04-08 00:00:00,7.3381
2025-04-07 00:00:00,7.3112
2025-04-06 00:00:00,7.2978
2025-04-05 00:00:00,7.2978
