指标名称,美国：非农就业人员：季调人数变动（月）
指标编码,GM0000033031
2025-12-31 00:00:00,50.0
2025-11-30 00:00:00,56.0
2025-10-31 00:00:00,-173.0
2025-09-30 00:00:00,108.0
2025-08-31 00:00:00,-26.0
2025-07-31 00:00:00,72.0
2025-06-30 00:00:00,-13.0
2025-05-31 00:00:00,19.0
2025-04-30 00:00:00,158.0
2025-03-31 00:00:00,120.0
2025-02-28 00:00:00,102.0
2025-01-31 00:00:00,111.0
2024-12-31 00:00:00,323.0
2024-11-30 00:00:00,261.0
2024-10-31 00:00:00,44.0
2024-09-30 00:00:00,240.0
2024-08-31 00:00:00,71.0
2024-07-31 00:00:00,88.0
2024-06-30 00:00:00,87.0
2024-05-31 00:00:00,193.0
2024-04-30 00:00:00,118.0
2024-03-31 00:00:00,246.0
2024-02-29 00:00:00,222.0
2024-01-31 00:00:00,119.0
2023-12-31 00:00:00,269.0
2023-11-30 00:00:00,141.0
2023-10-31 00:00:00,186.0
2023-09-30 00:00:00,158.0
2023-08-31 00:00:00,157.0
2023-07-31 00:00:00,148.0
2023-06-30 00:00:00,257.0
2023-05-31 00:00:00,227.0
2023-04-30 00:00:00,216.0
2023-03-31 00:00:00,85.0
2023-02-28 00:00:00,306.0
2023-01-31 00:00:00,444.0
2022-12-31 00:00:00,126.0
2022-11-30 00:00:00,297.0
2022-10-31 00:00:00,400.0
2022-09-30 00:00:00,227.0
2022-08-31 00:00:00,237.0
2022-07-31 00:00:00,696.0
2022-06-30 00:00:00,461.0
2022-05-31 00:00:00,241.0
2022-04-30 00:00:00,305.0
2022-03-31 00:00:00,471.0
2022-02-28 00:00:00,869.0
2022-01-31 00:00:00,225.0
2021-12-31 00:00:00,575.0
2021-11-30 00:00:00,637.0
2021-10-31 00:00:00,857.0
2021-09-30 00:00:00,466.0
2021-08-31 00:00:00,487.0
2021-07-31 00:00:00,931.0
2021-06-30 00:00:00,796.0
2021-05-31 00:00:00,421.0
2021-04-30 00:00:00,365.0
2021-03-31 00:00:00,824.0
2021-02-28 00:00:00,509.0
2021-01-31 00:00:00,365.0
2020-12-31 00:00:00,-183.0
2020-11-30 00:00:00,270.0
2020-10-31 00:00:00,691.0
2020-09-30 00:00:00,951.0
2020-08-31 00:00:00,1564.0
2020-07-31 00:00:00,1584.0
2020-06-30 00:00:00,4631.0
2020-05-31 00:00:00,2616.0
2020-04-30 00:00:00,-20471.0
2020-03-31 00:00:00,-1397.0
2020-02-29 00:00:00,261.0
2020-01-31 00:00:00,236.0
2019-12-31 00:00:00,127.0
2019-11-30 00:00:00,208.0
2019-10-31 00:00:00,95.0
2019-09-30 00:00:00,194.0
2019-08-31 00:00:00,235.0
2019-07-31 00:00:00,97.0
2019-06-30 00:00:00,218.0
2019-05-31 00:00:00,28.0
2019-04-30 00:00:00,298.0
2019-03-31 00:00:00,230.0
2019-02-28 00:00:00,6.0
2019-01-31 00:00:00,250.0
2018-12-31 00:00:00,192.0
2018-11-30 00:00:00,91.0
2018-10-31 00:00:00,168.0
2018-09-30 00:00:00,79.0
2018-08-31 00:00:00,259.0
2018-07-31 00:00:00,61.0
2018-06-30 00:00:00,219.0
2018-05-31 00:00:00,318.0
2018-04-30 00:00:00,142.0
2018-03-31 00:00:00,226.0
2018-02-28 00:00:00,394.0
2018-01-31 00:00:00,137.0
2017-12-31 00:00:00,150.0
2017-11-30 00:00:00,223.0
2017-10-31 00:00:00,143.0
2017-09-30 00:00:00,88.0
2017-08-31 00:00:00,147.0
2017-07-31 00:00:00,189.0
2017-06-30 00:00:00,203.0
2017-05-31 00:00:00,206.0
2017-04-30 00:00:00,205.0
2017-03-31 00:00:00,121.0
2017-02-28 00:00:00,220.0
2017-01-31 00:00:00,220.0
2016-12-31 00:00:00,225.0
2016-11-30 00:00:00,117.0
2016-10-31 00:00:00,99.0
2016-09-30 00:00:00,305.0
2016-08-31 00:00:00,142.0
2016-07-31 00:00:00,374.0
2016-06-30 00:00:00,246.0
2016-05-31 00:00:00,45.0
2016-04-30 00:00:00,193.0
2016-03-31 00:00:00,255.0
2016-02-29 00:00:00,197.0
2016-01-31 00:00:00,133.0
2015-12-31 00:00:00,269.0
2015-11-30 00:00:00,229.0
2015-10-31 00:00:00,304.0
2015-09-30 00:00:00,150.0
2015-08-31 00:00:00,134.0
2015-07-31 00:00:00,282.0
2015-06-30 00:00:00,171.0
2015-05-31 00:00:00,342.0
2015-04-30 00:00:00,273.0
2015-03-31 00:00:00,96.0
2015-02-28 00:00:00,259.0
2015-01-31 00:00:00,204.0
2014-12-31 00:00:00,278.0
2014-11-30 00:00:00,284.0
2014-10-31 00:00:00,240.0
2014-09-30 00:00:00,307.0
