指标名称,烟煤喷吹煤：Q＞6950，A＜10，V＜33，S＜0.5，HGI＞60，MF＜15：到厂价格：迁安：迁安九江（日）
指标编码,ID00103552
2026-01-14 00:00:00,770.0
2026-01-12 00:00:00,770.0
2026-01-10 00:00:00,770.0
2026-01-07 00:00:00,760.0
2026-01-05 00:00:00,745.0
2026-01-04 00:00:00,745.0
2025-12-29 00:00:00,750.0
2025-12-27 00:00:00,750.0
2025-12-24 00:00:00,755.0
2025-12-22 00:00:00,765.0
2025-12-20 00:00:00,765.0
2025-12-16 00:00:00,770.0
2025-12-15 00:00:00,780.0
2025-12-14 00:00:00,780.0
2025-12-10 00:00:00,795.0
2025-12-08 00:00:00,810.0
2025-12-06 00:00:00,810.0
2025-12-04 00:00:00,830.0
2025-12-01 00:00:00,845.0
2025-11-30 00:00:00,845.0
2025-11-24 00:00:00,840.0
2025-11-23 00:00:00,840.0
2025-11-19 00:00:00,835.0
2025-11-17 00:00:00,830.0
2025-11-16 00:00:00,830.0
2025-11-13 00:00:00,830.0
2025-11-10 00:00:00,830.0
2025-11-09 00:00:00,830.0
2025-11-06 00:00:00,810.0
2025-11-03 00:00:00,790.0
2025-10-29 00:00:00,770.0
2025-10-27 00:00:00,775.0
2025-10-26 00:00:00,775.0
2025-10-23 00:00:00,790.0
2025-10-20 00:00:00,780.0
2025-10-19 00:00:00,780.0
2025-10-16 00:00:00,770.0
2025-10-13 00:00:00,750.0
2025-10-10 00:00:00,750.0
2025-10-09 00:00:00,755.0
2025-10-07 00:00:00,755.0
2025-10-03 00:00:00,760.0
2025-09-29 00:00:00,765.0
2025-09-26 00:00:00,770.0
2025-09-25 00:00:00,775.0
2025-09-24 00:00:00,775.0
2025-09-22 00:00:00,760.0
2025-09-19 00:00:00,760.0
2025-09-16 00:00:00,735.0
2025-09-15 00:00:00,730.0
2025-09-13 00:00:00,730.0
2025-09-09 00:00:00,725.0
2025-09-08 00:00:00,730.0
2025-09-06 00:00:00,730.0
2025-09-03 00:00:00,730.0
2025-09-01 00:00:00,735.0
2025-08-29 00:00:00,735.0
2025-08-25 00:00:00,740.0
2025-08-19 00:00:00,740.0
2025-08-18 00:00:00,750.0
2025-08-16 00:00:00,750.0
2025-08-13 00:00:00,750.0
2025-08-11 00:00:00,735.0
2025-08-09 00:00:00,735.0
2025-08-06 00:00:00,715.0
2025-08-04 00:00:00,710.0
2025-08-03 00:00:00,710.0
2025-07-29 00:00:00,680.0
2025-07-28 00:00:00,680.0
2025-07-26 00:00:00,680.0
2025-07-23 00:00:00,675.0
2025-07-21 00:00:00,665.0
2025-07-19 00:00:00,665.0
2025-07-16 00:00:00,650.0
2025-07-14 00:00:00,640.0
2025-07-13 00:00:00,640.0
2025-07-09 00:00:00,635.0
2025-07-07 00:00:00,630.0
