指标名称,247家钢铁企业：高炉开工率：中国（周）
指标编码,ID00183109
2026-01-09 00:00:00,79.31
2026-01-02 00:00:00,78.94
2025-12-26 00:00:00,78.32
2025-12-19 00:00:00,78.47
2025-12-12 00:00:00,78.63
2025-12-05 00:00:00,80.16
2025-11-28 00:00:00,81.09
2025-11-21 00:00:00,82.19
2025-11-14 00:00:00,82.81
2025-11-07 00:00:00,83.13
2025-10-31 00:00:00,81.75
2025-10-24 00:00:00,84.71
2025-10-17 00:00:00,84.27
2025-10-10 00:00:00,84.27
2025-10-03 00:00:00,84.29
2025-09-26 00:00:00,84.45
2025-09-19 00:00:00,83.98
2025-09-12 00:00:00,83.83
2025-09-05 00:00:00,80.4
2025-08-29 00:00:00,83.2
2025-08-22 00:00:00,83.36
2025-08-15 00:00:00,83.59
2025-08-08 00:00:00,83.75
2025-08-01 00:00:00,83.46
2025-07-25 00:00:00,83.46
2025-07-18 00:00:00,83.46
2025-07-11 00:00:00,83.15
2025-07-04 00:00:00,83.46
2025-06-27 00:00:00,83.82
2025-06-20 00:00:00,83.82
2025-06-13 00:00:00,83.41
2025-06-06 00:00:00,83.56
2025-05-30 00:00:00,83.87
2025-05-23 00:00:00,83.69
2025-05-16 00:00:00,84.15
2025-05-09 00:00:00,84.62
2025-05-02 00:00:00,84.33
2025-04-25 00:00:00,84.33
2025-04-18 00:00:00,83.56
2025-04-11 00:00:00,83.28
2025-04-04 00:00:00,83.13
2025-03-28 00:00:00,82.11
2025-03-21 00:00:00,81.96
2025-03-14 00:00:00,80.58
2025-03-07 00:00:00,79.51
2025-02-28 00:00:00,78.29
2025-02-21 00:00:00,77.68
2025-02-14 00:00:00,77.98
2025-02-07 00:00:00,77.98
2025-01-24 00:00:00,77.98
2025-01-17 00:00:00,77.18
2025-01-10 00:00:00,77.18
2025-01-03 00:00:00,78.1
2024-12-27 00:00:00,78.71
2024-12-20 00:00:00,79.63
2024-12-13 00:00:00,80.55
2024-12-06 00:00:00,81.47
2024-11-29 00:00:00,81.62
2024-11-22 00:00:00,81.93
2024-11-15 00:00:00,82.08
2024-11-08 00:00:00,82.29
2024-11-01 00:00:00,82.44
2024-10-25 00:00:00,82.14
2024-10-18 00:00:00,81.68
2024-10-11 00:00:00,80.79
2024-10-04 00:00:00,79.57
2024-09-27 00:00:00,78.23
2024-09-20 00:00:00,78.23
2024-09-13 00:00:00,77.63
2024-09-06 00:00:00,77.63
2024-08-30 00:00:00,76.41
2024-08-23 00:00:00,77.47
2024-08-16 00:00:00,78.84
2024-08-09 00:00:00,80.21
2024-08-02 00:00:00,81.28
2024-07-26 00:00:00,82.33
2024-07-19 00:00:00,82.63
2024-07-12 00:00:00,82.5
2024-07-05 00:00:00,82.81
2024-06-28 00:00:00,83.11
2024-06-21 00:00:00,82.81
2024-06-14 00:00:00,82.05
2024-06-07 00:00:00,81.5
2024-05-31 00:00:00,81.65
2024-05-24 00:00:00,81.5
2024-05-17 00:00:00,81.5
2024-05-10 00:00:00,81.5
2024-05-03 00:00:00,80.6
2024-04-26 00:00:00,79.73
2024-04-19 00:00:00,78.86
2024-04-12 00:00:00,78.41
2024-04-05 00:00:00,77.81
2024-03-29 00:00:00,76.6
2024-03-22 00:00:00,76.9
2024-03-15 00:00:00,76.15
2024-03-08 00:00:00,75.6
2024-03-01 00:00:00,75.19
2024-02-23 00:00:00,75.63
2024-02-16 00:00:00,76.37
2024-02-09 00:00:00,76.67
2024-02-02 00:00:00,76.52
2024-01-26 00:00:00,76.82
2024-01-19 00:00:00,76.23
2024-01-12 00:00:00,76.08
2024-01-05 00:00:00,75.63
2023-12-29 00:00:00,75.19
2023-12-22 00:00:00,77.71
2023-12-15 00:00:00,78.31
2023-12-08 00:00:00,78.75
2023-12-01 00:00:00,80.86
2023-11-24 00:00:00,80.12
2023-11-17 00:00:00,79.67
2023-11-10 00:00:00,81.01
2023-11-03 00:00:00,80.12
2023-10-27 00:00:00,82.49
2023-10-20 00:00:00,82.34
2023-10-13 00:00:00,82.2
2023-10-06 00:00:00,83.41
2023-09-29 00:00:00,84.17
2023-09-22 00:00:00,84.47
2023-09-15 00:00:00,84.07
2023-09-08 00:00:00,84.39
2023-09-01 00:00:00,84.09
2023-08-25 00:00:00,83.36
2023-08-18 00:00:00,84.09
2023-08-11 00:00:00,83.8
2023-08-04 00:00:00,83.36
2023-07-28 00:00:00,82.14
2023-07-21 00:00:00,83.6
2023-07-14 00:00:00,84.33
2023-07-07 00:00:00,84.48
2023-06-30 00:00:00,84.09
2023-06-23 00:00:00,84.09
2023-06-16 00:00:00,83.09
2023-06-09 00:00:00,82.36
2023-06-02 00:00:00,82.36
2023-05-26 00:00:00,82.36
2023-05-19 00:00:00,82.36
2023-05-12 00:00:00,81.1
2023-05-05 00:00:00,81.69
2023-04-28 00:00:00,82.56
2023-04-21 00:00:00,84.59
2023-04-14 00:00:00,84.74
2023-04-07 00:00:00,84.3
2023-03-31 00:00:00,83.87
2023-03-24 00:00:00,82.73
2023-03-17 00:00:00,82.29
2023-03-10 00:00:00,82.0
2023-03-03 00:00:00,81.07
2023-02-24 00:00:00,80.98
2023-02-17 00:00:00,79.54
2023-02-10 00:00:00,78.42
2023-02-03 00:00:00,77.41
2023-01-27 00:00:00,76.69
2023-01-20 00:00:00,75.97
2023-01-13 00:00:00,75.68
2023-01-06 00:00:00,74.64
2022-12-30 00:00:00,75.21
2022-12-23 00:00:00,75.93
2022-12-16 00:00:00,75.97
2022-12-09 00:00:00,75.89
2022-12-02 00:00:00,75.61
2022-11-25 00:00:00,77.03
2022-11-18 00:00:00,76.35
2022-11-11 00:00:00,77.21
2022-11-04 00:00:00,78.77
2022-10-28 00:00:00,81.48
2022-10-21 00:00:00,82.05
2022-10-14 00:00:00,82.62
2022-10-07 00:00:00,83.5
2022-09-30 00:00:00,82.81
2022-09-23 00:00:00,82.81
2022-09-16 00:00:00,82.41
2022-09-09 00:00:00,81.99
2022-09-02 00:00:00,80.85
2022-08-26 00:00:00,80.14
2022-08-19 00:00:00,77.9
2022-08-12 00:00:00,76.24
2022-08-05 00:00:00,72.7
2022-07-29 00:00:00,71.61
2022-07-22 00:00:00,73.16
2022-07-15 00:00:00,76.98
2022-07-08 00:00:00,78.53
2022-07-01 00:00:00,80.79
2022-06-24 00:00:00,81.92
2022-06-17 00:00:00,83.83
2022-06-10 00:00:00,84.11
2022-06-03 00:00:00,83.68
2022-05-27 00:00:00,83.83
2022-05-20 00:00:00,83.01
2022-05-13 00:00:00,82.61
2022-05-06 00:00:00,81.91
2022-04-29 00:00:00,80.93
2022-04-22 00:00:00,79.8
2022-04-15 00:00:00,80.11
2022-04-08 00:00:00,79.27
2022-04-01 00:00:00,77.45
2022-03-25 00:00:00,78.21
2022-03-18 00:00:00,78.91
2022-03-11 00:00:00,70.85
2022-03-04 00:00:00,74.72
2022-02-25 00:00:00,73.44
2022-02-18 00:00:00,69.58
2022-02-11 00:00:00,68.19
2022-01-28 00:00:00,74.86
2022-01-21 00:00:00,76.25
2022-01-14 00:00:00,75.77
2022-01-07 00:00:00,74.2
2021-12-31 00:00:00,71.01
2021-12-24 00:00:00,67.87
2021-12-17 00:00:00,68.0
2021-12-10 00:00:00,68.14
2021-12-03 00:00:00,69.79
2021-11-26 00:00:00,69.66
2021-11-19 00:00:00,70.34
2021-11-12 00:00:00,71.59
2021-11-05 00:00:00,70.9
2021-10-29 00:00:00,74.9
2021-10-22 00:00:00,76.55
2021-10-15 00:00:00,78.07
2021-10-08 00:00:00,77.52
2021-10-01 00:00:00,73.24
2021-09-24 00:00:00,77.44
2021-09-17 00:00:00,79.15
2021-09-10 00:00:00,80.93
2021-09-03 00:00:00,81.62
2021-08-27 00:00:00,81.62
2021-08-20 00:00:00,80.93
2021-08-13 00:00:00,82.58
2021-08-06 00:00:00,81.92
2021-07-30 00:00:00,81.67
2021-07-23 00:00:00,82.79
2021-07-16 00:00:00,83.88
2021-07-09 00:00:00,85.38
2021-07-02 00:00:00,63.89
2021-06-25 00:00:00,86.85
2021-06-18 00:00:00,87.4
2021-06-11 00:00:00,87.5
2021-06-04 00:00:00,88.05
2021-05-28 00:00:00,88.07
2021-05-21 00:00:00,87.23
2021-05-14 00:00:00,87.36
2021-05-07 00:00:00,86.99
2021-04-30 00:00:00,86.18
2021-04-23 00:00:00,85.5
2021-04-16 00:00:00,84.13
2021-04-09 00:00:00,83.86
2021-04-02 00:00:00,83.45
2021-03-26 00:00:00,85.52
2021-03-19 00:00:00,85.64
2021-03-12 00:00:00,86.32
2021-03-05 00:00:00,88.93
2021-02-26 00:00:00,89.5
2021-02-19 00:00:00,89.51
