指标名称,247家钢铁企业：高炉产能利用率：中国（周）
指标编码,ID00183114
2026-01-09 00:00:00,86.04
2026-01-02 00:00:00,85.26
2025-12-26 00:00:00,84.94
2025-12-19 00:00:00,84.93
2025-12-12 00:00:00,85.92
2025-12-05 00:00:00,87.08
2025-11-28 00:00:00,87.98
2025-11-21 00:00:00,88.58
2025-11-14 00:00:00,88.8
2025-11-07 00:00:00,87.81
2025-10-31 00:00:00,88.61
2025-10-24 00:00:00,89.94
2025-10-17 00:00:00,90.33
2025-10-10 00:00:00,90.55
2025-10-03 00:00:00,90.65
2025-09-26 00:00:00,90.86
2025-09-19 00:00:00,90.35
2025-09-12 00:00:00,90.18
2025-09-05 00:00:00,85.79
2025-08-29 00:00:00,90.02
2025-08-22 00:00:00,90.25
2025-08-15 00:00:00,90.22
2025-08-08 00:00:00,90.09
2025-08-01 00:00:00,90.24
2025-07-25 00:00:00,90.81
2025-07-18 00:00:00,90.89
2025-07-11 00:00:00,89.9
2025-07-04 00:00:00,90.29
2025-06-27 00:00:00,90.83
2025-06-20 00:00:00,90.79
2025-06-13 00:00:00,90.58
2025-06-06 00:00:00,90.65
2025-05-30 00:00:00,90.69
2025-05-23 00:00:00,91.32
2025-05-16 00:00:00,91.76
2025-05-09 00:00:00,92.09
2025-05-02 00:00:00,92.0
2025-04-25 00:00:00,91.6
2025-04-18 00:00:00,90.15
2025-04-11 00:00:00,90.19
2025-04-04 00:00:00,89.63
2025-03-28 00:00:00,89.08
2025-03-21 00:00:00,88.7
2025-03-14 00:00:00,86.57
2025-03-07 00:00:00,86.54
2025-02-28 00:00:00,85.58
2025-02-21 00:00:00,85.41
2025-02-14 00:00:00,85.6
2025-02-07 00:00:00,85.76
2025-01-24 00:00:00,84.64
2025-01-17 00:00:00,84.28
2025-01-10 00:00:00,84.24
2025-01-03 00:00:00,84.55
2024-12-27 00:00:00,85.55
2024-12-20 00:00:00,86.13
2024-12-13 00:00:00,87.28
2024-12-06 00:00:00,87.33
2024-11-29 00:00:00,87.8
2024-11-22 00:00:00,88.53
2024-11-15 00:00:00,88.58
2024-11-08 00:00:00,87.87
2024-11-01 00:00:00,88.4
2024-10-25 00:00:00,88.48
2024-10-18 00:00:00,87.99
2024-10-11 00:00:00,87.51
2024-10-04 00:00:00,85.61
2024-09-27 00:00:00,84.45
2024-09-20 00:00:00,84.06
2024-09-13 00:00:00,83.89
2024-09-06 00:00:00,83.6
2024-08-30 00:00:00,82.96
2024-08-23 00:00:00,84.3
2024-08-16 00:00:00,85.92
2024-08-09 00:00:00,87.02
2024-08-02 00:00:00,88.87
2024-07-26 00:00:00,89.61
2024-07-19 00:00:00,89.62
2024-07-12 00:00:00,88.7
2024-07-05 00:00:00,89.08
2024-06-28 00:00:00,89.13
2024-06-21 00:00:00,89.76
2024-06-14 00:00:00,89.53
2024-06-07 00:00:00,88.14
2024-05-31 00:00:00,88.17
2024-05-24 00:00:00,88.54
2024-05-17 00:00:00,88.57
2024-05-10 00:00:00,87.67
2024-05-03 00:00:00,86.24
2024-04-26 00:00:00,85.53
2024-04-19 00:00:00,84.59
2024-04-12 00:00:00,84.05
2024-04-05 00:00:00,83.61
2024-03-29 00:00:00,82.76
2024-03-22 00:00:00,82.79
2024-03-15 00:00:00,82.58
2024-03-08 00:00:00,83.11
2024-03-01 00:00:00,83.34
2024-02-23 00:00:00,83.59
2024-02-16 00:00:00,83.97
2024-02-09 00:00:00,83.8
2024-02-02 00:00:00,83.57
2024-01-26 00:00:00,83.5
2024-01-19 00:00:00,82.98
2024-01-12 00:00:00,82.56
2024-01-05 00:00:00,81.59
2023-12-29 00:00:00,82.75
2023-12-22 00:00:00,84.75
2023-12-15 00:00:00,84.83
2023-12-08 00:00:00,85.75
2023-12-01 00:00:00,87.63
2023-11-24 00:00:00,87.96
2023-11-17 00:00:00,88.01
2023-11-10 00:00:00,89.23
2023-11-03 00:00:00,90.23
2023-10-27 00:00:00,90.73
2023-10-20 00:00:00,90.62
2023-10-13 00:00:00,91.93
2023-10-06 00:00:00,92.31
2023-09-29 00:00:00,93.08
2023-09-22 00:00:00,93.03
2023-09-15 00:00:00,92.65
2023-09-08 00:00:00,92.76
2023-09-01 00:00:00,92.27
2023-08-25 00:00:00,91.77
2023-08-18 00:00:00,91.79
2023-08-11 00:00:00,91.03
2023-08-04 00:00:00,90.05
2023-07-28 00:00:00,89.82
2023-07-21 00:00:00,91.16
2023-07-14 00:00:00,91.2
2023-07-07 00:00:00,92.11
2023-06-30 00:00:00,91.98
2023-06-23 00:00:00,91.6
2023-06-16 00:00:00,90.32
2023-06-09 00:00:00,89.67
2023-06-02 00:00:00,89.66
2023-05-26 00:00:00,89.93
2023-05-19 00:00:00,89.12
2023-05-12 00:00:00,89.03
2023-05-05 00:00:00,89.49
2023-04-28 00:00:00,90.63
2023-04-21 00:00:00,91.5
2023-04-14 00:00:00,91.8
2023-04-07 00:00:00,91.2
2023-03-31 00:00:00,90.56
2023-03-24 00:00:00,89.28
2023-03-17 00:00:00,88.44
2023-03-10 00:00:00,88.03
2023-03-03 00:00:00,87.15
2023-02-24 00:00:00,86.97
2023-02-17 00:00:00,85.75
2023-02-10 00:00:00,84.93
2023-02-03 00:00:00,84.32
2023-01-27 00:00:00,84.15
2023-01-20 00:00:00,83.1
2023-01-13 00:00:00,82.56
2023-01-06 00:00:00,81.93
2022-12-30 00:00:00,82.59
2022-12-23 00:00:00,82.39
2022-12-16 00:00:00,82.64
2022-12-09 00:00:00,82.0
2022-12-02 00:00:00,82.62
2022-11-25 00:00:00,82.52
2022-11-18 00:00:00,83.36
2022-11-11 00:00:00,84.09
2022-11-04 00:00:00,86.31
2022-10-28 00:00:00,87.64
2022-10-21 00:00:00,88.26
2022-10-14 00:00:00,89.04
2022-10-07 00:00:00,88.98
2022-09-30 00:00:00,89.14
2022-09-23 00:00:00,89.08
2022-09-16 00:00:00,88.32
2022-09-09 00:00:00,87.56
2022-09-02 00:00:00,86.83
2022-08-26 00:00:00,85.27
2022-08-19 00:00:00,83.89
2022-08-12 00:00:00,81.22
2022-08-05 00:00:00,79.6
2022-07-29 00:00:00,79.3
2022-07-22 00:00:00,81.4
2022-07-15 00:00:00,84.01
2022-07-08 00:00:00,85.71
2022-07-01 00:00:00,87.61
2022-06-24 00:00:00,88.98
2022-06-17 00:00:00,90.15
2022-06-10 00:00:00,90.14
2022-06-03 00:00:00,89.9
2022-05-27 00:00:00,89.26
2022-05-20 00:00:00,88.66
2022-05-13 00:00:00,88.28
2022-05-06 00:00:00,87.75
2022-04-29 00:00:00,86.57
2022-04-22 00:00:00,86.35
