指标名称,247家钢铁企业：盈利率：中国（周）
指标编码,ID00183126
2026-01-09 00:00:00,37.66
2026-01-02 00:00:00,38.1
2025-12-26 00:00:00,37.23
2025-12-19 00:00:00,35.93
2025-12-12 00:00:00,35.93
2025-12-05 00:00:00,36.36
2025-11-28 00:00:00,35.06
2025-11-21 00:00:00,37.66
2025-11-14 00:00:00,38.96
2025-11-07 00:00:00,39.83
2025-10-31 00:00:00,45.02
2025-10-24 00:00:00,47.62
2025-10-17 00:00:00,55.41
2025-10-10 00:00:00,56.28
2025-10-03 00:00:00,56.71
2025-09-26 00:00:00,58.01
2025-09-19 00:00:00,58.87
2025-09-12 00:00:00,60.17
2025-09-05 00:00:00,61.04
2025-08-29 00:00:00,63.64
2025-08-22 00:00:00,64.94
2025-08-15 00:00:00,65.8
2025-08-08 00:00:00,68.4
2025-08-01 00:00:00,65.37
2025-07-25 00:00:00,63.64
2025-07-18 00:00:00,60.17
2025-07-11 00:00:00,59.74
2025-07-04 00:00:00,59.31
2025-06-27 00:00:00,59.31
2025-06-20 00:00:00,59.31
2025-06-13 00:00:00,58.44
2025-06-06 00:00:00,58.87
2025-05-30 00:00:00,58.87
2025-05-23 00:00:00,59.74
2025-05-16 00:00:00,59.31
2025-05-09 00:00:00,58.87
2025-05-02 00:00:00,56.28
2025-04-25 00:00:00,57.58
2025-04-18 00:00:00,54.98
2025-04-11 00:00:00,53.68
2025-04-04 00:00:00,55.41
2025-03-28 00:00:00,53.68
2025-03-21 00:00:00,53.25
2025-03-14 00:00:00,53.25
2025-03-07 00:00:00,53.25
2025-02-28 00:00:00,50.22
2025-02-21 00:00:00,49.78
2025-02-14 00:00:00,50.65
2025-02-07 00:00:00,51.52
2025-01-24 00:00:00,48.92
2025-01-17 00:00:00,50.22
2025-01-10 00:00:00,50.65
2025-01-03 00:00:00,48.05
2024-12-27 00:00:00,49.78
2024-12-20 00:00:00,48.48
2024-12-13 00:00:00,48.05
2024-12-06 00:00:00,49.78
2024-11-29 00:00:00,51.95
2024-11-22 00:00:00,54.55
2024-11-15 00:00:00,57.58
2024-11-08 00:00:00,59.74
2024-11-01 00:00:00,61.04
2024-10-25 00:00:00,64.94
2024-10-18 00:00:00,74.46
2024-10-11 00:00:00,71.43
2024-10-04 00:00:00,37.66
2024-09-27 00:00:00,18.61
2024-09-20 00:00:00,9.96
2024-09-13 00:00:00,6.06
2024-09-06 00:00:00,4.33
2024-08-30 00:00:00,3.9
2024-08-23 00:00:00,1.3
2024-08-16 00:00:00,4.76
2024-08-09 00:00:00,5.19
2024-08-02 00:00:00,6.49
2024-07-26 00:00:00,15.15
2024-07-19 00:00:00,32.03
2024-07-12 00:00:00,36.8
2024-07-05 00:00:00,44.59
2024-06-28 00:00:00,42.86
2024-06-21 00:00:00,51.95
2024-06-14 00:00:00,49.78
2024-06-07 00:00:00,52.81
