指标名称,247家钢铁企业：铁水：日均产量：中国（周）
指标编码,ID00184088
2026-01-09 00:00:00,229.5
2026-01-02 00:00:00,227.43
2025-12-26 00:00:00,226.58
2025-12-19 00:00:00,226.55
2025-12-12 00:00:00,229.2
2025-12-05 00:00:00,232.3
2025-11-28 00:00:00,234.68
2025-11-21 00:00:00,236.28
2025-11-14 00:00:00,236.88
2025-11-07 00:00:00,234.22
2025-10-31 00:00:00,236.36
2025-10-24 00:00:00,239.9
2025-10-17 00:00:00,240.95
2025-10-10 00:00:00,241.54
2025-10-03 00:00:00,241.81
2025-09-26 00:00:00,242.36
2025-09-19 00:00:00,241.02
2025-09-12 00:00:00,240.55
2025-09-05 00:00:00,228.84
2025-08-29 00:00:00,240.13
2025-08-22 00:00:00,240.75
2025-08-15 00:00:00,240.66
2025-08-08 00:00:00,240.32
2025-08-01 00:00:00,240.71
2025-07-25 00:00:00,242.23
2025-07-18 00:00:00,242.44
2025-07-11 00:00:00,239.81
2025-07-04 00:00:00,240.85
2025-06-27 00:00:00,242.29
2025-06-20 00:00:00,242.18
2025-06-13 00:00:00,241.61
2025-06-06 00:00:00,241.8
2025-05-30 00:00:00,241.91
2025-05-23 00:00:00,243.6
2025-05-16 00:00:00,244.77
2025-05-09 00:00:00,245.64
2025-05-02 00:00:00,245.42
2025-04-25 00:00:00,244.35
2025-04-18 00:00:00,240.12
2025-04-11 00:00:00,240.22
2025-04-04 00:00:00,238.73
2025-03-28 00:00:00,237.28
2025-03-21 00:00:00,236.26
2025-03-14 00:00:00,230.59
2025-03-07 00:00:00,230.51
2025-02-28 00:00:00,227.94
2025-02-21 00:00:00,227.51
2025-02-14 00:00:00,227.99
2025-02-07 00:00:00,228.44
2025-01-24 00:00:00,225.45
2025-01-17 00:00:00,224.48
2025-01-10 00:00:00,224.37
2025-01-03 00:00:00,225.2
2024-12-27 00:00:00,227.87
2024-12-20 00:00:00,229.41
2024-12-13 00:00:00,232.47
2024-12-06 00:00:00,232.61
2024-11-29 00:00:00,233.87
2024-11-22 00:00:00,235.8
2024-11-15 00:00:00,235.94
2024-11-08 00:00:00,234.06
2024-11-01 00:00:00,235.47
2024-10-25 00:00:00,235.69
2024-10-18 00:00:00,234.36
2024-10-11 00:00:00,233.08
2024-10-04 00:00:00,228.02
2024-09-27 00:00:00,224.86
2024-09-20 00:00:00,223.83
2024-09-13 00:00:00,223.38
2024-09-06 00:00:00,222.61
2024-08-30 00:00:00,220.89
2024-08-23 00:00:00,224.46
2024-08-16 00:00:00,228.77
2024-08-09 00:00:00,231.7
2024-08-02 00:00:00,236.62
2024-07-26 00:00:00,239.61
2024-07-19 00:00:00,239.65
2024-07-12 00:00:00,238.29
2024-07-05 00:00:00,239.32
2024-06-28 00:00:00,239.44
2024-06-21 00:00:00,239.94
2024-06-14 00:00:00,239.31
2024-06-07 00:00:00,235.75
2024-05-31 00:00:00,235.83
2024-05-24 00:00:00,236.8
2024-05-17 00:00:00,236.89
2024-05-10 00:00:00,234.5
2024-05-03 00:00:00,230.67
2024-04-26 00:00:00,228.72
2024-04-19 00:00:00,226.22
2024-04-12 00:00:00,224.75
2024-04-05 00:00:00,223.58
2024-03-29 00:00:00,221.31
2024-03-22 00:00:00,221.39
2024-03-15 00:00:00,220.82
2024-03-08 00:00:00,222.25
2024-03-01 00:00:00,222.86
2024-02-23 00:00:00,223.52
2024-02-16 00:00:00,224.56
2024-02-09 00:00:00,224.08
2024-02-02 00:00:00,223.48
2024-01-26 00:00:00,223.29
2024-01-19 00:00:00,221.91
2024-01-12 00:00:00,220.79
2024-01-05 00:00:00,218.17
2023-12-29 00:00:00,221.28
2023-12-22 00:00:00,226.64
2023-12-15 00:00:00,226.86
2023-12-08 00:00:00,229.3
2023-12-01 00:00:00,234.45
2023-11-24 00:00:00,235.33
2023-11-17 00:00:00,235.47
2023-11-10 00:00:00,238.72
2023-11-03 00:00:00,241.4
2023-10-27 00:00:00,242.73
2023-10-20 00:00:00,242.44
2023-10-13 00:00:00,245.95
2023-10-06 00:00:00,247.01
2023-09-29 00:00:00,248.99
2023-09-22 00:00:00,248.85
2023-09-15 00:00:00,247.84
2023-09-08 00:00:00,248.24
2023-09-01 00:00:00,246.92
2023-08-25 00:00:00,245.57
2023-08-18 00:00:00,245.62
2023-08-11 00:00:00,243.6
2023-08-04 00:00:00,240.98
2023-07-28 00:00:00,240.69
2023-07-21 00:00:00,244.27
2023-07-14 00:00:00,244.38
2023-07-07 00:00:00,246.82
2023-06-30 00:00:00,246.88
2023-06-23 00:00:00,245.85
2023-06-16 00:00:00,242.56
