指标名称,独立焦化企业：吨焦平均利润：中国（周）
指标编码,ID00184171
2026-01-09 00:00:00,-45.0
2026-01-02 00:00:00,-14.0
2025-12-26 00:00:00,-18.0
2025-12-19 00:00:00,16.0
2025-12-12 00:00:00,44.0
2025-12-05 00:00:00,30.0
2025-11-28 00:00:00,46.0
2025-11-21 00:00:00,19.0
2025-11-14 00:00:00,-34.0
2025-11-07 00:00:00,-22.0
2025-10-31 00:00:00,-32.0
2025-10-24 00:00:00,-41.0
2025-10-17 00:00:00,-13.0
2025-10-10 00:00:00,9.0
2025-10-03 00:00:00,-36.0
2025-09-26 00:00:00,-34.0
2025-09-19 00:00:00,-17.0
2025-09-12 00:00:00,35.0
2025-09-05 00:00:00,64.0
2025-08-29 00:00:00,55.0
2025-08-22 00:00:00,23.0
2025-08-15 00:00:00,20.0
2025-08-08 00:00:00,-16.0
2025-08-01 00:00:00,-45.0
2025-07-25 00:00:00,-54.0
2025-07-18 00:00:00,-43.0
2025-07-11 00:00:00,-63.0
2025-07-04 00:00:00,-52.0
2025-06-27 00:00:00,-46.0
2025-06-20 00:00:00,-23.0
2025-06-13 00:00:00,-46.0
2025-06-06 00:00:00,-19.0
2025-05-30 00:00:00,-39.0
2025-05-23 00:00:00,-15.0
2025-05-16 00:00:00,7.0
2025-05-09 00:00:00,1.0
2025-05-02 00:00:00,-6.0
2025-04-25 00:00:00,-9.0
2025-04-18 00:00:00,-16.0
2025-04-11 00:00:00,-49.0
2025-04-04 00:00:00,-53.0
2025-03-28 00:00:00,-50.0
2025-03-21 00:00:00,-52.0
2025-03-14 00:00:00,-27.0
2025-03-07 00:00:00,-40.0
2025-02-28 00:00:00,-71.0
2025-02-21 00:00:00,-57.0
2025-02-14 00:00:00,-37.0
2025-02-07 00:00:00,-27.0
2025-01-24 00:00:00,-27.0
2025-01-17 00:00:00,-7.0
2025-01-10 00:00:00,-16.0
2025-01-03 00:00:00,-3.0
2024-12-27 00:00:00,34.0
2024-12-20 00:00:00,21.0
2024-12-13 00:00:00,9.0
