指标名称,炼焦煤：进口数量合计：全球→中国（月）
指标编码,ID00184876
2025-11-30 00:00:00,10731481.116
2025-10-31 00:00:00,10593242.441
2025-09-30 00:00:00,10923642.534
2025-08-31 00:00:00,10162202.559
2025-07-31 00:00:00,9623044.896
2025-06-30 00:00:00,9108416.85
2025-05-31 00:00:00,7386889.482
2025-04-30 00:00:00,8893399.295
2025-03-31 00:00:00,8588107.529
2025-02-28 00:00:00,8846105.079
2025-01-31 00:00:00,9999358.769
2024-12-31 00:00:00,10709969.129
2024-11-30 00:00:00,12290688.454
2024-10-31 00:00:00,9956740.632
2024-09-30 00:00:00,10362822.644
2024-08-31 00:00:00,10692226.304
2024-07-31 00:00:00,10837909.564
2024-06-30 00:00:00,9863464.906
2024-05-31 00:00:00,9585510.353
2024-04-30 00:00:00,10721755.41
2024-03-31 00:00:00,9000720.366
2024-02-29 00:00:00,7864556.926
2024-01-31 00:00:00,9983304.905
2023-12-31 00:00:00,11464233.885
2023-11-30 00:00:00,9919693.302
2023-10-31 00:00:00,7816744.578
2023-09-30 00:00:00,10811531.703
2023-08-31 00:00:00,9567509.716
2023-07-31 00:00:00,7133256.752
2023-06-30 00:00:00,7739922.555
2023-05-31 00:00:00,6715456.836
2023-04-30 00:00:00,8463891.869
2023-03-31 00:00:00,9165241.549
2023-02-28 00:00:00,6912328.147
2023-01-31 00:00:00,6191638.297
2022-12-31 00:00:00,6464858.56
2022-11-30 00:00:00,5732165.41
2022-10-31 00:00:00,6207862.186
2022-09-30 00:00:00,6844788.228
2022-08-31 00:00:00,6406036.267
2022-07-31 00:00:00,6118019.115
2022-06-30 00:00:00,4983082.81
2022-05-31 00:00:00,4565214.143
2022-04-30 00:00:00,4256446.195
2022-03-31 00:00:00,3762210.395
2022-02-28 00:00:00,2986580.158
2022-01-31 00:00:00,5511153.061
2021-12-31 00:00:00,7487955.701
2021-11-30 00:00:00,7741656.001
2021-10-31 00:00:00,4384017.514
2021-09-30 00:00:00,4346477.061
2021-08-31 00:00:00,4682830.542
2021-07-31 00:00:00,3771290.785
2021-06-30 00:00:00,4134210.121
2021-05-31 00:00:00,3411925.087
2021-04-30 00:00:00,3483127.876
2021-03-31 00:00:00,4905452.124
2021-02-28 00:00:00,3226688.612
2021-01-31 00:00:00,3121834.08
2020-12-31 00:00:00,3570270.47
2020-11-30 00:00:00,3722090.123
2020-10-31 00:00:00,5897009.978
2020-09-30 00:00:00,6718057.97
2020-08-31 00:00:00,7171780.76
2020-07-31 00:00:00,7367674.463
2020-06-30 00:00:00,6255912.51
2020-05-31 00:00:00,4785513.855
2020-04-30 00:00:00,6282401.643
2020-03-31 00:00:00,5637056.999
2020-02-29 00:00:00,5341984.014
2020-01-31 00:00:00,9812797.968
2019-12-31 00:00:00,1697435.251
2019-11-30 00:00:00,6175574.196
2019-10-31 00:00:00,5696735.067
2019-09-30 00:00:00,7965038.825
2019-08-31 00:00:00,9067060.498
2019-07-31 00:00:00,7747841.309
2019-06-30 00:00:00,6549876.819
2019-05-31 00:00:00,5916844.402
2019-04-30 00:00:00,7425978.929
2019-03-31 00:00:00,6136219.812
2019-02-28 00:00:00,2910481.634
2019-01-31 00:00:00,7368515.957
2018-12-31 00:00:00,3127889.54
2018-11-30 00:00:00,4886094.064
2018-10-31 00:00:00,6084907.074
2018-09-30 00:00:00,6606056.268
2018-08-31 00:00:00,6997413.227
2018-07-31 00:00:00,7613953.21
2018-06-30 00:00:00,6721087.351
2018-05-31 00:00:00,6064400.143
2018-04-30 00:00:00,4610851.031
2018-03-31 00:00:00,4008557.894
2018-02-28 00:00:00,3063761.184
2018-01-31 00:00:00,5114301.009
2017-12-31 00:00:00,6119795.053
2017-11-30 00:00:00,5273172.238
2017-10-31 00:00:00,5271534.581
2017-09-30 00:00:00,6033333.194
2017-08-31 00:00:00,5624876.027
2017-07-31 00:00:00,5578297.348
2017-06-30 00:00:00,5794100.013
2017-05-31 00:00:00,4649594.684
2017-04-30 00:00:00,8463350.095
2017-03-31 00:00:00,6427366.803
2017-02-28 00:00:00,4433716.203
2017-01-31 00:00:00,6231566.222
2016-12-31 00:00:00,5863133.435
2016-11-30 00:00:00,4749777.658
2016-10-31 00:00:00,5158968.933
2016-09-30 00:00:00,5555186.275
2016-08-31 00:00:00,6486430.723
2016-07-31 00:00:00,4461527.454
2016-06-30 00:00:00,5814854.44
2016-05-31 00:00:00,4423205.746
2016-04-30 00:00:00,5367791.183
2016-03-31 00:00:00,5091771.367
2016-02-29 00:00:00,2967773.719
2016-01-31 00:00:00,3366572.847
2015-12-31 00:00:00,4445107.973
2015-11-30 00:00:00,4072630.679
2015-10-31 00:00:00,3082237.438
2015-09-30 00:00:00,3961997.095
2015-08-31 00:00:00,4146900.404
2015-07-31 00:00:00,6657913.432
2015-06-30 00:00:00,5077227.317
2015-05-31 00:00:00,1882102.537
2015-04-30 00:00:00,3749849.363
2015-03-31 00:00:00,2946842.428
2015-02-28 00:00:00,3962038.898
2015-01-31 00:00:00,4014225.547
2014-12-31 00:00:00,7619018.434
2014-11-30 00:00:00,4956062.601
2014-10-31 00:00:00,5441890.818
2014-09-30 00:00:00,4501004.638
2014-08-31 00:00:00,3835358.909
2014-07-31 00:00:00,5048859.097
2014-06-30 00:00:00,5716528.181
2014-05-31 00:00:00,5881628.229
2014-04-30 00:00:00,6469766.957
2014-03-31 00:00:00,3730055.598
2014-02-28 00:00:00,3538137.831
2014-01-31 00:00:00,5701769.949
