指标名称,炼焦煤：进口：港口库存（周）
指标编码,ID00184968
2026-01-09 00:00:00,299.8
2026-01-02 00:00:00,301.3
2025-12-26 00:00:00,299.5
2025-12-19 00:00:00,286.17
2025-12-12 00:00:00,307.5
2025-12-05 00:00:00,296.5
2025-11-28 00:00:00,294.5
2025-11-21 00:00:00,291.5
2025-11-14 00:00:00,298.5
2025-11-07 00:00:00,304.27
2025-10-31 00:00:00,290.15
2025-10-24 00:00:00,275.65
2025-10-17 00:00:00,272.71
2025-10-10 00:00:00,294.99
2025-10-03 00:00:00,294.99
2025-09-26 00:00:00,265.49
2025-09-19 00:00:00,282.19
2025-09-12 00:00:00,271.11
2025-09-05 00:00:00,275.49
2025-08-29 00:00:00,275.35
2025-08-22 00:00:00,261.49
2025-08-15 00:00:00,255.49
2025-08-08 00:00:00,277.34
2025-08-01 00:00:00,282.11
2025-07-25 00:00:00,292.34
2025-07-18 00:00:00,321.5
2025-07-11 00:00:00,321.64
2025-07-04 00:00:00,304.27
2025-06-27 00:00:00,285.59
2025-06-20 00:00:00,303.31
2025-06-13 00:00:00,312.02
2025-06-06 00:00:00,313.02
2025-05-30 00:00:00,303.09
2025-05-23 00:00:00,301.56
2025-05-16 00:00:00,306.09
2025-05-09 00:00:00,297.81
2025-05-02 00:00:00,311.78
2025-04-25 00:00:00,324.79
2025-04-18 00:00:00,337.38
2025-04-11 00:00:00,348.92
2025-04-04 00:00:00,347.56
2025-03-28 00:00:00,362.66
2025-03-21 00:00:00,376.42
2025-03-14 00:00:00,393.62
2025-03-07 00:00:00,386.23
2025-02-28 00:00:00,416.1
2025-02-21 00:00:00,417.1
2025-02-14 00:00:00,428.67
2025-02-07 00:00:00,451.29
2025-01-31 00:00:00,453.29
2025-01-24 00:00:00,454.29
2025-01-17 00:00:00,461.29
2025-01-10 00:00:00,475.02
2025-01-03 00:00:00,498.79
2024-12-27 00:00:00,488.92
2024-12-20 00:00:00,479.05
2024-12-13 00:00:00,448.91
2024-12-06 00:00:00,453.91
2024-11-29 00:00:00,458.83
2024-11-22 00:00:00,468.76
2024-11-15 00:00:00,445.16
2024-11-08 00:00:00,410.23
2024-11-01 00:00:00,425.23
2024-10-25 00:00:00,416.66
2024-10-18 00:00:00,410.56
2024-10-11 00:00:00,407.56
2024-10-04 00:00:00,398.03
2024-09-27 00:00:00,399.03
2024-09-20 00:00:00,405.1
2024-09-13 00:00:00,414.1
2024-09-06 00:00:00,404.14
2024-08-30 00:00:00,362.33
2024-08-23 00:00:00,355.37
2024-08-16 00:00:00,343.36
2024-08-09 00:00:00,312.45
2024-08-02 00:00:00,310.0
2024-07-26 00:00:00,276.5
2024-07-19 00:00:00,263.5
2024-07-12 00:00:00,267.5
2024-07-05 00:00:00,265.5
2024-06-28 00:00:00,246.5
2024-06-21 00:00:00,234.5
2024-06-14 00:00:00,234.5
2024-06-07 00:00:00,245.5
2024-05-31 00:00:00,233.5
2024-05-24 00:00:00,229.5
2024-05-17 00:00:00,223.5
2024-05-10 00:00:00,227.5
2024-05-03 00:00:00,221.5
2024-04-26 00:00:00,220.5
2024-04-19 00:00:00,202.85
2024-04-12 00:00:00,203.82
2024-04-05 00:00:00,212.95
2024-03-29 00:00:00,208.43
2024-03-22 00:00:00,216.1
