指标名称,焦炭：230家独立焦化厂：日均产量：中国（周）
指标编码,ID00187978
2026-01-09 00:00:00,50.11
2026-01-02 00:00:00,49.5
2025-12-26 00:00:00,49.23
2025-12-19 00:00:00,49.34
2025-12-12 00:00:00,50.33
2025-12-05 00:00:00,50.83
2025-11-28 00:00:00,50.4
2025-11-21 00:00:00,49.75
2025-11-14 00:00:00,50.14
2025-11-07 00:00:00,50.66
2025-10-31 00:00:00,51.3
2025-10-24 00:00:00,51.6
2025-10-17 00:00:00,52.18
2025-10-10 00:00:00,52.86
2025-10-03 00:00:00,52.89
2025-09-26 00:00:00,53.12
2025-09-19 00:00:00,53.14
2025-09-12 00:00:00,53.3
2025-09-05 00:00:00,51.21
2025-08-29 00:00:00,51.28
2025-08-22 00:00:00,52.31
2025-08-15 00:00:00,52.29
2025-08-08 00:00:00,52.02
2025-08-01 00:00:00,51.83
2025-07-25 00:00:00,51.92
2025-07-18 00:00:00,51.41
2025-07-11 00:00:00,51.29
2025-07-04 00:00:00,51.63
2025-06-27 00:00:00,51.67
2025-06-20 00:00:00,51.78
2025-06-13 00:00:00,52.17
2025-06-06 00:00:00,53.1
2025-05-30 00:00:00,53.2
2025-05-23 00:00:00,53.59
2025-05-16 00:00:00,53.63
2025-05-09 00:00:00,53.5
2025-05-02 00:00:00,53.77
2025-04-25 00:00:00,53.66
2025-04-18 00:00:00,52.45
2025-04-11 00:00:00,52.16
2025-04-04 00:00:00,51.88
2025-03-28 00:00:00,51.15
2025-03-21 00:00:00,50.85
2025-03-14 00:00:00,49.53
2025-03-07 00:00:00,50.29
2025-02-28 00:00:00,50.8
2025-02-21 00:00:00,51.41
2025-02-14 00:00:00,51.76
2025-02-07 00:00:00,51.73
2025-01-31 00:00:00,51.87
2025-01-24 00:00:00,51.48
2025-01-17 00:00:00,51.9
2025-01-10 00:00:00,51.68
2025-01-03 00:00:00,52.29
2024-12-27 00:00:00,52.25
2024-12-20 00:00:00,52.13
2024-12-13 00:00:00,53.04
2024-12-06 00:00:00,53.46
2024-11-29 00:00:00,53.28
2024-11-22 00:00:00,53.05
2024-11-15 00:00:00,52.56
2024-11-08 00:00:00,52.83
2024-11-01 00:00:00,53.0
2024-10-25 00:00:00,53.34
2024-10-18 00:00:00,53.54
2024-10-11 00:00:00,52.98
2024-10-04 00:00:00,51.48
2024-09-27 00:00:00,50.78
2024-09-20 00:00:00,50.52
2024-09-13 00:00:00,50.82
2024-09-06 00:00:00,51.02
2024-08-30 00:00:00,51.16
2024-08-23 00:00:00,52.7
2024-08-16 00:00:00,53.16
2024-08-09 00:00:00,53.52
2024-08-02 00:00:00,53.78
2024-07-26 00:00:00,54.06
2024-07-19 00:00:00,54.45
2024-07-12 00:00:00,54.72
2024-07-05 00:00:00,54.46
2024-06-28 00:00:00,53.7
2024-06-21 00:00:00,53.64
2024-06-14 00:00:00,53.82
2024-06-07 00:00:00,53.71
2024-05-31 00:00:00,53.34
2024-05-24 00:00:00,53.35
2024-05-17 00:00:00,53.19
2024-05-10 00:00:00,52.64
2024-05-03 00:00:00,49.33
2024-04-26 00:00:00,47.78
2024-04-19 00:00:00,47.29
2024-04-12 00:00:00,46.85
2024-04-05 00:00:00,47.4
2024-03-29 00:00:00,47.43
2024-03-22 00:00:00,47.86
2024-03-15 00:00:00,48.7
2024-03-08 00:00:00,49.7
2024-03-01 00:00:00,49.63
2024-02-23 00:00:00,51.18
2024-02-16 00:00:00,51.74
2024-02-09 00:00:00,51.71
2024-02-02 00:00:00,51.66
2024-01-26 00:00:00,51.99
2024-01-19 00:00:00,51.64
2024-01-12 00:00:00,54.67
2024-01-05 00:00:00,55.32
2023-12-29 00:00:00,53.91
2023-12-22 00:00:00,55.44
2023-12-15 00:00:00,54.11
2023-12-08 00:00:00,53.62
2023-12-01 00:00:00,53.98
2023-11-24 00:00:00,53.93
2023-11-17 00:00:00,54.99
2023-11-10 00:00:00,55.42
2023-11-03 00:00:00,55.13
2023-10-27 00:00:00,55.28
2023-10-20 00:00:00,56.69
2023-10-13 00:00:00,57.38
2023-10-06 00:00:00,57.34
2023-09-29 00:00:00,57.33
2023-09-22 00:00:00,57.57
2023-09-15 00:00:00,58.01
2023-09-08 00:00:00,58.47
2023-09-01 00:00:00,58.53
2023-08-25 00:00:00,57.71
2023-08-18 00:00:00,57.1
2023-08-11 00:00:00,56.78
2023-08-04 00:00:00,56.2
2023-07-28 00:00:00,55.88
2023-07-21 00:00:00,55.9
2023-07-14 00:00:00,56.42
2023-07-07 00:00:00,56.07
2023-06-30 00:00:00,55.94
2023-06-23 00:00:00,56.63
2023-06-16 00:00:00,56.37
2023-06-09 00:00:00,56.16
2023-06-02 00:00:00,55.73
2023-05-26 00:00:00,55.84
2023-05-19 00:00:00,55.98
2023-05-12 00:00:00,56.72
2023-05-05 00:00:00,57.44
2023-04-28 00:00:00,58.59
2023-04-21 00:00:00,58.84
2023-04-14 00:00:00,58.62
2023-04-07 00:00:00,56.69
2023-03-31 00:00:00,56.24
2023-03-24 00:00:00,55.81
2023-03-17 00:00:00,56.07
2023-03-10 00:00:00,56.04
2023-03-03 00:00:00,56.72
2023-02-24 00:00:00,56.97
2023-02-17 00:00:00,56.71
2023-02-10 00:00:00,56.47
2023-02-03 00:00:00,56.32
2023-01-27 00:00:00,55.92
2023-01-20 00:00:00,55.77
2023-01-13 00:00:00,55.82
2023-01-06 00:00:00,56.2
2022-12-30 00:00:00,55.59
2022-12-23 00:00:00,55.19
2022-12-16 00:00:00,54.52
2022-12-09 00:00:00,51.84
2022-12-02 00:00:00,50.41
2022-11-25 00:00:00,50.98
2022-11-18 00:00:00,51.46
2022-11-11 00:00:00,50.79
2022-11-04 00:00:00,51.8
2022-10-28 00:00:00,52.76
2022-10-21 00:00:00,52.52
2022-10-14 00:00:00,55.23
2022-10-07 00:00:00,58.29
2022-09-30 00:00:00,57.67
2022-09-23 00:00:00,58.68
2022-09-16 00:00:00,59.53
2022-09-09 00:00:00,59.12
2022-09-02 00:00:00,57.54
2022-08-26 00:00:00,56.22
2022-08-19 00:00:00,55.11
2022-08-12 00:00:00,52.55
2022-08-05 00:00:00,48.45
2022-07-29 00:00:00,47.91
2022-07-22 00:00:00,48.82
2022-07-15 00:00:00,52.87
2022-07-08 00:00:00,54.42
2022-07-01 00:00:00,55.92
2022-06-24 00:00:00,56.77
2022-06-17 00:00:00,59.52
2022-06-10 00:00:00,58.53
2022-06-03 00:00:00,58.9
2022-05-27 00:00:00,59.2
2022-05-20 00:00:00,59.98
2022-05-13 00:00:00,60.04
2022-05-06 00:00:00,58.27
2022-04-29 00:00:00,57.22
2022-04-22 00:00:00,55.82
2022-04-15 00:00:00,54.9
2022-04-08 00:00:00,56.96
2022-04-01 00:00:00,56.8
2022-03-25 00:00:00,56.99
2022-03-18 00:00:00,56.14
2022-03-11 00:00:00,54.49
2022-03-04 00:00:00,54.36
2022-02-25 00:00:00,52.94
2022-02-18 00:00:00,49.64
2022-02-11 00:00:00,50.59
2022-02-04 00:00:00,52.73
2022-01-28 00:00:00,55.2
2022-01-21 00:00:00,55.38
2022-01-14 00:00:00,54.03
2022-01-07 00:00:00,52.7
2021-12-31 00:00:00,51.5
2021-12-24 00:00:00,51.12
2021-12-17 00:00:00,51.09
2021-12-10 00:00:00,50.56
2021-12-03 00:00:00,49.74
2021-11-26 00:00:00,49.34
2021-11-19 00:00:00,49.4
2021-11-12 00:00:00,52.4
2021-11-05 00:00:00,52.95
2021-10-29 00:00:00,53.44
2021-10-22 00:00:00,54.49
2021-10-15 00:00:00,54.72
2021-10-08 00:00:00,55.28
2021-10-01 00:00:00,54.7
2021-09-24 00:00:00,54.93
2021-09-17 00:00:00,54.48
2021-09-10 00:00:00,56.32
2021-09-03 00:00:00,59.25
2021-08-27 00:00:00,60.05
2021-08-20 00:00:00,60.58
2021-08-13 00:00:00,60.13
2021-08-06 00:00:00,59.66
2021-07-30 00:00:00,59.35
2021-07-23 00:00:00,60.51
2021-07-16 00:00:00,61.64
2021-07-09 00:00:00,61.46
2021-07-02 00:00:00,55.48
2021-06-25 00:00:00,63.1
2021-06-18 00:00:00,63.72
2021-06-11 00:00:00,63.78
2021-06-04 00:00:00,64.37
2021-05-28 00:00:00,63.33
2021-05-21 00:00:00,63.2
2021-05-14 00:00:00,62.51
2021-05-07 00:00:00,59.98
2021-04-30 00:00:00,59.29
2021-04-23 00:00:00,60.81
2021-04-16 00:00:00,62.36
2021-04-09 00:00:00,63.08
2021-04-02 00:00:00,63.48
2021-03-26 00:00:00,63.8
2021-03-19 00:00:00,64.48
2021-03-12 00:00:00,65.02
2021-03-05 00:00:00,65.42
2021-02-26 00:00:00,64.99
2021-02-19 00:00:00,64.98
2021-02-05 00:00:00,64.26
2021-01-29 00:00:00,64.19
2021-01-22 00:00:00,63.56
2021-01-15 00:00:00,63.23
2021-01-08 00:00:00,63.57
2021-01-01 00:00:00,62.41
2020-12-25 00:00:00,64.3
2020-12-18 00:00:00,65.27
2020-12-11 00:00:00,65.53
2020-12-04 00:00:00,66.34
2020-11-27 00:00:00,67.98
2020-11-20 00:00:00,67.45
2020-11-13 00:00:00,68.78
2020-11-06 00:00:00,68.88
2020-10-30 00:00:00,69.42
2020-10-23 00:00:00,69.39
2020-10-16 00:00:00,69.09
2020-10-09 00:00:00,69.72
2020-10-02 00:00:00,69.63
2020-09-25 00:00:00,69.34
2020-09-18 00:00:00,69.61
2020-09-11 00:00:00,69.36
2020-09-04 00:00:00,68.95
2020-08-28 00:00:00,69.05
2020-08-21 00:00:00,68.95
2020-08-14 00:00:00,67.39
2020-08-07 00:00:00,67.87
