指标名称,Mysteel冶金焦国产价格指数：湿熄：现货价格指数：中国（日）
指标编码,ID00187989
2026-01-13 00:00:00,1381.7
2026-01-12 00:00:00,1381.7
2026-01-09 00:00:00,1382.5
2026-01-08 00:00:00,1382.5
2026-01-07 00:00:00,1382.5
2026-01-06 00:00:00,1382.5
2026-01-05 00:00:00,1382.5
2026-01-04 00:00:00,1382.5
2025-12-31 00:00:00,1439.2
2025-12-30 00:00:00,1439.2
2025-12-29 00:00:00,1439.2
2025-12-26 00:00:00,1439.2
2025-12-25 00:00:00,1439.2
2025-12-24 00:00:00,1439.2
2025-12-23 00:00:00,1439.2
2025-12-22 00:00:00,1439.2
2025-12-19 00:00:00,1485.4
2025-12-18 00:00:00,1485.4
2025-12-17 00:00:00,1485.4
2025-12-16 00:00:00,1485.4
2025-12-15 00:00:00,1485.4
2025-12-12 00:00:00,1485.7
2025-12-11 00:00:00,1531.2
2025-12-10 00:00:00,1532.3
2025-12-09 00:00:00,1532.3
2025-12-08 00:00:00,1532.3
2025-12-05 00:00:00,1532.3
2025-12-04 00:00:00,1532.3
2025-12-03 00:00:00,1532.3
2025-12-02 00:00:00,1532.3
2025-12-01 00:00:00,1531.1
2025-11-28 00:00:00,1568.1
2025-11-27 00:00:00,1568.1
2025-11-26 00:00:00,1568.1
2025-11-25 00:00:00,1568.1
2025-11-24 00:00:00,1568.1
2025-11-21 00:00:00,1567.8
2025-11-20 00:00:00,1567.0
2025-11-19 00:00:00,1567.0
2025-11-18 00:00:00,1567.0
2025-11-17 00:00:00,1567.0
2025-11-14 00:00:00,1521.8
2025-11-13 00:00:00,1521.8
2025-11-12 00:00:00,1521.8
2025-11-11 00:00:00,1521.8
2025-11-10 00:00:00,1521.0
2025-11-07 00:00:00,1521.0
2025-11-06 00:00:00,1521.0
2025-11-05 00:00:00,1521.0
2025-11-04 00:00:00,1475.7
2025-11-03 00:00:00,1475.7
2025-10-31 00:00:00,1468.8
2025-10-30 00:00:00,1468.8
2025-10-29 00:00:00,1468.8
2025-10-28 00:00:00,1468.8
2025-10-27 00:00:00,1468.8
2025-10-24 00:00:00,1423.4
2025-10-23 00:00:00,1423.4
2025-10-22 00:00:00,1423.4
2025-10-21 00:00:00,1423.4
2025-10-20 00:00:00,1423.4
2025-10-17 00:00:00,1423.4
2025-10-16 00:00:00,1423.4
2025-10-15 00:00:00,1423.4
2025-10-14 00:00:00,1423.4
2025-10-13 00:00:00,1423.4
2025-10-11 00:00:00,1423.4
2025-10-10 00:00:00,1422.2
2025-10-09 00:00:00,1422.2
2025-09-30 00:00:00,1378.9
2025-09-29 00:00:00,1378.9
2025-09-28 00:00:00,1378.9
2025-09-26 00:00:00,1378.9
2025-09-25 00:00:00,1378.9
2025-09-24 00:00:00,1378.9
2025-09-23 00:00:00,1378.9
2025-09-22 00:00:00,1378.9
2025-09-19 00:00:00,1380.0
2025-09-18 00:00:00,1380.0
2025-09-17 00:00:00,1380.0
2025-09-16 00:00:00,1380.0
2025-09-15 00:00:00,1380.0
2025-09-12 00:00:00,1425.8
2025-09-11 00:00:00,1425.8
2025-09-10 00:00:00,1426.5
2025-09-09 00:00:00,1426.5
2025-09-08 00:00:00,1426.5
2025-09-05 00:00:00,1472.3
2025-09-04 00:00:00,1472.3
2025-09-03 00:00:00,1472.3
2025-09-02 00:00:00,1469.8
2025-09-01 00:00:00,1469.8
2025-08-29 00:00:00,1455.2
2025-08-28 00:00:00,1455.2
2025-08-27 00:00:00,1455.2
2025-08-26 00:00:00,1455.2
2025-08-25 00:00:00,1455.2
2025-08-22 00:00:00,1455.2
2025-08-21 00:00:00,1409.5
2025-08-20 00:00:00,1408.4
2025-08-19 00:00:00,1408.4
2025-08-18 00:00:00,1408.4
2025-08-15 00:00:00,1408.4
2025-08-14 00:00:00,1408.4
2025-08-13 00:00:00,1360.2
2025-08-12 00:00:00,1360.2
