指标名称,炼焦煤：价格指数：中国（日）
指标编码,ID00188020
2026-01-13 00:00:00,1267.6
2026-01-12 00:00:00,1258.6
2026-01-09 00:00:00,1250.1
2026-01-08 00:00:00,1248.9
2026-01-07 00:00:00,1247.1
2026-01-06 00:00:00,1249.6
2026-01-05 00:00:00,1252.3
2026-01-04 00:00:00,1258.7
2025-12-31 00:00:00,1267.4
2025-12-30 00:00:00,1271.6
2025-12-29 00:00:00,1277.2
2025-12-26 00:00:00,1280.0
2025-12-25 00:00:00,1281.5
2025-12-24 00:00:00,1282.6
2025-12-23 00:00:00,1285.0
2025-12-22 00:00:00,1288.6
2025-12-19 00:00:00,1291.1
2025-12-18 00:00:00,1290.6
2025-12-17 00:00:00,1292.3
2025-12-16 00:00:00,1293.0
2025-12-15 00:00:00,1295.7
2025-12-12 00:00:00,1299.9
2025-12-11 00:00:00,1302.6
2025-12-10 00:00:00,1309.7
2025-12-09 00:00:00,1313.9
2025-12-08 00:00:00,1317.1
2025-12-05 00:00:00,1321.7
2025-12-04 00:00:00,1323.2
2025-12-03 00:00:00,1327.6
2025-12-02 00:00:00,1336.6
2025-12-01 00:00:00,1342.5
2025-11-28 00:00:00,1347.0
2025-11-27 00:00:00,1350.9
2025-11-26 00:00:00,1356.3
2025-11-25 00:00:00,1364.9
2025-11-24 00:00:00,1371.7
2025-11-21 00:00:00,1378.8
2025-11-20 00:00:00,1384.4
2025-11-19 00:00:00,1389.6
2025-11-18 00:00:00,1397.4
2025-11-17 00:00:00,1404.6
2025-11-14 00:00:00,1406.1
2025-11-13 00:00:00,1407.1
2025-11-12 00:00:00,1405.4
2025-11-11 00:00:00,1399.2
2025-11-10 00:00:00,1396.6
2025-11-07 00:00:00,1396.9
2025-11-06 00:00:00,1392.6
2025-11-05 00:00:00,1384.7
2025-11-04 00:00:00,1375.1
2025-11-03 00:00:00,1370.4
2025-10-31 00:00:00,1352.9
2025-10-30 00:00:00,1343.6
2025-10-29 00:00:00,1336.6
2025-10-28 00:00:00,1330.4
2025-10-27 00:00:00,1326.7
