指标名称,低硫主焦煤：价格指数：中国（日）
指标编码,ID00278179
2026-01-13 00:00:00,1525.3
2026-01-12 00:00:00,1503.4
2026-01-09 00:00:00,1489.3
2026-01-08 00:00:00,1489.3
2026-01-07 00:00:00,1488.3
2026-01-06 00:00:00,1489.5
2026-01-05 00:00:00,1493.4
2026-01-04 00:00:00,1501.8
2025-12-31 00:00:00,1516.9
2025-12-30 00:00:00,1527.4
2025-12-29 00:00:00,1540.1
2025-12-26 00:00:00,1540.1
2025-12-25 00:00:00,1542.4
2025-12-24 00:00:00,1542.4
2025-12-23 00:00:00,1543.8
2025-12-22 00:00:00,1550.5
2025-12-19 00:00:00,1551.8
2025-12-18 00:00:00,1532.9
2025-12-17 00:00:00,1516.8
2025-12-16 00:00:00,1515.5
2025-12-15 00:00:00,1489.7
2025-12-12 00:00:00,1494.0
2025-12-11 00:00:00,1499.3
2025-12-10 00:00:00,1499.3
2025-12-09 00:00:00,1505.1
2025-12-08 00:00:00,1515.7
2025-12-05 00:00:00,1522.9
2025-12-04 00:00:00,1528.0
2025-12-03 00:00:00,1541.3
2025-12-02 00:00:00,1565.6
2025-12-01 00:00:00,1572.0
2025-11-28 00:00:00,1580.2
2025-11-27 00:00:00,1589.5
2025-11-26 00:00:00,1604.7
2025-11-25 00:00:00,1624.9
2025-11-24 00:00:00,1639.3
2025-11-21 00:00:00,1642.1
2025-11-20 00:00:00,1645.4
2025-11-19 00:00:00,1648.9
2025-11-18 00:00:00,1662.6
2025-11-17 00:00:00,1669.6
2025-11-14 00:00:00,1668.4
2025-11-13 00:00:00,1668.4
2025-11-12 00:00:00,1662.8
2025-11-11 00:00:00,1650.7
2025-11-10 00:00:00,1645.1
2025-11-07 00:00:00,1645.1
2025-11-06 00:00:00,1639.7
2025-11-05 00:00:00,1621.0
2025-11-04 00:00:00,1605.0
2025-11-03 00:00:00,1597.1
2025-10-31 00:00:00,1593.8
2025-10-30 00:00:00,1588.2
2025-10-29 00:00:00,1586.4
2025-10-28 00:00:00,1586.4
2025-10-27 00:00:00,1584.4
2025-10-24 00:00:00,1584.4
2025-10-23 00:00:00,1576.3
2025-10-22 00:00:00,1568.4
2025-10-21 00:00:00,1554.5
2025-10-20 00:00:00,1540.5
2025-10-17 00:00:00,1539.5
2025-10-16 00:00:00,1531.2
2025-10-15 00:00:00,1528.0
2025-10-14 00:00:00,1525.2
2025-10-13 00:00:00,1525.3
2025-10-11 00:00:00,1525.3
2025-10-10 00:00:00,1527.2
2025-10-09 00:00:00,1535.1
2025-09-30 00:00:00,1541.4
2025-09-29 00:00:00,1543.6
2025-09-28 00:00:00,1549.3
2025-09-26 00:00:00,1549.3
2025-09-25 00:00:00,1542.0
2025-09-24 00:00:00,1531.9
2025-09-23 00:00:00,1503.8
2025-09-22 00:00:00,1479.2
2025-09-19 00:00:00,1475.3
2025-09-18 00:00:00,1475.3
2025-09-17 00:00:00,1463.2
2025-09-16 00:00:00,1439.9
2025-09-15 00:00:00,1419.6
2025-09-12 00:00:00,1419.6
2025-09-11 00:00:00,1419.6
2025-09-10 00:00:00,1419.6
2025-09-09 00:00:00,1419.6
2025-09-08 00:00:00,1413.6
2025-09-05 00:00:00,1413.6
2025-09-04 00:00:00,1418.8
2025-09-03 00:00:00,1433.9
2025-09-02 00:00:00,1444.4
2025-09-01 00:00:00,1453.1
2025-08-29 00:00:00,1456.9
2025-08-28 00:00:00,1461.3
2025-08-27 00:00:00,1461.3
2025-08-26 00:00:00,1461.3
2025-08-25 00:00:00,1467.5
2025-08-22 00:00:00,1463.8
2025-08-21 00:00:00,1463.8
2025-08-20 00:00:00,1464.3
2025-08-19 00:00:00,1463.0
2025-08-18 00:00:00,1444.4
2025-08-15 00:00:00,1447.7
2025-08-14 00:00:00,1449.8
2025-08-13 00:00:00,1449.8
2025-08-12 00:00:00,1449.8
2025-08-11 00:00:00,1457.7
2025-08-08 00:00:00,1459.2
2025-08-07 00:00:00,1462.4
2025-08-06 00:00:00,1462.4
2025-08-05 00:00:00,1462.4
2025-08-04 00:00:00,1458.7
2025-08-01 00:00:00,1458.7
2025-07-31 00:00:00,1463.1
2025-07-30 00:00:00,1453.5
2025-07-29 00:00:00,1449.6
2025-07-28 00:00:00,1431.3
2025-07-25 00:00:00,1434.9
2025-07-24 00:00:00,1381.5
2025-07-23 00:00:00,1348.6
2025-07-22 00:00:00,1305.4
2025-07-21 00:00:00,1292.1
2025-07-18 00:00:00,1266.4
2025-07-17 00:00:00,1261.9
2025-07-16 00:00:00,1251.7
2025-07-15 00:00:00,1224.7
2025-07-14 00:00:00,1193.0
2025-07-11 00:00:00,1174.9
2025-07-10 00:00:00,1174.9
2025-07-09 00:00:00,1169.6
2025-07-08 00:00:00,1160.5
2025-07-07 00:00:00,1154.9
2025-07-04 00:00:00,1150.0
2025-07-03 00:00:00,1150.0
2025-07-02 00:00:00,1150.0
2025-07-01 00:00:00,1147.5
2025-06-30 00:00:00,1144.2
2025-06-27 00:00:00,1144.2
2025-06-26 00:00:00,1144.2
2025-06-25 00:00:00,1143.5
2025-06-24 00:00:00,1143.5
2025-06-23 00:00:00,1145.3
2025-06-20 00:00:00,1147.0
2025-06-19 00:00:00,1147.0
2025-06-18 00:00:00,1147.0
2025-06-17 00:00:00,1152.4
2025-06-16 00:00:00,1154.9
2025-06-13 00:00:00,1154.9
2025-06-12 00:00:00,1156.8
2025-06-11 00:00:00,1156.8
2025-06-10 00:00:00,1162.0
2025-06-09 00:00:00,1160.9
2025-06-06 00:00:00,1161.9
2025-06-05 00:00:00,1165.2
2025-06-04 00:00:00,1170.7
2025-06-03 00:00:00,1171.4
2025-05-30 00:00:00,1173.7
2025-05-29 00:00:00,1186.1
2025-05-28 00:00:00,1190.1
2025-05-27 00:00:00,1193.5
2025-05-26 00:00:00,1218.5
2025-05-23 00:00:00,1219.2
2025-05-22 00:00:00,1219.2
2025-05-21 00:00:00,1226.3
2025-05-20 00:00:00,1232.3
2025-05-19 00:00:00,1244.8
2025-05-16 00:00:00,1248.3
2025-05-15 00:00:00,1256.6
2025-05-14 00:00:00,1256.6
2025-05-13 00:00:00,1259.8
2025-05-12 00:00:00,1268.8
2025-05-09 00:00:00,1268.8
2025-05-08 00:00:00,1273.5
2025-05-07 00:00:00,1282.2
2025-05-06 00:00:00,1284.1
2025-04-30 00:00:00,1289.0
2025-04-29 00:00:00,1289.0
2025-04-28 00:00:00,1295.9
2025-04-27 00:00:00,1296.4
2025-04-25 00:00:00,1293.1
2025-04-24 00:00:00,1297.4
2025-04-23 00:00:00,1297.4
2025-04-22 00:00:00,1302.9
2025-04-21 00:00:00,1302.9
2025-04-18 00:00:00,1304.7
2025-04-17 00:00:00,1304.7
2025-04-16 00:00:00,1304.7
2025-04-15 00:00:00,1304.7
2025-04-14 00:00:00,1303.0
2025-04-11 00:00:00,1303.0
2025-04-10 00:00:00,1301.2
2025-04-09 00:00:00,1294.7
2025-04-08 00:00:00,1292.0
2025-04-07 00:00:00,1282.7
2025-04-03 00:00:00,1278.7
2025-04-02 00:00:00,1273.3
2025-04-01 00:00:00,1267.2
2025-03-31 00:00:00,1264.4
2025-03-28 00:00:00,1263.0
2025-03-27 00:00:00,1260.7
2025-03-26 00:00:00,1260.7
2025-03-25 00:00:00,1260.2
2025-03-24 00:00:00,1255.9
2025-03-21 00:00:00,1256.6
2025-03-20 00:00:00,1256.6
2025-03-19 00:00:00,1261.9
2025-03-18 00:00:00,1265.1
2025-03-17 00:00:00,1269.7
2025-03-14 00:00:00,1271.0
2025-03-13 00:00:00,1278.9
2025-03-12 00:00:00,1282.7
2025-03-11 00:00:00,1285.8
2025-03-10 00:00:00,1288.0
2025-03-07 00:00:00,1292.2
2025-03-06 00:00:00,1292.9
2025-03-05 00:00:00,1295.0
2025-03-04 00:00:00,1299.3
2025-03-03 00:00:00,1306.5
2025-02-28 00:00:00,1306.5
2025-02-27 00:00:00,1308.4
2025-02-26 00:00:00,1311.9
2025-02-25 00:00:00,1314.0
2025-02-24 00:00:00,1322.3
2025-02-21 00:00:00,1334.8
2025-02-20 00:00:00,1345.5
2025-02-19 00:00:00,1345.5
2025-02-18 00:00:00,1350.7
2025-02-17 00:00:00,1363.0
2025-02-14 00:00:00,1372.6
2025-02-13 00:00:00,1376.1
2025-02-12 00:00:00,1380.7
2025-02-11 00:00:00,1380.7
2025-02-10 00:00:00,1380.7
2025-02-08 00:00:00,1380.7
2025-02-07 00:00:00,1384.8
2025-02-06 00:00:00,1388.3
2025-02-05 00:00:00,1392.8
2025-01-27 00:00:00,1393.7
2025-01-26 00:00:00,1393.7
2025-01-24 00:00:00,1393.7
2025-01-23 00:00:00,1393.7
2025-01-22 00:00:00,1400.0
2025-01-21 00:00:00,1400.2
2025-01-20 00:00:00,1403.5
2025-01-17 00:00:00,1406.4
2025-01-16 00:00:00,1406.4
2025-01-15 00:00:00,1406.4
2025-01-14 00:00:00,1409.9
2025-01-13 00:00:00,1402.5
2025-01-10 00:00:00,1409.9
2025-01-09 00:00:00,1409.9
2025-01-08 00:00:00,1409.9
2025-01-07 00:00:00,1412.3
2025-01-06 00:00:00,1412.3
2025-01-03 00:00:00,1415.2
2025-01-02 00:00:00,1424.9
2024-12-31 00:00:00,1432.0
2024-12-30 00:00:00,1447.1
2024-12-27 00:00:00,1459.1
2024-12-26 00:00:00,1476.2
2024-12-25 00:00:00,1492.1
2024-12-24 00:00:00,1500.7
2024-12-23 00:00:00,1515.0
2024-12-20 00:00:00,1526.6
2024-12-19 00:00:00,1526.6
2024-12-18 00:00:00,1536.8
2024-12-17 00:00:00,1539.1
2024-12-16 00:00:00,1540.1
2024-12-13 00:00:00,1542.0
2024-12-12 00:00:00,1542.0
2024-12-11 00:00:00,1542.0
2024-12-10 00:00:00,1543.4
2024-12-09 00:00:00,1551.8
2024-12-06 00:00:00,1553.4
2024-12-05 00:00:00,1555.3
2024-12-04 00:00:00,1559.0
2024-12-03 00:00:00,1563.2
2024-12-02 00:00:00,1571.2
2024-11-29 00:00:00,1570.1
2024-11-28 00:00:00,1576.0
2024-11-27 00:00:00,1582.4
2024-11-26 00:00:00,1582.4
2024-11-25 00:00:00,1583.9
2024-11-22 00:00:00,1589.4
2024-11-21 00:00:00,1598.5
2024-11-20 00:00:00,1598.5
2024-11-19 00:00:00,1613.5
2024-11-18 00:00:00,1611.5
2024-11-15 00:00:00,1617.1
2024-11-14 00:00:00,1627.8
2024-11-13 00:00:00,1631.5
2024-11-12 00:00:00,1631.5
2024-11-11 00:00:00,1632.9
2024-11-08 00:00:00,1639.1
2024-11-07 00:00:00,1639.1
2024-11-06 00:00:00,1643.2
2024-11-05 00:00:00,1652.8
2024-11-04 00:00:00,1664.5
2024-11-01 00:00:00,1673.2
2024-10-31 00:00:00,1678.4
2024-10-30 00:00:00,1678.4
2024-10-29 00:00:00,1683.7
2024-10-28 00:00:00,1696.7
2024-10-25 00:00:00,1699.7
2024-10-24 00:00:00,1699.7
2024-10-23 00:00:00,1710.1
2024-10-22 00:00:00,1718.5
2024-10-21 00:00:00,1741.6
2024-10-18 00:00:00,1761.5
2024-10-17 00:00:00,1774.1
2024-10-16 00:00:00,1780.4
2024-10-15 00:00:00,1784.8
2024-10-14 00:00:00,1789.0
2024-10-12 00:00:00,1789.0
2024-10-11 00:00:00,1789.0
2024-10-10 00:00:00,1786.2
2024-10-09 00:00:00,1778.5
2024-10-08 00:00:00,1762.0
2024-09-30 00:00:00,1710.5
2024-09-29 00:00:00,1663.2
2024-09-27 00:00:00,1662.3
2024-09-26 00:00:00,1662.3
2024-09-25 00:00:00,1661.1
2024-09-24 00:00:00,1647.5
2024-09-23 00:00:00,1648.0
2024-09-20 00:00:00,1637.8
2024-09-19 00:00:00,1637.8
2024-09-18 00:00:00,1615.3
2024-09-14 00:00:00,1620.6
2024-09-13 00:00:00,1615.4
2024-09-12 00:00:00,1607.2
2024-09-11 00:00:00,1612.5
2024-09-10 00:00:00,1624.4
2024-09-09 00:00:00,1640.4
2024-09-06 00:00:00,1640.4
2024-09-05 00:00:00,1640.4
2024-09-04 00:00:00,1640.0
2024-09-03 00:00:00,1638.4
2024-09-02 00:00:00,1636.6
2024-08-30 00:00:00,1632.9
2024-08-29 00:00:00,1631.5
2024-08-28 00:00:00,1631.5
2024-08-27 00:00:00,1625.1
2024-08-26 00:00:00,1626.0
2024-08-23 00:00:00,1626.0
2024-08-22 00:00:00,1634.8
2024-08-21 00:00:00,1647.3
2024-08-20 00:00:00,1675.0
2024-08-19 00:00:00,1701.6
2024-08-16 00:00:00,1738.5
2024-08-15 00:00:00,1743.1
2024-08-14 00:00:00,1746.5
2024-08-13 00:00:00,1757.2
2024-08-12 00:00:00,1764.5
2024-08-09 00:00:00,1790.9
2024-08-08 00:00:00,1799.0
2024-08-07 00:00:00,1799.0
2024-08-06 00:00:00,1799.0
2024-08-05 00:00:00,1813.9
2024-08-02 00:00:00,1829.5
2024-08-01 00:00:00,1846.3
2024-07-31 00:00:00,1858.9
2024-07-30 00:00:00,1870.2
2024-07-29 00:00:00,1900.6
2024-07-26 00:00:00,1907.4
2024-07-25 00:00:00,1908.5
2024-07-24 00:00:00,1907.0
2024-07-23 00:00:00,1908.0
2024-07-22 00:00:00,1910.9
2024-07-19 00:00:00,1912.6
2024-07-18 00:00:00,1912.9
2024-07-17 00:00:00,1915.8
2024-07-16 00:00:00,1915.8
2024-07-15 00:00:00,1909.9
2024-07-12 00:00:00,1911.7
2024-07-11 00:00:00,1911.7
2024-07-10 00:00:00,1915.7
2024-07-09 00:00:00,1921.3
2024-07-08 00:00:00,1922.3
2024-07-05 00:00:00,1922.3
2024-07-04 00:00:00,1922.3
2024-07-03 00:00:00,1919.9
2024-07-02 00:00:00,1913.6
2024-07-01 00:00:00,1907.0
2024-06-28 00:00:00,1905.0
2024-06-27 00:00:00,1905.0
2024-06-26 00:00:00,1905.0
2024-06-25 00:00:00,1908.9
2024-06-24 00:00:00,1914.5
2024-06-21 00:00:00,1914.5
2024-06-20 00:00:00,1904.9
2024-06-19 00:00:00,1899.8
2024-06-18 00:00:00,1899.8
2024-06-17 00:00:00,1887.5
2024-06-14 00:00:00,1897.8
2024-06-13 00:00:00,1900.7
2024-06-12 00:00:00,1914.8
2024-06-11 00:00:00,1928.0
2024-06-07 00:00:00,1943.7
2024-06-06 00:00:00,1946.8
2024-06-05 00:00:00,1970.0
2024-06-04 00:00:00,1975.6
2024-06-03 00:00:00,1982.7
2024-05-31 00:00:00,1982.7
2024-05-30 00:00:00,1983.0
2024-05-29 00:00:00,1986.2
2024-05-28 00:00:00,1986.2
2024-05-27 00:00:00,1994.5
2024-05-24 00:00:00,1994.5
2024-05-23 00:00:00,1979.7
2024-05-22 00:00:00,1957.2
2024-05-21 00:00:00,1951.5
2024-05-20 00:00:00,1948.6
2024-05-17 00:00:00,1963.8
2024-05-16 00:00:00,1969.2
2024-05-15 00:00:00,2001.7
2024-05-14 00:00:00,2016.5
2024-05-13 00:00:00,2052.2
2024-05-11 00:00:00,2052.2
2024-05-10 00:00:00,2052.2
2024-05-09 00:00:00,2010.5
2024-05-08 00:00:00,2000.2
2024-05-07 00:00:00,2000.2
2024-05-06 00:00:00,1957.9
2024-04-30 00:00:00,1956.0
2024-04-29 00:00:00,1956.0
2024-04-28 00:00:00,1952.8
2024-04-26 00:00:00,1951.9
2024-04-25 00:00:00,1951.9
2024-04-24 00:00:00,1951.0
2024-04-23 00:00:00,1933.8
2024-04-22 00:00:00,1922.5
2024-04-19 00:00:00,1916.3
2024-04-18 00:00:00,1901.9
2024-04-17 00:00:00,1901.4
2024-04-16 00:00:00,1829.1
2024-04-15 00:00:00,1741.2
2024-04-12 00:00:00,1731.1
2024-04-11 00:00:00,1731.1
2024-04-10 00:00:00,1741.2
2024-04-09 00:00:00,1745.8
2024-04-08 00:00:00,1767.5
2024-04-07 00:00:00,1767.5
2024-04-03 00:00:00,1767.5
2024-04-02 00:00:00,1777.6
2024-04-01 00:00:00,1782.8
2024-03-29 00:00:00,1814.7
2024-03-28 00:00:00,1814.7
2024-03-27 00:00:00,1814.7
2024-03-26 00:00:00,1829.6
2024-03-25 00:00:00,1827.2
2024-03-22 00:00:00,1823.5
2024-03-21 00:00:00,1825.3
2024-03-20 00:00:00,1853.3
2024-03-19 00:00:00,1860.7
2024-03-18 00:00:00,1918.7
2024-03-15 00:00:00,1996.0
2024-03-14 00:00:00,2005.1
2024-03-13 00:00:00,2010.9
2024-03-12 00:00:00,2041.6
2024-03-11 00:00:00,2106.3
2024-03-08 00:00:00,2136.2
2024-03-07 00:00:00,2171.2
2024-03-06 00:00:00,2256.4
2024-03-05 00:00:00,2256.4
2024-03-04 00:00:00,2326.1
2024-03-01 00:00:00,2340.9
2024-02-29 00:00:00,2360.5
2024-02-28 00:00:00,2372.8
2024-02-27 00:00:00,2409.8
2024-02-26 00:00:00,2409.9
2024-02-23 00:00:00,2409.9
2024-02-22 00:00:00,2420.0
2024-02-21 00:00:00,2420.0
2024-02-20 00:00:00,2420.0
2024-02-19 00:00:00,2421.6
2024-02-18 00:00:00,2426.4
2024-02-09 00:00:00,2426.4
2024-02-08 00:00:00,2426.4
2024-02-07 00:00:00,2426.4
2024-02-06 00:00:00,2426.4
2024-02-05 00:00:00,2426.4
2024-02-04 00:00:00,2426.4
2024-02-02 00:00:00,2426.4
2024-02-01 00:00:00,2426.4
2024-01-31 00:00:00,2426.4
2024-01-30 00:00:00,2426.4
2024-01-29 00:00:00,2426.4
2024-01-26 00:00:00,2448.6
2024-01-25 00:00:00,2448.6
2024-01-24 00:00:00,2448.6
2024-01-23 00:00:00,2448.6
2024-01-22 00:00:00,2445.3
2024-01-19 00:00:00,2443.7
2024-01-18 00:00:00,2435.4
2024-01-17 00:00:00,2435.4
2024-01-16 00:00:00,2435.4
2024-01-15 00:00:00,2437.4
2024-01-12 00:00:00,2437.4
2024-01-11 00:00:00,2442.3
2024-01-10 00:00:00,2444.6
2024-01-09 00:00:00,2459.0
2024-01-08 00:00:00,2474.0
2024-01-05 00:00:00,2478.5
2024-01-04 00:00:00,2478.5
2024-01-03 00:00:00,2500.0
2024-01-02 00:00:00,2503.2
2023-12-29 00:00:00,2534.2
2023-12-28 00:00:00,2566.2
2023-12-27 00:00:00,2566.2
2023-12-26 00:00:00,2566.2
2023-12-25 00:00:00,2569.3
2023-12-22 00:00:00,2569.3
2023-12-21 00:00:00,2569.3
2023-12-20 00:00:00,2569.3
2023-12-19 00:00:00,2573.2
2023-12-18 00:00:00,2548.2
2023-12-15 00:00:00,2548.2
2023-12-14 00:00:00,2546.6
2023-12-13 00:00:00,2546.6
2023-12-12 00:00:00,2539.2
2023-12-11 00:00:00,2512.0
2023-12-08 00:00:00,2512.0
2023-12-07 00:00:00,2512.0
