指标名称,无烟煤：绝对价格：晋城（年）
指标编码,ID00280420
2026-12-31 00:00:00,890.0
2025-12-31 00:00:00,953.67
2024-12-31 00:00:00,1126.49
2023-12-31 00:00:00,1453.96
2022-12-31 00:00:00,1803.06
2021-12-31 00:00:00,1593.99
2020-12-31 00:00:00,920.0
2019-12-31 00:00:00,1296.44
2018-12-31 00:00:00,1120.0
2017-12-31 00:00:00,1200.0
2016-12-31 00:00:00,960.0
2015-12-31 00:00:00,1119.5279
2014-12-31 00:00:00,1187.44
2013-12-31 00:00:00,1304.52
2012-12-31 00:00:00,1347.0627
2011-12-31 00:00:00,1219.6134
2010-12-31 00:00:00,1046.0
