指标名称,停--煤炭：样本洗煤厂（110家）：开工率：中国（周）
指标编码,ID00414863
2025-08-01 00:00:00,61.51
2025-07-25 00:00:00,62.31
2025-07-18 00:00:00,62.85
2025-07-11 00:00:00,62.32
2025-07-04 00:00:00,59.72
2025-06-27 00:00:00,59.1
2025-06-20 00:00:00,61.34
2025-06-13 00:00:00,57.36
2025-06-06 00:00:00,60.59
2025-05-30 00:00:00,61.55
2025-05-23 00:00:00,62.36
2025-05-16 00:00:00,62.08
2025-05-09 00:00:00,62.42
2025-05-02 00:00:00,62.97
2025-04-25 00:00:00,63.01
2025-04-18 00:00:00,61.9
2025-04-11 00:00:00,62.7
2025-04-04 00:00:00,60.77
2025-03-28 00:00:00,61.99
2025-03-21 00:00:00,62.61
2025-03-14 00:00:00,62.02
2025-03-07 00:00:00,61.32
2025-02-28 00:00:00,62.69
2025-02-21 00:00:00,60.15
2025-02-14 00:00:00,60.2
2025-02-07 00:00:00,45.8
2025-01-24 00:00:00,65.12
2025-01-17 00:00:00,68.94
2025-01-10 00:00:00,69.79
2025-01-03 00:00:00,61.77
2024-12-27 00:00:00,67.86
2024-12-20 00:00:00,69.95
2024-12-13 00:00:00,69.44
2024-12-06 00:00:00,69.0
2024-11-29 00:00:00,68.63
2024-11-22 00:00:00,68.82
2024-11-15 00:00:00,68.3
2024-11-08 00:00:00,68.42
2024-11-01 00:00:00,66.52
2024-10-25 00:00:00,68.22
2024-10-18 00:00:00,69.53
2024-10-11 00:00:00,68.47
2024-09-27 00:00:00,69.76
2024-09-20 00:00:00,69.32
2024-09-13 00:00:00,68.2
2024-09-06 00:00:00,68.59
2024-08-30 00:00:00,66.63
2024-08-23 00:00:00,67.29
2024-08-16 00:00:00,66.2
2024-08-09 00:00:00,67.49
2024-08-02 00:00:00,66.62
2024-07-26 00:00:00,68.58
2024-07-19 00:00:00,66.4
2024-07-12 00:00:00,69.48
2024-07-05 00:00:00,69.83
2024-06-28 00:00:00,68.98
2024-06-21 00:00:00,66.57
2024-06-14 00:00:00,68.95
2024-06-07 00:00:00,69.55
2024-05-31 00:00:00,68.82
2024-05-24 00:00:00,68.31
2024-05-17 00:00:00,67.92
2024-05-10 00:00:00,64.1
2024-05-03 00:00:00,67.26
