指标名称,停--精煤：样本洗煤厂（110家）：日均产量：中国（周）
指标编码,ID00414864
2025-08-01 00:00:00,52.135
2025-07-25 00:00:00,52.145
2025-07-18 00:00:00,53.375
2025-07-11 00:00:00,52.585
2025-07-04 00:00:00,50.59
2025-06-27 00:00:00,50.145
2025-06-20 00:00:00,50.985
2025-06-13 00:00:00,47.785
2025-06-06 00:00:00,51.455
2025-05-30 00:00:00,51.765
2025-05-23 00:00:00,52.785
2025-05-16 00:00:00,52.805
2025-05-09 00:00:00,53.1
2025-05-02 00:00:00,53.58
2025-04-25 00:00:00,53.435
2025-04-18 00:00:00,52.095
2025-04-11 00:00:00,52.855
2025-04-04 00:00:00,51.82
2025-03-28 00:00:00,52.24
2025-03-21 00:00:00,53.02
2025-03-14 00:00:00,52.748
2025-03-07 00:00:00,52.088
2025-02-28 00:00:00,53.004
2025-02-21 00:00:00,49.543
2025-02-14 00:00:00,48.935
2025-02-07 00:00:00,36.775
2025-01-24 00:00:00,54.615
2025-01-17 00:00:00,57.79
2025-01-10 00:00:00,58.59
2025-01-03 00:00:00,51.343
2024-12-27 00:00:00,56.843
2024-12-20 00:00:00,59.523
2024-12-13 00:00:00,59.022
2024-12-06 00:00:00,58.19
2024-11-29 00:00:00,57.503
2024-11-22 00:00:00,57.493
2024-11-15 00:00:00,57.408
2024-11-08 00:00:00,57.603
2024-11-01 00:00:00,55.573
2024-10-25 00:00:00,57.333
2024-10-18 00:00:00,58.421
2024-10-11 00:00:00,58.366
2024-09-27 00:00:00,59.996
2024-09-20 00:00:00,58.256
2024-09-13 00:00:00,57.281
2024-09-06 00:00:00,58.021
2024-08-30 00:00:00,55.521
2024-08-23 00:00:00,56.71
2024-08-16 00:00:00,55.237
2024-08-09 00:00:00,58.179
2024-08-02 00:00:00,56.181
2024-07-26 00:00:00,58.007
2024-07-19 00:00:00,55.354
2024-07-12 00:00:00,58.868
2024-07-05 00:00:00,58.534
2024-06-28 00:00:00,58.283
2024-06-21 00:00:00,56.188
2024-06-14 00:00:00,58.778
2024-06-07 00:00:00,59.133
2024-05-31 00:00:00,58.328
2024-05-24 00:00:00,57.843
2024-05-17 00:00:00,57.733
2024-05-10 00:00:00,54.493
2024-05-03 00:00:00,56.438
2024-04-26 00:00:00,56.466
2024-04-19 00:00:00,56.958
2024-04-12 00:00:00,56.268
2024-04-05 00:00:00,57.478
2024-03-29 00:00:00,56.76
2024-03-22 00:00:00,55.913
2024-03-15 00:00:00,57.097
2024-03-08 00:00:00,57.058
2024-03-01 00:00:00,56.128
2024-02-23 00:00:00,49.533
2024-02-16 00:00:00,40.722
2024-02-09 00:00:00,49.198
2024-02-02 00:00:00,58.753
2024-01-26 00:00:00,58.343
2024-01-19 00:00:00,60.353
2024-01-12 00:00:00,60.513
2024-01-05 00:00:00,57.168
2023-12-29 00:00:00,57.258
2023-12-22 00:00:00,59.8
2023-12-15 00:00:00,60.508
2023-12-08 00:00:00,60.668
2023-12-01 00:00:00,59.848
2023-11-24 00:00:00,62.278
2023-11-17 00:00:00,63.628
2023-11-10 00:00:00,59.728
2023-11-03 00:00:00,60.798
2023-10-27 00:00:00,63.279
2023-10-20 00:00:00,62.147
2023-10-13 00:00:00,64.83
2023-10-06 00:00:00,56.99
2023-09-29 00:00:00,57.89
2023-09-22 00:00:00,61.81
2023-09-15 00:00:00,62.18
2023-09-08 00:00:00,63.88
2023-09-01 00:00:00,64.12
2023-08-25 00:00:00,62.48
2023-08-18 00:00:00,62.96
2023-08-11 00:00:00,63.07
2023-08-04 00:00:00,62.47
2023-07-28 00:00:00,63.265
2023-07-21 00:00:00,61.945
2023-07-14 00:00:00,63.505
2023-07-07 00:00:00,62.57
2023-06-30 00:00:00,64.123
2023-06-23 00:00:00,63.423
2023-06-16 00:00:00,61.61
2023-06-09 00:00:00,61.11
2023-06-02 00:00:00,62.676
2023-05-26 00:00:00,62.9
2023-05-19 00:00:00,63.53
2023-05-12 00:00:00,63.115
2023-05-05 00:00:00,66.27
2023-04-28 00:00:00,67.085
2023-04-21 00:00:00,63.435
2023-04-14 00:00:00,63.515
2023-04-07 00:00:00,63.435
2023-03-31 00:00:00,62.955
2023-03-24 00:00:00,61.385
2023-03-17 00:00:00,61.085
2023-03-10 00:00:00,60.685
2023-03-03 00:00:00,61.37
2023-02-24 00:00:00,63.085
2023-02-17 00:00:00,62.775
2023-02-10 00:00:00,60.095
2023-02-03 00:00:00,58.575
2023-01-27 00:00:00,50.125
2023-01-20 00:00:00,52.7
2023-01-13 00:00:00,62.98
2023-01-06 00:00:00,62.96
2022-12-30 00:00:00,62.13
2022-12-23 00:00:00,59.18
2022-12-16 00:00:00,60.45
2022-12-09 00:00:00,59.63
2022-12-02 00:00:00,60.59
2022-11-25 00:00:00,59.84
2022-11-18 00:00:00,59.56
2022-11-11 00:00:00,60.11
2022-11-04 00:00:00,58.87
2022-10-28 00:00:00,58.58
2022-10-21 00:00:00,58.08
2022-10-14 00:00:00,61.32
2022-10-07 00:00:00,63.15
2022-09-30 00:00:00,63.32
2022-09-23 00:00:00,61.499
2022-09-16 00:00:00,62.739
2022-09-09 00:00:00,62.255
2022-09-02 00:00:00,63.71
2022-08-26 00:00:00,62.19
2022-08-19 00:00:00,62.26
2022-08-12 00:00:00,60.88
2022-08-05 00:00:00,59.72
2022-07-29 00:00:00,59.29
2022-07-22 00:00:00,60.31
2022-07-15 00:00:00,60.34
2022-07-08 00:00:00,60.41
2022-07-01 00:00:00,61.26
2022-06-24 00:00:00,61.7
2022-06-17 00:00:00,63.88
2022-06-10 00:00:00,62.25
2022-06-03 00:00:00,60.7
2022-05-27 00:00:00,61.26
2022-05-20 00:00:00,62.6
2022-05-13 00:00:00,60.93
2022-05-06 00:00:00,60.04
2022-04-29 00:00:00,59.09
2022-04-22 00:00:00,59.18
2022-04-15 00:00:00,59.09
2022-04-08 00:00:00,57.63
2022-04-01 00:00:00,59.67
2022-03-25 00:00:00,59.58
2022-03-18 00:00:00,59.19
2022-03-11 00:00:00,59.16
2022-03-04 00:00:00,58.92
2022-02-25 00:00:00,59.02
2022-02-18 00:00:00,57.88
2022-02-11 00:00:00,53.2
2022-01-28 00:00:00,57.79
2022-01-21 00:00:00,61.27
2022-01-14 00:00:00,61.99
2022-01-07 00:00:00,58.82
2021-12-31 00:00:00,59.79
2021-12-24 00:00:00,58.9
2021-12-17 00:00:00,58.9
2021-12-10 00:00:00,60.79
2021-12-03 00:00:00,57.98
2021-11-26 00:00:00,58.15
2021-11-19 00:00:00,58.23
2021-11-12 00:00:00,59.48
2021-11-05 00:00:00,60.47
2021-10-29 00:00:00,59.6
2021-10-22 00:00:00,58.95
