指标名称,焦炭：港口库存：中国（周）
指标编码,ID01001979
2026-01-09 00:00:00,184.1
2026-01-02 00:00:00,180.09
2025-12-26 00:00:00,178.2
2025-12-19 00:00:00,175.65
2025-12-12 00:00:00,181.2
2025-12-05 00:00:00,181.3
2025-11-28 00:00:00,187.4
2025-11-21 00:00:00,193.0
2025-11-14 00:00:00,198.8
2025-11-07 00:00:00,202.11
2025-10-31 00:00:00,211.1
2025-10-24 00:00:00,200.09
2025-10-17 00:00:00,195.15
2025-10-10 00:00:00,195.09
2025-10-03 00:00:00,194.09
2025-09-26 00:00:00,196.06
2025-09-19 00:00:00,204.1
2025-09-12 00:00:00,205.11
2025-09-05 00:00:00,205.06
2025-08-29 00:00:00,212.09
2025-08-22 00:00:00,214.62
2025-08-15 00:00:00,215.11
2025-08-08 00:00:00,218.15
2025-08-01 00:00:00,215.1
2025-07-25 00:00:00,198.13
2025-07-18 00:00:00,199.11
2025-07-11 00:00:00,200.08
2025-07-04 00:00:00,191.12
2025-06-27 00:00:00,200.09
2025-06-20 00:00:00,203.11
2025-06-13 00:00:00,203.09
2025-06-06 00:00:00,214.15
2025-05-30 00:00:00,217.18
2025-05-23 00:00:00,223.095
2025-05-16 00:00:00,225.11
2025-05-09 00:00:00,229.08
2025-05-02 00:00:00,238.12
2025-04-25 00:00:00,243.58
2025-04-18 00:00:00,246.1
2025-04-11 00:00:00,233.09
2025-04-04 00:00:00,217.13
2025-03-28 00:00:00,215.11
2025-03-21 00:00:00,208.1
2025-03-14 00:00:00,209.1
2025-03-07 00:00:00,200.13
2025-02-28 00:00:00,190.15
2025-02-21 00:00:00,193.12
2025-02-14 00:00:00,185.16
2025-02-07 00:00:00,177.2
2025-01-31 00:00:00,180.11
2025-01-24 00:00:00,178.61
2025-01-17 00:00:00,184.62
2025-01-10 00:00:00,181.19
2025-01-03 00:00:00,172.22
2024-12-27 00:00:00,168.68
2024-12-20 00:00:00,167.16
2024-12-13 00:00:00,166.18
2024-12-06 00:00:00,168.19
2024-11-29 00:00:00,172.22
2024-11-22 00:00:00,177.18
2024-11-15 00:00:00,172.2
2024-11-08 00:00:00,173.15
2024-11-01 00:00:00,178.15
2024-10-25 00:00:00,186.19
2024-10-18 00:00:00,180.23
2024-10-11 00:00:00,184.16
2024-10-04 00:00:00,188.2
2024-09-27 00:00:00,187.2
2024-09-20 00:00:00,190.15
2024-09-13 00:00:00,189.16
2024-09-06 00:00:00,181.2
2024-08-30 00:00:00,180.15
2024-08-23 00:00:00,191.21
2024-08-16 00:00:00,188.21
2024-08-09 00:00:00,189.22
2024-08-02 00:00:00,198.21
2024-07-26 00:00:00,197.73
