指标名称,动力煤：港口库存：55个港口（周）
指标编码,ID01027073
2026-01-09 00:00:00,6830.8
2026-01-02 00:00:00,6913.0
2025-12-26 00:00:00,7207.2
2025-12-19 00:00:00,7092.8
2025-12-12 00:00:00,7028.3
2025-12-05 00:00:00,6672.1
2025-11-28 00:00:00,6534.0
2025-11-21 00:00:00,6330.6
2025-11-14 00:00:00,6090.1
2025-11-07 00:00:00,6118.3
2025-10-31 00:00:00,6148.7
2025-10-24 00:00:00,6318.8
2025-10-17 00:00:00,6186.8
2025-10-10 00:00:00,6302.3
2025-10-03 00:00:00,5986.7
2025-09-26 00:00:00,5945.4
2025-09-19 00:00:00,5977.4
2025-09-12 00:00:00,6002.4
2025-09-05 00:00:00,6066.7
2025-08-29 00:00:00,6065.1
2025-08-22 00:00:00,6268.0
2025-08-15 00:00:00,6499.2
2025-08-08 00:00:00,6664.8
2025-08-01 00:00:00,6683.6
2025-07-25 00:00:00,6923.5
2025-07-18 00:00:00,6998.7
2025-07-11 00:00:00,7070.6
2025-07-04 00:00:00,7276.2
2025-06-27 00:00:00,7284.1
2025-06-20 00:00:00,7319.8
2025-06-13 00:00:00,7242.6
2025-06-06 00:00:00,7231.7
2025-05-30 00:00:00,7298.1
2025-05-23 00:00:00,7492.7
2025-05-16 00:00:00,7547.2
2025-05-09 00:00:00,7502.1
2025-05-02 00:00:00,7285.9
2025-04-25 00:00:00,7277.6
2025-04-18 00:00:00,7355.3
2025-04-11 00:00:00,7172.9
2025-04-04 00:00:00,7266.2
2025-03-28 00:00:00,7228.3
2025-03-21 00:00:00,7208.1
2025-03-14 00:00:00,7129.9
2025-03-07 00:00:00,7305.4
2025-02-28 00:00:00,7162.9
2025-02-21 00:00:00,7291.8
2025-02-14 00:00:00,7242.1
2025-02-07 00:00:00,7020.1
2025-01-31 00:00:00,6845.5
2025-01-24 00:00:00,6675.5
2025-01-17 00:00:00,6669.7
2025-01-10 00:00:00,6643.7
2025-01-03 00:00:00,6634.2
2024-12-27 00:00:00,6864.8
2024-12-20 00:00:00,7079.3
2024-12-13 00:00:00,7157.7
2024-12-06 00:00:00,7341.7
2024-11-29 00:00:00,7451.0
2024-11-22 00:00:00,7241.2
2024-11-15 00:00:00,7054.1
2024-11-08 00:00:00,6873.1
2024-11-01 00:00:00,6646.7
2024-10-25 00:00:00,6627.3
2024-10-18 00:00:00,6447.3
2024-10-11 00:00:00,6385.1
2024-10-04 00:00:00,6219.5
2024-09-27 00:00:00,6345.8
2024-09-20 00:00:00,6235.9
2024-09-13 00:00:00,6303.7
2024-09-06 00:00:00,6449.4
2024-08-30 00:00:00,6735.4
2024-08-23 00:00:00,6755.3
2024-08-16 00:00:00,6845.7
2024-08-09 00:00:00,6831.8
2024-08-02 00:00:00,6837.3
2024-07-26 00:00:00,6988.1
2024-07-19 00:00:00,7051.1
2024-07-12 00:00:00,7168.4
2024-07-05 00:00:00,7177.9
2024-06-28 00:00:00,7115.4
2024-06-21 00:00:00,7121.9
2024-06-14 00:00:00,6965.6
2024-06-07 00:00:00,6778.2
2024-05-31 00:00:00,6694.8
2024-05-24 00:00:00,6567.9
2024-05-17 00:00:00,6340.4
2024-05-10 00:00:00,6110.7
2024-05-03 00:00:00,5926.6
2024-04-26 00:00:00,5915.5
2024-04-19 00:00:00,5809.5
2024-04-12 00:00:00,5794.4
2024-04-05 00:00:00,5870.7
2024-03-29 00:00:00,5833.8
2024-03-22 00:00:00,5697.0
2024-03-15 00:00:00,5694.7
2024-03-08 00:00:00,5630.9
2024-03-01 00:00:00,5600.4
2024-02-23 00:00:00,5633.2
2024-02-16 00:00:00,5189.5
2024-02-09 00:00:00,5267.3
2024-02-02 00:00:00,5466.9
2024-01-26 00:00:00,5547.9
2024-01-19 00:00:00,5757.6
2024-01-12 00:00:00,5920.4
2024-01-05 00:00:00,6092.4
2023-12-29 00:00:00,6364.3
2023-12-22 00:00:00,6745.0
2023-12-15 00:00:00,6975.7
2023-12-08 00:00:00,6916.3
2023-12-01 00:00:00,6994.5
2023-11-24 00:00:00,6924.4
2023-11-17 00:00:00,6975.1
2023-11-10 00:00:00,6878.2
2023-11-03 00:00:00,6866.7
2023-10-27 00:00:00,6577.1
2023-10-20 00:00:00,6367.4
2023-10-13 00:00:00,6202.1
2023-10-06 00:00:00,6060.5
2023-09-29 00:00:00,5859.3
2023-09-22 00:00:00,5782.0
2023-09-15 00:00:00,5673.9
2023-09-08 00:00:00,5715.9
2023-09-01 00:00:00,5795.5
2023-08-25 00:00:00,5929.6
2023-08-18 00:00:00,6228.9
2023-08-11 00:00:00,6424.9
2023-08-04 00:00:00,6574.2
2023-07-28 00:00:00,6846.5
2023-07-21 00:00:00,7015.0
2023-07-14 00:00:00,7056.2
2023-07-07 00:00:00,7157.3
2023-06-30 00:00:00,7179.1
2023-06-23 00:00:00,7222.4
2023-06-16 00:00:00,7251.8
2023-06-09 00:00:00,7412.1
2023-06-02 00:00:00,7506.4
2023-05-26 00:00:00,7180.3
2023-05-19 00:00:00,6985.5
2023-05-12 00:00:00,6851.6
2023-05-05 00:00:00,6522.2
2023-04-28 00:00:00,6399.1
2023-04-21 00:00:00,6319.2
2023-04-14 00:00:00,6206.8
2023-04-07 00:00:00,6213.6
2023-03-31 00:00:00,5955.4
2023-03-24 00:00:00,5798.9
2023-03-17 00:00:00,5873.9
2023-03-10 00:00:00,5810.6
2023-03-03 00:00:00,5740.2
2023-02-24 00:00:00,5933.5
2023-02-17 00:00:00,6063.1
2023-02-10 00:00:00,6079.0
2023-02-03 00:00:00,5923.5
2023-01-27 00:00:00,5332.8
2023-01-20 00:00:00,5172.0
2023-01-13 00:00:00,5216.5
2023-01-06 00:00:00,5196.8
2022-12-30 00:00:00,5154.3
2022-12-23 00:00:00,5230.6
2022-12-16 00:00:00,5098.2
2022-12-09 00:00:00,5190.1
2022-12-02 00:00:00,5288.0
2022-11-25 00:00:00,5176.0
2022-11-18 00:00:00,4986.2
2022-11-11 00:00:00,4712.9
2022-11-04 00:00:00,4759.7
2022-10-28 00:00:00,4777.4
2022-10-21 00:00:00,4831.7
2022-10-14 00:00:00,5009.3
2022-10-07 00:00:00,5018.8
2022-09-30 00:00:00,4950.4
2022-09-23 00:00:00,4924.0
