指标名称,动力煤：发货量：大秦铁路（日）
指标编码,ID01027074
2026-01-11 00:00:00,110.07
2026-01-10 00:00:00,107.21
2026-01-09 00:00:00,85.05
2026-01-08 00:00:00,108.24
2026-01-07 00:00:00,110.21
2026-01-06 00:00:00,82.68
2026-01-05 00:00:00,100.23
2026-01-04 00:00:00,100.22
2026-01-03 00:00:00,90.27
2026-01-02 00:00:00,64.21
2026-01-01 00:00:00,87.57
2025-12-31 00:00:00,115.95
2025-12-30 00:00:00,115.09
2025-12-29 00:00:00,115.06
2025-12-28 00:00:00,115.12
2025-12-27 00:00:00,95.27
2025-12-26 00:00:00,85.16
2025-12-25 00:00:00,100.2
2025-12-24 00:00:00,100.39
2025-12-23 00:00:00,90.38
2025-12-22 00:00:00,115.16
2025-12-21 00:00:00,105.61
2025-12-20 00:00:00,115.12
2025-12-19 00:00:00,100.01
2025-12-18 00:00:00,115.12
2025-12-17 00:00:00,100.26
2025-12-16 00:00:00,105.29
2025-12-15 00:00:00,95.65
2025-12-14 00:00:00,95.65
2025-12-13 00:00:00,105.58
2025-12-12 00:00:00,100.09
2025-12-11 00:00:00,125.13
2025-12-10 00:00:00,125.75
2025-12-09 00:00:00,105.64
2025-12-08 00:00:00,120.14
2025-12-07 00:00:00,120.16
2025-12-06 00:00:00,110.22
2025-12-05 00:00:00,115.74
2025-12-04 00:00:00,125.07
2025-12-03 00:00:00,125.22
2025-12-02 00:00:00,130.12
2025-12-01 00:00:00,130.25
2025-11-30 00:00:00,130.37
2025-11-29 00:00:00,125.31
2025-11-28 00:00:00,105.58
2025-11-27 00:00:00,130.64
2025-11-26 00:00:00,130.38
2025-11-25 00:00:00,130.38
2025-11-24 00:00:00,130.14
2025-11-23 00:00:00,130.58
2025-11-22 00:00:00,130.56
2025-11-21 00:00:00,105.26
2025-11-20 00:00:00,120.38
2025-11-19 00:00:00,125.34
2025-11-18 00:00:00,130.09
2025-11-17 00:00:00,130.69
2025-11-16 00:00:00,130.28
2025-11-15 00:00:00,130.06
2025-11-14 00:00:00,105.43
2025-11-13 00:00:00,130.23
2025-11-12 00:00:00,130.13
2025-11-11 00:00:00,100.33
2025-11-10 00:00:00,127.63
2025-11-09 00:00:00,130.13
2025-11-08 00:00:00,130.11
2025-11-07 00:00:00,110.15
2025-11-06 00:00:00,130.19
2025-11-05 00:00:00,130.33
2025-11-04 00:00:00,110.07
2025-11-03 00:00:00,130.54
2025-11-02 00:00:00,130.33
2025-11-01 00:00:00,130.11
2025-10-31 00:00:00,130.5
2025-10-30 00:00:00,130.11
2025-10-29 00:00:00,110.2
2025-10-28 00:00:00,125.97
2025-10-27 00:00:00,120.19
2025-10-26 00:00:00,120.64
2025-10-25 00:00:00,100.03
2025-10-24 00:00:00,100.1
2025-10-23 00:00:00,100.2
2025-10-22 00:00:00,100.09
2025-10-21 00:00:00,100.57
2025-10-20 00:00:00,100.71
2025-10-19 00:00:00,100.67
2025-10-18 00:00:00,100.79
2025-10-17 00:00:00,100.06
2025-10-16 00:00:00,100.02
2025-10-15 00:00:00,91.11
2025-10-14 00:00:00,92.56
2025-10-13 00:00:00,93.4
2025-10-12 00:00:00,81.02
2025-10-11 00:00:00,80.99
2025-10-10 00:00:00,80.02
2025-10-09 00:00:00,100.01
2025-10-08 00:00:00,100.03
2025-10-07 00:00:00,100.02
2025-10-06 00:00:00,120.24
2025-10-05 00:00:00,95.07
2025-10-04 00:00:00,112.8
2025-10-03 00:00:00,123.11
2025-10-02 00:00:00,125.05
2025-10-01 00:00:00,115.09
2025-09-30 00:00:00,125.19
2025-09-29 00:00:00,125.31
2025-09-28 00:00:00,125.26
2025-09-27 00:00:00,125.16
2025-09-26 00:00:00,100.1
2025-09-25 00:00:00,110.33
2025-09-24 00:00:00,120.28
2025-09-23 00:00:00,87.55
2025-09-22 00:00:00,114.52
2025-09-21 00:00:00,115.5
2025-09-20 00:00:00,105.33
2025-09-19 00:00:00,95.09
2025-09-18 00:00:00,105.89
2025-09-17 00:00:00,102.43
2025-09-16 00:00:00,90.4
2025-09-15 00:00:00,110.13
2025-09-14 00:00:00,110.18
2025-09-13 00:00:00,120.15
2025-09-12 00:00:00,118.62
2025-09-11 00:00:00,120.47
2025-09-10 00:00:00,100.27
2025-09-09 00:00:00,100.69
2025-09-08 00:00:00,110.69
2025-09-07 00:00:00,105.75
2025-09-06 00:00:00,111.97
2025-09-05 00:00:00,90.5
2025-09-04 00:00:00,115.13
2025-09-03 00:00:00,125.43
2025-09-02 00:00:00,100.75
2025-09-01 00:00:00,115.72
2025-08-31 00:00:00,113.22
2025-08-30 00:00:00,115.08
2025-08-29 00:00:00,80.0
2025-08-28 00:00:00,110.41
