指标名称,焦炭：全样本：独立焦化企业：产能利用率：中国（周）
指标编码,ID01109370
2026-01-09 00:00:00,72.69
2026-01-02 00:00:00,71.72
2025-12-26 00:00:00,71.66
2025-12-19 00:00:00,72.05
2025-12-12 00:00:00,73.16
2025-12-05 00:00:00,73.84
2025-11-28 00:00:00,72.95
2025-11-21 00:00:00,71.71
2025-11-14 00:00:00,71.64
2025-11-07 00:00:00,72.31
2025-10-31 00:00:00,73.44
2025-10-24 00:00:00,73.47
2025-10-17 00:00:00,74.24
2025-10-10 00:00:00,75.18
2025-10-03 00:00:00,75.13
2025-09-26 00:00:00,75.43
2025-09-19 00:00:00,75.87
2025-09-12 00:00:00,75.92
2025-09-05 00:00:00,73.14
2025-08-29 00:00:00,73.36
2025-08-22 00:00:00,74.42
2025-08-15 00:00:00,74.34
2025-08-08 00:00:00,74.03
2025-08-01 00:00:00,73.69
2025-07-25 00:00:00,73.45
2025-07-18 00:00:00,73.01
2025-07-11 00:00:00,72.87
2025-07-04 00:00:00,73.17
2025-06-27 00:00:00,73.35
2025-06-20 00:00:00,73.57
2025-06-13 00:00:00,73.96
2025-06-06 00:00:00,75.36
2025-05-30 00:00:00,75.66
2025-05-23 00:00:00,75.87
2025-05-16 00:00:00,75.7
2025-05-09 00:00:00,75.44
2025-05-02 00:00:00,75.56
2025-04-25 00:00:00,75.36
2025-04-18 00:00:00,73.51
2025-04-11 00:00:00,72.96
2025-04-04 00:00:00,72.68
2025-03-28 00:00:00,71.9
2025-03-21 00:00:00,71.54
2025-03-14 00:00:00,70.03
2025-03-07 00:00:00,70.88
2025-02-28 00:00:00,71.61
2025-02-21 00:00:00,72.36
2025-02-14 00:00:00,73.0
2025-02-07 00:00:00,73.03
2025-01-31 00:00:00,73.11
2025-01-24 00:00:00,72.62
2025-01-17 00:00:00,73.41
2025-01-10 00:00:00,73.15
2025-01-03 00:00:00,73.25
2024-12-27 00:00:00,73.1
2024-12-20 00:00:00,73.02
2024-12-13 00:00:00,74.02
2024-12-06 00:00:00,73.89
2024-11-29 00:00:00,73.79
2024-11-22 00:00:00,73.68
2024-11-15 00:00:00,73.15
2024-11-08 00:00:00,73.49
2024-11-01 00:00:00,73.68
2024-10-25 00:00:00,73.96
2024-10-18 00:00:00,74.24
2024-10-11 00:00:00,73.52
2024-10-04 00:00:00,71.41
2024-09-27 00:00:00,69.65
2024-09-20 00:00:00,69.05
2024-09-13 00:00:00,69.18
2024-09-06 00:00:00,69.48
2024-08-30 00:00:00,69.62
2024-08-23 00:00:00,72.14
2024-08-16 00:00:00,72.83
2024-08-09 00:00:00,73.72
2024-08-02 00:00:00,74.2
2024-07-26 00:00:00,74.12
2024-07-19 00:00:00,74.53
2024-07-12 00:00:00,74.34
2024-07-05 00:00:00,74.03
2024-06-28 00:00:00,72.96
2024-06-21 00:00:00,72.68
2024-06-14 00:00:00,72.84
2024-06-07 00:00:00,72.71
2024-05-31 00:00:00,72.23
2024-05-24 00:00:00,72.23
2024-05-17 00:00:00,72.01
2024-05-10 00:00:00,71.07
2024-05-03 00:00:00,66.91
2024-04-26 00:00:00,64.97
2024-04-19 00:00:00,64.42
2024-04-12 00:00:00,63.87
2024-04-05 00:00:00,64.63
2024-03-29 00:00:00,64.67
2024-03-22 00:00:00,65.18
2024-03-15 00:00:00,66.22
2024-03-08 00:00:00,67.39
2024-03-01 00:00:00,67.68
2024-02-23 00:00:00,70.07
2024-02-16 00:00:00,70.72
2024-02-09 00:00:00,70.69
2024-02-02 00:00:00,71.1
2024-01-26 00:00:00,72.08
2024-01-19 00:00:00,71.58
2024-01-12 00:00:00,74.68
2024-01-05 00:00:00,76.08
2023-12-29 00:00:00,74.71
2023-12-22 00:00:00,76.11
2023-12-15 00:00:00,74.49
2023-12-08 00:00:00,75.1
2023-12-01 00:00:00,75.02
2023-11-24 00:00:00,74.61
2023-11-17 00:00:00,75.62
2023-11-10 00:00:00,76.28
2023-11-03 00:00:00,75.74
2023-10-27 00:00:00,75.22
2023-10-20 00:00:00,75.32
2023-10-13 00:00:00,76.55
2023-10-06 00:00:00,76.5
2023-09-29 00:00:00,76.38
2023-09-22 00:00:00,76.75
2023-09-15 00:00:00,77.04
2023-09-08 00:00:00,77.5
2023-09-01 00:00:00,77.6
2023-08-25 00:00:00,76.45
2023-08-18 00:00:00,75.55
2023-08-11 00:00:00,74.92
2023-08-04 00:00:00,74.26
2023-07-28 00:00:00,73.25
2023-07-21 00:00:00,73.75
2023-07-14 00:00:00,74.46
2023-07-07 00:00:00,73.78
2023-06-30 00:00:00,73.54
2023-06-23 00:00:00,74.37
2023-06-16 00:00:00,74.2
2023-06-09 00:00:00,74.05
2023-06-02 00:00:00,73.8
2023-05-26 00:00:00,73.59
2023-05-19 00:00:00,73.62
2023-05-12 00:00:00,74.38
2023-05-05 00:00:00,75.2
2023-04-28 00:00:00,76.23
2023-04-21 00:00:00,76.7
2023-04-14 00:00:00,76.19
2023-04-07 00:00:00,74.38
2023-03-31 00:00:00,73.9
2023-03-24 00:00:00,73.21
2023-03-17 00:00:00,72.73
2023-03-10 00:00:00,72.35
2023-03-03 00:00:00,72.47
2023-02-24 00:00:00,72.56
2023-02-17 00:00:00,72.34
2023-02-10 00:00:00,72.42
2023-02-03 00:00:00,72.37
2023-01-27 00:00:00,71.94
2023-01-20 00:00:00,71.76
2023-01-13 00:00:00,71.96
2023-01-06 00:00:00,72.84
2022-12-30 00:00:00,71.71
2022-12-23 00:00:00,71.18
2022-12-16 00:00:00,70.64
2022-12-09 00:00:00,66.52
2022-12-02 00:00:00,64.72
2022-11-25 00:00:00,65.22
2022-11-18 00:00:00,65.36
2022-11-11 00:00:00,64.72
2022-11-04 00:00:00,66.09
2022-10-28 00:00:00,67.25
2022-10-21 00:00:00,67.2
2022-10-14 00:00:00,70.35
2022-10-07 00:00:00,74.68
2022-09-30 00:00:00,73.89
2022-09-23 00:00:00,75.1
2022-09-16 00:00:00,76.23
2022-09-09 00:00:00,76.59
2022-09-02 00:00:00,74.88
2022-08-26 00:00:00,73.16
2022-08-19 00:00:00,71.48
2022-08-12 00:00:00,68.56
2022-08-05 00:00:00,64.53
2022-07-29 00:00:00,63.42
2022-07-22 00:00:00,66.08
2022-07-15 00:00:00,71.98
2022-07-08 00:00:00,73.73
2022-07-01 00:00:00,75.86
2022-06-24 00:00:00,76.97
2022-06-17 00:00:00,81.41
2022-06-10 00:00:00,80.14
2022-06-03 00:00:00,80.33
2022-05-27 00:00:00,80.67
2022-05-20 00:00:00,82.16
2022-05-13 00:00:00,82.03
2022-05-06 00:00:00,79.97
2022-04-29 00:00:00,78.65
2022-04-22 00:00:00,76.56
2022-04-15 00:00:00,74.96
2022-04-08 00:00:00,77.62
2022-04-01 00:00:00,77.12
2022-03-25 00:00:00,77.03
2022-03-18 00:00:00,75.76
2022-03-11 00:00:00,73.36
2022-03-04 00:00:00,73.19
2022-02-25 00:00:00,71.51
2022-02-18 00:00:00,66.69
2022-02-11 00:00:00,68.56
2022-02-04 00:00:00,71.63
2022-01-28 00:00:00,75.14
2022-01-21 00:00:00,75.95
2022-01-14 00:00:00,73.66
2022-01-07 00:00:00,71.6
2021-12-31 00:00:00,70.01
2021-12-24 00:00:00,69.32
2021-12-17 00:00:00,69.85
2021-12-10 00:00:00,68.86
2021-12-03 00:00:00,68.08
2021-11-26 00:00:00,67.3
2021-11-19 00:00:00,67.19
2021-11-12 00:00:00,71.67
2021-11-05 00:00:00,72.31
2021-10-29 00:00:00,72.71
2021-10-22 00:00:00,74.18
2021-10-15 00:00:00,74.38
2021-10-08 00:00:00,75.75
2021-10-01 00:00:00,75.27
2021-09-24 00:00:00,75.5
2021-09-17 00:00:00,74.85
2021-09-10 00:00:00,77.49
2021-09-03 00:00:00,80.79
2021-08-27 00:00:00,81.7
2021-08-20 00:00:00,81.93
2021-08-13 00:00:00,82.1
2021-08-06 00:00:00,81.54
2021-07-30 00:00:00,80.97
2021-07-23 00:00:00,82.96
2021-07-16 00:00:00,84.79
2021-07-09 00:00:00,84.29
2021-07-02 00:00:00,76.96
2021-06-25 00:00:00,86.74
2021-06-18 00:00:00,87.98
2021-06-11 00:00:00,88.31
2021-06-04 00:00:00,88.82
2021-05-28 00:00:00,88.37
2021-05-21 00:00:00,88.28
2021-05-14 00:00:00,87.13
2021-05-07 00:00:00,83.9
