指标名称,焦炭：全样本：独立焦化企业：库存：中国（周）
指标编码,ID01109371
2026-01-09 00:00:00,86.07
2026-01-02 00:00:00,91.6
2025-12-26 00:00:00,92.24
2025-12-19 00:00:00,91.1
2025-12-12 00:00:00,87.32
2025-12-05 00:00:00,76.44
2025-11-28 00:00:00,71.76
2025-11-21 00:00:00,65.29
2025-11-14 00:00:00,58.15
2025-11-07 00:00:00,58.3
2025-10-31 00:00:00,59.87
2025-10-24 00:00:00,58.64
2025-10-17 00:00:00,57.29
2025-10-10 00:00:00,63.84
2025-10-03 00:00:00,62.31
2025-09-26 00:00:00,63.04
2025-09-19 00:00:00,66.41
2025-09-12 00:00:00,67.84
2025-09-05 00:00:00,66.51
2025-08-29 00:00:00,65.31
2025-08-22 00:00:00,64.37
2025-08-15 00:00:00,62.51
2025-08-08 00:00:00,69.73
2025-08-01 00:00:00,73.62
2025-07-25 00:00:00,80.12
2025-07-18 00:00:00,87.55
2025-07-11 00:00:00,93.08
2025-07-04 00:00:00,102.1
2025-06-27 00:00:00,113.03
2025-06-20 00:00:00,115.58
2025-06-13 00:00:00,125.71
2025-06-06 00:00:00,127.01
2025-05-30 00:00:00,111.38
2025-05-23 00:00:00,103.25
2025-05-16 00:00:00,94.31
2025-05-09 00:00:00,94.44
2025-05-02 00:00:00,98.96
2025-04-25 00:00:00,104.87
2025-04-18 00:00:00,107.26
2025-04-11 00:00:00,107.3
2025-04-04 00:00:00,117.47
2025-03-28 00:00:00,129.99
2025-03-21 00:00:00,134.95
2025-03-14 00:00:00,147.26
2025-03-07 00:00:00,154.12
2025-02-28 00:00:00,163.26
2025-02-21 00:00:00,167.26
2025-02-14 00:00:00,157.68
2025-02-07 00:00:00,156.66
2025-01-31 00:00:00,143.3
2025-01-24 00:00:00,115.66
2025-01-17 00:00:00,111.33
2025-01-10 00:00:00,102.81
2025-01-03 00:00:00,93.28
2024-12-27 00:00:00,91.14
2024-12-20 00:00:00,87.6
2024-12-13 00:00:00,84.44
2024-12-06 00:00:00,85.5
2024-11-29 00:00:00,85.57
2024-11-22 00:00:00,79.47
2024-11-15 00:00:00,77.25
2024-11-08 00:00:00,83.66
