指标名称,炼焦煤：全样本：独立焦化企业：库存：中国（周）
指标编码,ID01109372
2026-01-09 00:00:00,1071.68
2026-01-02 00:00:00,1052.5
2025-12-26 00:00:00,1039.72
2025-12-19 00:00:00,1036.29
2025-12-12 00:00:00,1037.3
2025-12-05 00:00:00,1009.2
2025-11-28 00:00:00,1010.3
2025-11-21 00:00:00,1038.19
2025-11-14 00:00:00,1068.97
2025-11-07 00:00:00,1070.02
2025-10-31 00:00:00,1052.48
2025-10-24 00:00:00,1029.7
2025-10-17 00:00:00,997.37
2025-10-10 00:00:00,959.06
2025-10-03 00:00:00,1037.71
2025-09-26 00:00:00,999.07
2025-09-19 00:00:00,940.41
2025-09-12 00:00:00,883.54
2025-09-05 00:00:00,920.05
2025-08-29 00:00:00,961.27
2025-08-22 00:00:00,966.41
2025-08-15 00:00:00,976.88
2025-08-08 00:00:00,987.92
2025-08-01 00:00:00,992.73
2025-07-25 00:00:00,985.38
2025-07-18 00:00:00,929.11
2025-07-11 00:00:00,892.35
2025-07-04 00:00:00,848.18
2025-06-27 00:00:00,808.98
2025-06-20 00:00:00,795.79
2025-06-13 00:00:00,798.07
2025-06-06 00:00:00,818.92
2025-05-30 00:00:00,846.33
2025-05-23 00:00:00,865.73
2025-05-16 00:00:00,884.93
2025-05-09 00:00:00,916.62
2025-05-02 00:00:00,959.28
2025-04-25 00:00:00,968.96
2025-04-18 00:00:00,976.13
2025-04-11 00:00:00,965.69
2025-04-04 00:00:00,951.59
2025-03-28 00:00:00,862.88
2025-03-21 00:00:00,822.22
2025-03-14 00:00:00,780.51
2025-03-07 00:00:00,788.13
2025-02-28 00:00:00,799.08
2025-02-21 00:00:00,817.52
2025-02-14 00:00:00,879.45
2025-02-07 00:00:00,967.93
2025-01-31 00:00:00,1047.97
2025-01-24 00:00:00,1230.37
2025-01-17 00:00:00,1158.41
2025-01-10 00:00:00,1073.51
2025-01-03 00:00:00,1054.03
2024-12-27 00:00:00,1054.55
2024-12-20 00:00:00,1062.25
2024-12-13 00:00:00,1039.68
2024-12-06 00:00:00,1001.94
2024-11-29 00:00:00,972.37
2024-11-22 00:00:00,916.57
2024-11-15 00:00:00,904.34
2024-11-08 00:00:00,903.78
2024-11-01 00:00:00,913.71
2024-10-25 00:00:00,923.29
2024-10-18 00:00:00,957.46
2024-10-11 00:00:00,935.17
2024-10-04 00:00:00,902.28
2024-09-27 00:00:00,940.08
2024-09-20 00:00:00,871.19
2024-09-13 00:00:00,847.03
2024-09-06 00:00:00,854.14
2024-08-30 00:00:00,851.69
2024-08-23 00:00:00,802.7
2024-08-16 00:00:00,811.11
2024-08-09 00:00:00,844.41
2024-08-02 00:00:00,893.95
2024-07-26 00:00:00,904.28
2024-07-19 00:00:00,941.6
2024-07-12 00:00:00,947.02
2024-07-05 00:00:00,928.3
2024-06-28 00:00:00,912.26
2024-06-21 00:00:00,922.03
2024-06-14 00:00:00,925.93
2024-06-07 00:00:00,947.25
2024-05-31 00:00:00,945.53
2024-05-24 00:00:00,954.27
2024-05-17 00:00:00,953.57
2024-05-10 00:00:00,939.54
2024-05-03 00:00:00,903.53
2024-04-26 00:00:00,894.09
2024-04-19 00:00:00,815.46
2024-04-12 00:00:00,786.31
2024-04-05 00:00:00,812.76
2024-03-29 00:00:00,829.78
2024-03-22 00:00:00,846.99
2024-03-15 00:00:00,875.62
2024-03-08 00:00:00,932.37
2024-03-01 00:00:00,970.59
2024-02-23 00:00:00,1061.5
2024-02-16 00:00:00,1228.63
2024-02-09 00:00:00,1437.19
2024-02-02 00:00:00,1415.83
2024-01-26 00:00:00,1286.37
2024-01-19 00:00:00,1194.16
2024-01-12 00:00:00,1185.33
2024-01-05 00:00:00,1189.59
2023-12-29 00:00:00,1106.33
2023-12-22 00:00:00,1093.51
2023-12-15 00:00:00,1082.61
2023-12-08 00:00:00,1069.9
2023-12-01 00:00:00,1049.18
2023-11-24 00:00:00,1012.15
2023-11-17 00:00:00,988.56
2023-11-10 00:00:00,952.24
2023-11-03 00:00:00,925.84
2023-10-27 00:00:00,940.62
2023-10-20 00:00:00,952.72
2023-10-13 00:00:00,949.92
2023-10-06 00:00:00,955.35
2023-09-29 00:00:00,965.43
2023-09-22 00:00:00,933.67
2023-09-15 00:00:00,910.68
2023-09-08 00:00:00,880.61
2023-09-01 00:00:00,878.65
2023-08-25 00:00:00,892.01
2023-08-18 00:00:00,923.48
2023-08-11 00:00:00,915.31
2023-08-04 00:00:00,897.01
2023-07-28 00:00:00,880.34
2023-07-21 00:00:00,857.88
2023-07-14 00:00:00,832.97
2023-07-07 00:00:00,845.54
2023-06-30 00:00:00,832.67
2023-06-23 00:00:00,802.41
2023-06-16 00:00:00,780.07
2023-06-09 00:00:00,767.34
2023-06-02 00:00:00,772.51
2023-05-26 00:00:00,769.31
2023-05-19 00:00:00,751.66
2023-05-12 00:00:00,762.75
2023-05-05 00:00:00,816.68
2023-04-28 00:00:00,821.35
2023-04-21 00:00:00,853.69
2023-04-14 00:00:00,895.03
2023-04-07 00:00:00,893.7
2023-03-31 00:00:00,940.04
2023-03-24 00:00:00,966.4
2023-03-17 00:00:00,993.96
2023-03-10 00:00:00,985.61
2023-03-03 00:00:00,980.23
2023-02-24 00:00:00,969.51
2023-02-17 00:00:00,958.88
2023-02-10 00:00:00,971.27
2023-02-03 00:00:00,1006.01
2023-01-27 00:00:00,1069.74
2023-01-20 00:00:00,1255.5
2023-01-13 00:00:00,1250.69
2023-01-06 00:00:00,1184.98
2022-12-30 00:00:00,1159.41
2022-12-23 00:00:00,1133.38
2022-12-16 00:00:00,1075.59
2022-12-09 00:00:00,1031.0
2022-12-02 00:00:00,994.34
2022-11-25 00:00:00,977.78
2022-11-18 00:00:00,938.24
2022-11-11 00:00:00,913.98
2022-11-04 00:00:00,955.98
2022-10-28 00:00:00,995.54
2022-10-21 00:00:00,1012.44
2022-10-14 00:00:00,1038.69
2022-10-07 00:00:00,1082.45
2022-09-30 00:00:00,1077.54
2022-09-23 00:00:00,1051.56
2022-09-16 00:00:00,1012.49
2022-09-09 00:00:00,991.69
2022-09-02 00:00:00,992.37
2022-08-26 00:00:00,980.21
2022-08-19 00:00:00,954.78
2022-08-12 00:00:00,902.89
2022-08-05 00:00:00,860.53
2022-07-29 00:00:00,819.43
2022-07-22 00:00:00,864.62
2022-07-15 00:00:00,945.73
2022-07-08 00:00:00,1014.81
2022-07-01 00:00:00,1073.76
2022-06-24 00:00:00,1092.76
2022-06-17 00:00:00,1152.4
2022-06-10 00:00:00,1146.07
2022-06-03 00:00:00,1130.37
2022-05-27 00:00:00,1113.18
2022-05-20 00:00:00,1168.41
2022-05-13 00:00:00,1199.33
2022-05-06 00:00:00,1223.85
2022-04-29 00:00:00,1221.88
2022-04-22 00:00:00,1195.26
2022-04-15 00:00:00,1181.98
2022-04-08 00:00:00,1240.8
2022-04-01 00:00:00,1277.05
2022-03-25 00:00:00,1282.1
2022-03-18 00:00:00,1302.03
2022-03-11 00:00:00,1285.48
2022-03-04 00:00:00,1282.6
2022-02-25 00:00:00,1280.21
2022-02-18 00:00:00,1293.9
2022-02-11 00:00:00,1355.92
2022-02-04 00:00:00,1479.58
2022-01-28 00:00:00,1590.26
2022-01-21 00:00:00,1553.46
2022-01-14 00:00:00,1474.18
2022-01-07 00:00:00,1369.07
2021-12-31 00:00:00,1297.57
2021-12-24 00:00:00,1247.1
2021-12-17 00:00:00,1204.54
2021-12-10 00:00:00,1150.87
2021-12-03 00:00:00,1123.5
2021-11-26 00:00:00,1157.74
2021-11-19 00:00:00,1221.8
2021-11-12 00:00:00,1290.02
2021-11-05 00:00:00,1324.55
2021-10-29 00:00:00,1330.75
2021-10-22 00:00:00,1334.1
2021-10-15 00:00:00,1346.57
2021-10-08 00:00:00,1369.23
2021-10-01 00:00:00,1400.14
2021-09-24 00:00:00,1374.83
2021-09-17 00:00:00,1379.14
2021-09-10 00:00:00,1355.23
2021-09-03 00:00:00,1329.56
2021-08-27 00:00:00,1333.16
2021-08-20 00:00:00,1332.29
2021-08-13 00:00:00,1365.3
2021-08-06 00:00:00,1404.63
2021-07-30 00:00:00,1453.25
2021-07-23 00:00:00,1491.04
2021-07-16 00:00:00,1506.25
2021-07-09 00:00:00,1545.84
2021-07-02 00:00:00,1569.22
2021-06-25 00:00:00,1595.44
2021-06-18 00:00:00,1648.31
2021-06-11 00:00:00,1663.07
2021-06-04 00:00:00,1650.72
2021-05-28 00:00:00,1636.29
2021-05-21 00:00:00,1627.95
2021-05-14 00:00:00,1603.64
2021-05-07 00:00:00,1638.46
2021-04-30 00:00:00,1631.86
2021-04-23 00:00:00,1611.08
2021-04-16 00:00:00,1630.81
2021-04-09 00:00:00,1627.43
2021-04-02 00:00:00,1635.68
2021-03-26 00:00:00,1688.0
2021-03-19 00:00:00,1727.09
2021-03-12 00:00:00,1774.37
2021-03-05 00:00:00,1847.32
2021-02-26 00:00:00,1945.78
2021-02-19 00:00:00,2033.33
2021-02-05 00:00:00,2286.96
2021-01-29 00:00:00,2213.11
2021-01-22 00:00:00,2137.62
2021-01-15 00:00:00,2107.15
2021-01-08 00:00:00,2100.49
2021-01-01 00:00:00,2108.4
2020-12-25 00:00:00,2042.22
2020-12-18 00:00:00,2021.17
2020-12-11 00:00:00,2048.19
2020-12-04 00:00:00,2050.54
2020-11-27 00:00:00,2034.83
2020-11-20 00:00:00,2033.67
2020-11-13 00:00:00,2002.56
2020-11-06 00:00:00,1954.39
2020-10-30 00:00:00,1920.31
2020-10-23 00:00:00,1854.42
2020-10-16 00:00:00,1810.06
2020-10-09 00:00:00,1790.72
2020-10-02 00:00:00,1808.71
2020-09-25 00:00:00,1763.15
2020-09-18 00:00:00,1753.35
2020-09-11 00:00:00,1740.73
2020-09-04 00:00:00,1738.51
2020-08-28 00:00:00,1728.05
2020-08-21 00:00:00,1723.64
2020-08-14 00:00:00,1682.95
2020-08-07 00:00:00,1691.73
2020-07-31 00:00:00,1702.19
2020-07-24 00:00:00,1679.06
2020-07-17 00:00:00,1685.93
2020-07-10 00:00:00,1702.05
2020-07-03 00:00:00,1698.91
2020-06-26 00:00:00,1648.02
2020-06-19 00:00:00,1636.87
2020-06-12 00:00:00,1602.87
2020-06-05 00:00:00,1577.77
2020-05-29 00:00:00,1547.84
2020-05-22 00:00:00,1502.34
2020-05-15 00:00:00,1451.27
2020-05-08 00:00:00,1434.79
2020-05-01 00:00:00,1417.27
2020-04-24 00:00:00,1395.31
2020-04-17 00:00:00,1346.38
2020-04-10 00:00:00,1335.92
2020-04-03 00:00:00,1354.19
2020-03-27 00:00:00,1359.32
2020-03-20 00:00:00,1370.1
2020-03-13 00:00:00,1375.16
2020-03-06 00:00:00,1360.3
2020-02-28 00:00:00,1342.51
2020-02-21 00:00:00,1307.29
2020-02-14 00:00:00,1317.1
2020-02-07 00:00:00,1448.74
2020-01-31 00:00:00,1586.14
2020-01-24 00:00:00,1898.84
2020-01-17 00:00:00,1868.4
2020-01-10 00:00:00,1846.85
2020-01-03 00:00:00,1799.04
2019-12-27 00:00:00,1750.75
2019-12-20 00:00:00,1717.55
2019-12-13 00:00:00,1718.43
2019-12-06 00:00:00,1685.34
2019-11-29 00:00:00,1650.93
2019-11-22 00:00:00,1639.35
2019-11-15 00:00:00,1654.03
2019-11-08 00:00:00,1656.93
2019-11-01 00:00:00,1677.0
2019-10-25 00:00:00,1668.8
2019-10-18 00:00:00,1636.2
2019-10-11 00:00:00,1607.65
2019-10-04 00:00:00,1605.19
2019-09-27 00:00:00,1610.3
2019-09-20 00:00:00,1609.12
2019-09-13 00:00:00,1628.75
2019-09-06 00:00:00,1600.86
2019-08-30 00:00:00,1589.05
2019-08-23 00:00:00,1599.96
2019-08-16 00:00:00,1604.7
2019-08-09 00:00:00,1594.45
2019-08-02 00:00:00,1589.35
2019-07-26 00:00:00,1582.14
2019-07-19 00:00:00,1592.91
2019-07-12 00:00:00,1585.96
2019-07-05 00:00:00,1588.95
2019-06-28 00:00:00,1589.43
2019-06-21 00:00:00,1613.79
2019-06-14 00:00:00,1623.95
2019-06-07 00:00:00,1628.2
2019-05-31 00:00:00,1615.01
2019-05-24 00:00:00,1611.71
2019-05-17 00:00:00,1598.61
2019-05-10 00:00:00,1563.75
2019-05-03 00:00:00,1573.36
2019-04-26 00:00:00,1579.73
2019-04-19 00:00:00,1568.74
2019-04-12 00:00:00,1565.57
2019-04-05 00:00:00,1588.87
2019-03-29 00:00:00,1609.05
2019-03-22 00:00:00,1605.81
2019-03-15 00:00:00,1635.54
2019-03-08 00:00:00,1646.09
2019-03-01 00:00:00,1658.3
2019-02-22 00:00:00,1675.8
2019-02-15 00:00:00,1739.56
2019-02-08 00:00:00,1848.28
2019-02-01 00:00:00,2080.28
2019-01-25 00:00:00,2013.97
2019-01-18 00:00:00,1968.15
2019-01-11 00:00:00,1964.95
2019-01-04 00:00:00,1928.46
2018-12-28 00:00:00,1901.38
2018-12-21 00:00:00,1812.82
2018-12-14 00:00:00,1788.69
2018-12-07 00:00:00,1764.77
2018-11-30 00:00:00,1758.46
2018-11-23 00:00:00,1710.17
2018-11-16 00:00:00,1654.34
2018-11-09 00:00:00,1635.6
2018-11-02 00:00:00,1624.71
2018-10-26 00:00:00,1609.61
2018-10-19 00:00:00,1616.22
2018-10-12 00:00:00,1606.53
2018-10-05 00:00:00,1544.68
2018-09-28 00:00:00,1538.83
2018-09-21 00:00:00,1517.9
2018-09-14 00:00:00,1487.52
2018-09-07 00:00:00,1457.58
2018-08-31 00:00:00,1440.24
2018-08-24 00:00:00,1411.17
2018-08-17 00:00:00,1412.78
