指标名称,冶金焦：全样本：独立焦化企业：日均产量：中国（周）
指标编码,ID01109373
2026-01-09 00:00:00,63.57
2026-01-02 00:00:00,62.72
2025-12-26 00:00:00,62.67
2025-12-19 00:00:00,63.0
2025-12-12 00:00:00,63.98
2025-12-05 00:00:00,64.53
2025-11-28 00:00:00,63.76
2025-11-21 00:00:00,62.67
2025-11-14 00:00:00,63.0
2025-11-07 00:00:00,63.59
2025-10-31 00:00:00,64.59
2025-10-24 00:00:00,64.61
2025-10-17 00:00:00,65.29
2025-10-10 00:00:00,66.12
2025-10-03 00:00:00,66.08
2025-09-26 00:00:00,66.34
2025-09-19 00:00:00,66.72
2025-09-12 00:00:00,66.76
2025-09-05 00:00:00,64.32
2025-08-29 00:00:00,64.52
2025-08-22 00:00:00,65.45
2025-08-15 00:00:00,65.38
2025-08-08 00:00:00,65.1
2025-08-01 00:00:00,64.81
2025-07-25 00:00:00,64.6
2025-07-18 00:00:00,64.21
2025-07-11 00:00:00,64.08
2025-07-04 00:00:00,64.35
2025-06-27 00:00:00,64.51
2025-06-20 00:00:00,64.7
2025-06-13 00:00:00,65.04
2025-06-06 00:00:00,66.52
2025-05-30 00:00:00,66.79
2025-05-23 00:00:00,67.3
2025-05-16 00:00:00,67.15
2025-05-09 00:00:00,66.92
2025-05-02 00:00:00,67.03
2025-04-25 00:00:00,66.85
2025-04-18 00:00:00,65.33
2025-04-11 00:00:00,64.84
2025-04-04 00:00:00,64.83
2025-03-28 00:00:00,64.13
2025-03-21 00:00:00,63.81
2025-03-14 00:00:00,62.46
2025-03-07 00:00:00,63.23
2025-02-28 00:00:00,63.88
2025-02-21 00:00:00,64.55
2025-02-14 00:00:00,65.0
2025-02-07 00:00:00,65.03
2025-01-31 00:00:00,65.1
2025-01-24 00:00:00,64.67
2025-01-17 00:00:00,65.45
2025-01-10 00:00:00,65.22
2025-01-03 00:00:00,65.94
2024-12-27 00:00:00,65.8
2024-12-20 00:00:00,65.76
2024-12-13 00:00:00,66.66
2024-12-06 00:00:00,66.81
2024-11-29 00:00:00,66.72
2024-11-22 00:00:00,66.62
2024-11-15 00:00:00,66.14
2024-11-08 00:00:00,66.45
2024-11-01 00:00:00,66.62
2024-10-25 00:00:00,66.87
2024-10-18 00:00:00,67.13
2024-10-11 00:00:00,66.47
2024-10-04 00:00:00,64.56
2024-09-27 00:00:00,63.55
2024-09-20 00:00:00,63.19
2024-09-13 00:00:00,63.31
2024-09-06 00:00:00,63.43
2024-08-30 00:00:00,63.75
2024-08-23 00:00:00,66.06
2024-08-16 00:00:00,66.69
2024-08-09 00:00:00,67.5
2024-08-02 00:00:00,67.99
2024-07-26 00:00:00,68.32
2024-07-19 00:00:00,68.69
2024-07-12 00:00:00,68.93
2024-07-05 00:00:00,68.17
2024-06-28 00:00:00,67.18
2024-06-21 00:00:00,66.93
2024-06-14 00:00:00,67.07
2024-06-07 00:00:00,66.95
2024-05-31 00:00:00,66.51
2024-05-24 00:00:00,66.51
2024-05-17 00:00:00,66.31
2024-05-10 00:00:00,65.44
2024-05-03 00:00:00,61.61
2024-04-26 00:00:00,59.83
2024-04-19 00:00:00,59.46
