指标名称,炼焦煤：247家钢铁企业：库存可用天数：中国（周）
指标编码,ID01109375
2026-01-09 00:00:00,12.8
2026-01-02 00:00:00,12.88
2025-12-26 00:00:00,12.96
2025-12-19 00:00:00,13.02
2025-12-12 00:00:00,12.82
2025-12-05 00:00:00,12.88
2025-11-28 00:00:00,13.01
2025-11-21 00:00:00,12.97
2025-11-14 00:00:00,12.87
2025-11-07 00:00:00,12.84
2025-10-31 00:00:00,12.96
2025-10-24 00:00:00,12.77
2025-10-17 00:00:00,12.9
2025-10-10 00:00:00,12.66
2025-10-03 00:00:00,12.73
2025-09-26 00:00:00,12.89
2025-09-19 00:00:00,12.74
2025-09-12 00:00:00,12.81
2025-09-05 00:00:00,13.09
2025-08-29 00:00:00,13.25
2025-08-22 00:00:00,13.07
2025-08-15 00:00:00,12.97
2025-08-08 00:00:00,12.99
2025-08-01 00:00:00,12.87
2025-07-25 00:00:00,12.75
2025-07-18 00:00:00,12.63
2025-07-11 00:00:00,12.48
2025-07-04 00:00:00,12.51
2025-06-27 00:00:00,12.39
2025-06-20 00:00:00,12.29
2025-06-13 00:00:00,12.32
2025-06-06 00:00:00,12.26
2025-05-30 00:00:00,12.5
2025-05-23 00:00:00,12.7
2025-05-16 00:00:00,12.58
2025-05-09 00:00:00,12.51
2025-05-02 00:00:00,12.46
2025-04-25 00:00:00,12.39
2025-04-18 00:00:00,12.44
2025-04-11 00:00:00,12.36
2025-04-04 00:00:00,12.21
2025-03-28 00:00:00,12.06
2025-03-21 00:00:00,12.02
2025-03-14 00:00:00,12.12
2025-03-07 00:00:00,12.07
2025-02-28 00:00:00,12.27
2025-02-21 00:00:00,12.17
2025-02-14 00:00:00,12.46
2025-02-07 00:00:00,12.88
2025-01-31 00:00:00,13.4
2025-01-24 00:00:00,13.87
2025-01-17 00:00:00,13.37
2025-01-10 00:00:00,13.11
2025-01-03 00:00:00,12.68
2024-12-27 00:00:00,12.48
2024-12-20 00:00:00,12.18
2024-12-13 00:00:00,12.14
2024-12-06 00:00:00,11.88
2024-11-29 00:00:00,11.96
2024-11-22 00:00:00,11.96
2024-11-15 00:00:00,11.97
2024-11-08 00:00:00,11.88
2024-11-01 00:00:00,11.9
2024-10-25 00:00:00,11.83
2024-10-18 00:00:00,11.81
2024-10-11 00:00:00,11.89
2024-10-04 00:00:00,11.62
2024-09-27 00:00:00,11.68
2024-09-20 00:00:00,11.66
2024-09-13 00:00:00,11.58
2024-09-06 00:00:00,11.65
2024-08-30 00:00:00,11.76
2024-08-23 00:00:00,11.47
2024-08-16 00:00:00,11.27
2024-08-09 00:00:00,11.51
2024-08-02 00:00:00,11.57
2024-07-26 00:00:00,11.79
2024-07-19 00:00:00,11.91
2024-07-12 00:00:00,11.86
2024-07-05 00:00:00,11.91
2024-06-28 00:00:00,11.99
2024-06-21 00:00:00,12.04
2024-06-14 00:00:00,12.08
2024-06-07 00:00:00,11.99
2024-05-31 00:00:00,11.99
2024-05-24 00:00:00,12.11
2024-05-17 00:00:00,12.01
2024-05-10 00:00:00,11.95
2024-05-03 00:00:00,11.84
2024-04-26 00:00:00,11.74
