指标名称,喷吹煤：247家钢铁企业：库存可用天数：中国（周）
指标编码,ID01109376
2026-01-09 00:00:00,12.47
2026-01-02 00:00:00,12.75
2025-12-26 00:00:00,12.71
2025-12-19 00:00:00,12.66
2025-12-12 00:00:00,12.55
2025-12-05 00:00:00,12.31
2025-11-28 00:00:00,12.64
2025-11-21 00:00:00,12.51
2025-11-14 00:00:00,12.45
2025-11-07 00:00:00,12.48
2025-10-31 00:00:00,12.6
2025-10-24 00:00:00,12.18
2025-10-17 00:00:00,12.27
2025-10-10 00:00:00,12.32
2025-10-03 00:00:00,12.37
2025-09-26 00:00:00,12.22
2025-09-19 00:00:00,12.09
2025-09-12 00:00:00,12.14
2025-09-05 00:00:00,12.76
2025-08-29 00:00:00,12.37
2025-08-22 00:00:00,12.29
2025-08-15 00:00:00,12.24
2025-08-08 00:00:00,11.95
2025-08-01 00:00:00,11.99
2025-07-25 00:00:00,12.21
2025-07-18 00:00:00,12.15
2025-07-11 00:00:00,12.17
2025-07-04 00:00:00,11.83
2025-06-27 00:00:00,11.8
2025-06-20 00:00:00,11.89
2025-06-13 00:00:00,12.06
2025-06-06 00:00:00,11.82
2025-05-30 00:00:00,11.67
2025-05-23 00:00:00,11.74
2025-05-16 00:00:00,11.85
2025-05-09 00:00:00,12.04
2025-05-02 00:00:00,12.02
2025-04-25 00:00:00,12.08
2025-04-18 00:00:00,11.94
2025-04-11 00:00:00,11.94
2025-04-04 00:00:00,12.08
2025-03-28 00:00:00,12.27
2025-03-21 00:00:00,12.04
2025-03-14 00:00:00,12.29
2025-03-07 00:00:00,12.08
2025-02-28 00:00:00,12.38
2025-02-21 00:00:00,12.42
2025-02-14 00:00:00,12.55
2025-02-07 00:00:00,12.67
2025-01-31 00:00:00,12.95
2025-01-24 00:00:00,13.36
2025-01-17 00:00:00,13.14
2025-01-10 00:00:00,12.99
2025-01-03 00:00:00,12.91
2024-12-27 00:00:00,12.9
2024-12-20 00:00:00,12.72
2024-12-13 00:00:00,12.41
2024-12-06 00:00:00,12.28
2024-11-29 00:00:00,12.19
2024-11-22 00:00:00,12.14
2024-11-15 00:00:00,12.02
2024-11-08 00:00:00,11.85
2024-11-01 00:00:00,11.79
2024-10-25 00:00:00,11.72
2024-10-18 00:00:00,11.79
2024-10-11 00:00:00,12.01
2024-10-04 00:00:00,12.08
2024-09-27 00:00:00,12.11
2024-09-20 00:00:00,12.05
2024-09-13 00:00:00,11.99
2024-09-06 00:00:00,12.07
2024-08-30 00:00:00,12.09
2024-08-23 00:00:00,12.19
2024-08-16 00:00:00,11.98
2024-08-09 00:00:00,11.99
2024-08-02 00:00:00,12.05
2024-07-26 00:00:00,12.15
2024-07-19 00:00:00,12.27
2024-07-12 00:00:00,12.16
2024-07-05 00:00:00,12.08
2024-06-28 00:00:00,11.98
2024-06-21 00:00:00,12.07
2024-06-14 00:00:00,11.9
2024-06-07 00:00:00,11.99
2024-05-31 00:00:00,12.07
2024-05-24 00:00:00,12.12
2024-05-17 00:00:00,12.22
2024-05-10 00:00:00,12.25
2024-05-03 00:00:00,12.19
2024-04-26 00:00:00,12.22
2024-04-19 00:00:00,12.2
2024-04-12 00:00:00,12.36
2024-04-05 00:00:00,12.61
2024-03-29 00:00:00,12.77
2024-03-22 00:00:00,12.93
2024-03-15 00:00:00,13.07
2024-03-08 00:00:00,13.19
2024-03-01 00:00:00,13.05
2024-02-23 00:00:00,13.21
2024-02-16 00:00:00,13.67
2024-02-09 00:00:00,14.18
2024-02-02 00:00:00,14.11
2024-01-26 00:00:00,13.68
2024-01-19 00:00:00,13.58
2024-01-12 00:00:00,13.21
2024-01-05 00:00:00,13.05
2023-12-29 00:00:00,13.2
2023-12-22 00:00:00,12.91
2023-12-15 00:00:00,13.32
2023-12-08 00:00:00,13.2
2023-12-01 00:00:00,12.85
2023-11-24 00:00:00,12.68
2023-11-17 00:00:00,12.61
2023-11-10 00:00:00,12.6
2023-11-03 00:00:00,12.25
2023-10-27 00:00:00,12.46
2023-10-20 00:00:00,12.65
2023-10-13 00:00:00,12.43
2023-10-06 00:00:00,12.17
2023-09-29 00:00:00,12.12
2023-09-22 00:00:00,11.87
2023-09-15 00:00:00,11.9
2023-09-08 00:00:00,11.78
2023-09-01 00:00:00,11.99
2023-08-25 00:00:00,11.98
2023-08-18 00:00:00,12.06
2023-08-11 00:00:00,12.01
2023-08-04 00:00:00,12.09
2023-07-28 00:00:00,12.58
2023-07-21 00:00:00,12.49
2023-07-14 00:00:00,12.58
2023-07-07 00:00:00,12.17
2023-06-30 00:00:00,12.22
2023-06-23 00:00:00,12.24
2023-06-16 00:00:00,12.19
2023-06-09 00:00:00,12.2
2023-06-02 00:00:00,12.27
2023-05-26 00:00:00,12.19
2023-05-19 00:00:00,12.54
2023-05-12 00:00:00,12.57
2023-05-05 00:00:00,12.65
2023-04-28 00:00:00,12.53
2023-04-21 00:00:00,12.82
2023-04-14 00:00:00,12.83
2023-04-07 00:00:00,13.04
2023-03-31 00:00:00,13.48
2023-03-24 00:00:00,13.62
2023-03-17 00:00:00,13.89
2023-03-10 00:00:00,14.12
2023-03-03 00:00:00,14.16
2023-02-24 00:00:00,14.28
2023-02-17 00:00:00,14.14
2023-02-10 00:00:00,14.4
2023-02-03 00:00:00,14.66
2023-01-27 00:00:00,15.37
2023-01-20 00:00:00,15.95
2023-01-13 00:00:00,15.5
2023-01-06 00:00:00,15.09
2022-12-30 00:00:00,14.81
2022-12-23 00:00:00,14.43
2022-12-16 00:00:00,14.01
2022-12-09 00:00:00,14.07
2022-12-02 00:00:00,13.72
2022-11-25 00:00:00,13.61
2022-11-18 00:00:00,13.42
2022-11-11 00:00:00,13.43
2022-11-04 00:00:00,13.31
2022-10-28 00:00:00,13.23
2022-10-21 00:00:00,13.24
2022-10-14 00:00:00,13.24
2022-10-07 00:00:00,13.04
2022-09-30 00:00:00,12.88
2022-09-23 00:00:00,12.81
2022-09-16 00:00:00,12.87
2022-09-09 00:00:00,12.97
2022-09-02 00:00:00,12.96
2022-08-26 00:00:00,13.09
2022-08-19 00:00:00,13.18
2022-08-12 00:00:00,13.11
2022-08-05 00:00:00,13.26
2022-07-29 00:00:00,13.64
2022-07-22 00:00:00,14.06
2022-07-15 00:00:00,13.99
2022-07-08 00:00:00,14.17
2022-07-01 00:00:00,14.35
2022-06-24 00:00:00,13.89
2022-06-17 00:00:00,13.92
2022-06-10 00:00:00,13.74
2022-06-03 00:00:00,14.04
2022-05-27 00:00:00,14.23
2022-05-20 00:00:00,14.1
2022-05-13 00:00:00,13.55
2022-05-06 00:00:00,13.58
2022-04-29 00:00:00,13.39
2022-04-22 00:00:00,13.35
2022-04-15 00:00:00,13.46
2022-04-08 00:00:00,13.53
2022-04-01 00:00:00,13.68
2022-03-25 00:00:00,13.98
2022-03-18 00:00:00,14.27
2022-03-11 00:00:00,15.22
2022-03-04 00:00:00,14.43
2022-02-25 00:00:00,15.2
2022-02-18 00:00:00,16.35
2022-02-11 00:00:00,16.4
2022-02-04 00:00:00,16.77
2022-01-28 00:00:00,16.44
2022-01-21 00:00:00,15.85
2022-01-14 00:00:00,15.78
2022-01-07 00:00:00,15.68
2021-12-31 00:00:00,15.63
2021-12-24 00:00:00,15.99
2021-12-17 00:00:00,15.66
2021-12-10 00:00:00,15.91
2021-12-03 00:00:00,15.47
2021-11-26 00:00:00,17.6
2021-11-19 00:00:00,17.3
2021-11-12 00:00:00,15.65
2021-11-05 00:00:00,15.91
2021-10-29 00:00:00,15.56
2021-10-22 00:00:00,15.43
2021-10-15 00:00:00,15.3
2021-10-08 00:00:00,15.42
2021-10-01 00:00:00,15.46
2021-09-24 00:00:00,15.36
2021-09-17 00:00:00,14.92
2021-09-10 00:00:00,14.83
2021-09-03 00:00:00,14.77
2021-08-27 00:00:00,14.73
2021-08-20 00:00:00,14.84
2021-08-13 00:00:00,14.97
2021-08-06 00:00:00,16.65
2021-07-30 00:00:00,14.99
2021-07-23 00:00:00,16.73
2021-07-16 00:00:00,15.43
2021-07-09 00:00:00,17.11
2021-07-02 00:00:00,18.84
2021-06-25 00:00:00,16.95
2021-06-18 00:00:00,17.14
2021-06-11 00:00:00,15.21
2021-06-04 00:00:00,14.9
2021-05-28 00:00:00,14.88
2021-05-21 00:00:00,14.85
2021-05-14 00:00:00,15.46
2021-05-07 00:00:00,15.56
2021-04-30 00:00:00,15.61
2021-04-23 00:00:00,15.66
2021-04-16 00:00:00,15.69
2021-04-09 00:00:00,15.97
